date,mktname,sbtype,transformation,middleprice,quantity
Tue Apr 02 1996 00:00:00 GMT+0800 (CST),台北一,大蔥,null,15,40
Sat Apr 06 1996 00:00:00 GMT+0800 (CST),台北二,大蔥,null,15,200
Sat Apr 06 1996 00:00:00 GMT+0800 (CST),台北一,大蔥,null,15,140
Tue Apr 16 1996 00:00:00 GMT+0800 (CST),台北一,大蔥,null,15,40
Wed Apr 17 1996 00:00:00 GMT+0800 (CST),台北一,大蔥,null,15,60
Fri Apr 19 1996 00:00:00 GMT+0800 (CST),台北二,大蔥,null,10,80
Fri Apr 19 1996 00:00:00 GMT+0800 (CST),台北一,大蔥,null,15,90
Sun Apr 21 1996 00:00:00 GMT+0800 (CST),台北一,大蔥,null,15,90
Wed Apr 24 1996 00:00:00 GMT+0800 (CST),台北一,大蔥,null,15,40
Thu Apr 25 1996 00:00:00 GMT+0800 (CST),台北一,大蔥,null,15,80
Mon Apr 29 1996 00:00:00 GMT+0800 (CST),台北二,大蔥,null,4,25
Mon Apr 29 1996 00:00:00 GMT+0800 (CST),台北一,大蔥,null,15,12
Tue Apr 30 1996 00:00:00 GMT+0800 (CST),台北一,大蔥,null,15,200
Tue Apr 01 1997 00:00:00 GMT+0800 (CST),台北二,大蔥,null,16,90
Tue Apr 01 1997 00:00:00 GMT+0800 (CST),台北一,大蔥,null,25,15
Wed Apr 02 1997 00:00:00 GMT+0800 (CST),台北二,大蔥,null,10,72
Thu Apr 03 1997 00:00:00 GMT+0800 (CST),台北一,大蔥,null,30,5
Fri Apr 04 1997 00:00:00 GMT+0800 (CST),台北一,大蔥,null,30,200
Mon Apr 07 1997 00:00:00 GMT+0800 (CST),台北一,大蔥,null,30,20
Wed Apr 09 1997 00:00:00 GMT+0800 (CST),台北一,大蔥,null,30,100
Thu Apr 10 1997 00:00:00 GMT+0800 (CST),台北一,大蔥,null,30,128
Thu Apr 10 1997 00:00:00 GMT+0800 (CST),高雄市,大蔥,null,15,880
Sun Apr 13 1997 00:00:00 GMT+0800 (CST),台北一,大蔥,null,30,100
Mon Apr 14 1997 00:00:00 GMT+0800 (CST),台北一,大蔥,null,30,40
Tue Apr 22 1997 00:00:00 GMT+0800 (CST),台北一,大蔥,null,30,29
Thu Apr 24 1997 00:00:00 GMT+0800 (CST),台北二,大蔥,null,70,35
Fri Apr 25 1997 00:00:00 GMT+0800 (CST),台北一,大蔥,null,30,16
Sat Apr 26 1997 00:00:00 GMT+0800 (CST),台北一,大蔥,null,30,45
Tue Apr 29 1997 00:00:00 GMT+0800 (CST),台北一,大蔥,null,30,31
Wed Apr 30 1997 00:00:00 GMT+0800 (CST),台北一,大蔥,null,30,30
Wed Apr 01 1998 00:00:00 GMT+0800 (CST),台北一,大蔥,null,40,120
Sat Apr 04 1998 00:00:00 GMT+0800 (CST),台北一,大蔥,null,35,140
Tue Apr 07 1998 00:00:00 GMT+0800 (CST),台北一,大蔥,null,35,140
Thu Apr 09 1998 00:00:00 GMT+0800 (CST),台北一,大蔥,null,35,100
Sat Apr 11 1998 00:00:00 GMT+0800 (CST),台北一,大蔥,null,30,160
Sun Apr 12 1998 00:00:00 GMT+0800 (CST),台北一,大蔥,null,18,120
Wed Apr 15 1998 00:00:00 GMT+0800 (CST),台北一,大蔥,null,16,60
Fri Apr 17 1998 00:00:00 GMT+0800 (CST),台北一,大蔥,null,18.3,200
Sat Apr 18 1998 00:00:00 GMT+0800 (CST),台北一,大蔥,null,12,220
Sun Apr 19 1998 00:00:00 GMT+0800 (CST),台北一,大蔥,null,20,114
Wed Apr 22 1998 00:00:00 GMT+0800 (CST),台北一,大蔥,null,20,100
Sat Apr 25 1998 00:00:00 GMT+0800 (CST),台北一,大蔥,null,50,20
Thu Apr 01 1999 00:00:00 GMT+0800 (CST),台北二,大蔥,null,2,100
Thu Apr 01 1999 00:00:00 GMT+0800 (CST),台北一,大蔥,null,4.2,200
Fri Apr 02 1999 00:00:00 GMT+0800 (CST),台北一,大蔥,null,3.5,200
Sat Apr 03 1999 00:00:00 GMT+0800 (CST),台北一,大蔥,null,7,100
Sun Apr 04 1999 00:00:00 GMT+0800 (CST),台北一,大蔥,null,8,48
Thu Apr 08 1999 00:00:00 GMT+0800 (CST),台北二,大蔥,null,10,20
Thu Apr 08 1999 00:00:00 GMT+0800 (CST),台北一,大蔥,null,8,120
Mon Apr 12 1999 00:00:00 GMT+0800 (CST),台北二,大蔥,null,2,140
Mon Apr 12 1999 00:00:00 GMT+0800 (CST),台北一,大蔥,null,8,120
Mon Apr 12 1999 00:00:00 GMT+0800 (CST),高雄市,大蔥,null,6,75
Wed Apr 14 1999 00:00:00 GMT+0800 (CST),台北二,大蔥,null,3,120
Wed Apr 14 1999 00:00:00 GMT+0800 (CST),台北一,大蔥,null,8,120
Thu Apr 15 1999 00:00:00 GMT+0800 (CST),台北二,大蔥,null,2,140
Thu Apr 15 1999 00:00:00 GMT+0800 (CST),台北一,大蔥,null,8,160
Fri Apr 16 1999 00:00:00 GMT+0800 (CST),台北二,大蔥,null,2,100
Fri Apr 16 1999 00:00:00 GMT+0800 (CST),台北一,大蔥,null,8,100
Sat Apr 17 1999 00:00:00 GMT+0800 (CST),台中市,大蔥,null,7.8,360
Mon Apr 19 1999 00:00:00 GMT+0800 (CST),台北一,大蔥,null,4.2,200
Mon Apr 19 1999 00:00:00 GMT+0800 (CST),台中市,大蔥,null,5,200
Tue Apr 20 1999 00:00:00 GMT+0800 (CST),台北一,大蔥,null,8,200
Tue Apr 20 1999 00:00:00 GMT+0800 (CST),台中市,大蔥,null,5,200
Thu Apr 22 1999 00:00:00 GMT+0800 (CST),台北一,大蔥,null,8,60
Fri Apr 30 1999 00:00:00 GMT+0800 (CST),台北一,大蔥,null,8,60
Sat Apr 01 2000 00:00:00 GMT+0800 (CST),台北一,大蔥,null,13,680
Sun Apr 02 2000 00:00:00 GMT+0800 (CST),台北二,大蔥,null,4.8,648
Sun Apr 02 2000 00:00:00 GMT+0800 (CST),台北一,大蔥,null,3,924
Mon Apr 03 2000 00:00:00 GMT+0800 (CST),台北二,大蔥,null,2,540
Mon Apr 03 2000 00:00:00 GMT+0800 (CST),台北一,大蔥,null,5,540
Sat Apr 08 2000 00:00:00 GMT+0800 (CST),台北一,大蔥,null,13,21
Sun Apr 09 2000 00:00:00 GMT+0800 (CST),台中市,大蔥,null,15,45
Mon Apr 10 2000 00:00:00 GMT+0800 (CST),台北二,大蔥,null,8,162
Mon Apr 10 2000 00:00:00 GMT+0800 (CST),台北一,大蔥,null,13,21
Mon Apr 10 2000 00:00:00 GMT+0800 (CST),台中市,大蔥,null,20,15
Tue Apr 11 2000 00:00:00 GMT+0800 (CST),台中市,大蔥,null,15,30
Wed Apr 12 2000 00:00:00 GMT+0800 (CST),台北一,大蔥,null,12,25
Thu Apr 13 2000 00:00:00 GMT+0800 (CST),台北一,大蔥,null,12,180
Thu Apr 13 2000 00:00:00 GMT+0800 (CST),台中市,大蔥,null,12,30
Sat Apr 15 2000 00:00:00 GMT+0800 (CST),台北一,大蔥,null,12,105
Sat Apr 15 2000 00:00:00 GMT+0800 (CST),台中市,大蔥,null,12,30
Sun Apr 16 2000 00:00:00 GMT+0800 (CST),台北一,大蔥,null,25,30
Sun Apr 16 2000 00:00:00 GMT+0800 (CST),台中市,大蔥,null,12,30
Mon Apr 17 2000 00:00:00 GMT+0800 (CST),台北二,大蔥,null,35,150
Mon Apr 17 2000 00:00:00 GMT+0800 (CST),台中市,大蔥,null,12,10
Wed Apr 19 2000 00:00:00 GMT+0800 (CST),台北一,大蔥,null,25,160
Thu Apr 20 2000 00:00:00 GMT+0800 (CST),台北二,大蔥,null,5,20
Thu Apr 20 2000 00:00:00 GMT+0800 (CST),台北一,大蔥,null,25,20
Sat Apr 22 2000 00:00:00 GMT+0800 (CST),台北一,大蔥,null,25,170
Sun Apr 23 2000 00:00:00 GMT+0800 (CST),台中市,大蔥,null,10,31
Mon Apr 24 2000 00:00:00 GMT+0800 (CST),台北一,大蔥,null,25,128
Sun Apr 01 2001 00:00:00 GMT+0800 (CST),台北二,大蔥,null,17.5,40
Mon Apr 02 2001 00:00:00 GMT+0800 (CST),台北二,大蔥,null,12,20
Mon Apr 02 2001 00:00:00 GMT+0800 (CST),台北一,大蔥,null,15,160
Tue Apr 03 2001 00:00:00 GMT+0800 (CST),台北二,大蔥,null,11,21
Tue Apr 03 2001 00:00:00 GMT+0800 (CST),台北一,大蔥,null,15,60
Wed Apr 04 2001 00:00:00 GMT+0800 (CST),台北二,大蔥,null,11.5,40
Sat Apr 07 2001 00:00:00 GMT+0800 (CST),台北一,大蔥,null,15,180
Sun Apr 08 2001 00:00:00 GMT+0800 (CST),台北二,大蔥,null,20,20
Sun Apr 08 2001 00:00:00 GMT+0800 (CST),台北一,大蔥,null,15,80
Mon Apr 09 2001 00:00:00 GMT+0800 (CST),台北一,大蔥,null,15,60
Wed Apr 11 2001 00:00:00 GMT+0800 (CST),台北一,大蔥,null,15,140
Thu Apr 12 2001 00:00:00 GMT+0800 (CST),台北一,大蔥,null,15,40
Fri Apr 13 2001 00:00:00 GMT+0800 (CST),台北一,大蔥,null,15,200
Sat Apr 14 2001 00:00:00 GMT+0800 (CST),高雄市,大蔥,null,13.1,210
Sun Apr 15 2001 00:00:00 GMT+0800 (CST),台北一,大蔥,null,15,40
Sun Apr 15 2001 00:00:00 GMT+0800 (CST),高雄市,大蔥,null,10,165
Mon Apr 16 2001 00:00:00 GMT+0800 (CST),台北二,大蔥,null,20,6
Fri Apr 20 2001 00:00:00 GMT+0800 (CST),高雄市,大蔥,null,16,40
Mon Apr 30 2001 00:00:00 GMT+0800 (CST),高雄市,大蔥,null,30,45
Tue Apr 02 2002 00:00:00 GMT+0800 (CST),台中市,大蔥,null,15,900
Fri Apr 05 2002 00:00:00 GMT+0800 (CST),高雄市,大蔥,null,11.8,2400
Tue Apr 09 2002 00:00:00 GMT+0800 (CST),台北一,大蔥,null,8,182
Wed Apr 10 2002 00:00:00 GMT+0800 (CST),台北一,大蔥,null,8,34
Fri Apr 12 2002 00:00:00 GMT+0800 (CST),台北二,大蔥,null,12,40
Fri Apr 12 2002 00:00:00 GMT+0800 (CST),台北一,大蔥,null,5,40
Fri Apr 12 2002 00:00:00 GMT+0800 (CST),台中市,大蔥,null,10,40
Sat Apr 13 2002 00:00:00 GMT+0800 (CST),台北二,大蔥,null,20,60
Sat Apr 13 2002 00:00:00 GMT+0800 (CST),台中市,大蔥,null,13,40
Sun Apr 14 2002 00:00:00 GMT+0800 (CST),台北二,大蔥,null,13,120
Sun Apr 14 2002 00:00:00 GMT+0800 (CST),台中市,大蔥,null,8.2,80
Tue Apr 16 2002 00:00:00 GMT+0800 (CST),台北二,大蔥,null,8,160
