date,mktname,sbtype,transformation,middleprice,quantity
Mon Apr 01 1996 00:00:00 GMT+0800 (CST),台北二,韭菜黃,null,70,628
Mon Apr 01 1996 00:00:00 GMT+0800 (CST),台北一,韭菜黃,null,55,2532
Mon Apr 01 1996 00:00:00 GMT+0800 (CST),高雄市,韭菜黃,null,60,300
Wed Apr 03 1996 00:00:00 GMT+0800 (CST),台北二,韭菜黃,null,80.4,628
Wed Apr 03 1996 00:00:00 GMT+0800 (CST),台北一,韭菜黃,null,55,3188
Wed Apr 03 1996 00:00:00 GMT+0800 (CST),高雄市,韭菜黃,null,60,240
Thu Apr 04 1996 00:00:00 GMT+0800 (CST),高雄市,韭菜黃,null,60,320
Sat Apr 06 1996 00:00:00 GMT+0800 (CST),台北二,韭菜黃,null,80,454
Sat Apr 06 1996 00:00:00 GMT+0800 (CST),台北一,韭菜黃,null,55,2453
Sun Apr 07 1996 00:00:00 GMT+0800 (CST),台北二,韭菜黃,null,90,520
Sun Apr 07 1996 00:00:00 GMT+0800 (CST),台北一,韭菜黃,null,55,2749
Sun Apr 07 1996 00:00:00 GMT+0800 (CST),高雄市,韭菜黃,null,60,240
Mon Apr 08 1996 00:00:00 GMT+0800 (CST),台北二,韭菜黃,null,70,580
Mon Apr 08 1996 00:00:00 GMT+0800 (CST),台北一,韭菜黃,null,55,2666
Mon Apr 08 1996 00:00:00 GMT+0800 (CST),高雄市,韭菜黃,null,61,300
Tue Apr 09 1996 00:00:00 GMT+0800 (CST),台北二,韭菜黃,null,90,598
Tue Apr 09 1996 00:00:00 GMT+0800 (CST),台北一,韭菜黃,null,55,2475
Tue Apr 09 1996 00:00:00 GMT+0800 (CST),高雄市,韭菜黃,null,63,180
Wed Apr 10 1996 00:00:00 GMT+0800 (CST),台北二,韭菜黃,null,70,550
Wed Apr 10 1996 00:00:00 GMT+0800 (CST),台北一,韭菜黃,null,55,2574
Wed Apr 10 1996 00:00:00 GMT+0800 (CST),高雄市,韭菜黃,null,60,260
Thu Apr 11 1996 00:00:00 GMT+0800 (CST),台北二,韭菜黃,null,80,642
Thu Apr 11 1996 00:00:00 GMT+0800 (CST),台北一,韭菜黃,null,55,2993
Thu Apr 11 1996 00:00:00 GMT+0800 (CST),高雄市,韭菜黃,null,62,150
Fri Apr 12 1996 00:00:00 GMT+0800 (CST),高雄市,韭菜黃,null,60,150
Sat Apr 13 1996 00:00:00 GMT+0800 (CST),台北一,韭菜黃,null,55,2748
Sat Apr 13 1996 00:00:00 GMT+0800 (CST),高雄市,韭菜黃,null,60,110
Sun Apr 14 1996 00:00:00 GMT+0800 (CST),台北一,韭菜黃,null,55,2974
Sun Apr 14 1996 00:00:00 GMT+0800 (CST),高雄市,韭菜黃,null,65,170
