date,mktname,sbtype,transformation,middleprice,quantity
Thu Apr 01 1999 00:00:00 GMT+0800 (CST),台北二,青頭,null,30,75
Thu Apr 01 1999 00:00:00 GMT+0800 (CST),台北一,青頭,null,20,2870
Fri Apr 02 1999 00:00:00 GMT+0800 (CST),台北二,青頭,null,30,145
Fri Apr 02 1999 00:00:00 GMT+0800 (CST),台北一,青頭,null,19,2970
Sat Apr 03 1999 00:00:00 GMT+0800 (CST),台北一,青頭,null,20,2800
Sun Apr 04 1999 00:00:00 GMT+0800 (CST),台北一,青頭,null,23,3230
Wed Apr 07 1999 00:00:00 GMT+0800 (CST),台北一,青頭,null,23,3430
Thu Apr 08 1999 00:00:00 GMT+0800 (CST),台北一,青頭,null,20,3258
Fri Apr 09 1999 00:00:00 GMT+0800 (CST),台北一,青頭,null,18,3544
Sat Apr 10 1999 00:00:00 GMT+0800 (CST),台北一,青頭,null,20,3694
Mon Apr 12 1999 00:00:00 GMT+0800 (CST),台北一,青頭,null,22,2960
Tue Apr 13 1999 00:00:00 GMT+0800 (CST),台北一,青頭,null,22,2960
Wed Apr 14 1999 00:00:00 GMT+0800 (CST),台北一,青頭,null,20,3120
Thu Apr 15 1999 00:00:00 GMT+0800 (CST),台北一,青頭,null,20,3040
Fri Apr 16 1999 00:00:00 GMT+0800 (CST),台北一,青頭,null,20,3010
Sat Apr 17 1999 00:00:00 GMT+0800 (CST),台北一,青頭,null,20,3220
Mon Apr 19 1999 00:00:00 GMT+0800 (CST),台北一,青頭,null,20,3160
Tue Apr 20 1999 00:00:00 GMT+0800 (CST),台北一,青頭,null,18,3300
Wed Apr 21 1999 00:00:00 GMT+0800 (CST),台北一,青頭,null,16,3670
Thu Apr 22 1999 00:00:00 GMT+0800 (CST),台北一,青頭,null,15,3715
Fri Apr 23 1999 00:00:00 GMT+0800 (CST),台北一,青頭,null,15,3540
Sat Apr 24 1999 00:00:00 GMT+0800 (CST),台北一,青頭,null,15,3630
Mon Apr 26 1999 00:00:00 GMT+0800 (CST),台北一,青頭,null,16,3260
Tue Apr 27 1999 00:00:00 GMT+0800 (CST),台北一,青頭,null,15,3600
Wed Apr 28 1999 00:00:00 GMT+0800 (CST),台北一,青頭,null,15,3470
Thu Apr 29 1999 00:00:00 GMT+0800 (CST),台北一,青頭,null,15,3460
Fri Apr 30 1999 00:00:00 GMT+0800 (CST),台北一,青頭,null,15,3620
Sat Apr 01 2000 00:00:00 GMT+0800 (CST),台北一,青頭,null,20,3369
Sun Apr 02 2000 00:00:00 GMT+0800 (CST),台北一,青頭,null,20,3303
Mon Apr 03 2000 00:00:00 GMT+0800 (CST),台北一,青頭,null,22,3645
Thu Apr 06 2000 00:00:00 GMT+0800 (CST),台北一,青頭,null,20,3388
Fri Apr 07 2000 00:00:00 GMT+0800 (CST),台北一,青頭,null,19,3247
Sat Apr 08 2000 00:00:00 GMT+0800 (CST),台北一,青頭,null,15,3658
