date,mktname,sbtype,transformation,middleprice,quantity
Mon Apr 01 1996 00:00:00 GMT+0800 (CST),台北一,硬梗,null,9,1496
Mon Apr 01 1996 00:00:00 GMT+0800 (CST),南投市,硬梗,null,8,816
Mon Apr 01 1996 00:00:00 GMT+0800 (CST),屏東市,硬梗,null,8.9,3502
Tue Apr 02 1996 00:00:00 GMT+0800 (CST),台北一,硬梗,null,10,1772
Tue Apr 02 1996 00:00:00 GMT+0800 (CST),南投市,硬梗,null,11,854
Tue Apr 02 1996 00:00:00 GMT+0800 (CST),屏東市,硬梗,null,13,3218
Wed Apr 03 1996 00:00:00 GMT+0800 (CST),台北二,硬梗,null,25,20
Wed Apr 03 1996 00:00:00 GMT+0800 (CST),台北一,硬梗,null,15,8098
Wed Apr 03 1996 00:00:00 GMT+0800 (CST),南投市,硬梗,null,14,588
Wed Apr 03 1996 00:00:00 GMT+0800 (CST),屏東市,硬梗,null,14,3899
Thu Apr 04 1996 00:00:00 GMT+0800 (CST),南投市,硬梗,null,21,1440
Thu Apr 04 1996 00:00:00 GMT+0800 (CST),屏東市,硬梗,null,20.4,2665
Sat Apr 06 1996 00:00:00 GMT+0800 (CST),台北一,硬梗,null,20,1344
Sat Apr 06 1996 00:00:00 GMT+0800 (CST),南投市,硬梗,null,30,972
Sat Apr 06 1996 00:00:00 GMT+0800 (CST),屏東市,硬梗,null,17.4,2610
Sun Apr 07 1996 00:00:00 GMT+0800 (CST),台北一,硬梗,null,25,2857
Sun Apr 07 1996 00:00:00 GMT+0800 (CST),南投市,硬梗,null,28,714
Sun Apr 07 1996 00:00:00 GMT+0800 (CST),屏東市,硬梗,null,18.5,2100
Mon Apr 08 1996 00:00:00 GMT+0800 (CST),台北二,硬梗,null,10,50
Mon Apr 08 1996 00:00:00 GMT+0800 (CST),台北一,硬梗,null,15,1933
Mon Apr 08 1996 00:00:00 GMT+0800 (CST),南投市,硬梗,null,24,756
Mon Apr 08 1996 00:00:00 GMT+0800 (CST),屏東市,硬梗,null,19.6,1706
Tue Apr 09 1996 00:00:00 GMT+0800 (CST),台北一,硬梗,null,15,15184
Tue Apr 09 1996 00:00:00 GMT+0800 (CST),南投市,硬梗,null,22,684
Tue Apr 09 1996 00:00:00 GMT+0800 (CST),屏東市,硬梗,null,13.1,2390
Wed Apr 10 1996 00:00:00 GMT+0800 (CST),台北一,硬梗,null,12,1860
Wed Apr 10 1996 00:00:00 GMT+0800 (CST),南投市,硬梗,null,25,642
Wed Apr 10 1996 00:00:00 GMT+0800 (CST),屏東市,硬梗,null,12.6,2420
Thu Apr 11 1996 00:00:00 GMT+0800 (CST),台北二,硬梗,null,10,60
Thu Apr 11 1996 00:00:00 GMT+0800 (CST),台北一,硬梗,null,12,1688
Thu Apr 11 1996 00:00:00 GMT+0800 (CST),南投市,硬梗,null,28,342
Thu Apr 11 1996 00:00:00 GMT+0800 (CST),屏東市,硬梗,null,27.6,910
Fri Apr 12 1996 00:00:00 GMT+0800 (CST),南投市,硬梗,null,34,306
Fri Apr 12 1996 00:00:00 GMT+0800 (CST),屏東市,硬梗,null,24.1,840
Sat Apr 13 1996 00:00:00 GMT+0800 (CST),台北一,硬梗,null,15,1146
Sat Apr 13 1996 00:00:00 GMT+0800 (CST),南投市,硬梗,null,38,264
Sat Apr 13 1996 00:00:00 GMT+0800 (CST),屏東市,硬梗,null,21.1,1490
Sun Apr 14 1996 00:00:00 GMT+0800 (CST),台北一,硬梗,null,15,1652
Sun Apr 14 1996 00:00:00 GMT+0800 (CST),南投市,硬梗,null,0,344
Sun Apr 14 1996 00:00:00 GMT+0800 (CST),屏東市,硬梗,null,31.2,1125
Mon Apr 15 1996 00:00:00 GMT+0800 (CST),台北一,硬梗,null,15,9864
Mon Apr 15 1996 00:00:00 GMT+0800 (CST),屏東市,硬梗,null,28.1,1160
Tue Apr 16 1996 00:00:00 GMT+0800 (CST),台北二,硬梗,null,15.5,60
Tue Apr 16 1996 00:00:00 GMT+0800 (CST),台北一,硬梗,null,15,3530
Tue Apr 16 1996 00:00:00 GMT+0800 (CST),南投市,硬梗,null,40,409
Tue Apr 16 1996 00:00:00 GMT+0800 (CST),屏東市,硬梗,null,15.5,1750
Wed Apr 17 1996 00:00:00 GMT+0800 (CST),台北一,硬梗,null,15,3759
Wed Apr 17 1996 00:00:00 GMT+0800 (CST),南投市,硬梗,null,26,408
Wed Apr 17 1996 00:00:00 GMT+0800 (CST),屏東市,硬梗,null,36.8,703
Thu Apr 18 1996 00:00:00 GMT+0800 (CST),台北二,硬梗,null,7.6,100
Thu Apr 18 1996 00:00:00 GMT+0800 (CST),台北一,硬梗,null,15,2576
Thu Apr 18 1996 00:00:00 GMT+0800 (CST),南投市,硬梗,null,33,525
Thu Apr 18 1996 00:00:00 GMT+0800 (CST),屏東市,硬梗,null,34.6,1152
Fri Apr 19 1996 00:00:00 GMT+0800 (CST),台北二,硬梗,null,6,40
Fri Apr 19 1996 00:00:00 GMT+0800 (CST),台北一,硬梗,null,15,1682
Fri Apr 19 1996 00:00:00 GMT+0800 (CST),南投市,硬梗,null,51,506
Fri Apr 19 1996 00:00:00 GMT+0800 (CST),屏東市,硬梗,null,33.4,1270
Sat Apr 20 1996 00:00:00 GMT+0800 (CST),屏東市,硬梗,null,32.6,690
Sun Apr 21 1996 00:00:00 GMT+0800 (CST),台北一,硬梗,null,15,90
Sun Apr 21 1996 00:00:00 GMT+0800 (CST),南投市,硬梗,null,49,235
Sun Apr 21 1996 00:00:00 GMT+0800 (CST),屏東市,硬梗,null,36.9,706
Mon Apr 22 1996 00:00:00 GMT+0800 (CST),台北一,硬梗,null,14.4,520
Mon Apr 22 1996 00:00:00 GMT+0800 (CST),南投市,硬梗,null,0,296
Mon Apr 22 1996 00:00:00 GMT+0800 (CST),屏東市,硬梗,null,33.3,710
Tue Apr 23 1996 00:00:00 GMT+0800 (CST),台北二,硬梗,null,11.1,150
Tue Apr 23 1996 00:00:00 GMT+0800 (CST),台北一,硬梗,null,11.3,840
Tue Apr 23 1996 00:00:00 GMT+0800 (CST),屏東市,硬梗,null,52.9,2658
Wed Apr 24 1996 00:00:00 GMT+0800 (CST),台北二,硬梗,null,30,40
Wed Apr 24 1996 00:00:00 GMT+0800 (CST),台北一,硬梗,null,20,772
Wed Apr 24 1996 00:00:00 GMT+0800 (CST),屏東市,硬梗,null,30.5,1030
Thu Apr 25 1996 00:00:00 GMT+0800 (CST),台北二,硬梗,null,93.1,814
Thu Apr 25 1996 00:00:00 GMT+0800 (CST),台北一,硬梗,null,20,1387
Thu Apr 25 1996 00:00:00 GMT+0800 (CST),屏東市,硬梗,null,35.2,750
Fri Apr 26 1996 00:00:00 GMT+0800 (CST),台北二,硬梗,null,75,1210
Fri Apr 26 1996 00:00:00 GMT+0800 (CST),台北一,硬梗,null,20,8290
Fri Apr 26 1996 00:00:00 GMT+0800 (CST),西螺鎮,硬梗,null,30,420
Fri Apr 26 1996 00:00:00 GMT+0800 (CST),屏東市,硬梗,null,29,1080
Sat Apr 27 1996 00:00:00 GMT+0800 (CST),南投市,硬梗,null,0,178
Sat Apr 27 1996 00:00:00 GMT+0800 (CST),屏東市,硬梗,null,35.6,690
Sun Apr 28 1996 00:00:00 GMT+0800 (CST),台北一,硬梗,null,20,1290
Sun Apr 28 1996 00:00:00 GMT+0800 (CST),屏東市,硬梗,null,33.8,520
Mon Apr 29 1996 00:00:00 GMT+0800 (CST),台北二,硬梗,null,7,40
Mon Apr 29 1996 00:00:00 GMT+0800 (CST),台北一,硬梗,null,20,30
Mon Apr 29 1996 00:00:00 GMT+0800 (CST),屏東市,硬梗,null,32.2,540
Tue Apr 30 1996 00:00:00 GMT+0800 (CST),台北一,硬梗,null,20.3,830
Tue Apr 30 1996 00:00:00 GMT+0800 (CST),南投市,硬梗,null,90,143
Tue Apr 30 1996 00:00:00 GMT+0800 (CST),屏東市,硬梗,null,31.9,610
Tue Apr 01 1997 00:00:00 GMT+0800 (CST),台北二,硬梗,null,4,75
Tue Apr 01 1997 00:00:00 GMT+0800 (CST),台北一,硬梗,null,6,450
Tue Apr 01 1997 00:00:00 GMT+0800 (CST),南投市,硬梗,null,12,699
Tue Apr 01 1997 00:00:00 GMT+0800 (CST),西螺鎮,硬梗,null,16.3,14370
Tue Apr 01 1997 00:00:00 GMT+0800 (CST),高雄市,硬梗,null,17.1,1230
Tue Apr 01 1997 00:00:00 GMT+0800 (CST),屏東市,硬梗,null,12.2,3555
Wed Apr 02 1997 00:00:00 GMT+0800 (CST),台北二,硬梗,null,10,3955
Wed Apr 02 1997 00:00:00 GMT+0800 (CST),台北一,硬梗,null,6,216
Wed Apr 02 1997 00:00:00 GMT+0800 (CST),南投市,硬梗,null,12,732
Wed Apr 02 1997 00:00:00 GMT+0800 (CST),西螺鎮,硬梗,null,16,16866
Wed Apr 02 1997 00:00:00 GMT+0800 (CST),高雄市,硬梗,null,31.5,480
Wed Apr 02 1997 00:00:00 GMT+0800 (CST),屏東市,硬梗,null,10.7,4957
Thu Apr 03 1997 00:00:00 GMT+0800 (CST),台北二,硬梗,null,2.6,165
Thu Apr 03 1997 00:00:00 GMT+0800 (CST),台北一,硬梗,null,7,365
Thu Apr 03 1997 00:00:00 GMT+0800 (CST),南投市,硬梗,null,11,573
Thu Apr 03 1997 00:00:00 GMT+0800 (CST),西螺鎮,硬梗,null,15.9,17050
Thu Apr 03 1997 00:00:00 GMT+0800 (CST),高雄市,硬梗,null,10,120
Thu Apr 03 1997 00:00:00 GMT+0800 (CST),屏東市,硬梗,null,15,600
Fri Apr 04 1997 00:00:00 GMT+0800 (CST),台北二,硬梗,null,2.6,132
Fri Apr 04 1997 00:00:00 GMT+0800 (CST),台北一,硬梗,null,9,1325
Fri Apr 04 1997 00:00:00 GMT+0800 (CST),南投市,硬梗,null,6,1626
Fri Apr 04 1997 00:00:00 GMT+0800 (CST),西螺鎮,硬梗,null,15.8,17310
Fri Apr 04 1997 00:00:00 GMT+0800 (CST),高雄市,硬梗,null,13.3,210
Fri Apr 04 1997 00:00:00 GMT+0800 (CST),屏東市,硬梗,null,14.2,9325
Sat Apr 05 1997 00:00:00 GMT+0800 (CST),南投市,硬梗,null,9,666
Sat Apr 05 1997 00:00:00 GMT+0800 (CST),屏東市,硬梗,null,15.4,1450
Sun Apr 06 1997 00:00:00 GMT+0800 (CST),西螺鎮,硬梗,null,15.8,18720
Sun Apr 06 1997 00:00:00 GMT+0800 (CST),屏東市,硬梗,null,14.9,1580
Mon Apr 07 1997 00:00:00 GMT+0800 (CST),台北二,硬梗,null,4,110
Mon Apr 07 1997 00:00:00 GMT+0800 (CST),台北一,硬梗,null,9,140
Mon Apr 07 1997 00:00:00 GMT+0800 (CST),南投市,硬梗,null,20,270
Mon Apr 07 1997 00:00:00 GMT+0800 (CST),西螺鎮,硬梗,null,16,15960
Mon Apr 07 1997 00:00:00 GMT+0800 (CST),屏東市,硬梗,null,12.7,2181
Tue Apr 08 1997 00:00:00 GMT+0800 (CST),台北二,硬梗,null,3,50
Tue Apr 08 1997 00:00:00 GMT+0800 (CST),台北一,硬梗,null,9,200
Tue Apr 08 1997 00:00:00 GMT+0800 (CST),南投市,硬梗,null,19,414
Tue Apr 08 1997 00:00:00 GMT+0800 (CST),西螺鎮,硬梗,null,15.9,15450
Tue Apr 08 1997 00:00:00 GMT+0800 (CST),屏東市,硬梗,null,12.9,2290
Wed Apr 09 1997 00:00:00 GMT+0800 (CST),台北一,硬梗,null,9,140
Wed Apr 09 1997 00:00:00 GMT+0800 (CST),南投市,硬梗,null,32,546
Wed Apr 09 1997 00:00:00 GMT+0800 (CST),西螺鎮,硬梗,null,15.7,13650
Wed Apr 09 1997 00:00:00 GMT+0800 (CST),高雄市,硬梗,null,50,3
Wed Apr 09 1997 00:00:00 GMT+0800 (CST),屏東市,硬梗,null,12,3380
Thu Apr 10 1997 00:00:00 GMT+0800 (CST),台北一,硬梗,null,9,120
Thu Apr 10 1997 00:00:00 GMT+0800 (CST),南投市,硬梗,null,8,1352
Thu Apr 10 1997 00:00:00 GMT+0800 (CST),西螺鎮,硬梗,null,16.5,12420
Thu Apr 10 1997 00:00:00 GMT+0800 (CST),屏東市,硬梗,null,14.3,1340
Fri Apr 11 1997 00:00:00 GMT+0800 (CST),台北一,硬梗,null,10,1880
Fri Apr 11 1997 00:00:00 GMT+0800 (CST),南投市,硬梗,null,13,590
Fri Apr 11 1997 00:00:00 GMT+0800 (CST),西螺鎮,硬梗,null,15.8,12150
Fri Apr 11 1997 00:00:00 GMT+0800 (CST),屏東市,硬梗,null,11.6,2540
Sat Apr 12 1997 00:00:00 GMT+0800 (CST),台北二,硬梗,null,6.5,195
Sat Apr 12 1997 00:00:00 GMT+0800 (CST),台北一,硬梗,null,9,755
Sat Apr 12 1997 00:00:00 GMT+0800 (CST),南投市,硬梗,null,17,442
Sat Apr 12 1997 00:00:00 GMT+0800 (CST),西螺鎮,硬梗,null,15.9,11700
Sat Apr 12 1997 00:00:00 GMT+0800 (CST),屏東市,硬梗,null,9.8,2860
Sun Apr 13 1997 00:00:00 GMT+0800 (CST),台北二,硬梗,null,6.9,185
Sun Apr 13 1997 00:00:00 GMT+0800 (CST),台北一,硬梗,null,9,481
Sun Apr 13 1997 00:00:00 GMT+0800 (CST),南投市,硬梗,null,17,366
Sun Apr 13 1997 00:00:00 GMT+0800 (CST),西螺鎮,硬梗,null,15.4,12090
Sun Apr 13 1997 00:00:00 GMT+0800 (CST),高雄市,硬梗,null,9.9,231
Sun Apr 13 1997 00:00:00 GMT+0800 (CST),屏東市,硬梗,null,10.9,2125
Mon Apr 14 1997 00:00:00 GMT+0800 (CST),台北二,硬梗,null,5,248
Mon Apr 14 1997 00:00:00 GMT+0800 (CST),台北一,硬梗,null,9,192
Mon Apr 14 1997 00:00:00 GMT+0800 (CST),南投市,硬梗,null,17,426
Mon Apr 14 1997 00:00:00 GMT+0800 (CST),西螺鎮,硬梗,null,15.6,10230
Mon Apr 14 1997 00:00:00 GMT+0800 (CST),高雄市,硬梗,null,7.3,110
Mon Apr 14 1997 00:00:00 GMT+0800 (CST),屏東市,硬梗,null,10.8,3733
Tue Apr 15 1997 00:00:00 GMT+0800 (CST),台北二,硬梗,null,12,405
Tue Apr 15 1997 00:00:00 GMT+0800 (CST),台北一,硬梗,null,9,135
Tue Apr 15 1997 00:00:00 GMT+0800 (CST),南投市,硬梗,null,19,318
Tue Apr 15 1997 00:00:00 GMT+0800 (CST),西螺鎮,硬梗,null,15.9,10590
Tue Apr 15 1997 00:00:00 GMT+0800 (CST),高雄市,硬梗,null,3.6,220
Tue Apr 15 1997 00:00:00 GMT+0800 (CST),屏東市,硬梗,null,15.1,1210
Wed Apr 16 1997 00:00:00 GMT+0800 (CST),南投市,硬梗,null,24,189
Wed Apr 16 1997 00:00:00 GMT+0800 (CST),西螺鎮,硬梗,null,15.8,9270
Wed Apr 16 1997 00:00:00 GMT+0800 (CST),屏東市,硬梗,null,11.2,2130
Thu Apr 17 1997 00:00:00 GMT+0800 (CST),台北二,硬梗,null,5,40
Thu Apr 17 1997 00:00:00 GMT+0800 (CST),台北一,硬梗,null,9,80
Thu Apr 17 1997 00:00:00 GMT+0800 (CST),南投市,硬梗,null,25,318
Thu Apr 17 1997 00:00:00 GMT+0800 (CST),高雄市,硬梗,null,10,20
Thu Apr 17 1997 00:00:00 GMT+0800 (CST),屏東市,硬梗,null,9.5,2353
Fri Apr 18 1997 00:00:00 GMT+0800 (CST),台北二,硬梗,null,5,240
Fri Apr 18 1997 00:00:00 GMT+0800 (CST),台北一,硬梗,null,9,210
Fri Apr 18 1997 00:00:00 GMT+0800 (CST),南投市,硬梗,null,17,408
Fri Apr 18 1997 00:00:00 GMT+0800 (CST),西螺鎮,硬梗,null,15.9,9330
Fri Apr 18 1997 00:00:00 GMT+0800 (CST),屏東市,硬梗,null,10.8,1889
Sat Apr 19 1997 00:00:00 GMT+0800 (CST),台北二,硬梗,null,15,200
Sat Apr 19 1997 00:00:00 GMT+0800 (CST),台北一,硬梗,null,10,580
Sat Apr 19 1997 00:00:00 GMT+0800 (CST),南投市,硬梗,null,24,204
Sat Apr 19 1997 00:00:00 GMT+0800 (CST),西螺鎮,硬梗,null,16.7,8610
Sat Apr 19 1997 00:00:00 GMT+0800 (CST),屏東市,硬梗,null,10.4,2440
Sun Apr 20 1997 00:00:00 GMT+0800 (CST),台北二,硬梗,null,15,85
Sun Apr 20 1997 00:00:00 GMT+0800 (CST),台北一,硬梗,null,9,1470
Sun Apr 20 1997 00:00:00 GMT+0800 (CST),南投市,硬梗,null,24,390
Sun Apr 20 1997 00:00:00 GMT+0800 (CST),西螺鎮,硬梗,null,16.7,9090
Sun Apr 20 1997 00:00:00 GMT+0800 (CST),高雄市,硬梗,null,13,235
Sun Apr 20 1997 00:00:00 GMT+0800 (CST),屏東市,硬梗,null,13,2050
Mon Apr 21 1997 00:00:00 GMT+0800 (CST),台北二,硬梗,null,15,285
Mon Apr 21 1997 00:00:00 GMT+0800 (CST),台北一,硬梗,null,8,875
Mon Apr 21 1997 00:00:00 GMT+0800 (CST),南投市,硬梗,null,22,447
Mon Apr 21 1997 00:00:00 GMT+0800 (CST),西螺鎮,硬梗,null,16.9,9480
Mon Apr 21 1997 00:00:00 GMT+0800 (CST),高雄市,硬梗,null,25.4,360
Mon Apr 21 1997 00:00:00 GMT+0800 (CST),屏東市,硬梗,null,14,1200
Tue Apr 22 1997 00:00:00 GMT+0800 (CST),台北二,硬梗,null,12,550
Tue Apr 22 1997 00:00:00 GMT+0800 (CST),台北一,硬梗,null,8,910
Tue Apr 22 1997 00:00:00 GMT+0800 (CST),南投市,硬梗,null,19,509
Tue Apr 22 1997 00:00:00 GMT+0800 (CST),高雄市,硬梗,null,34.2,360
Tue Apr 22 1997 00:00:00 GMT+0800 (CST),屏東市,硬梗,null,11.7,1810
Wed Apr 23 1997 00:00:00 GMT+0800 (CST),西螺鎮,硬梗,null,16,8820
Thu Apr 24 1997 00:00:00 GMT+0800 (CST),台北二,硬梗,null,3,205
Thu Apr 24 1997 00:00:00 GMT+0800 (CST),台北一,硬梗,null,8,595
Thu Apr 24 1997 00:00:00 GMT+0800 (CST),南投市,硬梗,null,22,288
Thu Apr 24 1997 00:00:00 GMT+0800 (CST),西螺鎮,硬梗,null,16,8280
Thu Apr 24 1997 00:00:00 GMT+0800 (CST),高雄市,硬梗,null,19.6,510
Thu Apr 24 1997 00:00:00 GMT+0800 (CST),屏東市,硬梗,null,16,1750
Fri Apr 25 1997 00:00:00 GMT+0800 (CST),台北二,硬梗,null,4,125
Fri Apr 25 1997 00:00:00 GMT+0800 (CST),台北一,硬梗,null,10,545
Fri Apr 25 1997 00:00:00 GMT+0800 (CST),南投市,硬梗,null,23,390
Fri Apr 25 1997 00:00:00 GMT+0800 (CST),西螺鎮,硬梗,null,15.9,9150
Fri Apr 25 1997 00:00:00 GMT+0800 (CST),屏東市,硬梗,null,10.3,2480
Sat Apr 26 1997 00:00:00 GMT+0800 (CST),台北二,硬梗,null,10.6,310
Sat Apr 26 1997 00:00:00 GMT+0800 (CST),台北一,硬梗,null,10,7770
Sat Apr 26 1997 00:00:00 GMT+0800 (CST),南投市,硬梗,null,20,411
Sat Apr 26 1997 00:00:00 GMT+0800 (CST),西螺鎮,硬梗,null,15.9,7830
Sat Apr 26 1997 00:00:00 GMT+0800 (CST),屏東市,硬梗,null,11.8,2720
Sun Apr 27 1997 00:00:00 GMT+0800 (CST),台北二,硬梗,null,6.7,670
Sun Apr 27 1997 00:00:00 GMT+0800 (CST),台北一,硬梗,null,10,8140
Sun Apr 27 1997 00:00:00 GMT+0800 (CST),南投市,硬梗,null,17,450
Sun Apr 27 1997 00:00:00 GMT+0800 (CST),西螺鎮,硬梗,null,15.9,8190
Sun Apr 27 1997 00:00:00 GMT+0800 (CST),高雄市,硬梗,null,31,510
Sun Apr 27 1997 00:00:00 GMT+0800 (CST),屏東市,硬梗,null,10.7,1820
Mon Apr 28 1997 00:00:00 GMT+0800 (CST),台北二,硬梗,null,12,630
Mon Apr 28 1997 00:00:00 GMT+0800 (CST),台北一,硬梗,null,10,5550
Mon Apr 28 1997 00:00:00 GMT+0800 (CST),南投市,硬梗,null,12,531
Mon Apr 28 1997 00:00:00 GMT+0800 (CST),西螺鎮,硬梗,null,15.7,7620
Mon Apr 28 1997 00:00:00 GMT+0800 (CST),屏東市,硬梗,null,13.6,1770
Tue Apr 29 1997 00:00:00 GMT+0800 (CST),台北二,硬梗,null,13,870
Tue Apr 29 1997 00:00:00 GMT+0800 (CST),台北一,硬梗,null,10,4040
Tue Apr 29 1997 00:00:00 GMT+0800 (CST),南投市,硬梗,null,20,316
Tue Apr 29 1997 00:00:00 GMT+0800 (CST),西螺鎮,硬梗,null,16,5790
Tue Apr 29 1997 00:00:00 GMT+0800 (CST),高雄市,硬梗,null,40,240
Tue Apr 29 1997 00:00:00 GMT+0800 (CST),屏東市,硬梗,null,11.2,1920
Wed Apr 30 1997 00:00:00 GMT+0800 (CST),台北一,硬梗,null,10,8360
Wed Apr 30 1997 00:00:00 GMT+0800 (CST),西螺鎮,硬梗,null,15.9,4950
Wed Apr 30 1997 00:00:00 GMT+0800 (CST),高雄市,硬梗,null,35.6,180
Wed Apr 30 1997 00:00:00 GMT+0800 (CST),屏東市,硬梗,null,12,1820
Wed Apr 01 1998 00:00:00 GMT+0800 (CST),台北二,硬梗,null,52.2,2548
Wed Apr 01 1998 00:00:00 GMT+0800 (CST),台北一,硬梗,null,35,2685
Wed Apr 01 1998 00:00:00 GMT+0800 (CST),南投市,硬梗,null,36,385
Wed Apr 01 1998 00:00:00 GMT+0800 (CST),西螺鎮,硬梗,null,43.6,3801
Wed Apr 01 1998 00:00:00 GMT+0800 (CST),高雄市,硬梗,null,58.3,240
Wed Apr 01 1998 00:00:00 GMT+0800 (CST),屏東市,硬梗,null,37.7,1958
Thu Apr 02 1998 00:00:00 GMT+0800 (CST),台北二,硬梗,null,43.5,2813
Thu Apr 02 1998 00:00:00 GMT+0800 (CST),台北一,硬梗,null,30,2062
Thu Apr 02 1998 00:00:00 GMT+0800 (CST),南投市,硬梗,null,39,284
Thu Apr 02 1998 00:00:00 GMT+0800 (CST),西螺鎮,硬梗,null,43.5,3357
Thu Apr 02 1998 00:00:00 GMT+0800 (CST),高雄市,硬梗,null,63.3,100
Thu Apr 02 1998 00:00:00 GMT+0800 (CST),屏東市,硬梗,null,35,2365
Fri Apr 03 1998 00:00:00 GMT+0800 (CST),台北二,硬梗,null,30.9,4096
Fri Apr 03 1998 00:00:00 GMT+0800 (CST),台北一,硬梗,null,35,2125
Fri Apr 03 1998 00:00:00 GMT+0800 (CST),南投市,硬梗,null,55,396
Fri Apr 03 1998 00:00:00 GMT+0800 (CST),西螺鎮,硬梗,null,42.9,3669
Fri Apr 03 1998 00:00:00 GMT+0800 (CST),高雄市,硬梗,null,38.1,960
Fri Apr 03 1998 00:00:00 GMT+0800 (CST),屏東市,硬梗,null,39.1,2257
Sat Apr 04 1998 00:00:00 GMT+0800 (CST),台北二,硬梗,null,43.7,4173
Sat Apr 04 1998 00:00:00 GMT+0800 (CST),台北一,硬梗,null,35,2285
Sat Apr 04 1998 00:00:00 GMT+0800 (CST),南投市,硬梗,null,42,1074
Sat Apr 04 1998 00:00:00 GMT+0800 (CST),西螺鎮,硬梗,null,43,4065
Sat Apr 04 1998 00:00:00 GMT+0800 (CST),高雄市,硬梗,null,40,1500
Sat Apr 04 1998 00:00:00 GMT+0800 (CST),屏東市,硬梗,null,38.8,3813
Sun Apr 05 1998 00:00:00 GMT+0800 (CST),南投市,硬梗,null,31,735
Sun Apr 05 1998 00:00:00 GMT+0800 (CST),高雄市,硬梗,null,31.5,780
Sun Apr 05 1998 00:00:00 GMT+0800 (CST),屏東市,硬梗,null,31,2448
Mon Apr 06 1998 00:00:00 GMT+0800 (CST),西螺鎮,硬梗,null,42.8,4416
Mon Apr 06 1998 00:00:00 GMT+0800 (CST),屏東市,硬梗,null,37.3,1350
Tue Apr 07 1998 00:00:00 GMT+0800 (CST),台北二,硬梗,null,45.5,2740
Tue Apr 07 1998 00:00:00 GMT+0800 (CST),台北一,硬梗,null,35,1288
Tue Apr 07 1998 00:00:00 GMT+0800 (CST),南投市,硬梗,null,54,235
Tue Apr 07 1998 00:00:00 GMT+0800 (CST),西螺鎮,硬梗,null,43,3393
Tue Apr 07 1998 00:00:00 GMT+0800 (CST),屏東市,硬梗,null,41.7,1410
Wed Apr 08 1998 00:00:00 GMT+0800 (CST),台北二,硬梗,null,42,2110
Wed Apr 08 1998 00:00:00 GMT+0800 (CST),台北一,硬梗,null,35,2034
Wed Apr 08 1998 00:00:00 GMT+0800 (CST),南投市,硬梗,null,39,542
Wed Apr 08 1998 00:00:00 GMT+0800 (CST),西螺鎮,硬梗,null,47.4,2793
