date,mktname,sbtype,transformation,middleprice,quantity
Mon Apr 01 1996 00:00:00 GMT+0800 (CST),台北二,蒜苔,null,134.4,116
Mon Apr 01 1996 00:00:00 GMT+0800 (CST),台北一,蒜苔,null,60,82
Tue Apr 02 1996 00:00:00 GMT+0800 (CST),台北二,蒜苔,null,107.7,208
Tue Apr 02 1996 00:00:00 GMT+0800 (CST),台北一,蒜苔,null,70,281
Wed Apr 03 1996 00:00:00 GMT+0800 (CST),台北二,蒜苔,null,81.4,361
Wed Apr 03 1996 00:00:00 GMT+0800 (CST),台北一,蒜苔,null,80,531
Sat Apr 06 1996 00:00:00 GMT+0800 (CST),台北二,蒜苔,null,100,279
Sat Apr 06 1996 00:00:00 GMT+0800 (CST),台北一,蒜苔,null,80,326
Sun Apr 07 1996 00:00:00 GMT+0800 (CST),台北二,蒜苔,null,90,172
Sun Apr 07 1996 00:00:00 GMT+0800 (CST),台北一,蒜苔,null,100,711
Mon Apr 08 1996 00:00:00 GMT+0800 (CST),台北二,蒜苔,null,109,101
Mon Apr 08 1996 00:00:00 GMT+0800 (CST),台北一,蒜苔,null,100,70
Tue Apr 09 1996 00:00:00 GMT+0800 (CST),台北二,蒜苔,null,90,49
Tue Apr 09 1996 00:00:00 GMT+0800 (CST),台北一,蒜苔,null,110,287
Wed Apr 10 1996 00:00:00 GMT+0800 (CST),台北二,蒜苔,null,100,83
Wed Apr 10 1996 00:00:00 GMT+0800 (CST),台北一,蒜苔,null,110,224
Thu Apr 11 1996 00:00:00 GMT+0800 (CST),台北二,蒜苔,null,80,303
Thu Apr 11 1996 00:00:00 GMT+0800 (CST),台北一,蒜苔,null,110,113
Sat Apr 13 1996 00:00:00 GMT+0800 (CST),台北一,蒜苔,null,100,128
Sun Apr 14 1996 00:00:00 GMT+0800 (CST),台北一,蒜苔,null,90,79
Mon Apr 15 1996 00:00:00 GMT+0800 (CST),台北二,蒜苔,null,85,152
Mon Apr 15 1996 00:00:00 GMT+0800 (CST),台北一,蒜苔,null,70,227
Tue Apr 16 1996 00:00:00 GMT+0800 (CST),台北二,蒜苔,null,86,71
Tue Apr 16 1996 00:00:00 GMT+0800 (CST),台北一,蒜苔,null,70,128
Wed Apr 17 1996 00:00:00 GMT+0800 (CST),台北二,蒜苔,null,96,8
Wed Apr 17 1996 00:00:00 GMT+0800 (CST),台北一,蒜苔,null,70,430
Wed Apr 17 1996 00:00:00 GMT+0800 (CST),高雄市,蒜苔,null,50,200
Thu Apr 18 1996 00:00:00 GMT+0800 (CST),台北二,蒜苔,null,0,37
Thu Apr 18 1996 00:00:00 GMT+0800 (CST),台北一,蒜苔,null,70,152
Fri Apr 19 1996 00:00:00 GMT+0800 (CST),台北二,蒜苔,null,95,44
Fri Apr 19 1996 00:00:00 GMT+0800 (CST),台北一,蒜苔,null,70,155
Sun Apr 21 1996 00:00:00 GMT+0800 (CST),台北二,蒜苔,null,103.9,63
