date,mktname,sbtype,transformation,middleprice,quantity
Sat Apr 17 1999 00:00:00 GMT+0800 (CST),台北一,進口,null,17,1800
Wed Apr 02 2003 00:00:00 GMT+0800 (CST),台北一,進口,null,110,100
Thu Apr 03 2003 00:00:00 GMT+0800 (CST),台北一,進口,null,110,60
Fri Apr 11 2003 00:00:00 GMT+0800 (CST),台北一,進口,null,110,100
Wed Apr 16 2003 00:00:00 GMT+0800 (CST),台北一,進口,null,110,100
Sat Apr 19 2003 00:00:00 GMT+0800 (CST),台北一,進口,null,110,100
Tue Apr 22 2003 00:00:00 GMT+0800 (CST),台北一,進口,null,110,100
Tue Apr 26 2005 00:00:00 GMT+0800 (CST),台北一,進口,null,30,40
Sat Apr 01 2006 00:00:00 GMT+0800 (CST),高雄市,進口,null,115,40
Sun Apr 02 2006 00:00:00 GMT+0800 (CST),高雄市,進口,null,118.1,70
Mon Apr 03 2006 00:00:00 GMT+0800 (CST),高雄市,進口,null,120,70
Tue Apr 04 2006 00:00:00 GMT+0800 (CST),高雄市,進口,null,116.9,70
Wed Apr 05 2006 00:00:00 GMT+0800 (CST),高雄市,進口,null,115,30
Sat Apr 08 2006 00:00:00 GMT+0800 (CST),高雄市,進口,null,115,50
Sun Apr 09 2006 00:00:00 GMT+0800 (CST),高雄市,進口,null,117.5,80
Tue Apr 11 2006 00:00:00 GMT+0800 (CST),高雄市,進口,null,115,20
Sun Apr 30 2006 00:00:00 GMT+0800 (CST),台北一,進口,null,65,45
Sun Apr 01 2007 00:00:00 GMT+0800 (CST),高雄市,進口,null,100,20
Mon Apr 02 2007 00:00:00 GMT+0800 (CST),高雄市,進口,null,100,20
Tue Apr 03 2007 00:00:00 GMT+0800 (CST),高雄市,進口,null,100,25
Wed Apr 04 2007 00:00:00 GMT+0800 (CST),高雄市,進口,null,100,25
Thu Apr 05 2007 00:00:00 GMT+0800 (CST),高雄市,進口,null,100,25
Sun Apr 08 2007 00:00:00 GMT+0800 (CST),高雄市,進口,null,100,25
Mon Apr 09 2007 00:00:00 GMT+0800 (CST),高雄市,進口,null,100,20
Tue Apr 10 2007 00:00:00 GMT+0800 (CST),高雄市,進口,null,100,25
Wed Apr 11 2007 00:00:00 GMT+0800 (CST),高雄市,進口,null,100,20
Thu Apr 12 2007 00:00:00 GMT+0800 (CST),高雄市,進口,null,100,25
Tue Apr 17 2007 00:00:00 GMT+0800 (CST),高雄市,進口,null,90,100
Tue Apr 01 2008 00:00:00 GMT+0800 (CST),高雄市,進口,null,120,30
Wed Apr 02 2008 00:00:00 GMT+0800 (CST),高雄市,進口,null,120,30
Thu Apr 03 2008 00:00:00 GMT+0800 (CST),高雄市,進口,null,120,40
Fri Apr 04 2008 00:00:00 GMT+0800 (CST),高雄市,進口,null,120,40
Tue Apr 08 2008 00:00:00 GMT+0800 (CST),高雄市,進口,null,120,30
Wed Apr 09 2008 00:00:00 GMT+0800 (CST),高雄市,進口,null,120,30
Sat Apr 12 2008 00:00:00 GMT+0800 (CST),高雄市,進口,null,115,30
Sun Apr 13 2008 00:00:00 GMT+0800 (CST),高雄市,進口,null,115,30
Sat Apr 26 2008 00:00:00 GMT+0800 (CST),高雄市,進口,null,115,30
Sun Apr 27 2008 00:00:00 GMT+0800 (CST),高雄市,進口,null,100,35
Wed Apr 30 2008 00:00:00 GMT+0800 (CST),高雄市,進口,null,100,30
Wed Apr 01 2009 00:00:00 GMT+0800 (CST),高雄市,進口,null,97.8,150
Thu Apr 02 2009 00:00:00 GMT+0800 (CST),高雄市,進口,null,100,270
Fri Apr 03 2009 00:00:00 GMT+0800 (CST),高雄市,進口,null,100,240
Sat Apr 04 2009 00:00:00 GMT+0800 (CST),高雄市,進口,null,97.5,170
Tue Apr 07 2009 00:00:00 GMT+0800 (CST),高雄市,進口,null,100,290
Wed Apr 08 2009 00:00:00 GMT+0800 (CST),高雄市,進口,null,100,260
Thu Apr 09 2009 00:00:00 GMT+0800 (CST),高雄市,進口,null,92.8,270
Fri Apr 10 2009 00:00:00 GMT+0800 (CST),高雄市,進口,null,95.1,210
Sat Apr 11 2009 00:00:00 GMT+0800 (CST),高雄市,進口,null,94.6,270
Sun Apr 12 2009 00:00:00 GMT+0800 (CST),高雄市,進口,null,89.5,295
Tue Apr 14 2009 00:00:00 GMT+0800 (CST),高雄市,進口,null,91.5,280
Wed Apr 15 2009 00:00:00 GMT+0800 (CST),高雄市,進口,null,90,220
Thu Apr 16 2009 00:00:00 GMT+0800 (CST),高雄市,進口,null,90,260
Fri Apr 17 2009 00:00:00 GMT+0800 (CST),高雄市,進口,null,90,270
Sat Apr 18 2009 00:00:00 GMT+0800 (CST),高雄市,進口,null,90,270
Sun Apr 19 2009 00:00:00 GMT+0800 (CST),高雄市,進口,null,90,260
Tue Apr 21 2009 00:00:00 GMT+0800 (CST),高雄市,進口,null,82.6,280
Wed Apr 22 2009 00:00:00 GMT+0800 (CST),高雄市,進口,null,90,270
Thu Apr 23 2009 00:00:00 GMT+0800 (CST),高雄市,進口,null,82.2,150
Fri Apr 24 2009 00:00:00 GMT+0800 (CST),高雄市,進口,null,84.1,270
Sat Apr 25 2009 00:00:00 GMT+0800 (CST),高雄市,進口,null,82.8,270
Sun Apr 26 2009 00:00:00 GMT+0800 (CST),高雄市,進口,null,90,280
