date,mktname,sbtype,transformation,middleprice,quantity
Mon Apr 01 1996 00:00:00 GMT+0800 (CST),台中市,麻竹筍,null,18.1,104.5
Mon Apr 01 1996 00:00:00 GMT+0800 (CST),南投市,麻竹筍,null,40,169
Mon Apr 01 1996 00:00:00 GMT+0800 (CST),高雄市,麻竹筍,null,53,910
Tue Apr 02 1996 00:00:00 GMT+0800 (CST),南投市,麻竹筍,null,0,58
Tue Apr 02 1996 00:00:00 GMT+0800 (CST),高雄市,麻竹筍,null,53,1050
Wed Apr 03 1996 00:00:00 GMT+0800 (CST),台中市,麻竹筍,null,24.5,101
Wed Apr 03 1996 00:00:00 GMT+0800 (CST),高雄市,麻竹筍,null,54,1240
Thu Apr 04 1996 00:00:00 GMT+0800 (CST),南投市,麻竹筍,null,57,133
Thu Apr 04 1996 00:00:00 GMT+0800 (CST),高雄市,麻竹筍,null,57,1180
Sat Apr 06 1996 00:00:00 GMT+0800 (CST),台北一,麻竹筍,null,45,62
Sat Apr 06 1996 00:00:00 GMT+0800 (CST),台中市,麻竹筍,null,43.3,268.5
Sat Apr 06 1996 00:00:00 GMT+0800 (CST),南投市,麻竹筍,null,0,83
Sun Apr 07 1996 00:00:00 GMT+0800 (CST),高雄市,麻竹筍,null,54,1280
Mon Apr 08 1996 00:00:00 GMT+0800 (CST),台北一,麻竹筍,null,45,560
Mon Apr 08 1996 00:00:00 GMT+0800 (CST),台中市,麻竹筍,null,40,6
Mon Apr 08 1996 00:00:00 GMT+0800 (CST),南投市,麻竹筍,null,0,89
Mon Apr 08 1996 00:00:00 GMT+0800 (CST),高雄市,麻竹筍,null,60,1330
Tue Apr 09 1996 00:00:00 GMT+0800 (CST),台北一,麻竹筍,null,45,480
Tue Apr 09 1996 00:00:00 GMT+0800 (CST),台中市,麻竹筍,null,40,40
Tue Apr 09 1996 00:00:00 GMT+0800 (CST),高雄市,麻竹筍,null,49,1640
Wed Apr 10 1996 00:00:00 GMT+0800 (CST),台北二,麻竹筍,null,25,140
Wed Apr 10 1996 00:00:00 GMT+0800 (CST),台中市,麻竹筍,null,22.5,118
Wed Apr 10 1996 00:00:00 GMT+0800 (CST),南投市,麻竹筍,null,33,28
Wed Apr 10 1996 00:00:00 GMT+0800 (CST),高雄市,麻竹筍,null,59,1630
Thu Apr 11 1996 00:00:00 GMT+0800 (CST),台北一,麻竹筍,null,45,660
Thu Apr 11 1996 00:00:00 GMT+0800 (CST),台中市,麻竹筍,null,27.9,65
Thu Apr 11 1996 00:00:00 GMT+0800 (CST),南投市,麻竹筍,null,0,180
Thu Apr 11 1996 00:00:00 GMT+0800 (CST),高雄市,麻竹筍,null,56,1090
Thu Apr 11 1996 00:00:00 GMT+0800 (CST),屏東市,麻竹筍,null,31.1,600
Fri Apr 12 1996 00:00:00 GMT+0800 (CST),台中市,麻竹筍,null,50,10
Fri Apr 12 1996 00:00:00 GMT+0800 (CST),高雄市,麻竹筍,null,58,1290
Fri Apr 12 1996 00:00:00 GMT+0800 (CST),屏東市,麻竹筍,null,42.2,520
Sat Apr 13 1996 00:00:00 GMT+0800 (CST),台中市,麻竹筍,null,30.6,76
Sat Apr 13 1996 00:00:00 GMT+0800 (CST),南投市,麻竹筍,null,42,53
Sat Apr 13 1996 00:00:00 GMT+0800 (CST),高雄市,麻竹筍,null,43,1990
Sat Apr 13 1996 00:00:00 GMT+0800 (CST),屏東市,麻竹筍,null,43.9,780
Sun Apr 14 1996 00:00:00 GMT+0800 (CST),台北一,麻竹筍,null,33.5,60
Sun Apr 14 1996 00:00:00 GMT+0800 (CST),南投市,麻竹筍,null,50,113
Sun Apr 14 1996 00:00:00 GMT+0800 (CST),高雄市,麻竹筍,null,54,1310
Sun Apr 14 1996 00:00:00 GMT+0800 (CST),鳳山區,麻竹筍,null,32.6,2100
Sun Apr 14 1996 00:00:00 GMT+0800 (CST),屏東市,麻竹筍,null,32.2,960
Mon Apr 15 1996 00:00:00 GMT+0800 (CST),台北一,麻竹筍,null,40,20
Mon Apr 15 1996 00:00:00 GMT+0800 (CST),台中市,麻竹筍,null,34,66
Mon Apr 15 1996 00:00:00 GMT+0800 (CST),南投市,麻竹筍,null,27,100
Mon Apr 15 1996 00:00:00 GMT+0800 (CST),高雄市,麻竹筍,null,44,1100
Mon Apr 15 1996 00:00:00 GMT+0800 (CST),屏東市,麻竹筍,null,35,720
Tue Apr 16 1996 00:00:00 GMT+0800 (CST),台中市,麻竹筍,null,28.6,14
Tue Apr 16 1996 00:00:00 GMT+0800 (CST),南投市,麻竹筍,null,43,58
Tue Apr 16 1996 00:00:00 GMT+0800 (CST),高雄市,麻竹筍,null,44,1600
Tue Apr 16 1996 00:00:00 GMT+0800 (CST),屏東市,麻竹筍,null,35,720
Wed Apr 17 1996 00:00:00 GMT+0800 (CST),台北一,麻竹筍,null,35,440
Wed Apr 17 1996 00:00:00 GMT+0800 (CST),南投市,麻竹筍,null,38,148
Wed Apr 17 1996 00:00:00 GMT+0800 (CST),高雄市,麻竹筍,null,53,1260
Wed Apr 17 1996 00:00:00 GMT+0800 (CST),屏東市,麻竹筍,null,42,2260
Thu Apr 18 1996 00:00:00 GMT+0800 (CST),台北一,麻竹筍,null,42.7,90
Thu Apr 18 1996 00:00:00 GMT+0800 (CST),台中市,麻竹筍,null,30.4,119
Thu Apr 18 1996 00:00:00 GMT+0800 (CST),南投市,麻竹筍,null,46,192
Thu Apr 18 1996 00:00:00 GMT+0800 (CST),高雄市,麻竹筍,null,47,1800
