date,mktname,sbtype,transformation,middleprice,quantity
Mon Apr 01 1996 00:00:00 GMT+0800 (CST),台北一,綠竹筍,null,130,51
Tue Apr 02 1996 00:00:00 GMT+0800 (CST),台北一,綠竹筍,null,130,57
Wed Apr 03 1996 00:00:00 GMT+0800 (CST),台北一,綠竹筍,null,130,63
Wed Apr 03 1996 00:00:00 GMT+0800 (CST),高雄市,綠竹筍,null,60,300
Sat Apr 06 1996 00:00:00 GMT+0800 (CST),台北一,綠竹筍,null,100,1314
Sun Apr 07 1996 00:00:00 GMT+0800 (CST),台北一,綠竹筍,null,90,666
Mon Apr 08 1996 00:00:00 GMT+0800 (CST),台北一,綠竹筍,null,90,80
Tue Apr 09 1996 00:00:00 GMT+0800 (CST),台北一,綠竹筍,null,90,57
Wed Apr 10 1996 00:00:00 GMT+0800 (CST),台北一,綠竹筍,null,90,1584
Thu Apr 11 1996 00:00:00 GMT+0800 (CST),台北二,綠竹筍,null,70,30
Thu Apr 11 1996 00:00:00 GMT+0800 (CST),台北一,綠竹筍,null,75,2323
Sat Apr 13 1996 00:00:00 GMT+0800 (CST),台北一,綠竹筍,null,75,1800
Sat Apr 13 1996 00:00:00 GMT+0800 (CST),台中市,綠竹筍,null,20,33
Sun Apr 14 1996 00:00:00 GMT+0800 (CST),台北一,綠竹筍,null,75,1404
Mon Apr 15 1996 00:00:00 GMT+0800 (CST),台北一,綠竹筍,null,75,1330
Mon Apr 15 1996 00:00:00 GMT+0800 (CST),台中市,綠竹筍,null,29.4,58
Tue Apr 16 1996 00:00:00 GMT+0800 (CST),台北二,綠竹筍,null,70,70
Tue Apr 16 1996 00:00:00 GMT+0800 (CST),台北一,綠竹筍,null,75,1191
Tue Apr 16 1996 00:00:00 GMT+0800 (CST),台中市,綠竹筍,null,20,22
Wed Apr 17 1996 00:00:00 GMT+0800 (CST),台北二,綠竹筍,null,70,90
Wed Apr 17 1996 00:00:00 GMT+0800 (CST),台北一,綠竹筍,null,75,2178
Wed Apr 17 1996 00:00:00 GMT+0800 (CST),台中市,綠竹筍,null,25,18
Thu Apr 18 1996 00:00:00 GMT+0800 (CST),台北二,綠竹筍,null,70,60
Thu Apr 18 1996 00:00:00 GMT+0800 (CST),台北一,綠竹筍,null,75,1257
Thu Apr 18 1996 00:00:00 GMT+0800 (CST),台中市,綠竹筍,null,28,36
Fri Apr 19 1996 00:00:00 GMT+0800 (CST),台北二,綠竹筍,null,70,114
Fri Apr 19 1996 00:00:00 GMT+0800 (CST),台北一,綠竹筍,null,75,2625
Sun Apr 21 1996 00:00:00 GMT+0800 (CST),台北二,綠竹筍,null,75,90
Sun Apr 21 1996 00:00:00 GMT+0800 (CST),台北一,綠竹筍,null,75,980
Mon Apr 22 1996 00:00:00 GMT+0800 (CST),台北二,綠竹筍,null,75,180
Mon Apr 22 1996 00:00:00 GMT+0800 (CST),台北一,綠竹筍,null,75,1890
Tue Apr 23 1996 00:00:00 GMT+0800 (CST),台北二,綠竹筍,null,75,150
Tue Apr 23 1996 00:00:00 GMT+0800 (CST),台北一,綠竹筍,null,75,1671
Wed Apr 24 1996 00:00:00 GMT+0800 (CST),台北二,綠竹筍,null,63.8,180
