date,mktname,sbtype,transformation,middleprice,quantity
Mon Apr 01 1996 00:00:00 GMT+0800 (CST),台北二,桂竹筍,null,20,613
Mon Apr 01 1996 00:00:00 GMT+0800 (CST),台北一,桂竹筍,null,50,568
Tue Apr 02 1996 00:00:00 GMT+0800 (CST),台北二,桂竹筍,null,13,324
Tue Apr 02 1996 00:00:00 GMT+0800 (CST),台北一,桂竹筍,null,50,713
Wed Apr 03 1996 00:00:00 GMT+0800 (CST),台北二,桂竹筍,null,20,1104
Wed Apr 03 1996 00:00:00 GMT+0800 (CST),台北一,桂竹筍,null,50,1386
Sat Apr 06 1996 00:00:00 GMT+0800 (CST),台北二,桂竹筍,null,15,433
Sat Apr 06 1996 00:00:00 GMT+0800 (CST),台北一,桂竹筍,null,50,1220
Sun Apr 07 1996 00:00:00 GMT+0800 (CST),台北二,桂竹筍,null,40,251
Sun Apr 07 1996 00:00:00 GMT+0800 (CST),台北一,桂竹筍,null,50,955
Mon Apr 08 1996 00:00:00 GMT+0800 (CST),台北二,桂竹筍,null,35,486
Mon Apr 08 1996 00:00:00 GMT+0800 (CST),台北一,桂竹筍,null,50,927
Tue Apr 09 1996 00:00:00 GMT+0800 (CST),台北二,桂竹筍,null,25.9,431
Tue Apr 09 1996 00:00:00 GMT+0800 (CST),台北一,桂竹筍,null,50,1401
Wed Apr 10 1996 00:00:00 GMT+0800 (CST),台北二,桂竹筍,null,15,770
Wed Apr 10 1996 00:00:00 GMT+0800 (CST),台北一,桂竹筍,null,50,1751
Thu Apr 11 1996 00:00:00 GMT+0800 (CST),台北二,桂竹筍,null,18,513
Thu Apr 11 1996 00:00:00 GMT+0800 (CST),台北一,桂竹筍,null,30,1407
Sat Apr 13 1996 00:00:00 GMT+0800 (CST),台北一,桂竹筍,null,30,1477
Sun Apr 14 1996 00:00:00 GMT+0800 (CST),台北一,桂竹筍,null,30,533
Mon Apr 15 1996 00:00:00 GMT+0800 (CST),台北二,桂竹筍,null,18.4,376
Mon Apr 15 1996 00:00:00 GMT+0800 (CST),台北一,桂竹筍,null,30,602
Tue Apr 16 1996 00:00:00 GMT+0800 (CST),台北二,桂竹筍,null,25,181
Tue Apr 16 1996 00:00:00 GMT+0800 (CST),台北一,桂竹筍,null,30,405
