date,mktname,sbtype,transformation,middleprice,quantity
Mon Apr 01 1996 00:00:00 GMT+0800 (CST),台北一,箭竹筍,null,60,38
Tue Apr 02 1996 00:00:00 GMT+0800 (CST),台北二,箭竹筍,null,55,20
Wed Apr 03 1996 00:00:00 GMT+0800 (CST),台北二,箭竹筍,null,55,45
Wed Apr 03 1996 00:00:00 GMT+0800 (CST),台北一,箭竹筍,null,60,100
Sat Apr 06 1996 00:00:00 GMT+0800 (CST),台北二,箭竹筍,null,50,171
Sun Apr 07 1996 00:00:00 GMT+0800 (CST),台北二,箭竹筍,null,40,54
Mon Apr 08 1996 00:00:00 GMT+0800 (CST),台北二,箭竹筍,null,40,40
Mon Apr 08 1996 00:00:00 GMT+0800 (CST),台北一,箭竹筍,null,60,140
Tue Apr 09 1996 00:00:00 GMT+0800 (CST),台北二,箭竹筍,null,40,68
Tue Apr 09 1996 00:00:00 GMT+0800 (CST),台北一,箭竹筍,null,60,220
Wed Apr 10 1996 00:00:00 GMT+0800 (CST),台北二,箭竹筍,null,35,51
Wed Apr 10 1996 00:00:00 GMT+0800 (CST),台北一,箭竹筍,null,60,60
Thu Apr 11 1996 00:00:00 GMT+0800 (CST),台北二,箭竹筍,null,30,42
Thu Apr 11 1996 00:00:00 GMT+0800 (CST),台北一,箭竹筍,null,60,302
Sat Apr 13 1996 00:00:00 GMT+0800 (CST),台北一,箭竹筍,null,60,92
Sun Apr 14 1996 00:00:00 GMT+0800 (CST),台北一,箭竹筍,null,60,32
Mon Apr 15 1996 00:00:00 GMT+0800 (CST),台北一,箭竹筍,null,60,19
Tue Apr 16 1996 00:00:00 GMT+0800 (CST),台北一,箭竹筍,null,60,66
Wed Apr 17 1996 00:00:00 GMT+0800 (CST),台北一,箭竹筍,null,60,154
Thu Apr 18 1996 00:00:00 GMT+0800 (CST),台北一,箭竹筍,null,60,60
Fri Apr 19 1996 00:00:00 GMT+0800 (CST),台北二,箭竹筍,null,35,19
Sun Apr 21 1996 00:00:00 GMT+0800 (CST),台北一,箭竹筍,null,60,57
Mon Apr 22 1996 00:00:00 GMT+0800 (CST),台北一,箭竹筍,null,60,390
Tue Apr 23 1996 00:00:00 GMT+0800 (CST),台北一,箭竹筍,null,60,36
Sun Apr 28 1996 00:00:00 GMT+0800 (CST),台北一,箭竹筍,null,60,140
Tue Apr 30 1996 00:00:00 GMT+0800 (CST),台北一,箭竹筍,null,60,40
Wed Apr 02 1997 00:00:00 GMT+0800 (CST),台北一,箭竹筍,null,35,153
Thu Apr 03 1997 00:00:00 GMT+0800 (CST),台北一,箭竹筍,null,40,150
Fri Apr 04 1997 00:00:00 GMT+0800 (CST),台北二,箭竹筍,null,50,46
Fri Apr 04 1997 00:00:00 GMT+0800 (CST),台北一,箭竹筍,null,48,61
Mon Apr 07 1997 00:00:00 GMT+0800 (CST),台北二,箭竹筍,null,40,50
Mon Apr 07 1997 00:00:00 GMT+0800 (CST),台北一,箭竹筍,null,40,50
