date,mktname,sbtype,transformation,middleprice,quantity
Mon Apr 01 1996 00:00:00 GMT+0800 (CST),台北二,null,null,5.2,292
Mon Apr 01 1996 00:00:00 GMT+0800 (CST),台北一,null,null,10,2393
Mon Apr 01 1996 00:00:00 GMT+0800 (CST),永靖鄉,null,null,7,1776
Mon Apr 01 1996 00:00:00 GMT+0800 (CST),溪湖鎮,null,null,5,2655
Mon Apr 01 1996 00:00:00 GMT+0800 (CST),西螺鎮,null,null,7,100
Mon Apr 01 1996 00:00:00 GMT+0800 (CST),高雄市,null,null,12,760
Mon Apr 01 1996 00:00:00 GMT+0800 (CST),屏東市,null,null,10,4000
Mon Apr 01 1996 00:00:00 GMT+0800 (CST),花蓮市,null,null,10,391
Tue Apr 02 1996 00:00:00 GMT+0800 (CST),台北二,null,null,7,122
Tue Apr 02 1996 00:00:00 GMT+0800 (CST),台北一,null,null,10,3455
Tue Apr 02 1996 00:00:00 GMT+0800 (CST),永靖鄉,null,null,7.5,3953
Tue Apr 02 1996 00:00:00 GMT+0800 (CST),溪湖鎮,null,null,6,583
Tue Apr 02 1996 00:00:00 GMT+0800 (CST),西螺鎮,null,null,7,150
Tue Apr 02 1996 00:00:00 GMT+0800 (CST),高雄市,null,null,12,790
Tue Apr 02 1996 00:00:00 GMT+0800 (CST),屏東市,null,null,10,4000
Tue Apr 02 1996 00:00:00 GMT+0800 (CST),花蓮市,null,null,9,280
Wed Apr 03 1996 00:00:00 GMT+0800 (CST),台北一,null,null,10,3008
Wed Apr 03 1996 00:00:00 GMT+0800 (CST),永靖鄉,null,null,9.5,2221
Wed Apr 03 1996 00:00:00 GMT+0800 (CST),溪湖鎮,null,null,6,289
Wed Apr 03 1996 00:00:00 GMT+0800 (CST),高雄市,null,null,13,540
Wed Apr 03 1996 00:00:00 GMT+0800 (CST),屏東市,null,null,10,3500
Wed Apr 03 1996 00:00:00 GMT+0800 (CST),花蓮市,null,null,10,931
Thu Apr 04 1996 00:00:00 GMT+0800 (CST),屏東市,null,null,10,4000
Fri Apr 05 1996 00:00:00 GMT+0800 (CST),溪湖鎮,null,null,8,1953
Sat Apr 06 1996 00:00:00 GMT+0800 (CST),台北二,null,null,12,50
Sat Apr 06 1996 00:00:00 GMT+0800 (CST),台北一,null,null,10,2218
Sat Apr 06 1996 00:00:00 GMT+0800 (CST),永靖鄉,null,null,7.5,657
Sat Apr 06 1996 00:00:00 GMT+0800 (CST),溪湖鎮,null,null,8,1005
Sat Apr 06 1996 00:00:00 GMT+0800 (CST),屏東市,null,null,8.6,6500
Sat Apr 06 1996 00:00:00 GMT+0800 (CST),花蓮市,null,null,18,448
Sun Apr 07 1996 00:00:00 GMT+0800 (CST),台北一,null,null,13,2313
Sun Apr 07 1996 00:00:00 GMT+0800 (CST),永靖鄉,null,null,7.5,1141
Sun Apr 07 1996 00:00:00 GMT+0800 (CST),溪湖鎮,null,null,8,3905
Sun Apr 07 1996 00:00:00 GMT+0800 (CST),高雄市,null,null,15,390
Sun Apr 07 1996 00:00:00 GMT+0800 (CST),屏東市,null,null,9.6,4000
Sun Apr 07 1996 00:00:00 GMT+0800 (CST),花蓮市,null,null,15,241
Mon Apr 08 1996 00:00:00 GMT+0800 (CST),台北二,null,null,12,60
Mon Apr 08 1996 00:00:00 GMT+0800 (CST),台北一,null,null,13,1692
Mon Apr 08 1996 00:00:00 GMT+0800 (CST),永靖鄉,null,null,9.5,419
Mon Apr 08 1996 00:00:00 GMT+0800 (CST),溪湖鎮,null,null,8,1961
Mon Apr 08 1996 00:00:00 GMT+0800 (CST),西螺鎮,null,null,9,200
Mon Apr 08 1996 00:00:00 GMT+0800 (CST),高雄市,null,null,15,450
Mon Apr 08 1996 00:00:00 GMT+0800 (CST),屏東市,null,null,9.8,4000
Mon Apr 08 1996 00:00:00 GMT+0800 (CST),花蓮市,null,null,12,370
Tue Apr 09 1996 00:00:00 GMT+0800 (CST),台北二,null,null,14.6,77
Tue Apr 09 1996 00:00:00 GMT+0800 (CST),台北一,null,null,13,2784
