date,mktname,sbtype,transformation,middleprice,quantity
Mon Apr 01 1996 00:00:00 GMT+0800 (CST),台北二,檳榔心芋,null,13,2165
Mon Apr 01 1996 00:00:00 GMT+0800 (CST),台北一,檳榔心芋,null,13,10880
Mon Apr 01 1996 00:00:00 GMT+0800 (CST),台中市,檳榔心芋,null,14.3,330
Mon Apr 01 1996 00:00:00 GMT+0800 (CST),西螺鎮,檳榔心芋,null,13,7770
Mon Apr 01 1996 00:00:00 GMT+0800 (CST),高雄市,檳榔心芋,null,26,1860
Mon Apr 01 1996 00:00:00 GMT+0800 (CST),花蓮市,檳榔心芋,null,10,1441
Tue Apr 02 1996 00:00:00 GMT+0800 (CST),台北二,檳榔心芋,null,10,1500
Tue Apr 02 1996 00:00:00 GMT+0800 (CST),台北一,檳榔心芋,null,13,16915
Tue Apr 02 1996 00:00:00 GMT+0800 (CST),台中市,檳榔心芋,null,15.6,254
Tue Apr 02 1996 00:00:00 GMT+0800 (CST),西螺鎮,檳榔心芋,null,12,7710
Tue Apr 02 1996 00:00:00 GMT+0800 (CST),高雄市,檳榔心芋,null,26,2100
Tue Apr 02 1996 00:00:00 GMT+0800 (CST),花蓮市,檳榔心芋,null,8,1109
Wed Apr 03 1996 00:00:00 GMT+0800 (CST),台北二,檳榔心芋,null,12,1770
Wed Apr 03 1996 00:00:00 GMT+0800 (CST),台北一,檳榔心芋,null,13,12585
Wed Apr 03 1996 00:00:00 GMT+0800 (CST),台中市,檳榔心芋,null,6.7,360
Wed Apr 03 1996 00:00:00 GMT+0800 (CST),西螺鎮,檳榔心芋,null,12,7890
Wed Apr 03 1996 00:00:00 GMT+0800 (CST),高雄市,檳榔心芋,null,27,2580
Wed Apr 03 1996 00:00:00 GMT+0800 (CST),花蓮市,檳榔心芋,null,10,931
Thu Apr 04 1996 00:00:00 GMT+0800 (CST),高雄市,檳榔心芋,null,25,2760
Fri Apr 05 1996 00:00:00 GMT+0800 (CST),西螺鎮,檳榔心芋,null,12,8160
Sat Apr 06 1996 00:00:00 GMT+0800 (CST),台北一,檳榔心芋,null,13,16502
Sat Apr 06 1996 00:00:00 GMT+0800 (CST),台中市,檳榔心芋,null,11.3,390
Sat Apr 06 1996 00:00:00 GMT+0800 (CST),西螺鎮,檳榔心芋,null,13.3,8250
Sat Apr 06 1996 00:00:00 GMT+0800 (CST),花蓮市,檳榔心芋,null,19,320
Sun Apr 07 1996 00:00:00 GMT+0800 (CST),台北二,檳榔心芋,null,17,2730
Sun Apr 07 1996 00:00:00 GMT+0800 (CST),台北一,檳榔心芋,null,13,19025
Sun Apr 07 1996 00:00:00 GMT+0800 (CST),台中市,檳榔心芋,null,15,300
Sun Apr 07 1996 00:00:00 GMT+0800 (CST),西螺鎮,檳榔心芋,null,12,7650
Sun Apr 07 1996 00:00:00 GMT+0800 (CST),高雄市,檳榔心芋,null,30,1980
Sun Apr 07 1996 00:00:00 GMT+0800 (CST),花蓮市,檳榔心芋,null,16,842
Mon Apr 08 1996 00:00:00 GMT+0800 (CST),台北二,檳榔心芋,null,10,2205
Mon Apr 08 1996 00:00:00 GMT+0800 (CST),台北一,檳榔心芋,null,13,23840
Mon Apr 08 1996 00:00:00 GMT+0800 (CST),台中市,檳榔心芋,null,14.2,120
Mon Apr 08 1996 00:00:00 GMT+0800 (CST),西螺鎮,檳榔心芋,null,12,7950
Mon Apr 08 1996 00:00:00 GMT+0800 (CST),高雄市,檳榔心芋,null,24,2100
Mon Apr 08 1996 00:00:00 GMT+0800 (CST),花蓮市,檳榔心芋,null,12,989
Tue Apr 09 1996 00:00:00 GMT+0800 (CST),台北二,檳榔心芋,null,13,3060
Tue Apr 09 1996 00:00:00 GMT+0800 (CST),台北一,檳榔心芋,null,13,17220
Tue Apr 09 1996 00:00:00 GMT+0800 (CST),台中市,檳榔心芋,null,14.2,180
Tue Apr 09 1996 00:00:00 GMT+0800 (CST),西螺鎮,檳榔心芋,null,12,7860
Tue Apr 09 1996 00:00:00 GMT+0800 (CST),高雄市,檳榔心芋,null,28,1860
Tue Apr 09 1996 00:00:00 GMT+0800 (CST),花蓮市,檳榔心芋,null,15,706
Wed Apr 10 1996 00:00:00 GMT+0800 (CST),台北二,檳榔心芋,null,13,1920
Wed Apr 10 1996 00:00:00 GMT+0800 (CST),台北一,檳榔心芋,null,13,18550
Wed Apr 10 1996 00:00:00 GMT+0800 (CST),台中市,檳榔心芋,null,13.4,360
Wed Apr 10 1996 00:00:00 GMT+0800 (CST),西螺鎮,檳榔心芋,null,12,7770
Wed Apr 10 1996 00:00:00 GMT+0800 (CST),高雄市,檳榔心芋,null,26,1860
Wed Apr 10 1996 00:00:00 GMT+0800 (CST),花蓮市,檳榔心芋,null,15,766
Thu Apr 11 1996 00:00:00 GMT+0800 (CST),台北二,檳榔心芋,null,17,2215
Thu Apr 11 1996 00:00:00 GMT+0800 (CST),台北一,檳榔心芋,null,13,8892
Thu Apr 11 1996 00:00:00 GMT+0800 (CST),台中市,檳榔心芋,null,14,480
Thu Apr 11 1996 00:00:00 GMT+0800 (CST),西螺鎮,檳榔心芋,null,12,7770
Thu Apr 11 1996 00:00:00 GMT+0800 (CST),高雄市,檳榔心芋,null,25,2400
Thu Apr 11 1996 00:00:00 GMT+0800 (CST),花蓮市,檳榔心芋,null,14,1190
Fri Apr 12 1996 00:00:00 GMT+0800 (CST),台中市,檳榔心芋,null,14.9,240
Fri Apr 12 1996 00:00:00 GMT+0800 (CST),西螺鎮,檳榔心芋,null,12,7560
Fri Apr 12 1996 00:00:00 GMT+0800 (CST),高雄市,檳榔心芋,null,25,1860
Sat Apr 13 1996 00:00:00 GMT+0800 (CST),台北一,檳榔心芋,null,13,14710
Sat Apr 13 1996 00:00:00 GMT+0800 (CST),台中市,檳榔心芋,null,11.8,360
Sat Apr 13 1996 00:00:00 GMT+0800 (CST),西螺鎮,檳榔心芋,null,12,7920
Sat Apr 13 1996 00:00:00 GMT+0800 (CST),高雄市,檳榔心芋,null,27,2520
Sat Apr 13 1996 00:00:00 GMT+0800 (CST),花蓮市,檳榔心芋,null,14,1271
Sun Apr 14 1996 00:00:00 GMT+0800 (CST),台北一,檳榔心芋,null,13,17452
Sun Apr 14 1996 00:00:00 GMT+0800 (CST),台中市,檳榔心芋,null,14.3,30
Sun Apr 14 1996 00:00:00 GMT+0800 (CST),西螺鎮,檳榔心芋,null,12,8010
Sun Apr 14 1996 00:00:00 GMT+0800 (CST),高雄市,檳榔心芋,null,26,1800
Sun Apr 14 1996 00:00:00 GMT+0800 (CST),花蓮市,檳榔心芋,null,12,1531
Mon Apr 15 1996 00:00:00 GMT+0800 (CST),台北二,檳榔心芋,null,13,2395
Mon Apr 15 1996 00:00:00 GMT+0800 (CST),台北一,檳榔心芋,null,13,14660
Mon Apr 15 1996 00:00:00 GMT+0800 (CST),台中市,檳榔心芋,null,11.5,750
Mon Apr 15 1996 00:00:00 GMT+0800 (CST),西螺鎮,檳榔心芋,null,12,7680
Mon Apr 15 1996 00:00:00 GMT+0800 (CST),高雄市,檳榔心芋,null,25,1800
Mon Apr 15 1996 00:00:00 GMT+0800 (CST),花蓮市,檳榔心芋,null,11,1901
Tue Apr 16 1996 00:00:00 GMT+0800 (CST),台北二,檳榔心芋,null,13.2,1890
