date,mktname,sbtype,transformation,middleprice,quantity
Tue Apr 02 1996 00:00:00 GMT+0800 (CST),台北一,芋莖,null,7,380
Tue Apr 02 1996 00:00:00 GMT+0800 (CST),高雄市,芋莖,null,5,100
Wed Apr 03 1996 00:00:00 GMT+0800 (CST),高雄市,芋莖,null,5,100
Thu Apr 04 1996 00:00:00 GMT+0800 (CST),高雄市,芋莖,null,5,100
Sat Apr 06 1996 00:00:00 GMT+0800 (CST),台北一,芋莖,null,7,314
Sun Apr 07 1996 00:00:00 GMT+0800 (CST),台北一,芋莖,null,7,200
Sun Apr 07 1996 00:00:00 GMT+0800 (CST),高雄市,芋莖,null,5,150
Mon Apr 08 1996 00:00:00 GMT+0800 (CST),高雄市,芋莖,null,5,250
Tue Apr 09 1996 00:00:00 GMT+0800 (CST),高雄市,芋莖,null,5,100
Thu Apr 11 1996 00:00:00 GMT+0800 (CST),台北一,芋莖,null,7,200
Fri Apr 12 1996 00:00:00 GMT+0800 (CST),高雄市,芋莖,null,5,150
Sat Apr 13 1996 00:00:00 GMT+0800 (CST),台北一,芋莖,null,7,400
Sat Apr 13 1996 00:00:00 GMT+0800 (CST),高雄市,芋莖,null,5,100
Sun Apr 14 1996 00:00:00 GMT+0800 (CST),台北一,芋莖,null,7,60
Sun Apr 14 1996 00:00:00 GMT+0800 (CST),高雄市,芋莖,null,5,100
Mon Apr 15 1996 00:00:00 GMT+0800 (CST),台北二,芋莖,null,9.6,110
Mon Apr 15 1996 00:00:00 GMT+0800 (CST),台北一,芋莖,null,7,120
Tue Apr 16 1996 00:00:00 GMT+0800 (CST),台北二,芋莖,null,10,80
Tue Apr 16 1996 00:00:00 GMT+0800 (CST),台北一,芋莖,null,7,470
Tue Apr 16 1996 00:00:00 GMT+0800 (CST),高雄市,芋莖,null,5,180
Wed Apr 17 1996 00:00:00 GMT+0800 (CST),台北二,芋莖,null,9,130
Wed Apr 17 1996 00:00:00 GMT+0800 (CST),台北一,芋莖,null,7,650
Wed Apr 17 1996 00:00:00 GMT+0800 (CST),高雄市,芋莖,null,10,200
Thu Apr 18 1996 00:00:00 GMT+0800 (CST),台北二,芋莖,null,10,80
Thu Apr 18 1996 00:00:00 GMT+0800 (CST),台北一,芋莖,null,7,380
Thu Apr 18 1996 00:00:00 GMT+0800 (CST),高雄市,芋莖,null,5,150
Fri Apr 19 1996 00:00:00 GMT+0800 (CST),台北二,芋莖,null,10,80
Fri Apr 19 1996 00:00:00 GMT+0800 (CST),台北一,芋莖,null,7,221
Fri Apr 19 1996 00:00:00 GMT+0800 (CST),高雄市,芋莖,null,10,150
Sun Apr 21 1996 00:00:00 GMT+0800 (CST),台北二,芋莖,null,9,85
Sun Apr 21 1996 00:00:00 GMT+0800 (CST),台北一,芋莖,null,7,200
Sun Apr 21 1996 00:00:00 GMT+0800 (CST),高雄市,芋莖,null,5,150
Mon Apr 22 1996 00:00:00 GMT+0800 (CST),台北二,芋莖,null,10,60
Mon Apr 22 1996 00:00:00 GMT+0800 (CST),台北一,芋莖,null,7,240
Mon Apr 22 1996 00:00:00 GMT+0800 (CST),高雄市,芋莖,null,25,1250
Tue Apr 23 1996 00:00:00 GMT+0800 (CST),台北二,芋莖,null,10,80
Tue Apr 23 1996 00:00:00 GMT+0800 (CST),台北一,芋莖,null,7,320
Wed Apr 24 1996 00:00:00 GMT+0800 (CST),台北一,芋莖,null,7,450
Thu Apr 25 1996 00:00:00 GMT+0800 (CST),台北二,芋莖,null,9.8,105
Thu Apr 25 1996 00:00:00 GMT+0800 (CST),台北一,芋莖,null,7,540
Fri Apr 26 1996 00:00:00 GMT+0800 (CST),台北二,芋莖,null,9.6,110
Fri Apr 26 1996 00:00:00 GMT+0800 (CST),台北一,芋莖,null,7,909
Fri Apr 26 1996 00:00:00 GMT+0800 (CST),高雄市,芋莖,null,6,100
Sat Apr 27 1996 00:00:00 GMT+0800 (CST),高雄市,芋莖,null,6,300
Sun Apr 28 1996 00:00:00 GMT+0800 (CST),台北二,芋莖,null,10,80
Sun Apr 28 1996 00:00:00 GMT+0800 (CST),台北一,芋莖,null,7,175
Sun Apr 28 1996 00:00:00 GMT+0800 (CST),高雄市,芋莖,null,6,240
Mon Apr 29 1996 00:00:00 GMT+0800 (CST),台北二,芋莖,null,10,80
Mon Apr 29 1996 00:00:00 GMT+0800 (CST),高雄市,芋莖,null,6,200
Tue Apr 30 1996 00:00:00 GMT+0800 (CST),台北二,芋莖,null,12,80
Tue Apr 30 1996 00:00:00 GMT+0800 (CST),高雄市,芋莖,null,6,240
Tue Apr 01 1997 00:00:00 GMT+0800 (CST),台北一,芋莖,null,7,100
Tue Apr 01 1997 00:00:00 GMT+0800 (CST),高雄市,芋莖,null,10,220
Wed Apr 02 1997 00:00:00 GMT+0800 (CST),高雄市,芋莖,null,10,120
Thu Apr 03 1997 00:00:00 GMT+0800 (CST),台北一,芋莖,null,7,150
Thu Apr 03 1997 00:00:00 GMT+0800 (CST),高雄市,芋莖,null,10,160
Fri Apr 04 1997 00:00:00 GMT+0800 (CST),台北一,芋莖,null,7,50
Fri Apr 04 1997 00:00:00 GMT+0800 (CST),高雄市,芋莖,null,15,120
Sat Apr 05 1997 00:00:00 GMT+0800 (CST),高雄市,芋莖,null,15,150
Mon Apr 07 1997 00:00:00 GMT+0800 (CST),台北一,芋莖,null,7,200
Tue Apr 08 1997 00:00:00 GMT+0800 (CST),高雄市,芋莖,null,10,260
Wed Apr 09 1997 00:00:00 GMT+0800 (CST),高雄市,芋莖,null,10,280
Thu Apr 10 1997 00:00:00 GMT+0800 (CST),高雄市,芋莖,null,10,200
Fri Apr 11 1997 00:00:00 GMT+0800 (CST),高雄市,芋莖,null,10,160
Sat Apr 12 1997 00:00:00 GMT+0800 (CST),高雄市,芋莖,null,10,200
Sun Apr 13 1997 00:00:00 GMT+0800 (CST),高雄市,芋莖,null,10,200
Mon Apr 14 1997 00:00:00 GMT+0800 (CST),高雄市,芋莖,null,10,140
Tue Apr 15 1997 00:00:00 GMT+0800 (CST),高雄市,芋莖,null,10,200
Wed Apr 16 1997 00:00:00 GMT+0800 (CST),高雄市,芋莖,null,10,200
Thu Apr 17 1997 00:00:00 GMT+0800 (CST),台北二,芋莖,null,10,20
Thu Apr 17 1997 00:00:00 GMT+0800 (CST),高雄市,芋莖,null,10,220
Fri Apr 18 1997 00:00:00 GMT+0800 (CST),台北二,芋莖,null,10,80
Fri Apr 18 1997 00:00:00 GMT+0800 (CST),高雄市,芋莖,null,10,100
Sat Apr 19 1997 00:00:00 GMT+0800 (CST),高雄市,芋莖,null,10,250
Sun Apr 20 1997 00:00:00 GMT+0800 (CST),台北二,芋莖,null,10,80
Sun Apr 20 1997 00:00:00 GMT+0800 (CST),台北一,芋莖,null,7,50
Mon Apr 21 1997 00:00:00 GMT+0800 (CST),台北二,芋莖,null,10,80
Mon Apr 21 1997 00:00:00 GMT+0800 (CST),高雄市,芋莖,null,20,200
Tue Apr 22 1997 00:00:00 GMT+0800 (CST),台北二,芋莖,null,10,80
Tue Apr 22 1997 00:00:00 GMT+0800 (CST),高雄市,芋莖,null,10,200
Thu Apr 24 1997 00:00:00 GMT+0800 (CST),台北二,芋莖,null,10,25
Fri Apr 25 1997 00:00:00 GMT+0800 (CST),高雄市,芋莖,null,10,120
Sat Apr 26 1997 00:00:00 GMT+0800 (CST),台北二,芋莖,null,10,25
Sun Apr 27 1997 00:00:00 GMT+0800 (CST),高雄市,芋莖,null,10,200
Mon Apr 28 1997 00:00:00 GMT+0800 (CST),高雄市,芋莖,null,10,130
Tue Apr 29 1997 00:00:00 GMT+0800 (CST),台北二,芋莖,null,5,85
Tue Apr 29 1997 00:00:00 GMT+0800 (CST),高雄市,芋莖,null,10,160
Wed Apr 30 1997 00:00:00 GMT+0800 (CST),台北二,芋莖,null,11,20
Wed Apr 30 1997 00:00:00 GMT+0800 (CST),高雄市,芋莖,null,10,200
Wed Apr 01 1998 00:00:00 GMT+0800 (CST),台北二,芋莖,null,10,60
Wed Apr 01 1998 00:00:00 GMT+0800 (CST),台北一,芋莖,null,6,440
Thu Apr 02 1998 00:00:00 GMT+0800 (CST),台北二,芋莖,null,8,80
Thu Apr 02 1998 00:00:00 GMT+0800 (CST),台北一,芋莖,null,6,105
Fri Apr 03 1998 00:00:00 GMT+0800 (CST),台北二,芋莖,null,8,80
Fri Apr 03 1998 00:00:00 GMT+0800 (CST),台北一,芋莖,null,6,260
Sat Apr 04 1998 00:00:00 GMT+0800 (CST),台北二,芋莖,null,8,80
Sat Apr 04 1998 00:00:00 GMT+0800 (CST),台北一,芋莖,null,6,180
Tue Apr 07 1998 00:00:00 GMT+0800 (CST),台北二,芋莖,null,8,210
Tue Apr 07 1998 00:00:00 GMT+0800 (CST),台北一,芋莖,null,6,330
Wed Apr 08 1998 00:00:00 GMT+0800 (CST),台北二,芋莖,null,10,100
Wed Apr 08 1998 00:00:00 GMT+0800 (CST),台北一,芋莖,null,6,420
Thu Apr 09 1998 00:00:00 GMT+0800 (CST),台北二,芋莖,null,10,160
Thu Apr 09 1998 00:00:00 GMT+0800 (CST),台北一,芋莖,null,6,120
Fri Apr 10 1998 00:00:00 GMT+0800 (CST),台北二,芋莖,null,10,100
Fri Apr 10 1998 00:00:00 GMT+0800 (CST),台北一,芋莖,null,6,90
Sat Apr 11 1998 00:00:00 GMT+0800 (CST),台北一,芋莖,null,6,90
Tue Apr 14 1998 00:00:00 GMT+0800 (CST),台北一,芋莖,null,6,150
Wed Apr 15 1998 00:00:00 GMT+0800 (CST),台北一,芋莖,null,6,170
