date,mktname,sbtype,transformation,middleprice,quantity
Sun Apr 01 2001 00:00:00 GMT+0800 (CST),台北一,加工,null,80,240
Tue Apr 03 2001 00:00:00 GMT+0800 (CST),台北一,加工,null,60,24
Wed Apr 04 2001 00:00:00 GMT+0800 (CST),台北一,加工,null,80,300
Sat Apr 07 2001 00:00:00 GMT+0800 (CST),台北一,加工,null,80,240
Sun Apr 08 2001 00:00:00 GMT+0800 (CST),台北一,加工,null,80,120
Mon Apr 09 2001 00:00:00 GMT+0800 (CST),台北一,加工,null,80,300
Wed Apr 11 2001 00:00:00 GMT+0800 (CST),台北二,加工,null,50,60
Wed Apr 11 2001 00:00:00 GMT+0800 (CST),台北一,加工,null,80,90
Thu Apr 12 2001 00:00:00 GMT+0800 (CST),台北一,加工,null,80,330
Sat Apr 14 2001 00:00:00 GMT+0800 (CST),台北一,加工,null,80,90
Mon Apr 16 2001 00:00:00 GMT+0800 (CST),台北一,加工,null,80,424
Thu Apr 19 2001 00:00:00 GMT+0800 (CST),台北一,加工,null,80,492
Fri Apr 20 2001 00:00:00 GMT+0800 (CST),台北一,加工,null,80,108
Sat Apr 21 2001 00:00:00 GMT+0800 (CST),台北一,加工,null,80,330
Mon Apr 23 2001 00:00:00 GMT+0800 (CST),台北一,加工,null,80,90
Tue Apr 24 2001 00:00:00 GMT+0800 (CST),台北一,加工,null,80,180
Thu Apr 26 2001 00:00:00 GMT+0800 (CST),台北一,加工,null,80,120
Fri Apr 27 2001 00:00:00 GMT+0800 (CST),台北一,加工,null,80,210
Sat Apr 28 2001 00:00:00 GMT+0800 (CST),台北一,加工,null,80,120
Sun Apr 29 2001 00:00:00 GMT+0800 (CST),台北一,加工,null,80,180
Mon Apr 30 2001 00:00:00 GMT+0800 (CST),台北一,加工,null,80,150
Mon Apr 01 2002 00:00:00 GMT+0800 (CST),台北一,加工,null,60,240
Tue Apr 02 2002 00:00:00 GMT+0800 (CST),台北一,加工,null,60,352
Wed Apr 03 2002 00:00:00 GMT+0800 (CST),台北一,加工,null,60,810
Thu Apr 04 2002 00:00:00 GMT+0800 (CST),台北一,加工,null,60,30
Sun Apr 07 2002 00:00:00 GMT+0800 (CST),台北一,加工,null,60,144
Mon Apr 08 2002 00:00:00 GMT+0800 (CST),台北一,加工,null,60,108
Tue Apr 09 2002 00:00:00 GMT+0800 (CST),台北二,加工,null,20,60
Tue Apr 09 2002 00:00:00 GMT+0800 (CST),台北一,加工,null,60,220
Wed Apr 10 2002 00:00:00 GMT+0800 (CST),台北一,加工,null,60,90
Thu Apr 11 2002 00:00:00 GMT+0800 (CST),台北一,加工,null,50,600
Fri Apr 12 2002 00:00:00 GMT+0800 (CST),台北一,加工,null,50,100
Sat Apr 13 2002 00:00:00 GMT+0800 (CST),台北一,加工,null,60,72
Sun Apr 14 2002 00:00:00 GMT+0800 (CST),台北一,加工,null,53,283
Tue Apr 16 2002 00:00:00 GMT+0800 (CST),台北一,加工,null,59.7,184
Wed Apr 17 2002 00:00:00 GMT+0800 (CST),台北一,加工,null,52.1,222
Thu Apr 18 2002 00:00:00 GMT+0800 (CST),台北一,加工,null,65.2,280
Fri Apr 19 2002 00:00:00 GMT+0800 (CST),台北一,加工,null,55.6,130
Sat Apr 20 2002 00:00:00 GMT+0800 (CST),台北一,加工,null,50,380
Sun Apr 21 2002 00:00:00 GMT+0800 (CST),台北一,加工,null,76.7,402
Tue Apr 23 2002 00:00:00 GMT+0800 (CST),台北一,加工,null,60,716
Wed Apr 24 2002 00:00:00 GMT+0800 (CST),台北一,加工,null,60,280
Thu Apr 25 2002 00:00:00 GMT+0800 (CST),台北一,加工,null,60,150
Thu Apr 25 2002 00:00:00 GMT+0800 (CST),高雄市,加工,null,20,90
Fri Apr 26 2002 00:00:00 GMT+0800 (CST),台北一,加工,null,60,70
Sat Apr 27 2002 00:00:00 GMT+0800 (CST),台北一,加工,null,60,150
Sun Apr 28 2002 00:00:00 GMT+0800 (CST),台北一,加工,null,60,150
Tue Apr 30 2002 00:00:00 GMT+0800 (CST),台北一,加工,null,60,222
Sat Apr 05 2003 00:00:00 GMT+0800 (CST),台北一,加工,null,30,50
Tue Apr 08 2003 00:00:00 GMT+0800 (CST),三重市,加工,null,25,100
Wed Apr 09 2003 00:00:00 GMT+0800 (CST),三重市,加工,null,25,100
Thu Apr 10 2003 00:00:00 GMT+0800 (CST),台北一,加工,null,23,50
Thu Apr 10 2003 00:00:00 GMT+0800 (CST),三重市,加工,null,25,80
Fri Apr 11 2003 00:00:00 GMT+0800 (CST),台北一,加工,null,21.5,40
Fri Apr 11 2003 00:00:00 GMT+0800 (CST),三重市,加工,null,28,40
Sat Apr 12 2003 00:00:00 GMT+0800 (CST),台北一,加工,null,18,100
