date,mktname,sbtype,transformation,middleprice,quantity
Mon Apr 01 1996 00:00:00 GMT+0800 (CST),台北一,null,null,7,2050
Mon Apr 01 1996 00:00:00 GMT+0800 (CST),台中市,null,null,11.7,90
Mon Apr 01 1996 00:00:00 GMT+0800 (CST),高雄市,null,null,12,3320
Tue Apr 02 1996 00:00:00 GMT+0800 (CST),台北二,null,null,7.4,325
Tue Apr 02 1996 00:00:00 GMT+0800 (CST),台北一,null,null,7,1950
Tue Apr 02 1996 00:00:00 GMT+0800 (CST),台中市,null,null,11.7,60
Tue Apr 02 1996 00:00:00 GMT+0800 (CST),高雄市,null,null,13,2900
Wed Apr 03 1996 00:00:00 GMT+0800 (CST),台北二,null,null,11.1,275
Wed Apr 03 1996 00:00:00 GMT+0800 (CST),台北一,null,null,7,2080
Wed Apr 03 1996 00:00:00 GMT+0800 (CST),台中市,null,null,11.6,30
Wed Apr 03 1996 00:00:00 GMT+0800 (CST),高雄市,null,null,13,3140
Sat Apr 06 1996 00:00:00 GMT+0800 (CST),台北二,null,null,15,50
Sat Apr 06 1996 00:00:00 GMT+0800 (CST),台北一,null,null,7,2100
Sun Apr 07 1996 00:00:00 GMT+0800 (CST),台北二,null,null,7,180
Sun Apr 07 1996 00:00:00 GMT+0800 (CST),台北一,null,null,7,2140
Sun Apr 07 1996 00:00:00 GMT+0800 (CST),高雄市,null,null,13,2720
Mon Apr 08 1996 00:00:00 GMT+0800 (CST),台北一,null,null,7,3815
Mon Apr 08 1996 00:00:00 GMT+0800 (CST),台中市,null,null,11.7,240
Mon Apr 08 1996 00:00:00 GMT+0800 (CST),高雄市,null,null,15,740
Tue Apr 09 1996 00:00:00 GMT+0800 (CST),台北二,null,null,17.2,330
Tue Apr 09 1996 00:00:00 GMT+0800 (CST),台北一,null,null,7,3220
Tue Apr 09 1996 00:00:00 GMT+0800 (CST),高雄市,null,null,12,600
Wed Apr 10 1996 00:00:00 GMT+0800 (CST),台北一,null,null,8,3285
Wed Apr 10 1996 00:00:00 GMT+0800 (CST),高雄市,null,null,13,1440
Thu Apr 11 1996 00:00:00 GMT+0800 (CST),台北二,null,null,14.8,100
Thu Apr 11 1996 00:00:00 GMT+0800 (CST),台北一,null,null,8,856
Thu Apr 11 1996 00:00:00 GMT+0800 (CST),台中市,null,null,11.7,150
