date,mktname,sbtype,transformation,middleprice,quantity
Mon Apr 01 2002 00:00:00 GMT+0800 (CST),台北二,雪蓮薯,null,6,160
Tue Apr 02 2002 00:00:00 GMT+0800 (CST),台北二,雪蓮薯,null,9,900
Thu Apr 04 2002 00:00:00 GMT+0800 (CST),三重市,雪蓮薯,null,8,1170
Fri Apr 12 2002 00:00:00 GMT+0800 (CST),台北一,雪蓮薯,null,50,500
Tue Apr 16 2002 00:00:00 GMT+0800 (CST),台北二,雪蓮薯,null,8.3,160
Wed Apr 17 2002 00:00:00 GMT+0800 (CST),台北二,雪蓮薯,null,10,160
Fri Apr 19 2002 00:00:00 GMT+0800 (CST),台北二,雪蓮薯,null,8,160
Thu Apr 08 2004 00:00:00 GMT+0800 (CST),台北一,雪蓮薯,null,35,40
Mon Aug 05 2002 00:00:00 GMT+0800 (CST),高雄市,雪蓮薯,null,20,100
Sat Aug 26 2006 00:00:00 GMT+0800 (CST),台北一,雪蓮薯,null,8.4,1350
Thu Aug 06 2009 00:00:00 GMT+0800 (CST),台北一,雪蓮薯,null,20.6,1200
Sun Aug 22 2010 00:00:00 GMT+0800 (CST),台北一,雪蓮薯,null,9,60
Thu Dec 12 2002 00:00:00 GMT+0800 (CST),高雄市,雪蓮薯,null,30,60
Sun Dec 15 2002 00:00:00 GMT+0800 (CST),三重市,雪蓮薯,null,7,560
Sat Dec 02 2006 00:00:00 GMT+0800 (CST),台北一,雪蓮薯,null,17.6,126
Sun Dec 03 2006 00:00:00 GMT+0800 (CST),台北一,雪蓮薯,null,14,90
Thu Dec 07 2006 00:00:00 GMT+0800 (CST),台北一,雪蓮薯,null,11.3,210
Thu Dec 28 2006 00:00:00 GMT+0800 (CST),台北一,雪蓮薯,null,15,90
Thu Dec 04 2008 00:00:00 GMT+0800 (CST),台北一,雪蓮薯,null,26.7,220
Fri Dec 05 2008 00:00:00 GMT+0800 (CST),台北一,雪蓮薯,null,33,140
Sat Dec 06 2008 00:00:00 GMT+0800 (CST),台北一,雪蓮薯,null,35,160
Sun Dec 07 2008 00:00:00 GMT+0800 (CST),台北一,雪蓮薯,null,29.3,120
Tue Dec 09 2008 00:00:00 GMT+0800 (CST),台北一,雪蓮薯,null,35,60
Wed Dec 10 2008 00:00:00 GMT+0800 (CST),台北一,雪蓮薯,null,25,100
Thu Dec 11 2008 00:00:00 GMT+0800 (CST),台北一,雪蓮薯,null,30,80
Fri Dec 12 2008 00:00:00 GMT+0800 (CST),台北一,雪蓮薯,null,35,60
Fri Dec 12 2008 00:00:00 GMT+0800 (CST),台中市,雪蓮薯,null,25.6,180
Sat Dec 13 2008 00:00:00 GMT+0800 (CST),台北一,雪蓮薯,null,30,80
Tue Dec 16 2008 00:00:00 GMT+0800 (CST),台北一,雪蓮薯,null,14,50
Tue Dec 16 2008 00:00:00 GMT+0800 (CST),三重市,雪蓮薯,null,19.6,100
Sun Dec 21 2008 00:00:00 GMT+0800 (CST),台中市,雪蓮薯,null,42,40
Tue Dec 23 2008 00:00:00 GMT+0800 (CST),台北一,雪蓮薯,null,10.2,60
Tue Dec 23 2008 00:00:00 GMT+0800 (CST),三重市,雪蓮薯,null,13,120
Wed Dec 24 2008 00:00:00 GMT+0800 (CST),台北一,雪蓮薯,null,13,40
Wed Dec 24 2008 00:00:00 GMT+0800 (CST),三重市,雪蓮薯,null,11.5,40
Thu Dec 25 2008 00:00:00 GMT+0800 (CST),台中市,雪蓮薯,null,42,40
Sat Dec 27 2008 00:00:00 GMT+0800 (CST),台中市,雪蓮薯,null,42,40
Tue Dec 01 2009 00:00:00 GMT+0800 (CST),台北一,雪蓮薯,null,20.3,720
Sun Dec 06 2009 00:00:00 GMT+0800 (CST),台北一,雪蓮薯,null,20,720
Tue Dec 08 2009 00:00:00 GMT+0800 (CST),台北一,雪蓮薯,null,19.8,738
Thu Dec 10 2009 00:00:00 GMT+0800 (CST),台北一,雪蓮薯,null,26.1,972
Fri Dec 11 2009 00:00:00 GMT+0800 (CST),台北一,雪蓮薯,null,32.8,460
Sat Dec 12 2009 00:00:00 GMT+0800 (CST),台北一,雪蓮薯,null,15.7,786
Sun Dec 13 2009 00:00:00 GMT+0800 (CST),台北一,雪蓮薯,null,12.5,2300
Tue Dec 15 2009 00:00:00 GMT+0800 (CST),台北一,雪蓮薯,null,8.5,220
Tue Dec 15 2009 00:00:00 GMT+0800 (CST),三重市,雪蓮薯,null,9.5,312
Wed Dec 16 2009 00:00:00 GMT+0800 (CST),台北二,雪蓮薯,null,3,60
Wed Dec 16 2009 00:00:00 GMT+0800 (CST),台北一,雪蓮薯,null,4.5,160
Sat Dec 19 2009 00:00:00 GMT+0800 (CST),台北一,雪蓮薯,null,18.8,360
