date,mktname,sbtype,transformation,middleprice,quantity
Mon Apr 01 1996 00:00:00 GMT+0800 (CST),台北二,null,null,27,500
Mon Apr 01 1996 00:00:00 GMT+0800 (CST),台北一,null,null,35,2520
Mon Apr 01 1996 00:00:00 GMT+0800 (CST),高雄市,null,null,40,100
Tue Apr 02 1996 00:00:00 GMT+0800 (CST),台北一,null,null,35,140
Tue Apr 02 1996 00:00:00 GMT+0800 (CST),台中市,null,null,45,40
Tue Apr 02 1996 00:00:00 GMT+0800 (CST),高雄市,null,null,41,260
Wed Apr 03 1996 00:00:00 GMT+0800 (CST),台北一,null,null,35,300
Wed Apr 03 1996 00:00:00 GMT+0800 (CST),高雄市,null,null,40,200
Thu Apr 04 1996 00:00:00 GMT+0800 (CST),台中市,null,null,20,10
Thu Apr 04 1996 00:00:00 GMT+0800 (CST),高雄市,null,null,40,200
Sat Apr 06 1996 00:00:00 GMT+0800 (CST),台北一,null,null,35,1780
Sat Apr 06 1996 00:00:00 GMT+0800 (CST),台中市,null,null,29.1,110
Sun Apr 07 1996 00:00:00 GMT+0800 (CST),台北一,null,null,35,1360
Sun Apr 07 1996 00:00:00 GMT+0800 (CST),台中市,null,null,25,60
Sun Apr 07 1996 00:00:00 GMT+0800 (CST),高雄市,null,null,40,100
Mon Apr 08 1996 00:00:00 GMT+0800 (CST),台北一,null,null,35,1300
Mon Apr 08 1996 00:00:00 GMT+0800 (CST),台中市,null,null,25,30
Mon Apr 08 1996 00:00:00 GMT+0800 (CST),高雄市,null,null,40,100
Tue Apr 09 1996 00:00:00 GMT+0800 (CST),台北二,null,null,47.7,300
Tue Apr 09 1996 00:00:00 GMT+0800 (CST),台北一,null,null,35,1320
Wed Apr 10 1996 00:00:00 GMT+0800 (CST),台北二,null,null,41.8,290
Wed Apr 10 1996 00:00:00 GMT+0800 (CST),台北一,null,null,35,1460
Thu Apr 11 1996 00:00:00 GMT+0800 (CST),台北二,null,null,38,300
