date,mktname,sbtype,transformation,middleprice,quantity
Mon Apr 01 1996 00:00:00 GMT+0800 (CST),台北二,null,null,50,60
Mon Apr 01 1996 00:00:00 GMT+0800 (CST),台北一,null,null,55,980
Mon Apr 01 1996 00:00:00 GMT+0800 (CST),高雄市,null,null,50,180
Tue Apr 02 1996 00:00:00 GMT+0800 (CST),台北二,null,null,50,60
Tue Apr 02 1996 00:00:00 GMT+0800 (CST),台北一,null,null,55,550
Tue Apr 02 1996 00:00:00 GMT+0800 (CST),高雄市,null,null,50,155
Wed Apr 03 1996 00:00:00 GMT+0800 (CST),台北二,null,null,50,60
Wed Apr 03 1996 00:00:00 GMT+0800 (CST),台北一,null,null,55,510
Wed Apr 03 1996 00:00:00 GMT+0800 (CST),高雄市,null,null,50,140
Thu Apr 04 1996 00:00:00 GMT+0800 (CST),高雄市,null,null,50,140
Sat Apr 06 1996 00:00:00 GMT+0800 (CST),台北二,null,null,50,60
Sat Apr 06 1996 00:00:00 GMT+0800 (CST),台北一,null,null,55,1030
Sun Apr 07 1996 00:00:00 GMT+0800 (CST),台北一,null,null,55,1210
Sun Apr 07 1996 00:00:00 GMT+0800 (CST),高雄市,null,null,50,140
Mon Apr 08 1996 00:00:00 GMT+0800 (CST),台北二,null,null,50,60
Mon Apr 08 1996 00:00:00 GMT+0800 (CST),台北一,null,null,55,970
Mon Apr 08 1996 00:00:00 GMT+0800 (CST),高雄市,null,null,50,155
Tue Apr 09 1996 00:00:00 GMT+0800 (CST),台北二,null,null,50,60
Tue Apr 09 1996 00:00:00 GMT+0800 (CST),台北一,null,null,55,990
Tue Apr 09 1996 00:00:00 GMT+0800 (CST),高雄市,null,null,50,140
Wed Apr 10 1996 00:00:00 GMT+0800 (CST),台北二,null,null,50,72
Wed Apr 10 1996 00:00:00 GMT+0800 (CST),台北一,null,null,55,1140
Wed Apr 10 1996 00:00:00 GMT+0800 (CST),高雄市,null,null,50,150
Thu Apr 11 1996 00:00:00 GMT+0800 (CST),台北二,null,null,80,12
Thu Apr 11 1996 00:00:00 GMT+0800 (CST),台北一,null,null,55,410
Thu Apr 11 1996 00:00:00 GMT+0800 (CST),高雄市,null,null,50,170
Fri Apr 12 1996 00:00:00 GMT+0800 (CST),高雄市,null,null,50,140
Sat Apr 13 1996 00:00:00 GMT+0800 (CST),台北一,null,null,55,1080
Sat Apr 13 1996 00:00:00 GMT+0800 (CST),高雄市,null,null,50,140
Sun Apr 14 1996 00:00:00 GMT+0800 (CST),台北一,null,null,55,780
Sun Apr 14 1996 00:00:00 GMT+0800 (CST),高雄市,null,null,50,160
Mon Apr 15 1996 00:00:00 GMT+0800 (CST),台北一,null,null,55,1200
Mon Apr 15 1996 00:00:00 GMT+0800 (CST),高雄市,null,null,50,140
Tue Apr 16 1996 00:00:00 GMT+0800 (CST),台北二,null,null,50,60
Tue Apr 16 1996 00:00:00 GMT+0800 (CST),台北一,null,null,55,760
Tue Apr 16 1996 00:00:00 GMT+0800 (CST),高雄市,null,null,50,170
Wed Apr 17 1996 00:00:00 GMT+0800 (CST),台北一,null,null,55,900
Wed Apr 17 1996 00:00:00 GMT+0800 (CST),高雄市,null,null,50,140
Thu Apr 18 1996 00:00:00 GMT+0800 (CST),台北二,null,null,50,60
Thu Apr 18 1996 00:00:00 GMT+0800 (CST),台北一,null,null,55,1130
Thu Apr 18 1996 00:00:00 GMT+0800 (CST),高雄市,null,null,50,150
Fri Apr 19 1996 00:00:00 GMT+0800 (CST),台北一,null,null,55,940
Fri Apr 19 1996 00:00:00 GMT+0800 (CST),高雄市,null,null,50,140
Sun Apr 21 1996 00:00:00 GMT+0800 (CST),台北二,null,null,50,60
Sun Apr 21 1996 00:00:00 GMT+0800 (CST),台北一,null,null,55,340
Sun Apr 21 1996 00:00:00 GMT+0800 (CST),高雄市,null,null,50,140
Mon Apr 22 1996 00:00:00 GMT+0800 (CST),台北二,null,null,50,60
Mon Apr 22 1996 00:00:00 GMT+0800 (CST),台北一,null,null,55,360
Mon Apr 22 1996 00:00:00 GMT+0800 (CST),高雄市,null,null,50,162
Tue Apr 23 1996 00:00:00 GMT+0800 (CST),台北二,null,null,50,60
Tue Apr 23 1996 00:00:00 GMT+0800 (CST),台北一,null,null,55,560
Tue Apr 23 1996 00:00:00 GMT+0800 (CST),高雄市,null,null,50,140
Wed Apr 24 1996 00:00:00 GMT+0800 (CST),台北一,null,null,55,1030
Wed Apr 24 1996 00:00:00 GMT+0800 (CST),高雄市,null,null,50,140
Thu Apr 25 1996 00:00:00 GMT+0800 (CST),台北二,null,null,50,90
Thu Apr 25 1996 00:00:00 GMT+0800 (CST),台北一,null,null,55,1140
Thu Apr 25 1996 00:00:00 GMT+0800 (CST),高雄市,null,null,50,140
Fri Apr 26 1996 00:00:00 GMT+0800 (CST),台北二,null,null,50,60
Fri Apr 26 1996 00:00:00 GMT+0800 (CST),台北一,null,null,55,1230
Fri Apr 26 1996 00:00:00 GMT+0800 (CST),高雄市,null,null,50,140
Sat Apr 27 1996 00:00:00 GMT+0800 (CST),高雄市,null,null,50,196
Sun Apr 28 1996 00:00:00 GMT+0800 (CST),台北一,null,null,55,1510
Sun Apr 28 1996 00:00:00 GMT+0800 (CST),高雄市,null,null,50,180
Mon Apr 29 1996 00:00:00 GMT+0800 (CST),台北二,null,null,50,60
Mon Apr 29 1996 00:00:00 GMT+0800 (CST),台北一,null,null,55,970
Mon Apr 29 1996 00:00:00 GMT+0800 (CST),高雄市,null,null,50,140
Tue Apr 30 1996 00:00:00 GMT+0800 (CST),台北二,null,null,100,40
Tue Apr 30 1996 00:00:00 GMT+0800 (CST),台北一,null,null,55,1070
