date,mktname,sbtype,transformation,middleprice,quantity
Mon Apr 01 1996 00:00:00 GMT+0800 (CST),台北二,改良種,null,10,810
Mon Apr 01 1996 00:00:00 GMT+0800 (CST),台北一,改良種,null,10,5162
Mon Apr 01 1996 00:00:00 GMT+0800 (CST),台中市,改良種,null,6.2,90
Mon Apr 01 1996 00:00:00 GMT+0800 (CST),西螺鎮,改良種,null,7,7390
Mon Apr 01 1996 00:00:00 GMT+0800 (CST),高雄市,改良種,null,6,190
Tue Apr 02 1996 00:00:00 GMT+0800 (CST),台北二,改良種,null,9.8,735
Tue Apr 02 1996 00:00:00 GMT+0800 (CST),台北一,改良種,null,10,11532
Tue Apr 02 1996 00:00:00 GMT+0800 (CST),西螺鎮,改良種,null,7,7200
Tue Apr 02 1996 00:00:00 GMT+0800 (CST),高雄市,改良種,null,15,1150
Tue Apr 02 1996 00:00:00 GMT+0800 (CST),花蓮市,改良種,null,15,526
Wed Apr 03 1996 00:00:00 GMT+0800 (CST),台北二,改良種,null,8,840
Wed Apr 03 1996 00:00:00 GMT+0800 (CST),台北一,改良種,null,10,3272
Wed Apr 03 1996 00:00:00 GMT+0800 (CST),台中市,改良種,null,6.7,60
Wed Apr 03 1996 00:00:00 GMT+0800 (CST),西螺鎮,改良種,null,7,7200
Wed Apr 03 1996 00:00:00 GMT+0800 (CST),花蓮市,改良種,null,12,378
Thu Apr 04 1996 00:00:00 GMT+0800 (CST),高雄市,改良種,null,8,2880
Fri Apr 05 1996 00:00:00 GMT+0800 (CST),西螺鎮,改良種,null,7,7320
Sat Apr 06 1996 00:00:00 GMT+0800 (CST),台北一,改良種,null,10,9785
Sat Apr 06 1996 00:00:00 GMT+0800 (CST),台中市,改良種,null,7.8,200
Sat Apr 06 1996 00:00:00 GMT+0800 (CST),西螺鎮,改良種,null,7,7350
Sat Apr 06 1996 00:00:00 GMT+0800 (CST),花蓮市,改良種,null,11,879
Sun Apr 07 1996 00:00:00 GMT+0800 (CST),台北一,改良種,null,10,7777
Sun Apr 07 1996 00:00:00 GMT+0800 (CST),台中市,改良種,null,6.1,150
Sun Apr 07 1996 00:00:00 GMT+0800 (CST),西螺鎮,改良種,null,7,7440
Sun Apr 07 1996 00:00:00 GMT+0800 (CST),高雄市,改良種,null,12,1490
Sun Apr 07 1996 00:00:00 GMT+0800 (CST),花蓮市,改良種,null,10,271
Mon Apr 08 1996 00:00:00 GMT+0800 (CST),台北二,改良種,null,11.4,1456
Mon Apr 08 1996 00:00:00 GMT+0800 (CST),台北一,改良種,null,10,6481
Mon Apr 08 1996 00:00:00 GMT+0800 (CST),西螺鎮,改良種,null,7.6,8700
Mon Apr 08 1996 00:00:00 GMT+0800 (CST),高雄市,改良種,null,12,1470
Mon Apr 08 1996 00:00:00 GMT+0800 (CST),花蓮市,改良種,null,8,1097
Tue Apr 09 1996 00:00:00 GMT+0800 (CST),台北二,改良種,null,8.6,1220
Tue Apr 09 1996 00:00:00 GMT+0800 (CST),台北一,改良種,null,10,12323
Tue Apr 09 1996 00:00:00 GMT+0800 (CST),西螺鎮,改良種,null,7,7470
Tue Apr 09 1996 00:00:00 GMT+0800 (CST),高雄市,改良種,null,10,5860
Tue Apr 09 1996 00:00:00 GMT+0800 (CST),花蓮市,改良種,null,9,732
Wed Apr 10 1996 00:00:00 GMT+0800 (CST),台北二,改良種,null,12.7,1070
Wed Apr 10 1996 00:00:00 GMT+0800 (CST),台北一,改良種,null,10,12822
Wed Apr 10 1996 00:00:00 GMT+0800 (CST),西螺鎮,改良種,null,7,7320
Wed Apr 10 1996 00:00:00 GMT+0800 (CST),高雄市,改良種,null,15,1240
Wed Apr 10 1996 00:00:00 GMT+0800 (CST),花蓮市,改良種,null,8,526
Thu Apr 11 1996 00:00:00 GMT+0800 (CST),台北二,改良種,null,10.3,1710
Thu Apr 11 1996 00:00:00 GMT+0800 (CST),台北一,改良種,null,10,8013
Thu Apr 11 1996 00:00:00 GMT+0800 (CST),西螺鎮,改良種,null,7,7220
Thu Apr 11 1996 00:00:00 GMT+0800 (CST),高雄市,改良種,null,12,2320
Thu Apr 11 1996 00:00:00 GMT+0800 (CST),花蓮市,改良種,null,12,1401
Fri Apr 12 1996 00:00:00 GMT+0800 (CST),西螺鎮,改良種,null,7,7170
Fri Apr 12 1996 00:00:00 GMT+0800 (CST),高雄市,改良種,null,11,1750
Sat Apr 13 1996 00:00:00 GMT+0800 (CST),台北一,改良種,null,10,11253
Sat Apr 13 1996 00:00:00 GMT+0800 (CST),西螺鎮,改良種,null,7,7710
Sat Apr 13 1996 00:00:00 GMT+0800 (CST),高雄市,改良種,null,12,1300
Sat Apr 13 1996 00:00:00 GMT+0800 (CST),花蓮市,改良種,null,12,558
Sun Apr 14 1996 00:00:00 GMT+0800 (CST),台北一,改良種,null,10,10802
Sun Apr 14 1996 00:00:00 GMT+0800 (CST),台中市,改良種,null,4.9,330
Sun Apr 14 1996 00:00:00 GMT+0800 (CST),西螺鎮,改良種,null,7,7620
Sun Apr 14 1996 00:00:00 GMT+0800 (CST),高雄市,改良種,null,9,2770
Sun Apr 14 1996 00:00:00 GMT+0800 (CST),花蓮市,改良種,null,14,1001
Mon Apr 15 1996 00:00:00 GMT+0800 (CST),台北二,改良種,null,13.2,1100
