date,mktname,sbtype,transformation,middleprice,quantity
Thu Apr 01 1999 00:00:00 GMT+0800 (CST),台北二,芋仔甘薯,null,15,50
Thu Apr 01 1999 00:00:00 GMT+0800 (CST),台北一,芋仔甘薯,null,13,220
Fri Apr 02 1999 00:00:00 GMT+0800 (CST),台北二,芋仔甘薯,null,18,25
Fri Apr 02 1999 00:00:00 GMT+0800 (CST),台北一,芋仔甘薯,null,13,1125
Sat Apr 03 1999 00:00:00 GMT+0800 (CST),台北一,芋仔甘薯,null,13,150
Sun Apr 04 1999 00:00:00 GMT+0800 (CST),台北二,芋仔甘薯,null,6,50
Sun Apr 04 1999 00:00:00 GMT+0800 (CST),台北一,芋仔甘薯,null,13,125
Wed Apr 07 1999 00:00:00 GMT+0800 (CST),台北二,芋仔甘薯,null,4,75
Wed Apr 07 1999 00:00:00 GMT+0800 (CST),台北一,芋仔甘薯,null,13,125
Thu Apr 08 1999 00:00:00 GMT+0800 (CST),台北二,芋仔甘薯,null,10,30
Thu Apr 08 1999 00:00:00 GMT+0800 (CST),台北一,芋仔甘薯,null,13,740
Fri Apr 09 1999 00:00:00 GMT+0800 (CST),台北二,芋仔甘薯,null,19.7,125
Fri Apr 09 1999 00:00:00 GMT+0800 (CST),台北一,芋仔甘薯,null,13,935
Sat Apr 10 1999 00:00:00 GMT+0800 (CST),台北二,芋仔甘薯,null,18.5,200
Sat Apr 10 1999 00:00:00 GMT+0800 (CST),台北一,芋仔甘薯,null,13,422
Mon Apr 12 1999 00:00:00 GMT+0800 (CST),台北二,芋仔甘薯,null,15.6,300
Mon Apr 12 1999 00:00:00 GMT+0800 (CST),台北一,芋仔甘薯,null,13,545
Tue Apr 13 1999 00:00:00 GMT+0800 (CST),台北二,芋仔甘薯,null,20.8,250
Tue Apr 13 1999 00:00:00 GMT+0800 (CST),台北一,芋仔甘薯,null,13,240
Wed Apr 14 1999 00:00:00 GMT+0800 (CST),台北二,芋仔甘薯,null,17.4,400
Wed Apr 14 1999 00:00:00 GMT+0800 (CST),台北一,芋仔甘薯,null,13,705
Thu Apr 15 1999 00:00:00 GMT+0800 (CST),台北二,芋仔甘薯,null,14.5,325
Thu Apr 15 1999 00:00:00 GMT+0800 (CST),台北一,芋仔甘薯,null,13,395
Fri Apr 16 1999 00:00:00 GMT+0800 (CST),台北一,芋仔甘薯,null,13,515
Sat Apr 17 1999 00:00:00 GMT+0800 (CST),台北二,芋仔甘薯,null,11.3,225
Sat Apr 17 1999 00:00:00 GMT+0800 (CST),台北一,芋仔甘薯,null,13,1445
Mon Apr 19 1999 00:00:00 GMT+0800 (CST),台北二,芋仔甘薯,null,12,150
Mon Apr 19 1999 00:00:00 GMT+0800 (CST),台北一,芋仔甘薯,null,13,775
Tue Apr 20 1999 00:00:00 GMT+0800 (CST),台北二,芋仔甘薯,null,14.7,175
Tue Apr 20 1999 00:00:00 GMT+0800 (CST),台北一,芋仔甘薯,null,13,780
Wed Apr 21 1999 00:00:00 GMT+0800 (CST),台北一,芋仔甘薯,null,13,610
Thu Apr 22 1999 00:00:00 GMT+0800 (CST),台北二,芋仔甘薯,null,25,25
Thu Apr 22 1999 00:00:00 GMT+0800 (CST),台北一,芋仔甘薯,null,13,510
Fri Apr 23 1999 00:00:00 GMT+0800 (CST),台北二,芋仔甘薯,null,17,75
Fri Apr 23 1999 00:00:00 GMT+0800 (CST),台北一,芋仔甘薯,null,13,1945
Sat Apr 24 1999 00:00:00 GMT+0800 (CST),台北二,芋仔甘薯,null,17,50
Sat Apr 24 1999 00:00:00 GMT+0800 (CST),台北一,芋仔甘薯,null,13,1785
