date,mktname,sbtype,transformation,middleprice,quantity
Mon Apr 01 1996 00:00:00 GMT+0800 (CST),台北二,粉薑,null,14.5,789
Mon Apr 01 1996 00:00:00 GMT+0800 (CST),台北一,粉薑,null,23,584
Mon Apr 01 1996 00:00:00 GMT+0800 (CST),高雄市,粉薑,null,25,910
Tue Apr 02 1996 00:00:00 GMT+0800 (CST),台北二,粉薑,null,21,682
Tue Apr 02 1996 00:00:00 GMT+0800 (CST),台北一,粉薑,null,23,96
Tue Apr 02 1996 00:00:00 GMT+0800 (CST),高雄市,粉薑,null,26,910
Wed Apr 03 1996 00:00:00 GMT+0800 (CST),台北二,粉薑,null,19.1,582
Wed Apr 03 1996 00:00:00 GMT+0800 (CST),台北一,粉薑,null,23,300
Wed Apr 03 1996 00:00:00 GMT+0800 (CST),高雄市,粉薑,null,25,1020
Thu Apr 04 1996 00:00:00 GMT+0800 (CST),高雄市,粉薑,null,25,1100
Sat Apr 06 1996 00:00:00 GMT+0800 (CST),台北二,粉薑,null,27.9,152
Sat Apr 06 1996 00:00:00 GMT+0800 (CST),台北一,粉薑,null,23,2900
Sun Apr 07 1996 00:00:00 GMT+0800 (CST),台北二,粉薑,null,34,150
Sun Apr 07 1996 00:00:00 GMT+0800 (CST),台北一,粉薑,null,23,3604
Sun Apr 07 1996 00:00:00 GMT+0800 (CST),高雄市,粉薑,null,26,1230
Mon Apr 08 1996 00:00:00 GMT+0800 (CST),台北二,粉薑,null,36,72
Mon Apr 08 1996 00:00:00 GMT+0800 (CST),台北一,粉薑,null,23,1722
Mon Apr 08 1996 00:00:00 GMT+0800 (CST),高雄市,粉薑,null,25,1340
Tue Apr 09 1996 00:00:00 GMT+0800 (CST),台北二,粉薑,null,36.1,288
Tue Apr 09 1996 00:00:00 GMT+0800 (CST),台北一,粉薑,null,23,3724
Tue Apr 09 1996 00:00:00 GMT+0800 (CST),高雄市,粉薑,null,25,350
Wed Apr 10 1996 00:00:00 GMT+0800 (CST),台北二,粉薑,null,30.1,1166
Wed Apr 10 1996 00:00:00 GMT+0800 (CST),台北一,粉薑,null,23,5782
Thu Apr 11 1996 00:00:00 GMT+0800 (CST),台北二,粉薑,null,35,1524
Thu Apr 11 1996 00:00:00 GMT+0800 (CST),台北一,粉薑,null,23,5794
Thu Apr 11 1996 00:00:00 GMT+0800 (CST),高雄市,粉薑,null,25,400
Sat Apr 13 1996 00:00:00 GMT+0800 (CST),台北一,粉薑,null,23,8396
Sun Apr 14 1996 00:00:00 GMT+0800 (CST),台北一,粉薑,null,23,4805
Mon Apr 15 1996 00:00:00 GMT+0800 (CST),台北二,粉薑,null,29.4,1242
Mon Apr 15 1996 00:00:00 GMT+0800 (CST),台北一,粉薑,null,23,7764
Mon Apr 15 1996 00:00:00 GMT+0800 (CST),高雄市,粉薑,null,25,350
Tue Apr 16 1996 00:00:00 GMT+0800 (CST),台北二,粉薑,null,28.4,1804
Tue Apr 16 1996 00:00:00 GMT+0800 (CST),台北一,粉薑,null,23,11420
Wed Apr 17 1996 00:00:00 GMT+0800 (CST),台北二,粉薑,null,26.1,1424
Wed Apr 17 1996 00:00:00 GMT+0800 (CST),台北一,粉薑,null,23,4586
Thu Apr 18 1996 00:00:00 GMT+0800 (CST),台北二,粉薑,null,28.6,1552
Thu Apr 18 1996 00:00:00 GMT+0800 (CST),台北一,粉薑,null,23,4698
Fri Apr 19 1996 00:00:00 GMT+0800 (CST),台北二,粉薑,null,28.3,1500
Fri Apr 19 1996 00:00:00 GMT+0800 (CST),台北一,粉薑,null,23,3623
Sun Apr 21 1996 00:00:00 GMT+0800 (CST),台北二,粉薑,null,25.6,1849
Sun Apr 21 1996 00:00:00 GMT+0800 (CST),台北一,粉薑,null,23,5558
Mon Apr 22 1996 00:00:00 GMT+0800 (CST),台北二,粉薑,null,27.6,1756
Mon Apr 22 1996 00:00:00 GMT+0800 (CST),台北一,粉薑,null,23,9408
Mon Apr 22 1996 00:00:00 GMT+0800 (CST),高雄市,粉薑,null,25,350
Tue Apr 23 1996 00:00:00 GMT+0800 (CST),台北二,粉薑,null,25.3,1400
Tue Apr 23 1996 00:00:00 GMT+0800 (CST),台北一,粉薑,null,23,4408
Wed Apr 24 1996 00:00:00 GMT+0800 (CST),台北二,粉薑,null,34.8,1606
Wed Apr 24 1996 00:00:00 GMT+0800 (CST),台北一,粉薑,null,23,7666
Thu Apr 25 1996 00:00:00 GMT+0800 (CST),台北二,粉薑,null,29,2428
Thu Apr 25 1996 00:00:00 GMT+0800 (CST),台北一,粉薑,null,23,4142
