date,mktname,sbtype,transformation,middleprice,quantity
Mon Apr 01 1996 00:00:00 GMT+0800 (CST),台北二,老薑,null,25,496
Mon Apr 01 1996 00:00:00 GMT+0800 (CST),台北一,老薑,null,35,2213
Mon Apr 01 1996 00:00:00 GMT+0800 (CST),台中市,老薑,null,28,143
Mon Apr 01 1996 00:00:00 GMT+0800 (CST),西螺鎮,老薑,null,25.1,7580
Mon Apr 01 1996 00:00:00 GMT+0800 (CST),高雄市,老薑,null,31,1510
Mon Apr 01 1996 00:00:00 GMT+0800 (CST),屏東市,老薑,null,22.4,150
Mon Apr 01 1996 00:00:00 GMT+0800 (CST),花蓮市,老薑,null,20,361
Tue Apr 02 1996 00:00:00 GMT+0800 (CST),台北二,老薑,null,4,60
Tue Apr 02 1996 00:00:00 GMT+0800 (CST),台北一,老薑,null,35,2747
Tue Apr 02 1996 00:00:00 GMT+0800 (CST),台中市,老薑,null,22,469
Tue Apr 02 1996 00:00:00 GMT+0800 (CST),西螺鎮,老薑,null,25,7410
Tue Apr 02 1996 00:00:00 GMT+0800 (CST),高雄市,老薑,null,31,1530
Tue Apr 02 1996 00:00:00 GMT+0800 (CST),花蓮市,老薑,null,25,309
Wed Apr 03 1996 00:00:00 GMT+0800 (CST),台北一,老薑,null,35,831
Wed Apr 03 1996 00:00:00 GMT+0800 (CST),西螺鎮,老薑,null,25,7800
Wed Apr 03 1996 00:00:00 GMT+0800 (CST),高雄市,老薑,null,30,1720
Wed Apr 03 1996 00:00:00 GMT+0800 (CST),花蓮市,老薑,null,25,530
Thu Apr 04 1996 00:00:00 GMT+0800 (CST),高雄市,老薑,null,36,1910
Thu Apr 04 1996 00:00:00 GMT+0800 (CST),屏東市,老薑,null,15,150
Fri Apr 05 1996 00:00:00 GMT+0800 (CST),西螺鎮,老薑,null,25,7380
Sat Apr 06 1996 00:00:00 GMT+0800 (CST),台北一,老薑,null,35,2931
Sat Apr 06 1996 00:00:00 GMT+0800 (CST),台中市,老薑,null,23,64
Sat Apr 06 1996 00:00:00 GMT+0800 (CST),西螺鎮,老薑,null,25,6230
Sat Apr 06 1996 00:00:00 GMT+0800 (CST),屏東市,老薑,null,25.7,150
Sat Apr 06 1996 00:00:00 GMT+0800 (CST),花蓮市,老薑,null,34,897
Sun Apr 07 1996 00:00:00 GMT+0800 (CST),台北一,老薑,null,35,1542
Sun Apr 07 1996 00:00:00 GMT+0800 (CST),台中市,老薑,null,28,30
Sun Apr 07 1996 00:00:00 GMT+0800 (CST),西螺鎮,老薑,null,24.2,7100
Sun Apr 07 1996 00:00:00 GMT+0800 (CST),高雄市,老薑,null,29,1880
Sun Apr 07 1996 00:00:00 GMT+0800 (CST),屏東市,老薑,null,25.3,150
Sun Apr 07 1996 00:00:00 GMT+0800 (CST),花蓮市,老薑,null,32,374
Mon Apr 08 1996 00:00:00 GMT+0800 (CST),台北二,老薑,null,7,45
Mon Apr 08 1996 00:00:00 GMT+0800 (CST),台北一,老薑,null,35,1273
Mon Apr 08 1996 00:00:00 GMT+0800 (CST),台中市,老薑,null,24.3,98
Mon Apr 08 1996 00:00:00 GMT+0800 (CST),西螺鎮,老薑,null,25,5070
Mon Apr 08 1996 00:00:00 GMT+0800 (CST),高雄市,老薑,null,29,1860
Mon Apr 08 1996 00:00:00 GMT+0800 (CST),屏東市,老薑,null,26,150
Mon Apr 08 1996 00:00:00 GMT+0800 (CST),花蓮市,老薑,null,30,316
Tue Apr 09 1996 00:00:00 GMT+0800 (CST),台北二,老薑,null,18,24
Tue Apr 09 1996 00:00:00 GMT+0800 (CST),台北一,老薑,null,35,896
Tue Apr 09 1996 00:00:00 GMT+0800 (CST),台中市,老薑,null,31.8,78
Tue Apr 09 1996 00:00:00 GMT+0800 (CST),西螺鎮,老薑,null,25,6390
Tue Apr 09 1996 00:00:00 GMT+0800 (CST),高雄市,老薑,null,28,2480
Tue Apr 09 1996 00:00:00 GMT+0800 (CST),花蓮市,老薑,null,28,370
Wed Apr 10 1996 00:00:00 GMT+0800 (CST),台北二,老薑,null,30,30
Wed Apr 10 1996 00:00:00 GMT+0800 (CST),台北一,老薑,null,35,1838
Wed Apr 10 1996 00:00:00 GMT+0800 (CST),西螺鎮,老薑,null,25,6330
Wed Apr 10 1996 00:00:00 GMT+0800 (CST),高雄市,老薑,null,28,2700
