date,mktname,sbtype,transformation,middleprice,quantity
Mon Apr 01 1996 00:00:00 GMT+0800 (CST),台北一,去殼,null,71,10
Tue Apr 02 1996 00:00:00 GMT+0800 (CST),台北二,去殼,null,70,20
Tue Apr 02 1996 00:00:00 GMT+0800 (CST),台北一,去殼,null,80,20
Sun Apr 07 1996 00:00:00 GMT+0800 (CST),台北一,去殼,null,130,10
Mon Apr 08 1996 00:00:00 GMT+0800 (CST),台北一,去殼,null,94,50
Tue Apr 09 1996 00:00:00 GMT+0800 (CST),台北一,去殼,null,50,3
Thu Apr 11 1996 00:00:00 GMT+0800 (CST),台北一,去殼,null,74.4,60
Sat Apr 13 1996 00:00:00 GMT+0800 (CST),台北一,去殼,null,93,26
Sun Apr 14 1996 00:00:00 GMT+0800 (CST),台北一,去殼,null,88,20
Mon Apr 15 1996 00:00:00 GMT+0800 (CST),台北一,去殼,null,82.1,101
Tue Apr 16 1996 00:00:00 GMT+0800 (CST),台北二,去殼,null,70,19
Tue Apr 16 1996 00:00:00 GMT+0800 (CST),台北一,去殼,null,67.2,24
Wed Apr 17 1996 00:00:00 GMT+0800 (CST),台北一,去殼,null,78.9,94
Thu Apr 18 1996 00:00:00 GMT+0800 (CST),台北一,去殼,null,90,58
Fri Apr 19 1996 00:00:00 GMT+0800 (CST),台北二,去殼,null,56,20
Fri Apr 19 1996 00:00:00 GMT+0800 (CST),台北一,去殼,null,76.3,180
Sun Apr 21 1996 00:00:00 GMT+0800 (CST),台北二,去殼,null,40,22
Sun Apr 21 1996 00:00:00 GMT+0800 (CST),台北一,去殼,null,85.3,111
Mon Apr 22 1996 00:00:00 GMT+0800 (CST),台北二,去殼,null,47.2,37
Mon Apr 22 1996 00:00:00 GMT+0800 (CST),台北一,去殼,null,58.4,237
Tue Apr 23 1996 00:00:00 GMT+0800 (CST),台北一,去殼,null,75.9,201
Wed Apr 24 1996 00:00:00 GMT+0800 (CST),台北一,去殼,null,75,259
Thu Apr 25 1996 00:00:00 GMT+0800 (CST),台北一,去殼,null,72.3,344
Fri Apr 26 1996 00:00:00 GMT+0800 (CST),台北二,去殼,null,36.2,80
Fri Apr 26 1996 00:00:00 GMT+0800 (CST),台北一,去殼,null,60,624
Sun Apr 28 1996 00:00:00 GMT+0800 (CST),台北二,去殼,null,36.6,410
Sun Apr 28 1996 00:00:00 GMT+0800 (CST),台北一,去殼,null,50,1154
Mon Apr 29 1996 00:00:00 GMT+0800 (CST),台北一,去殼,null,40,1250
Tue Apr 30 1996 00:00:00 GMT+0800 (CST),台北二,去殼,null,31.9,330
Tue Apr 30 1996 00:00:00 GMT+0800 (CST),台北一,去殼,null,35,1738
Tue Apr 01 1997 00:00:00 GMT+0800 (CST),台北一,去殼,null,66.6,107
Wed Apr 02 1997 00:00:00 GMT+0800 (CST),台北一,去殼,null,54.1,48
Thu Apr 03 1997 00:00:00 GMT+0800 (CST),台北一,去殼,null,51.5,320
Fri Apr 04 1997 00:00:00 GMT+0800 (CST),台北一,去殼,null,39.9,356
Mon Apr 07 1997 00:00:00 GMT+0800 (CST),台北二,去殼,null,54.2,140
Mon Apr 07 1997 00:00:00 GMT+0800 (CST),台北一,去殼,null,42.4,609
Tue Apr 08 1997 00:00:00 GMT+0800 (CST),台北二,去殼,null,46.7,147
Tue Apr 08 1997 00:00:00 GMT+0800 (CST),台北一,去殼,null,40.4,572
Wed Apr 09 1997 00:00:00 GMT+0800 (CST),台北二,去殼,null,50,90
Wed Apr 09 1997 00:00:00 GMT+0800 (CST),台北一,去殼,null,43.7,195
Thu Apr 10 1997 00:00:00 GMT+0800 (CST),台北二,去殼,null,41.8,150
Thu Apr 10 1997 00:00:00 GMT+0800 (CST),台北一,去殼,null,50,398
Fri Apr 11 1997 00:00:00 GMT+0800 (CST),台北二,去殼,null,35.5,103
Fri Apr 11 1997 00:00:00 GMT+0800 (CST),台北一,去殼,null,60,507
Sat Apr 12 1997 00:00:00 GMT+0800 (CST),台北二,去殼,null,39.7,74
Sat Apr 12 1997 00:00:00 GMT+0800 (CST),台北一,去殼,null,50,516
