date,mktname,sbtype,transformation,middleprice,quantity
Sat Apr 11 1998 00:00:00 GMT+0800 (CST),台北一,去殼,null,100,72
Sun Apr 12 1998 00:00:00 GMT+0800 (CST),台北一,去殼,null,100,144
Tue Apr 14 1998 00:00:00 GMT+0800 (CST),台北一,去殼,null,100,72
Wed Apr 15 1998 00:00:00 GMT+0800 (CST),台北一,去殼,null,100,36
Thu Apr 16 1998 00:00:00 GMT+0800 (CST),台北一,去殼,null,100,72
Fri Apr 17 1998 00:00:00 GMT+0800 (CST),台北一,去殼,null,100,72
Sat Apr 18 1998 00:00:00 GMT+0800 (CST),台北一,去殼,null,190,72
Sat Apr 25 1998 00:00:00 GMT+0800 (CST),台北一,去殼,null,200,108
Sun Apr 26 1998 00:00:00 GMT+0800 (CST),台北一,去殼,null,200,108
Mon Apr 27 1998 00:00:00 GMT+0800 (CST),台北一,去殼,null,200,108
Wed Apr 29 1998 00:00:00 GMT+0800 (CST),台北一,去殼,null,200,108
Thu Apr 30 1998 00:00:00 GMT+0800 (CST),台北一,去殼,null,200,72
Thu Apr 08 1999 00:00:00 GMT+0800 (CST),台北一,去殼,null,100,160
Fri Apr 09 1999 00:00:00 GMT+0800 (CST),台北一,去殼,null,100,180
Tue Apr 20 1999 00:00:00 GMT+0800 (CST),台北一,去殼,null,100,140
Tue Apr 27 1999 00:00:00 GMT+0800 (CST),台北一,去殼,null,75,100
Fri Apr 13 2001 00:00:00 GMT+0800 (CST),台北一,去殼,null,100,24
Sat Apr 14 2001 00:00:00 GMT+0800 (CST),台北一,去殼,null,100,24
Sun Apr 15 2001 00:00:00 GMT+0800 (CST),台北一,去殼,null,100,123
Sat Apr 28 2001 00:00:00 GMT+0800 (CST),台北一,去殼,null,100,20
Mon Apr 30 2001 00:00:00 GMT+0800 (CST),台北一,去殼,null,100,20
Mon Apr 01 2002 00:00:00 GMT+0800 (CST),台北一,去殼,null,70,48
Mon Apr 01 2002 00:00:00 GMT+0800 (CST),高雄市,去殼,null,70,70
Tue Apr 02 2002 00:00:00 GMT+0800 (CST),台北一,去殼,null,70,36
Tue Apr 02 2002 00:00:00 GMT+0800 (CST),高雄市,去殼,null,70,80
Wed Apr 03 2002 00:00:00 GMT+0800 (CST),台北一,去殼,null,70,24
Wed Apr 03 2002 00:00:00 GMT+0800 (CST),高雄市,去殼,null,80,80
Thu Apr 04 2002 00:00:00 GMT+0800 (CST),高雄市,去殼,null,80,100
Sun Apr 07 2002 00:00:00 GMT+0800 (CST),台北一,去殼,null,70,60
Mon Apr 08 2002 00:00:00 GMT+0800 (CST),台北一,去殼,null,70,60
Tue Apr 09 2002 00:00:00 GMT+0800 (CST),台北一,去殼,null,58.1,111
Wed Apr 10 2002 00:00:00 GMT+0800 (CST),台北一,去殼,null,67.2,141
Thu Apr 11 2002 00:00:00 GMT+0800 (CST),台北一,去殼,null,74.1,81
Fri Apr 12 2002 00:00:00 GMT+0800 (CST),台北一,去殼,null,54.1,185
Sat Apr 13 2002 00:00:00 GMT+0800 (CST),台北一,去殼,null,58.9,271
Sun Apr 14 2002 00:00:00 GMT+0800 (CST),台北一,去殼,null,50,261
Tue Apr 16 2002 00:00:00 GMT+0800 (CST),台北一,去殼,null,70,36
Wed Apr 17 2002 00:00:00 GMT+0800 (CST),台北一,去殼,null,58.1,185
Thu Apr 18 2002 00:00:00 GMT+0800 (CST),台北一,去殼,null,70,18
Sun Apr 21 2002 00:00:00 GMT+0800 (CST),台北一,去殼,null,70,125
Tue Apr 23 2002 00:00:00 GMT+0800 (CST),台北一,去殼,null,56.4,188
Wed Apr 24 2002 00:00:00 GMT+0800 (CST),台北二,去殼,null,55.6,30
Wed Apr 24 2002 00:00:00 GMT+0800 (CST),台北一,去殼,null,55.8,208
Wed Apr 24 2002 00:00:00 GMT+0800 (CST),高雄市,去殼,null,80,50
Thu Apr 25 2002 00:00:00 GMT+0800 (CST),台北一,去殼,null,70,78
Fri Apr 26 2002 00:00:00 GMT+0800 (CST),台北一,去殼,null,56.1,148
Sat Apr 27 2002 00:00:00 GMT+0800 (CST),台北一,去殼,null,53,396
Sun Apr 28 2002 00:00:00 GMT+0800 (CST),台北一,去殼,null,55,352
Tue Apr 30 2002 00:00:00 GMT+0800 (CST),台北一,去殼,null,54.4,192
Tue Apr 01 2003 00:00:00 GMT+0800 (CST),台北一,去殼,null,40,20
Wed Apr 02 2003 00:00:00 GMT+0800 (CST),台北一,去殼,null,35,20
Thu Apr 03 2003 00:00:00 GMT+0800 (CST),台北一,去殼,null,35,108
Fri Apr 04 2003 00:00:00 GMT+0800 (CST),台北一,去殼,null,45,20
Sat Apr 05 2003 00:00:00 GMT+0800 (CST),台北一,去殼,null,35,477
Tue Apr 08 2003 00:00:00 GMT+0800 (CST),台北二,去殼,null,90,20
Tue Apr 08 2003 00:00:00 GMT+0800 (CST),台北一,去殼,null,35,184
