date,mktname,sbtype,transformation,middleprice,quantity
Thu Aug 30 2001 00:00:00 GMT+0800 (CST),高雄市,熟菱角,null,40,50
Sun Aug 24 2003 00:00:00 GMT+0800 (CST),台中市,熟菱角,null,50,30
Tue Aug 29 2006 00:00:00 GMT+0800 (CST),高雄市,熟菱角,null,20,18
Sun Aug 05 2007 00:00:00 GMT+0800 (CST),台中市,熟菱角,null,40,12
Tue Aug 07 2007 00:00:00 GMT+0800 (CST),台中市,熟菱角,null,45,12
Tue Aug 12 2008 00:00:00 GMT+0800 (CST),三重市,熟菱角,null,40,7
Sat Aug 01 2009 00:00:00 GMT+0800 (CST),台中市,熟菱角,null,51,16
Sun Aug 02 2009 00:00:00 GMT+0800 (CST),三重市,熟菱角,null,35,36
Sun Aug 02 2009 00:00:00 GMT+0800 (CST),台中市,熟菱角,null,50,36
Tue Aug 04 2009 00:00:00 GMT+0800 (CST),三重市,熟菱角,null,35,30
Tue Aug 04 2009 00:00:00 GMT+0800 (CST),台中市,熟菱角,null,50,54
Wed Aug 05 2009 00:00:00 GMT+0800 (CST),三重市,熟菱角,null,35,41
Wed Aug 05 2009 00:00:00 GMT+0800 (CST),台中市,熟菱角,null,40,54
Wed Aug 05 2009 00:00:00 GMT+0800 (CST),高雄市,熟菱角,null,80,35
Thu Aug 06 2009 00:00:00 GMT+0800 (CST),三重市,熟菱角,null,42,42
Sat Aug 08 2009 00:00:00 GMT+0800 (CST),台中市,熟菱角,null,35,54
Thu Aug 13 2009 00:00:00 GMT+0800 (CST),三重市,熟菱角,null,40,36
Thu Aug 13 2009 00:00:00 GMT+0800 (CST),台中市,熟菱角,null,50,54
Thu Aug 13 2009 00:00:00 GMT+0800 (CST),高雄市,熟菱角,null,35,18
Sat Aug 15 2009 00:00:00 GMT+0800 (CST),三重市,熟菱角,null,40,90
Sun Aug 16 2009 00:00:00 GMT+0800 (CST),三重市,熟菱角,null,38,108
Sun Aug 16 2009 00:00:00 GMT+0800 (CST),台中市,熟菱角,null,35,90
Tue Aug 18 2009 00:00:00 GMT+0800 (CST),三重市,熟菱角,null,32,99
Tue Aug 18 2009 00:00:00 GMT+0800 (CST),台中市,熟菱角,null,33,90
Wed Aug 19 2009 00:00:00 GMT+0800 (CST),三重市,熟菱角,null,30,90
Wed Aug 19 2009 00:00:00 GMT+0800 (CST),台中市,熟菱角,null,40,18
Thu Aug 20 2009 00:00:00 GMT+0800 (CST),三重市,熟菱角,null,32,54
Fri Aug 21 2009 00:00:00 GMT+0800 (CST),台中市,熟菱角,null,15,108
