date,mktname,sbtype,transformation,middleprice,quantity
Sat Apr 24 1999 00:00:00 GMT+0800 (CST),台北一,生菱角,null,80,230
Sun Apr 21 2002 00:00:00 GMT+0800 (CST),台北一,生菱角,null,80,20
Tue Apr 23 2002 00:00:00 GMT+0800 (CST),台北一,生菱角,null,35,145
Tue Apr 23 2002 00:00:00 GMT+0800 (CST),高雄市,生菱角,null,75,100
Tue Apr 23 2002 00:00:00 GMT+0800 (CST),屏東市,生菱角,null,18,36
Wed Apr 24 2002 00:00:00 GMT+0800 (CST),台北一,生菱角,null,40,144
Thu Apr 25 2002 00:00:00 GMT+0800 (CST),台北一,生菱角,null,50,40
Sat Apr 27 2002 00:00:00 GMT+0800 (CST),台北一,生菱角,null,40,90
Sun Apr 28 2002 00:00:00 GMT+0800 (CST),台北一,生菱角,null,40,118
Sun Apr 28 2002 00:00:00 GMT+0800 (CST),高雄市,生菱角,null,80,100
Tue Apr 30 2002 00:00:00 GMT+0800 (CST),台北一,生菱角,null,40,119
Fri Apr 11 2003 00:00:00 GMT+0800 (CST),台北二,生菱角,null,45,80
Fri Apr 11 2003 00:00:00 GMT+0800 (CST),台北一,生菱角,null,35,342
Sun Apr 13 2003 00:00:00 GMT+0800 (CST),屏東市,生菱角,null,40,24
Tue Apr 22 2003 00:00:00 GMT+0800 (CST),台北一,生菱角,null,32.2,30
Fri Apr 25 2003 00:00:00 GMT+0800 (CST),台北一,生菱角,null,20,189
Sun Apr 27 2003 00:00:00 GMT+0800 (CST),台北一,生菱角,null,30,20
Fri Apr 02 2004 00:00:00 GMT+0800 (CST),屏東市,生菱角,null,20,24
Sat Apr 03 2004 00:00:00 GMT+0800 (CST),台北一,生菱角,null,18,160
Sat Apr 03 2004 00:00:00 GMT+0800 (CST),三重市,生菱角,null,35,160
Sat Apr 03 2004 00:00:00 GMT+0800 (CST),屏東市,生菱角,null,25,12
Sun Apr 04 2004 00:00:00 GMT+0800 (CST),屏東市,生菱角,null,25,24
Mon Apr 05 2004 00:00:00 GMT+0800 (CST),屏東市,生菱角,null,20,18
Wed Apr 07 2004 00:00:00 GMT+0800 (CST),台北一,生菱角,null,40,80
Wed Apr 07 2004 00:00:00 GMT+0800 (CST),屏東市,生菱角,null,23.3,48
Thu Apr 08 2004 00:00:00 GMT+0800 (CST),屏東市,生菱角,null,25,72
Sat Apr 10 2004 00:00:00 GMT+0800 (CST),屏東市,生菱角,null,29.2,66
Sun Apr 11 2004 00:00:00 GMT+0800 (CST),屏東市,生菱角,null,30,36
Wed Apr 14 2004 00:00:00 GMT+0800 (CST),屏東市,生菱角,null,23,12
Thu Apr 15 2004 00:00:00 GMT+0800 (CST),屏東市,生菱角,null,22.2,48
Fri Apr 16 2004 00:00:00 GMT+0800 (CST),屏東市,生菱角,null,25,48
Sat Apr 17 2004 00:00:00 GMT+0800 (CST),台北二,生菱角,null,32.1,220
Sat Apr 17 2004 00:00:00 GMT+0800 (CST),三重市,生菱角,null,20,100
Sat Apr 17 2004 00:00:00 GMT+0800 (CST),屏東市,生菱角,null,24,24
Sun Apr 18 2004 00:00:00 GMT+0800 (CST),台北二,生菱角,null,22,49
Sun Apr 18 2004 00:00:00 GMT+0800 (CST),屏東市,生菱角,null,20,66
Mon Apr 19 2004 00:00:00 GMT+0800 (CST),屏東市,生菱角,null,20,48
Tue Apr 20 2004 00:00:00 GMT+0800 (CST),屏東市,生菱角,null,20,72
Thu Apr 22 2004 00:00:00 GMT+0800 (CST),屏東市,生菱角,null,20,66
Fri Apr 23 2004 00:00:00 GMT+0800 (CST),屏東市,生菱角,null,18.2,48
Sat Apr 24 2004 00:00:00 GMT+0800 (CST),屏東市,生菱角,null,20,48
Sun Apr 25 2004 00:00:00 GMT+0800 (CST),台北二,生菱角,null,12.9,512
Sun Apr 25 2004 00:00:00 GMT+0800 (CST),屏東市,生菱角,null,20.2,48
Tue Apr 27 2004 00:00:00 GMT+0800 (CST),屏東市,生菱角,null,20,24
Wed Apr 28 2004 00:00:00 GMT+0800 (CST),屏東市,生菱角,null,15,42
Thu Apr 29 2004 00:00:00 GMT+0800 (CST),屏東市,生菱角,null,15.8,78
Fri Apr 30 2004 00:00:00 GMT+0800 (CST),屏東市,生菱角,null,15,48
Sun Apr 03 2005 00:00:00 GMT+0800 (CST),屏東市,生菱角,null,25,12
Tue Apr 05 2005 00:00:00 GMT+0800 (CST),高雄市,生菱角,null,31,48
Fri Apr 08 2005 00:00:00 GMT+0800 (CST),高雄市,生菱角,null,26,90
Wed Apr 13 2005 00:00:00 GMT+0800 (CST),屏東市,生菱角,null,20,12
Fri Apr 15 2005 00:00:00 GMT+0800 (CST),台北一,生菱角,null,45,90
Tue Apr 19 2005 00:00:00 GMT+0800 (CST),台北二,生菱角,null,60,72
Wed Apr 27 2005 00:00:00 GMT+0800 (CST),屏東市,生菱角,null,28,12
Sat Apr 01 2006 00:00:00 GMT+0800 (CST),屏東市,生菱角,null,20,9
Thu Apr 06 2006 00:00:00 GMT+0800 (CST),屏東市,生菱角,null,20,24
Tue Apr 11 2006 00:00:00 GMT+0800 (CST),台北二,生菱角,null,70,18
Tue Apr 11 2006 00:00:00 GMT+0800 (CST),屏東市,生菱角,null,23,16
Thu Apr 13 2006 00:00:00 GMT+0800 (CST),屏東市,生菱角,null,15,18
Sun Apr 16 2006 00:00:00 GMT+0800 (CST),屏東市,生菱角,null,20,18
Tue Apr 18 2006 00:00:00 GMT+0800 (CST),屏東市,生菱角,null,25,12
Fri Apr 21 2006 00:00:00 GMT+0800 (CST),屏東市,生菱角,null,25,6
Tue Apr 25 2006 00:00:00 GMT+0800 (CST),台北二,生菱角,null,80,30
Tue Apr 25 2006 00:00:00 GMT+0800 (CST),屏東市,生菱角,null,5,6
Thu Apr 27 2006 00:00:00 GMT+0800 (CST),屏東市,生菱角,null,5,12
Sun Apr 01 2007 00:00:00 GMT+0800 (CST),屏東市,生菱角,null,5,11
Tue Apr 03 2007 00:00:00 GMT+0800 (CST),台北一,生菱角,null,60,90
Thu Apr 19 2007 00:00:00 GMT+0800 (CST),屏東市,生菱角,null,18,6
Mon Apr 30 2007 00:00:00 GMT+0800 (CST),屏東市,生菱角,null,10,6
Wed Apr 16 2008 00:00:00 GMT+0800 (CST),屏東市,生菱角,null,5,13
Fri Apr 18 2008 00:00:00 GMT+0800 (CST),屏東市,生菱角,null,10,12
Fri Apr 17 2009 00:00:00 GMT+0800 (CST),台北一,生菱角,null,55,30
Tue Apr 03 2012 00:00:00 GMT+0800 (CST),台北一,生菱角,null,8.4,210
Tue Apr 10 2012 00:00:00 GMT+0800 (CST),台北二,生菱角,null,50,18
Thu Apr 19 2012 00:00:00 GMT+0800 (CST),屏東市,生菱角,null,35,18
