date,mktname,sbtype,transformation,middleprice,quantity
Mon Apr 01 1996 00:00:00 GMT+0800 (CST),台北二,其他,null,2.1,320
Mon Apr 01 1996 00:00:00 GMT+0800 (CST),永靖鄉,其他,null,8,1604
Tue Apr 02 1996 00:00:00 GMT+0800 (CST),永靖鄉,其他,null,8.5,2106
Tue Apr 02 1996 00:00:00 GMT+0800 (CST),高雄市,其他,null,10,170
Wed Apr 03 1996 00:00:00 GMT+0800 (CST),台北二,其他,null,2,30
Wed Apr 03 1996 00:00:00 GMT+0800 (CST),永靖鄉,其他,null,14,3436
Wed Apr 03 1996 00:00:00 GMT+0800 (CST),高雄市,其他,null,5,125
Sat Apr 06 1996 00:00:00 GMT+0800 (CST),永靖鄉,其他,null,10,563
Sun Apr 07 1996 00:00:00 GMT+0800 (CST),永靖鄉,其他,null,13,243
Mon Apr 08 1996 00:00:00 GMT+0800 (CST),永靖鄉,其他,null,12,259
Mon Apr 08 1996 00:00:00 GMT+0800 (CST),高雄市,其他,null,20,100
Tue Apr 09 1996 00:00:00 GMT+0800 (CST),永靖鄉,其他,null,12,931
Tue Apr 09 1996 00:00:00 GMT+0800 (CST),高雄市,其他,null,5,270
Thu Apr 11 1996 00:00:00 GMT+0800 (CST),台北二,其他,null,8,300
Thu Apr 11 1996 00:00:00 GMT+0800 (CST),永靖鄉,其他,null,12,494
Thu Apr 11 1996 00:00:00 GMT+0800 (CST),高雄市,其他,null,12,500
Fri Apr 12 1996 00:00:00 GMT+0800 (CST),永靖鄉,其他,null,13,892
Sat Apr 13 1996 00:00:00 GMT+0800 (CST),永靖鄉,其他,null,14.5,975
Sat Apr 13 1996 00:00:00 GMT+0800 (CST),高雄市,其他,null,15,210
Sun Apr 14 1996 00:00:00 GMT+0800 (CST),永靖鄉,其他,null,14.5,1586
Mon Apr 15 1996 00:00:00 GMT+0800 (CST),台北二,其他,null,16,90
Mon Apr 15 1996 00:00:00 GMT+0800 (CST),永靖鄉,其他,null,15.5,1820
Tue Apr 16 1996 00:00:00 GMT+0800 (CST),永靖鄉,其他,null,15.5,1004
Wed Apr 17 1996 00:00:00 GMT+0800 (CST),永靖鄉,其他,null,15.5,914
Thu Apr 18 1996 00:00:00 GMT+0800 (CST),永靖鄉,其他,null,16.5,2071
Sat Apr 20 1996 00:00:00 GMT+0800 (CST),永靖鄉,其他,null,16.5,1010
Sun Apr 21 1996 00:00:00 GMT+0800 (CST),永靖鄉,其他,null,16.5,329
Mon Apr 22 1996 00:00:00 GMT+0800 (CST),永靖鄉,其他,null,17.5,989
Tue Apr 23 1996 00:00:00 GMT+0800 (CST),永靖鄉,其他,null,18.5,2886
Wed Apr 24 1996 00:00:00 GMT+0800 (CST),永靖鄉,其他,null,18.5,270
Thu Apr 25 1996 00:00:00 GMT+0800 (CST),永靖鄉,其他,null,19,621
Fri Apr 26 1996 00:00:00 GMT+0800 (CST),永靖鄉,其他,null,21.5,681
Sun Apr 28 1996 00:00:00 GMT+0800 (CST),永靖鄉,其他,null,21.5,1381
Mon Apr 29 1996 00:00:00 GMT+0800 (CST),永靖鄉,其他,null,21.5,921
Tue Apr 30 1996 00:00:00 GMT+0800 (CST),台北一,其他,null,20,150
Tue Apr 30 1996 00:00:00 GMT+0800 (CST),永靖鄉,其他,null,21.5,574
Tue Apr 01 1997 00:00:00 GMT+0800 (CST),永靖鄉,其他,null,12,649
Tue Apr 01 1997 00:00:00 GMT+0800 (CST),高雄市,其他,null,13.9,380
Wed Apr 02 1997 00:00:00 GMT+0800 (CST),台北二,其他,null,10,120
Wed Apr 02 1997 00:00:00 GMT+0800 (CST),永靖鄉,其他,null,10,2017
Wed Apr 02 1997 00:00:00 GMT+0800 (CST),高雄市,其他,null,20,200
Thu Apr 03 1997 00:00:00 GMT+0800 (CST),永靖鄉,其他,null,10,627
Thu Apr 03 1997 00:00:00 GMT+0800 (CST),高雄市,其他,null,20,200
Fri Apr 04 1997 00:00:00 GMT+0800 (CST),永靖鄉,其他,null,10,1093
Fri Apr 04 1997 00:00:00 GMT+0800 (CST),高雄市,其他,null,20,200
Sat Apr 05 1997 00:00:00 GMT+0800 (CST),高雄市,其他,null,20,200
Sun Apr 06 1997 00:00:00 GMT+0800 (CST),永靖鄉,其他,null,10,4888
Mon Apr 07 1997 00:00:00 GMT+0800 (CST),永靖鄉,其他,null,10,810
Tue Apr 08 1997 00:00:00 GMT+0800 (CST),台北二,其他,null,3,300
Tue Apr 08 1997 00:00:00 GMT+0800 (CST),永靖鄉,其他,null,10,2969
Tue Apr 08 1997 00:00:00 GMT+0800 (CST),高雄市,其他,null,20,200
