date,mktname,sbtype,transformation,middleprice,quantity
Tue Apr 16 1996 00:00:00 GMT+0800 (CST),花蓮市,露蕎,null,66,110
Wed Apr 17 1996 00:00:00 GMT+0800 (CST),花蓮市,露蕎,null,56,105
Fri Apr 19 1996 00:00:00 GMT+0800 (CST),花蓮市,露蕎,null,47,91
Sun Apr 21 1996 00:00:00 GMT+0800 (CST),花蓮市,露蕎,null,60,246
Wed Apr 24 1996 00:00:00 GMT+0800 (CST),花蓮市,露蕎,null,43,151
Thu Apr 25 1996 00:00:00 GMT+0800 (CST),花蓮市,露蕎,null,42,190
Fri Apr 26 1996 00:00:00 GMT+0800 (CST),花蓮市,露蕎,null,42,96
Sun Apr 28 1996 00:00:00 GMT+0800 (CST),花蓮市,露蕎,null,43,145
Mon Apr 07 1997 00:00:00 GMT+0800 (CST),台北一,露蕎,null,20,20
Tue Apr 08 1997 00:00:00 GMT+0800 (CST),台北一,露蕎,null,20,40
Thu Apr 10 1997 00:00:00 GMT+0800 (CST),台北一,露蕎,null,20,20
Sat Apr 12 1997 00:00:00 GMT+0800 (CST),台北一,露蕎,null,20,20
Sun Apr 13 1997 00:00:00 GMT+0800 (CST),台北一,露蕎,null,20,20
Mon Apr 14 1997 00:00:00 GMT+0800 (CST),台北一,露蕎,null,20,20
Tue Apr 15 1997 00:00:00 GMT+0800 (CST),台北一,露蕎,null,20,40
Thu Apr 17 1997 00:00:00 GMT+0800 (CST),台北一,露蕎,null,20,78
Fri Apr 18 1997 00:00:00 GMT+0800 (CST),台北一,露蕎,null,20,40
Sat Apr 19 1997 00:00:00 GMT+0800 (CST),台北一,露蕎,null,20,40
Sun Apr 20 1997 00:00:00 GMT+0800 (CST),台北一,露蕎,null,20,40
Mon Apr 21 1997 00:00:00 GMT+0800 (CST),台北一,露蕎,null,20,60
Tue Apr 22 1997 00:00:00 GMT+0800 (CST),台北一,露蕎,null,20,40
Thu Apr 24 1997 00:00:00 GMT+0800 (CST),台北一,露蕎,null,20,60
Fri Apr 25 1997 00:00:00 GMT+0800 (CST),台北一,露蕎,null,20,60
Fri Apr 25 1997 00:00:00 GMT+0800 (CST),花蓮市,露蕎,null,28,110
Sat Apr 26 1997 00:00:00 GMT+0800 (CST),台北一,露蕎,null,20,60
Mon Apr 28 1997 00:00:00 GMT+0800 (CST),台北一,露蕎,null,20,60
Tue Apr 29 1997 00:00:00 GMT+0800 (CST),台北一,露蕎,null,20,60
Wed Apr 30 1997 00:00:00 GMT+0800 (CST),台北一,露蕎,null,20,20
Tue Apr 14 1998 00:00:00 GMT+0800 (CST),台北一,露蕎,null,18,40
Thu Apr 16 1998 00:00:00 GMT+0800 (CST),台北一,露蕎,null,18,40
Fri Apr 17 1998 00:00:00 GMT+0800 (CST),台北一,露蕎,null,18,40
Sat Apr 18 1998 00:00:00 GMT+0800 (CST),台北一,露蕎,null,18,40
Sun Apr 19 1998 00:00:00 GMT+0800 (CST),台北一,露蕎,null,18,40
Mon Apr 20 1998 00:00:00 GMT+0800 (CST),台北一,露蕎,null,18,40
Wed Apr 22 1998 00:00:00 GMT+0800 (CST),台北一,露蕎,null,25,40
Thu Apr 23 1998 00:00:00 GMT+0800 (CST),台北一,露蕎,null,18,40
Fri Apr 24 1998 00:00:00 GMT+0800 (CST),台北一,露蕎,null,18,80
Sat Apr 25 1998 00:00:00 GMT+0800 (CST),台北一,露蕎,null,18,80
Sun Apr 26 1998 00:00:00 GMT+0800 (CST),台北一,露蕎,null,25,80
Mon Apr 27 1998 00:00:00 GMT+0800 (CST),台北一,露蕎,null,25,80
Wed Apr 29 1998 00:00:00 GMT+0800 (CST),台北一,露蕎,null,25,80
Thu Apr 30 1998 00:00:00 GMT+0800 (CST),台北一,露蕎,null,25,60
Thu Apr 01 1999 00:00:00 GMT+0800 (CST),台北二,露蕎,null,5,57
Tue Apr 13 1999 00:00:00 GMT+0800 (CST),台北一,露蕎,null,18,40
Wed Apr 14 1999 00:00:00 GMT+0800 (CST),台北一,露蕎,null,18,30
Thu Apr 15 1999 00:00:00 GMT+0800 (CST),台北一,露蕎,null,18,80
Fri Apr 16 1999 00:00:00 GMT+0800 (CST),台北一,露蕎,null,9.3,100
Sat Apr 17 1999 00:00:00 GMT+0800 (CST),台北一,露蕎,null,18,40
Mon Apr 19 1999 00:00:00 GMT+0800 (CST),台北一,露蕎,null,18,90
Tue Apr 20 1999 00:00:00 GMT+0800 (CST),台北一,露蕎,null,18,60
Wed Apr 21 1999 00:00:00 GMT+0800 (CST),台北一,露蕎,null,18,60
Thu Apr 22 1999 00:00:00 GMT+0800 (CST),台北一,露蕎,null,18,6
Fri Apr 23 1999 00:00:00 GMT+0800 (CST),台北一,露蕎,null,18,20
Sat Apr 24 1999 00:00:00 GMT+0800 (CST),台北一,露蕎,null,18,120
Mon Apr 26 1999 00:00:00 GMT+0800 (CST),台北一,露蕎,null,18,150
Tue Apr 27 1999 00:00:00 GMT+0800 (CST),台北一,露蕎,null,18,180
Wed Apr 28 1999 00:00:00 GMT+0800 (CST),台北一,露蕎,null,18,120
Thu Apr 29 1999 00:00:00 GMT+0800 (CST),台北一,露蕎,null,18,180
Fri Apr 30 1999 00:00:00 GMT+0800 (CST),台北一,露蕎,null,18,180
Mon Apr 17 2000 00:00:00 GMT+0800 (CST),台北一,露蕎,null,18,20
Tue Apr 18 2000 00:00:00 GMT+0800 (CST),台北一,露蕎,null,18,60
Wed Apr 19 2000 00:00:00 GMT+0800 (CST),台北一,露蕎,null,18,90
Thu Apr 20 2000 00:00:00 GMT+0800 (CST),台北一,露蕎,null,18,80
Sat Apr 22 2000 00:00:00 GMT+0800 (CST),台北一,露蕎,null,18,160
Sun Apr 23 2000 00:00:00 GMT+0800 (CST),台北一,露蕎,null,18,120
Wed Apr 26 2000 00:00:00 GMT+0800 (CST),台北一,露蕎,null,18,60
Thu Apr 27 2000 00:00:00 GMT+0800 (CST),台北一,露蕎,null,18,60
Fri Apr 28 2000 00:00:00 GMT+0800 (CST),台北一,露蕎,null,18,60
Sun Apr 30 2000 00:00:00 GMT+0800 (CST),台北一,露蕎,null,18,60
Wed Apr 04 2001 00:00:00 GMT+0800 (CST),台北一,露蕎,null,20,16
Thu Apr 12 2001 00:00:00 GMT+0800 (CST),台北一,露蕎,null,20,40
Fri Apr 13 2001 00:00:00 GMT+0800 (CST),台北一,露蕎,null,20,40
Sun Apr 15 2001 00:00:00 GMT+0800 (CST),台北一,露蕎,null,20,40
Mon Apr 16 2001 00:00:00 GMT+0800 (CST),台北一,露蕎,null,20,60
Tue Apr 17 2001 00:00:00 GMT+0800 (CST),台北一,露蕎,null,20,60
Thu Apr 19 2001 00:00:00 GMT+0800 (CST),台北一,露蕎,null,20,60
Thu Apr 19 2001 00:00:00 GMT+0800 (CST),花蓮市,露蕎,null,90,14
Fri Apr 20 2001 00:00:00 GMT+0800 (CST),台北一,露蕎,null,20,120
Sat Apr 21 2001 00:00:00 GMT+0800 (CST),台北一,露蕎,null,20,120
Sun Apr 22 2001 00:00:00 GMT+0800 (CST),台北一,露蕎,null,20,120
Mon Apr 23 2001 00:00:00 GMT+0800 (CST),台北一,露蕎,null,20,80
Tue Apr 24 2001 00:00:00 GMT+0800 (CST),台北一,露蕎,null,20,80
Wed Apr 25 2001 00:00:00 GMT+0800 (CST),花蓮市,露蕎,null,76,35
Thu Apr 26 2001 00:00:00 GMT+0800 (CST),台北一,露蕎,null,20,200
Fri Apr 27 2001 00:00:00 GMT+0800 (CST),台北一,露蕎,null,20,60
Fri Apr 27 2001 00:00:00 GMT+0800 (CST),花蓮市,露蕎,null,76,28
Sat Apr 28 2001 00:00:00 GMT+0800 (CST),台北一,露蕎,null,20,100
Sat Apr 28 2001 00:00:00 GMT+0800 (CST),花蓮市,露蕎,null,60,75
Sun Apr 29 2001 00:00:00 GMT+0800 (CST),台北一,露蕎,null,20,190
Mon Apr 30 2001 00:00:00 GMT+0800 (CST),台北一,露蕎,null,20,100
Mon Apr 01 2002 00:00:00 GMT+0800 (CST),花蓮市,露蕎,null,60,92.5
Tue Apr 02 2002 00:00:00 GMT+0800 (CST),台北一,露蕎,null,12,12
Sun Apr 07 2002 00:00:00 GMT+0800 (CST),台北一,露蕎,null,35,20
Sun Apr 07 2002 00:00:00 GMT+0800 (CST),花蓮市,露蕎,null,68,57
Mon Apr 08 2002 00:00:00 GMT+0800 (CST),花蓮市,露蕎,null,66,12.5
Tue Apr 09 2002 00:00:00 GMT+0800 (CST),花蓮市,露蕎,null,60.3,55.5
Wed Apr 10 2002 00:00:00 GMT+0800 (CST),台北一,露蕎,null,20,21
Wed Apr 10 2002 00:00:00 GMT+0800 (CST),花蓮市,露蕎,null,60,30.5
Thu Apr 11 2002 00:00:00 GMT+0800 (CST),花蓮市,露蕎,null,65,23
Fri Apr 12 2002 00:00:00 GMT+0800 (CST),花蓮市,露蕎,null,60,40
Sat Apr 13 2002 00:00:00 GMT+0800 (CST),花蓮市,露蕎,null,47.3,163
