date,mktname,sbtype,transformation,middleprice,quantity
Thu Apr 01 1999 00:00:00 GMT+0800 (CST),台北二,樹薯,null,20,40
Thu Apr 01 1999 00:00:00 GMT+0800 (CST),台北一,樹薯,null,40.2,575
Fri Apr 02 1999 00:00:00 GMT+0800 (CST),台北一,樹薯,null,13,500
Sat Apr 03 1999 00:00:00 GMT+0800 (CST),台北一,樹薯,null,13,200
Sun Apr 04 1999 00:00:00 GMT+0800 (CST),台北一,樹薯,null,13,486
Wed Apr 07 1999 00:00:00 GMT+0800 (CST),台北一,樹薯,null,13,420
Thu Apr 08 1999 00:00:00 GMT+0800 (CST),台北一,樹薯,null,13,290
Fri Apr 09 1999 00:00:00 GMT+0800 (CST),台北一,樹薯,null,13,498
Sat Apr 10 1999 00:00:00 GMT+0800 (CST),台北一,樹薯,null,13,380
Mon Apr 12 1999 00:00:00 GMT+0800 (CST),台北一,樹薯,null,13,421
Tue Apr 13 1999 00:00:00 GMT+0800 (CST),台北一,樹薯,null,13,200
Wed Apr 14 1999 00:00:00 GMT+0800 (CST),台北一,樹薯,null,13,532
Thu Apr 15 1999 00:00:00 GMT+0800 (CST),台北一,樹薯,null,13,1338
Fri Apr 16 1999 00:00:00 GMT+0800 (CST),台北一,樹薯,null,13,532
Sat Apr 17 1999 00:00:00 GMT+0800 (CST),台北一,樹薯,null,13,994
Mon Apr 19 1999 00:00:00 GMT+0800 (CST),台北一,樹薯,null,13,220
Tue Apr 20 1999 00:00:00 GMT+0800 (CST),台北一,樹薯,null,13,135
Wed Apr 21 1999 00:00:00 GMT+0800 (CST),台北一,樹薯,null,13,300
Thu Apr 22 1999 00:00:00 GMT+0800 (CST),台北一,樹薯,null,13,410
Fri Apr 23 1999 00:00:00 GMT+0800 (CST),台北一,樹薯,null,13,280
Sat Apr 24 1999 00:00:00 GMT+0800 (CST),台北一,樹薯,null,13,130
Mon Apr 26 1999 00:00:00 GMT+0800 (CST),台北一,樹薯,null,13,80
Wed Apr 28 1999 00:00:00 GMT+0800 (CST),台北二,樹薯,null,29.9,418
Fri Apr 30 1999 00:00:00 GMT+0800 (CST),台北一,樹薯,null,13,60
Sat Apr 01 2000 00:00:00 GMT+0800 (CST),台北一,樹薯,null,12,80
Sat Apr 01 2000 00:00:00 GMT+0800 (CST),高雄市,樹薯,null,40,60
Sat Apr 08 2000 00:00:00 GMT+0800 (CST),台北一,樹薯,null,10,225
Sun Apr 09 2000 00:00:00 GMT+0800 (CST),台北一,樹薯,null,10,180
Mon Apr 10 2000 00:00:00 GMT+0800 (CST),台北一,樹薯,null,15,270
Tue Apr 11 2000 00:00:00 GMT+0800 (CST),台北一,樹薯,null,10,140
Wed Apr 12 2000 00:00:00 GMT+0800 (CST),台北一,樹薯,null,10,150
Thu Apr 13 2000 00:00:00 GMT+0800 (CST),台北一,樹薯,null,10,131
Sat Apr 15 2000 00:00:00 GMT+0800 (CST),台北二,樹薯,null,15,90
Sat Apr 15 2000 00:00:00 GMT+0800 (CST),台北一,樹薯,null,10,34
Sun Apr 16 2000 00:00:00 GMT+0800 (CST),台北一,樹薯,null,10,45
Mon Apr 17 2000 00:00:00 GMT+0800 (CST),台北一,樹薯,null,10,50
Tue Apr 18 2000 00:00:00 GMT+0800 (CST),台北二,樹薯,null,15,120
Tue Apr 18 2000 00:00:00 GMT+0800 (CST),台北一,樹薯,null,10,50
Wed Apr 19 2000 00:00:00 GMT+0800 (CST),台北二,樹薯,null,8,36
Wed Apr 19 2000 00:00:00 GMT+0800 (CST),台北一,樹薯,null,10,48
Sat Apr 22 2000 00:00:00 GMT+0800 (CST),台北一,樹薯,null,10,48
Sun Apr 23 2000 00:00:00 GMT+0800 (CST),台北一,樹薯,null,15,20
Mon Apr 24 2000 00:00:00 GMT+0800 (CST),台北一,樹薯,null,10,23
Wed Apr 26 2000 00:00:00 GMT+0800 (CST),台北一,樹薯,null,10,40
