date,mktname,sbtype,transformation,middleprice,quantity
Tue Apr 03 2012 00:00:00 GMT+0800 (CST),台北一,粉薯,null,25,20
Sat Apr 07 2012 00:00:00 GMT+0800 (CST),台北一,粉薯,null,15,62
Wed Dec 20 2006 00:00:00 GMT+0800 (CST),台北一,粉薯,null,25,30
Wed Dec 27 2006 00:00:00 GMT+0800 (CST),台北二,粉薯,null,8.8,72
Wed Dec 27 2006 00:00:00 GMT+0800 (CST),台北一,粉薯,null,25,15
Sun Dec 31 2006 00:00:00 GMT+0800 (CST),台北一,粉薯,null,22,21
Wed Dec 05 2007 00:00:00 GMT+0800 (CST),台北二,粉薯,null,19.2,51
Sat Dec 08 2007 00:00:00 GMT+0800 (CST),台北二,粉薯,null,13.7,84
Tue Dec 11 2007 00:00:00 GMT+0800 (CST),台北二,粉薯,null,7,72
Tue Dec 11 2007 00:00:00 GMT+0800 (CST),三重市,粉薯,null,15,18
Sat Dec 15 2007 00:00:00 GMT+0800 (CST),台北二,粉薯,null,6.6,67
Tue Dec 18 2007 00:00:00 GMT+0800 (CST),台北二,粉薯,null,5,15
Tue Dec 18 2007 00:00:00 GMT+0800 (CST),三重市,粉薯,null,10,15
Sat Dec 22 2007 00:00:00 GMT+0800 (CST),台北二,粉薯,null,5,36
Wed Dec 03 2008 00:00:00 GMT+0800 (CST),台北二,粉薯,null,5,42
Thu Dec 04 2008 00:00:00 GMT+0800 (CST),三重市,粉薯,null,15,56
Wed Dec 10 2008 00:00:00 GMT+0800 (CST),台北二,粉薯,null,20,54
Thu Dec 11 2008 00:00:00 GMT+0800 (CST),台北二,粉薯,null,20,54
Fri Dec 12 2008 00:00:00 GMT+0800 (CST),台北二,粉薯,null,25,54
Fri Dec 12 2008 00:00:00 GMT+0800 (CST),台北一,粉薯,null,30,60
Sun Dec 14 2008 00:00:00 GMT+0800 (CST),台北一,粉薯,null,25,27
Tue Dec 23 2008 00:00:00 GMT+0800 (CST),台北一,粉薯,null,25,20
Wed Dec 24 2008 00:00:00 GMT+0800 (CST),三重市,粉薯,null,12,32
