date,mktname,sbtype,transformation,middleprice,quantity
Wed Apr 19 2000 00:00:00 GMT+0800 (CST),台北一,進口,null,90,1100
Thu Apr 27 2000 00:00:00 GMT+0800 (CST),台北一,進口,null,90,1500
Sun Apr 01 2001 00:00:00 GMT+0800 (CST),台北一,進口,null,100,650
Mon Apr 02 2001 00:00:00 GMT+0800 (CST),台北一,進口,null,100.5,130
Tue Apr 03 2001 00:00:00 GMT+0800 (CST),台北一,進口,null,105,1000
Wed Apr 04 2001 00:00:00 GMT+0800 (CST),台北一,進口,null,100,1280
Sat Apr 07 2001 00:00:00 GMT+0800 (CST),台北一,進口,null,100.8,200
Sun Apr 08 2001 00:00:00 GMT+0800 (CST),台北一,進口,null,135.4,400
Mon Apr 09 2001 00:00:00 GMT+0800 (CST),台北一,進口,null,100,300
Wed Apr 11 2001 00:00:00 GMT+0800 (CST),台北一,進口,null,104.3,1850
Thu Apr 12 2001 00:00:00 GMT+0800 (CST),台北一,進口,null,100,680
Fri Apr 13 2001 00:00:00 GMT+0800 (CST),台北一,進口,null,100,1000
Sat Apr 14 2001 00:00:00 GMT+0800 (CST),台北一,進口,null,111.1,300
Sun Apr 15 2001 00:00:00 GMT+0800 (CST),台北一,進口,null,130,100
Mon Apr 16 2001 00:00:00 GMT+0800 (CST),台北一,進口,null,150,70
Tue Apr 17 2001 00:00:00 GMT+0800 (CST),台北一,進口,null,135.6,120
Thu Apr 19 2001 00:00:00 GMT+0800 (CST),台北一,進口,null,109.8,340
Fri Apr 20 2001 00:00:00 GMT+0800 (CST),台北一,進口,null,110,260
Sat Apr 21 2001 00:00:00 GMT+0800 (CST),台北一,進口,null,150,125
Mon Apr 23 2001 00:00:00 GMT+0800 (CST),台北一,進口,null,120,1000
Tue Apr 24 2001 00:00:00 GMT+0800 (CST),台北一,進口,null,110,400
Thu Apr 26 2001 00:00:00 GMT+0800 (CST),台北一,進口,null,100.9,380
Fri Apr 27 2001 00:00:00 GMT+0800 (CST),台北一,進口,null,109.4,2090
Sat Apr 28 2001 00:00:00 GMT+0800 (CST),台北一,進口,null,100,1680
Sun Apr 29 2001 00:00:00 GMT+0800 (CST),台北一,進口,null,150,100
Mon Apr 01 2002 00:00:00 GMT+0800 (CST),台北一,進口,null,145.7,140
Tue Apr 02 2002 00:00:00 GMT+0800 (CST),台北一,進口,null,150,80
Tue Apr 02 2002 00:00:00 GMT+0800 (CST),高雄市,進口,null,166.7,250
Wed Apr 03 2002 00:00:00 GMT+0800 (CST),台北一,進口,null,150,70
Wed Apr 03 2002 00:00:00 GMT+0800 (CST),高雄市,進口,null,180,100
Thu Apr 04 2002 00:00:00 GMT+0800 (CST),台北一,進口,null,150,100
Thu Apr 04 2002 00:00:00 GMT+0800 (CST),高雄市,進口,null,120,150
Sun Apr 07 2002 00:00:00 GMT+0800 (CST),台北一,進口,null,145.7,140
Mon Apr 08 2002 00:00:00 GMT+0800 (CST),台北一,進口,null,150,150
Mon Apr 08 2002 00:00:00 GMT+0800 (CST),高雄市,進口,null,180,100
Tue Apr 09 2002 00:00:00 GMT+0800 (CST),台北一,進口,null,150,100
Tue Apr 09 2002 00:00:00 GMT+0800 (CST),高雄市,進口,null,147.1,350
Wed Apr 10 2002 00:00:00 GMT+0800 (CST),台北一,進口,null,150,50
Thu Apr 11 2002 00:00:00 GMT+0800 (CST),台北一,進口,null,150,80
Thu Apr 11 2002 00:00:00 GMT+0800 (CST),高雄市,進口,null,150,200
Fri Apr 12 2002 00:00:00 GMT+0800 (CST),台北一,進口,null,150,100
Fri Apr 12 2002 00:00:00 GMT+0800 (CST),高雄市,進口,null,137.1,980
Sat Apr 13 2002 00:00:00 GMT+0800 (CST),台北一,進口,null,145.7,140
Sun Apr 14 2002 00:00:00 GMT+0800 (CST),台北一,進口,null,150,100
Tue Apr 16 2002 00:00:00 GMT+0800 (CST),台北一,進口,null,149.7,780
Tue Apr 16 2002 00:00:00 GMT+0800 (CST),高雄市,進口,null,173.3,450
Wed Apr 17 2002 00:00:00 GMT+0800 (CST),台北一,進口,null,150,700
Wed Apr 17 2002 00:00:00 GMT+0800 (CST),高雄市,進口,null,150.7,700
Thu Apr 18 2002 00:00:00 GMT+0800 (CST),台北一,進口,null,134.8,350
Thu Apr 18 2002 00:00:00 GMT+0800 (CST),高雄市,進口,null,180,100
Fri Apr 19 2002 00:00:00 GMT+0800 (CST),台北一,進口,null,150,230
Sat Apr 20 2002 00:00:00 GMT+0800 (CST),台北一,進口,null,127.2,240
Sun Apr 21 2002 00:00:00 GMT+0800 (CST),台北一,進口,null,110,250
Tue Apr 23 2002 00:00:00 GMT+0800 (CST),台北一,進口,null,150,200
Tue Apr 23 2002 00:00:00 GMT+0800 (CST),高雄市,進口,null,132.2,300
Wed Apr 24 2002 00:00:00 GMT+0800 (CST),台北一,進口,null,112.1,650
Wed Apr 24 2002 00:00:00 GMT+0800 (CST),高雄市,進口,null,150.2,900
Thu Apr 25 2002 00:00:00 GMT+0800 (CST),台北一,進口,null,150,100
Thu Apr 25 2002 00:00:00 GMT+0800 (CST),高雄市,進口,null,160,150
Fri Apr 26 2002 00:00:00 GMT+0800 (CST),台北一,進口,null,129.3,230
Fri Apr 26 2002 00:00:00 GMT+0800 (CST),高雄市,進口,null,150,50
Sat Apr 27 2002 00:00:00 GMT+0800 (CST),台北一,進口,null,145.7,140
Sun Apr 28 2002 00:00:00 GMT+0800 (CST),台北一,進口,null,170,100
Tue Apr 30 2002 00:00:00 GMT+0800 (CST),台北一,進口,null,150,150
Tue Apr 01 2003 00:00:00 GMT+0800 (CST),台北二,進口,null,108.8,200
Tue Apr 01 2003 00:00:00 GMT+0800 (CST),台北一,進口,null,99.1,110
Tue Apr 01 2003 00:00:00 GMT+0800 (CST),高雄市,進口,null,150,50
Wed Apr 02 2003 00:00:00 GMT+0800 (CST),台北二,進口,null,132.1,200
Wed Apr 02 2003 00:00:00 GMT+0800 (CST),台北一,進口,null,70.5,650
Wed Apr 02 2003 00:00:00 GMT+0800 (CST),高雄市,進口,null,141.6,880
Thu Apr 03 2003 00:00:00 GMT+0800 (CST),台北二,進口,null,91.5,130
