date,mktname,sbtype,transformation,middleprice,quantity
Mon Apr 01 1996 00:00:00 GMT+0800 (CST),台北一,白蘆筍,null,100,20
Mon Apr 01 1996 00:00:00 GMT+0800 (CST),高雄市,白蘆筍,null,77,150
Tue Apr 02 1996 00:00:00 GMT+0800 (CST),台北一,白蘆筍,null,100,19
Wed Apr 03 1996 00:00:00 GMT+0800 (CST),台北一,白蘆筍,null,110,27
Wed Apr 03 1996 00:00:00 GMT+0800 (CST),高雄市,白蘆筍,null,60,200
Sat Apr 06 1996 00:00:00 GMT+0800 (CST),台北一,白蘆筍,null,110,44
Sun Apr 07 1996 00:00:00 GMT+0800 (CST),高雄市,白蘆筍,null,70,130
Mon Apr 08 1996 00:00:00 GMT+0800 (CST),台北一,白蘆筍,null,100,26
Mon Apr 08 1996 00:00:00 GMT+0800 (CST),高雄市,白蘆筍,null,70,156
Tue Apr 09 1996 00:00:00 GMT+0800 (CST),高雄市,白蘆筍,null,70,150
Wed Apr 10 1996 00:00:00 GMT+0800 (CST),台北一,白蘆筍,null,100,10
Wed Apr 10 1996 00:00:00 GMT+0800 (CST),高雄市,白蘆筍,null,70,150
Thu Apr 11 1996 00:00:00 GMT+0800 (CST),台北一,白蘆筍,null,100,27
Thu Apr 11 1996 00:00:00 GMT+0800 (CST),高雄市,白蘆筍,null,73,250
Fri Apr 12 1996 00:00:00 GMT+0800 (CST),高雄市,白蘆筍,null,70,150
Sat Apr 13 1996 00:00:00 GMT+0800 (CST),台北一,白蘆筍,null,110,20
Sat Apr 13 1996 00:00:00 GMT+0800 (CST),高雄市,白蘆筍,null,70,154
Sun Apr 14 1996 00:00:00 GMT+0800 (CST),台北一,白蘆筍,null,120,19
Mon Apr 15 1996 00:00:00 GMT+0800 (CST),台北一,白蘆筍,null,130,20
Mon Apr 15 1996 00:00:00 GMT+0800 (CST),高雄市,白蘆筍,null,70,150
Tue Apr 16 1996 00:00:00 GMT+0800 (CST),台北一,白蘆筍,null,130,19
Tue Apr 16 1996 00:00:00 GMT+0800 (CST),高雄市,白蘆筍,null,70,150
Wed Apr 17 1996 00:00:00 GMT+0800 (CST),台北一,白蘆筍,null,100,20
Thu Apr 18 1996 00:00:00 GMT+0800 (CST),台北一,白蘆筍,null,130,31
Fri Apr 19 1996 00:00:00 GMT+0800 (CST),台北一,白蘆筍,null,130,30
Sun Apr 21 1996 00:00:00 GMT+0800 (CST),高雄市,白蘆筍,null,70,150
Mon Apr 22 1996 00:00:00 GMT+0800 (CST),台北一,白蘆筍,null,130,20
Mon Apr 22 1996 00:00:00 GMT+0800 (CST),高雄市,白蘆筍,null,70,150
Tue Apr 23 1996 00:00:00 GMT+0800 (CST),高雄市,白蘆筍,null,80,100
Wed Apr 24 1996 00:00:00 GMT+0800 (CST),台北一,白蘆筍,null,140,37
Wed Apr 24 1996 00:00:00 GMT+0800 (CST),高雄市,白蘆筍,null,80,130
Thu Apr 25 1996 00:00:00 GMT+0800 (CST),台北一,白蘆筍,null,140,80
Fri Apr 26 1996 00:00:00 GMT+0800 (CST),台北一,白蘆筍,null,145,126
Sun Apr 28 1996 00:00:00 GMT+0800 (CST),台北一,白蘆筍,null,120,175
Mon Apr 29 1996 00:00:00 GMT+0800 (CST),台北一,白蘆筍,null,125,130
Tue Apr 30 1996 00:00:00 GMT+0800 (CST),台北一,白蘆筍,null,110,281
Mon Apr 07 1997 00:00:00 GMT+0800 (CST),台北一,白蘆筍,null,112,20
Tue Apr 08 1997 00:00:00 GMT+0800 (CST),台北一,白蘆筍,null,114,31
Tue Apr 08 1997 00:00:00 GMT+0800 (CST),高雄市,白蘆筍,null,35,10
Wed Apr 09 1997 00:00:00 GMT+0800 (CST),台北一,白蘆筍,null,100,80
Thu Apr 10 1997 00:00:00 GMT+0800 (CST),台北一,白蘆筍,null,100,96
Thu Apr 10 1997 00:00:00 GMT+0800 (CST),高雄市,白蘆筍,null,70,128
Fri Apr 11 1997 00:00:00 GMT+0800 (CST),台北一,白蘆筍,null,100,143
Fri Apr 11 1997 00:00:00 GMT+0800 (CST),高雄市,白蘆筍,null,41.4,35
Sat Apr 12 1997 00:00:00 GMT+0800 (CST),台北二,白蘆筍,null,70,24
Sat Apr 12 1997 00:00:00 GMT+0800 (CST),台北一,白蘆筍,null,90,122
Sat Apr 12 1997 00:00:00 GMT+0800 (CST),高雄市,白蘆筍,null,65.7,112
Sun Apr 13 1997 00:00:00 GMT+0800 (CST),台北二,白蘆筍,null,100,30
Sun Apr 13 1997 00:00:00 GMT+0800 (CST),台北一,白蘆筍,null,100,151
Mon Apr 14 1997 00:00:00 GMT+0800 (CST),台北二,白蘆筍,null,100,50
Mon Apr 14 1997 00:00:00 GMT+0800 (CST),台北一,白蘆筍,null,100,165
Mon Apr 14 1997 00:00:00 GMT+0800 (CST),高雄市,白蘆筍,null,42.9,24
Tue Apr 15 1997 00:00:00 GMT+0800 (CST),台北二,白蘆筍,null,95,46
Tue Apr 15 1997 00:00:00 GMT+0800 (CST),台北一,白蘆筍,null,100,235
Tue Apr 15 1997 00:00:00 GMT+0800 (CST),高雄市,白蘆筍,null,41.7,12
Wed Apr 16 1997 00:00:00 GMT+0800 (CST),高雄市,白蘆筍,null,59.8,166
Thu Apr 17 1997 00:00:00 GMT+0800 (CST),台北二,白蘆筍,null,70,98
Thu Apr 17 1997 00:00:00 GMT+0800 (CST),台北一,白蘆筍,null,100,428
Fri Apr 18 1997 00:00:00 GMT+0800 (CST),台北二,白蘆筍,null,70,44
Fri Apr 18 1997 00:00:00 GMT+0800 (CST),台北一,白蘆筍,null,80,448
Sat Apr 19 1997 00:00:00 GMT+0800 (CST),台北二,白蘆筍,null,69.5,126
Sat Apr 19 1997 00:00:00 GMT+0800 (CST),台北一,白蘆筍,null,90,445
Sat Apr 19 1997 00:00:00 GMT+0800 (CST),高雄市,白蘆筍,null,40.1,36
Sun Apr 20 1997 00:00:00 GMT+0800 (CST),台北二,白蘆筍,null,60,76
Sun Apr 20 1997 00:00:00 GMT+0800 (CST),台北一,白蘆筍,null,90,479
Sun Apr 20 1997 00:00:00 GMT+0800 (CST),高雄市,白蘆筍,null,70,107
