date,mktname,sbtype,transformation,middleprice,quantity
Mon Apr 01 1996 00:00:00 GMT+0800 (CST),台北二,綠蘆筍,null,90,586
Mon Apr 01 1996 00:00:00 GMT+0800 (CST),台北一,綠蘆筍,null,80,2583
Mon Apr 01 1996 00:00:00 GMT+0800 (CST),高雄市,綠蘆筍,null,74,310
Tue Apr 02 1996 00:00:00 GMT+0800 (CST),台北二,綠蘆筍,null,80,543
Tue Apr 02 1996 00:00:00 GMT+0800 (CST),台北一,綠蘆筍,null,75,2762
Tue Apr 02 1996 00:00:00 GMT+0800 (CST),高雄市,綠蘆筍,null,75,420
Wed Apr 03 1996 00:00:00 GMT+0800 (CST),台北二,綠蘆筍,null,90,310
Wed Apr 03 1996 00:00:00 GMT+0800 (CST),台北一,綠蘆筍,null,90,1758
Wed Apr 03 1996 00:00:00 GMT+0800 (CST),高雄市,綠蘆筍,null,74,320
Thu Apr 04 1996 00:00:00 GMT+0800 (CST),高雄市,綠蘆筍,null,73,470
Sat Apr 06 1996 00:00:00 GMT+0800 (CST),台北二,綠蘆筍,null,90,403
Sat Apr 06 1996 00:00:00 GMT+0800 (CST),台北一,綠蘆筍,null,100,2249
Sun Apr 07 1996 00:00:00 GMT+0800 (CST),台北二,綠蘆筍,null,100,297
Sun Apr 07 1996 00:00:00 GMT+0800 (CST),台北一,綠蘆筍,null,100,1915
Sun Apr 07 1996 00:00:00 GMT+0800 (CST),高雄市,綠蘆筍,null,75,380
Mon Apr 08 1996 00:00:00 GMT+0800 (CST),台北二,綠蘆筍,null,110,380
Mon Apr 08 1996 00:00:00 GMT+0800 (CST),高雄市,綠蘆筍,null,76,400
Tue Apr 09 1996 00:00:00 GMT+0800 (CST),台北二,綠蘆筍,null,100,446
Tue Apr 09 1996 00:00:00 GMT+0800 (CST),台北一,綠蘆筍,null,100,2696
Tue Apr 09 1996 00:00:00 GMT+0800 (CST),高雄市,綠蘆筍,null,71,280
Wed Apr 10 1996 00:00:00 GMT+0800 (CST),台北二,綠蘆筍,null,90,542
Wed Apr 10 1996 00:00:00 GMT+0800 (CST),台北一,綠蘆筍,null,100,2348
Wed Apr 10 1996 00:00:00 GMT+0800 (CST),高雄市,綠蘆筍,null,71,500
Thu Apr 11 1996 00:00:00 GMT+0800 (CST),台北二,綠蘆筍,null,100,542
Thu Apr 11 1996 00:00:00 GMT+0800 (CST),台北一,綠蘆筍,null,100,2475
Thu Apr 11 1996 00:00:00 GMT+0800 (CST),高雄市,綠蘆筍,null,65,290
Fri Apr 12 1996 00:00:00 GMT+0800 (CST),高雄市,綠蘆筍,null,74,430
Sat Apr 13 1996 00:00:00 GMT+0800 (CST),台北一,綠蘆筍,null,100,2311
Sat Apr 13 1996 00:00:00 GMT+0800 (CST),高雄市,綠蘆筍,null,70,380
Sun Apr 14 1996 00:00:00 GMT+0800 (CST),台北一,綠蘆筍,null,110,1877
Sun Apr 14 1996 00:00:00 GMT+0800 (CST),高雄市,綠蘆筍,null,69,580
Mon Apr 15 1996 00:00:00 GMT+0800 (CST),台北二,綠蘆筍,null,110,389
Mon Apr 15 1996 00:00:00 GMT+0800 (CST),台北一,綠蘆筍,null,120,1757
Mon Apr 15 1996 00:00:00 GMT+0800 (CST),高雄市,綠蘆筍,null,70,450
Tue Apr 16 1996 00:00:00 GMT+0800 (CST),台北二,綠蘆筍,null,150,294
Tue Apr 16 1996 00:00:00 GMT+0800 (CST),台北一,綠蘆筍,null,130,1760
Tue Apr 16 1996 00:00:00 GMT+0800 (CST),高雄市,綠蘆筍,null,70,450
Wed Apr 17 1996 00:00:00 GMT+0800 (CST),台北二,綠蘆筍,null,120,647
Wed Apr 17 1996 00:00:00 GMT+0800 (CST),台北一,綠蘆筍,null,120,2633
Wed Apr 17 1996 00:00:00 GMT+0800 (CST),高雄市,綠蘆筍,null,75,606
Thu Apr 18 1996 00:00:00 GMT+0800 (CST),台北二,綠蘆筍,null,100,508
Thu Apr 18 1996 00:00:00 GMT+0800 (CST),高雄市,綠蘆筍,null,69,580
Fri Apr 19 1996 00:00:00 GMT+0800 (CST),台北二,綠蘆筍,null,70,984
Fri Apr 19 1996 00:00:00 GMT+0800 (CST),台北一,綠蘆筍,null,120,3751
Fri Apr 19 1996 00:00:00 GMT+0800 (CST),高雄市,綠蘆筍,null,73,593
Sun Apr 21 1996 00:00:00 GMT+0800 (CST),台北二,綠蘆筍,null,100,1268
Sun Apr 21 1996 00:00:00 GMT+0800 (CST),台北一,綠蘆筍,null,110,4967
Sun Apr 21 1996 00:00:00 GMT+0800 (CST),高雄市,綠蘆筍,null,75,450
Mon Apr 22 1996 00:00:00 GMT+0800 (CST),台北二,綠蘆筍,null,100,353
Mon Apr 22 1996 00:00:00 GMT+0800 (CST),台北一,綠蘆筍,null,135,1653
Mon Apr 22 1996 00:00:00 GMT+0800 (CST),高雄市,綠蘆筍,null,69,430
Tue Apr 23 1996 00:00:00 GMT+0800 (CST),台北二,綠蘆筍,null,120,243
Tue Apr 23 1996 00:00:00 GMT+0800 (CST),台北一,綠蘆筍,null,130,1625
Tue Apr 23 1996 00:00:00 GMT+0800 (CST),高雄市,綠蘆筍,null,78,400
Wed Apr 24 1996 00:00:00 GMT+0800 (CST),台北二,綠蘆筍,null,120,364
