date,mktname,sbtype,transformation,middleprice,quantity
Mon Apr 01 1996 00:00:00 GMT+0800 (CST),台北二,null,null,4,1064
Mon Apr 01 1996 00:00:00 GMT+0800 (CST),台北一,null,null,4,14503
Mon Apr 01 1996 00:00:00 GMT+0800 (CST),台中市,null,null,5.2,1033
Mon Apr 01 1996 00:00:00 GMT+0800 (CST),永靖鄉,null,null,4.5,20940
Mon Apr 01 1996 00:00:00 GMT+0800 (CST),溪湖鎮,null,null,3,7943
Mon Apr 01 1996 00:00:00 GMT+0800 (CST),西螺鎮,null,null,4.2,11330
Mon Apr 01 1996 00:00:00 GMT+0800 (CST),高雄市,null,null,10,720
Mon Apr 01 1996 00:00:00 GMT+0800 (CST),屏東市,null,null,4,1605
Mon Apr 01 1996 00:00:00 GMT+0800 (CST),花蓮市,null,null,5.5,938
Tue Apr 02 1996 00:00:00 GMT+0800 (CST),台北二,null,null,5,1286
Tue Apr 02 1996 00:00:00 GMT+0800 (CST),台北一,null,null,4,10409
Tue Apr 02 1996 00:00:00 GMT+0800 (CST),台中市,null,null,3.2,1094
Tue Apr 02 1996 00:00:00 GMT+0800 (CST),永靖鄉,null,null,4,13995
Tue Apr 02 1996 00:00:00 GMT+0800 (CST),溪湖鎮,null,null,3,8552
Tue Apr 02 1996 00:00:00 GMT+0800 (CST),西螺鎮,null,null,3.8,12180
Tue Apr 02 1996 00:00:00 GMT+0800 (CST),高雄市,null,null,11,1210
Tue Apr 02 1996 00:00:00 GMT+0800 (CST),屏東市,null,null,4,820
Tue Apr 02 1996 00:00:00 GMT+0800 (CST),花蓮市,null,null,5,1176
Wed Apr 03 1996 00:00:00 GMT+0800 (CST),台北二,null,null,4,1621
Wed Apr 03 1996 00:00:00 GMT+0800 (CST),台北一,null,null,5,13499
Wed Apr 03 1996 00:00:00 GMT+0800 (CST),台中市,null,null,5.3,891
Wed Apr 03 1996 00:00:00 GMT+0800 (CST),永靖鄉,null,null,4,13982
Wed Apr 03 1996 00:00:00 GMT+0800 (CST),溪湖鎮,null,null,3,7047
Wed Apr 03 1996 00:00:00 GMT+0800 (CST),西螺鎮,null,null,3.5,11460
Wed Apr 03 1996 00:00:00 GMT+0800 (CST),高雄市,null,null,8,720
Wed Apr 03 1996 00:00:00 GMT+0800 (CST),花蓮市,null,null,5,1327
Thu Apr 04 1996 00:00:00 GMT+0800 (CST),台中市,null,null,5.4,1404
Thu Apr 04 1996 00:00:00 GMT+0800 (CST),高雄市,null,null,10,1020
Fri Apr 05 1996 00:00:00 GMT+0800 (CST),溪湖鎮,null,null,3,5830
Fri Apr 05 1996 00:00:00 GMT+0800 (CST),西螺鎮,null,null,3.9,11716
Sat Apr 06 1996 00:00:00 GMT+0800 (CST),台北二,null,null,8.1,1845
Sat Apr 06 1996 00:00:00 GMT+0800 (CST),台北一,null,null,6,10916
Sat Apr 06 1996 00:00:00 GMT+0800 (CST),台中市,null,null,8,477
Sat Apr 06 1996 00:00:00 GMT+0800 (CST),永靖鄉,null,null,4,15903
Sat Apr 06 1996 00:00:00 GMT+0800 (CST),溪湖鎮,null,null,3.5,13484
Sat Apr 06 1996 00:00:00 GMT+0800 (CST),西螺鎮,null,null,4.4,12740
Sat Apr 06 1996 00:00:00 GMT+0800 (CST),屏東市,null,null,6.4,285
Sat Apr 06 1996 00:00:00 GMT+0800 (CST),花蓮市,null,null,9,1224
Sun Apr 07 1996 00:00:00 GMT+0800 (CST),台北二,null,null,8.5,1140
Sun Apr 07 1996 00:00:00 GMT+0800 (CST),台北一,null,null,7,8910
Sun Apr 07 1996 00:00:00 GMT+0800 (CST),台中市,null,null,6.1,999
Sun Apr 07 1996 00:00:00 GMT+0800 (CST),永靖鄉,null,null,4.5,19363
Sun Apr 07 1996 00:00:00 GMT+0800 (CST),溪湖鎮,null,null,4.5,15024
Sun Apr 07 1996 00:00:00 GMT+0800 (CST),西螺鎮,null,null,5.8,16265
Sun Apr 07 1996 00:00:00 GMT+0800 (CST),高雄市,null,null,16,900
Sun Apr 07 1996 00:00:00 GMT+0800 (CST),花蓮市,null,null,13,967
Mon Apr 08 1996 00:00:00 GMT+0800 (CST),台北二,null,null,8,1455
Mon Apr 08 1996 00:00:00 GMT+0800 (CST),台北一,null,null,9,6498
Mon Apr 08 1996 00:00:00 GMT+0800 (CST),台中市,null,null,9,652
Mon Apr 08 1996 00:00:00 GMT+0800 (CST),永靖鄉,null,null,4.5,9533
Mon Apr 08 1996 00:00:00 GMT+0800 (CST),溪湖鎮,null,null,5,16003
Mon Apr 08 1996 00:00:00 GMT+0800 (CST),西螺鎮,null,null,6.3,13137
Mon Apr 08 1996 00:00:00 GMT+0800 (CST),高雄市,null,null,8,1780
Mon Apr 08 1996 00:00:00 GMT+0800 (CST),屏東市,null,null,5,390
Mon Apr 08 1996 00:00:00 GMT+0800 (CST),花蓮市,null,null,8,1168
Tue Apr 09 1996 00:00:00 GMT+0800 (CST),台北二,null,null,5.3,2845
Tue Apr 09 1996 00:00:00 GMT+0800 (CST),台北一,null,null,9,10770
Tue Apr 09 1996 00:00:00 GMT+0800 (CST),台中市,null,null,8.2,779
Tue Apr 09 1996 00:00:00 GMT+0800 (CST),永靖鄉,null,null,5.5,16515
Tue Apr 09 1996 00:00:00 GMT+0800 (CST),溪湖鎮,null,null,5,14260
Tue Apr 09 1996 00:00:00 GMT+0800 (CST),西螺鎮,null,null,7,13715
Tue Apr 09 1996 00:00:00 GMT+0800 (CST),高雄市,null,null,8,800
Tue Apr 09 1996 00:00:00 GMT+0800 (CST),花蓮市,null,null,7,1376
Wed Apr 10 1996 00:00:00 GMT+0800 (CST),台北二,null,null,6,1850
Wed Apr 10 1996 00:00:00 GMT+0800 (CST),台北一,null,null,8,13294
Wed Apr 10 1996 00:00:00 GMT+0800 (CST),台中市,null,null,8.2,599
Wed Apr 10 1996 00:00:00 GMT+0800 (CST),永靖鄉,null,null,6,11992
Wed Apr 10 1996 00:00:00 GMT+0800 (CST),溪湖鎮,null,null,5,10655
Wed Apr 10 1996 00:00:00 GMT+0800 (CST),西螺鎮,null,null,5.9,9973
Wed Apr 10 1996 00:00:00 GMT+0800 (CST),高雄市,null,null,15,1045
Wed Apr 10 1996 00:00:00 GMT+0800 (CST),屏東市,null,null,6.2,459
Wed Apr 10 1996 00:00:00 GMT+0800 (CST),花蓮市,null,null,7,1082
Thu Apr 11 1996 00:00:00 GMT+0800 (CST),台北二,null,null,5.4,1605
Thu Apr 11 1996 00:00:00 GMT+0800 (CST),台北一,null,null,8,12866
Thu Apr 11 1996 00:00:00 GMT+0800 (CST),台中市,null,null,4.4,1049
Thu Apr 11 1996 00:00:00 GMT+0800 (CST),永靖鄉,null,null,6,14448
Thu Apr 11 1996 00:00:00 GMT+0800 (CST),溪湖鎮,null,null,5,12794
Thu Apr 11 1996 00:00:00 GMT+0800 (CST),西螺鎮,null,null,6.3,11800
Thu Apr 11 1996 00:00:00 GMT+0800 (CST),高雄市,null,null,10,450
Thu Apr 11 1996 00:00:00 GMT+0800 (CST),花蓮市,null,null,7,1107
Fri Apr 12 1996 00:00:00 GMT+0800 (CST),台中市,null,null,5.8,963
Fri Apr 12 1996 00:00:00 GMT+0800 (CST),永靖鄉,null,null,6.5,9938
Fri Apr 12 1996 00:00:00 GMT+0800 (CST),溪湖鎮,null,null,5,13580
Fri Apr 12 1996 00:00:00 GMT+0800 (CST),西螺鎮,null,null,6.5,14695
Fri Apr 12 1996 00:00:00 GMT+0800 (CST),高雄市,null,null,15,400
Sat Apr 13 1996 00:00:00 GMT+0800 (CST),台北一,null,null,7,12908
Sat Apr 13 1996 00:00:00 GMT+0800 (CST),台中市,null,null,8.9,383
Sat Apr 13 1996 00:00:00 GMT+0800 (CST),永靖鄉,null,null,7,7149
Sat Apr 13 1996 00:00:00 GMT+0800 (CST),溪湖鎮,null,null,5,12869
Sat Apr 13 1996 00:00:00 GMT+0800 (CST),西螺鎮,null,null,6.7,10352
Sat Apr 13 1996 00:00:00 GMT+0800 (CST),高雄市,null,null,17,800
Sat Apr 13 1996 00:00:00 GMT+0800 (CST),屏東市,null,null,8,322
Sat Apr 13 1996 00:00:00 GMT+0800 (CST),花蓮市,null,null,10,1038
Sun Apr 14 1996 00:00:00 GMT+0800 (CST),台北一,null,null,7,12297
Sun Apr 14 1996 00:00:00 GMT+0800 (CST),台中市,null,null,6.1,896
Sun Apr 14 1996 00:00:00 GMT+0800 (CST),永靖鄉,null,null,6.5,4749
Sun Apr 14 1996 00:00:00 GMT+0800 (CST),溪湖鎮,null,null,5,12155
Sun Apr 14 1996 00:00:00 GMT+0800 (CST),西螺鎮,null,null,6,11005
Sun Apr 14 1996 00:00:00 GMT+0800 (CST),高雄市,null,null,17,570
Sun Apr 14 1996 00:00:00 GMT+0800 (CST),花蓮市,null,null,9,783
Mon Apr 15 1996 00:00:00 GMT+0800 (CST),台北二,null,null,6.5,1080
Mon Apr 15 1996 00:00:00 GMT+0800 (CST),台北一,null,null,8,8479
Mon Apr 15 1996 00:00:00 GMT+0800 (CST),台中市,null,null,7.9,490
Mon Apr 15 1996 00:00:00 GMT+0800 (CST),永靖鄉,null,null,7.5,10506
Mon Apr 15 1996 00:00:00 GMT+0800 (CST),溪湖鎮,null,null,5,13114
Mon Apr 15 1996 00:00:00 GMT+0800 (CST),西螺鎮,null,null,6.1,13062
Mon Apr 15 1996 00:00:00 GMT+0800 (CST),高雄市,null,null,14,660
Mon Apr 15 1996 00:00:00 GMT+0800 (CST),花蓮市,null,null,8,1032
Tue Apr 16 1996 00:00:00 GMT+0800 (CST),台北二,null,null,7.8,1150
Tue Apr 16 1996 00:00:00 GMT+0800 (CST),台北一,null,null,8,9373
Tue Apr 16 1996 00:00:00 GMT+0800 (CST),台中市,null,null,8.5,556
Tue Apr 16 1996 00:00:00 GMT+0800 (CST),永靖鄉,null,null,8,10029
Tue Apr 16 1996 00:00:00 GMT+0800 (CST),溪湖鎮,null,null,6,10746
Tue Apr 16 1996 00:00:00 GMT+0800 (CST),西螺鎮,null,null,6.2,8115
Tue Apr 16 1996 00:00:00 GMT+0800 (CST),高雄市,null,null,17,1090
Tue Apr 16 1996 00:00:00 GMT+0800 (CST),花蓮市,null,null,6,1354
Wed Apr 17 1996 00:00:00 GMT+0800 (CST),台北二,null,null,7,1430
Wed Apr 17 1996 00:00:00 GMT+0800 (CST),台北一,null,null,8,9601
Wed Apr 17 1996 00:00:00 GMT+0800 (CST),台中市,null,null,8.8,479
Wed Apr 17 1996 00:00:00 GMT+0800 (CST),永靖鄉,null,null,8.5,10492
Wed Apr 17 1996 00:00:00 GMT+0800 (CST),溪湖鎮,null,null,6,11648
Wed Apr 17 1996 00:00:00 GMT+0800 (CST),西螺鎮,null,null,5.9,10090
Wed Apr 17 1996 00:00:00 GMT+0800 (CST),高雄市,null,null,13,715
Wed Apr 17 1996 00:00:00 GMT+0800 (CST),花蓮市,null,null,10,488
Thu Apr 18 1996 00:00:00 GMT+0800 (CST),台北二,null,null,11.7,345
Thu Apr 18 1996 00:00:00 GMT+0800 (CST),台北一,null,null,9,7993
Thu Apr 18 1996 00:00:00 GMT+0800 (CST),台中市,null,null,6.3,95
Thu Apr 18 1996 00:00:00 GMT+0800 (CST),永靖鄉,null,null,9,9331
Thu Apr 18 1996 00:00:00 GMT+0800 (CST),溪湖鎮,null,null,6,12428
Thu Apr 18 1996 00:00:00 GMT+0800 (CST),西螺鎮,null,null,7.6,9440
