date,mktname,sbtype,transformation,middleprice,quantity
Sat Aug 03 1996 00:00:00 GMT+0800 (CST),台北一,其他,null,30,12
Thu Aug 21 1997 00:00:00 GMT+0800 (CST),台北一,其他,null,60,60
Sun Aug 02 1998 00:00:00 GMT+0800 (CST),台北一,其他,null,70,1
Fri Dec 21 2001 00:00:00 GMT+0800 (CST),台北一,其他,null,10,600
Wed Feb 14 1996 00:00:00 GMT+0800 (CST),台北二,其他,null,10,25
Thu Feb 15 1996 00:00:00 GMT+0800 (CST),台北二,其他,null,8,20
Thu Feb 15 1996 00:00:00 GMT+0800 (CST),台北一,其他,null,7,20
Sun Feb 18 1996 00:00:00 GMT+0800 (CST),台北二,其他,null,5,25
Tue Feb 20 2001 00:00:00 GMT+0800 (CST),台中市,其他,null,10,20
Wed Feb 21 2001 00:00:00 GMT+0800 (CST),台中市,其他,null,10,10
Tue Feb 27 2001 00:00:00 GMT+0800 (CST),台中市,其他,null,10,10
Wed Feb 28 2001 00:00:00 GMT+0800 (CST),台中市,其他,null,10,10
Wed Jan 03 1996 00:00:00 GMT+0800 (CST),台北一,其他,null,25,120
Tue Jan 09 1996 00:00:00 GMT+0800 (CST),台北二,其他,null,6,25
Thu Jan 25 1996 00:00:00 GMT+0800 (CST),台北二,其他,null,5,25
Wed Jan 03 2001 00:00:00 GMT+0800 (CST),台中市,其他,null,15,20
Sat Jan 06 2001 00:00:00 GMT+0800 (CST),台中市,其他,null,12,20
Sun Jan 07 2001 00:00:00 GMT+0800 (CST),台中市,其他,null,10,20
Wed Jan 10 2001 00:00:00 GMT+0800 (CST),台中市,其他,null,10,10
Sat Jan 13 2001 00:00:00 GMT+0800 (CST),台中市,其他,null,10,10
Sun Jan 14 2001 00:00:00 GMT+0800 (CST),台中市,其他,null,10,10
Mon Jan 15 2001 00:00:00 GMT+0800 (CST),台中市,其他,null,10,10
Wed Jan 17 2001 00:00:00 GMT+0800 (CST),台中市,其他,null,10,10
Thu Jan 18 2001 00:00:00 GMT+0800 (CST),台中市,其他,null,10,10
Sun Jan 21 2001 00:00:00 GMT+0800 (CST),台中市,其他,null,10,20
Mon Jan 22 2001 00:00:00 GMT+0800 (CST),台中市,其他,null,10,20
Tue Jan 23 2001 00:00:00 GMT+0800 (CST),台中市,其他,null,10,10
Sun Mar 10 1996 00:00:00 GMT+0800 (CST),台北二,其他,null,10,25
Thu Mar 01 2001 00:00:00 GMT+0800 (CST),台中市,其他,null,10,10
Fri Mar 02 2001 00:00:00 GMT+0800 (CST),台中市,其他,null,10,10
Sat Mar 03 2001 00:00:00 GMT+0800 (CST),台中市,其他,null,10,10
Mon Mar 05 2001 00:00:00 GMT+0800 (CST),台中市,其他,null,10,10
Tue Mar 06 2001 00:00:00 GMT+0800 (CST),台中市,其他,null,10,10
Wed Mar 07 2001 00:00:00 GMT+0800 (CST),台中市,其他,null,10,10
Tue May 13 1997 00:00:00 GMT+0800 (CST),台北一,其他,null,60,12
Thu May 21 1998 00:00:00 GMT+0800 (CST),台北一,其他,null,80,14
Thu May 10 2007 00:00:00 GMT+0800 (CST),高雄市,其他,null,10,1700
Sat Nov 02 1996 00:00:00 GMT+0800 (CST),台北一,其他,null,25,120
Fri Oct 03 2003 00:00:00 GMT+0800 (CST),台北二,其他,null,50,9
Sat Oct 30 2004 00:00:00 GMT+0800 (CST),台北二,其他,null,40,20
Thu Sep 13 2001 00:00:00 GMT+0800 (CST),台北一,其他,null,10,600
