date,mktname,sbtype,transformation,middleprice,quantity
Mon Apr 01 1996 00:00:00 GMT+0800 (CST),台北一,null,null,30,24
Tue Apr 02 1996 00:00:00 GMT+0800 (CST),台北一,null,null,40,24
Wed Apr 03 1996 00:00:00 GMT+0800 (CST),台北一,null,null,40,12
Sat Apr 06 1996 00:00:00 GMT+0800 (CST),台北一,null,null,40,36
Sun Apr 07 1996 00:00:00 GMT+0800 (CST),台北一,null,null,40,24
Tue Apr 09 1996 00:00:00 GMT+0800 (CST),台北一,null,null,40,24
Thu Apr 11 1996 00:00:00 GMT+0800 (CST),台北一,null,null,40,24
Tue Apr 16 1996 00:00:00 GMT+0800 (CST),台北一,null,null,40,22
Sun Apr 21 1996 00:00:00 GMT+0800 (CST),台北一,null,null,40,22
Mon Apr 22 1996 00:00:00 GMT+0800 (CST),台北一,null,null,40,24
Tue Apr 23 1996 00:00:00 GMT+0800 (CST),台北一,null,null,50,12
Wed Apr 24 1996 00:00:00 GMT+0800 (CST),台北一,null,null,40,24
Thu Apr 25 1996 00:00:00 GMT+0800 (CST),台北一,null,null,40,24
Fri Apr 26 1996 00:00:00 GMT+0800 (CST),台北一,null,null,40,24
Sun Apr 28 1996 00:00:00 GMT+0800 (CST),台北一,null,null,40,24
Mon Apr 29 1996 00:00:00 GMT+0800 (CST),台北一,null,null,40,24
Tue Apr 30 1996 00:00:00 GMT+0800 (CST),台北一,null,null,40,24
Wed Apr 02 1997 00:00:00 GMT+0800 (CST),台北一,null,null,40,10
Thu Apr 03 1997 00:00:00 GMT+0800 (CST),台北一,null,null,40,29
Fri Apr 04 1997 00:00:00 GMT+0800 (CST),台北一,null,null,40,33
Mon Apr 07 1997 00:00:00 GMT+0800 (CST),台北一,null,null,40,28
Tue Apr 08 1997 00:00:00 GMT+0800 (CST),台北一,null,null,40,38
Sat Apr 12 1997 00:00:00 GMT+0800 (CST),台北一,null,null,40,5
Sun Apr 13 1997 00:00:00 GMT+0800 (CST),台北一,null,null,40,29
Mon Apr 14 1997 00:00:00 GMT+0800 (CST),台北一,null,null,40,10
Tue Apr 15 1997 00:00:00 GMT+0800 (CST),台北一,null,null,40,5
Thu Apr 17 1997 00:00:00 GMT+0800 (CST),台北一,null,null,40,5
Fri Apr 18 1997 00:00:00 GMT+0800 (CST),台北一,null,null,40,55
Sat Apr 19 1997 00:00:00 GMT+0800 (CST),台北一,null,null,40,81
Sun Apr 20 1997 00:00:00 GMT+0800 (CST),台北一,null,null,40,31
Mon Apr 21 1997 00:00:00 GMT+0800 (CST),台北一,null,null,40,46
Tue Apr 22 1997 00:00:00 GMT+0800 (CST),台北一,null,null,40,15
Thu Apr 24 1997 00:00:00 GMT+0800 (CST),台北一,null,null,40,20
Fri Apr 25 1997 00:00:00 GMT+0800 (CST),台北一,null,null,40,8
Sat Apr 26 1997 00:00:00 GMT+0800 (CST),台北一,null,null,40,16
Sun Apr 27 1997 00:00:00 GMT+0800 (CST),台北一,null,null,40,91
Mon Apr 28 1997 00:00:00 GMT+0800 (CST),台北一,null,null,40,72
Wed Apr 30 1997 00:00:00 GMT+0800 (CST),台北一,null,null,40,22
Wed Apr 01 1998 00:00:00 GMT+0800 (CST),台北二,null,null,36.1,30
Wed Apr 01 1998 00:00:00 GMT+0800 (CST),台北一,null,null,55.4,226
