year	id	name	nameEn	alertDate	level	path	minhPa	maxMS	force7km	force10km	numAlert
2013	1323	菲特	FITOW	10/04～10/07	中度	1	960.0	38.0	250	80	20
2013	1319	天兔	USAGI	09/19～09/22	強烈	5	910.0	55.0	280	120	22
2013	1315	康芮	KONG-REY	08/27～08/29	輕度	6	985.0	25.0	120	null	20
2013	1312	潭美	TRAMI	08/20～08/22	輕度	1	970.0	30.0	180	null	16
2013	1308	西馬隆	CIMARON	07/17～07/18	輕度	null	998.0	18.0	100	null	10
2013	1307	蘇力	SOULIK	07/11～07/13	強烈	2	925.0	51.0	280	100	22
2012	1217	杰拉華	JELAWAT	09/27～09/28	強烈	null	910.0	55.0	250	100	15
2012	1214	天秤	TEMBIN	08/26～08/28	中度	 特殊路徑	965.0	35.0	180	50	21
2012	1214	天秤	TEMBIN	08/21～08/25	中度	 特殊路徑	945.0	45.0	180	50	33
2012	1213	啟德	KAI-TAK	08/14～08/15	輕度	null	995.0	20.0	150	null	10
2012	1211	海葵	HAIKUI	08/06～08/07	中度	null	960.0	35.0	180	50	11
2012	1209	蘇拉	SAOLA	07/30～08/03	中度	2	960.0	38.0	220	80	31
2012	1206	杜蘇芮	DOKSURI	06/28～06/29	輕度	null	995.0	23.0	120	null	10
2012	1205	泰利	TALIM	06/19～06/21	輕度	9	985.0	25.0	150	null	17
2011	1111	南瑪都	NANMADOL	08/27～08/31	強烈	4	920.0	53.0	180	50	34
2011	1109	梅花	MUIFA	08/04～08/06	中度	null	945.0	43.0	280	null	15
2011	1105	米雷	MEARI	06/23～06/25	輕度	null	982.0	28.0	200	null	14
2011	1102	桑達	SONGDA	05/27～05/28	強烈	null	920.0	55.0	220	100	13
2011	1101	艾利	AERE	05/09～05/10	輕度	null	990.0	23.0	150	null	13
2010	1013	梅姬	MEGI	10/21～10/23	中度	9	935.0	48.0	250	100	24
2010	1011	凡那比	FANAPI	09/17～09/20	中度	4	940.0	45.0	200	80	22
2010	1010	莫蘭蒂	MERANTI	09/09～09/10	輕度	null	990.0	23.0	100	null	10
2010	1008	南修	NAMTHEUN	08/30～08/31	輕度	null	995.0	18.0	80	null	9
2010	1006	萊羅克	LIONROCK	08/31～09/02	輕度	9	990.0	23.0	100	null	15
2009	0917	芭瑪	PARMA	10/03～10/06	中度	 特殊路徑	945.0	43.0	250	80	29
2009	0908	莫拉克	MORAKOT	08/05～08/10	中度	3	955.0	40.0	250	100	36
2009	0906	莫拉菲	MOLAVE	07/16～07/18	輕度	null	980.0	28.0	100	null	13
2009	0903	蓮花	LINFA	06/19～06/22	輕度	9	980.0	28.0	150	null	21
2008	0815	薔蜜	JANGMI	09/26～09/29	強烈	2	925.0	53.0	280	100	25
2008	0814	哈格比	HAGUPIT	09/21～09/23	中度	null	940.0	45.0	280	100	15
2008	0813	辛樂克	SINLAKU	09/11～09/16	強烈	2	925.0	51.0	250	100	43
2008	0812	如麗	NURI	08/19～08/21	中度	null	955.0	40.0	220	80	16
2008	0808	鳳凰	FUNG-WONG	07/26～07/29	中度	3	948.0	43.0	220	80	25
2008	0807	卡玫基	KALMAEGI	07/16～07/18	中度	2	970.0	33.0	120	50	20
2007	0723	米塔	MITAG	11/26～11/27	中度	null	955.0	35.0	200	80	11
2007	0715	柯羅莎	KROSA	10/04～10/07	強烈	2	925.0	51.0	300	120	27
2007	0712	韋帕	WIPHA	09/17～09/19	中度	1	935.0	48.0	200	80	18
2007	0708	聖帕	SEPAT	08/16～08/19	強烈	3	920.0	53.0	250	100	27
2007	0707	梧提	WUTIP	08/08～08/09	輕度	3	992.0	18.0	100	null	9
2007	0706	帕布	PABUK	08/06～08/08	輕度	4	980.0	28.0	150	null	14
2006	0613	珊珊	SHANSHAN	09/14～09/16	中度	null	945.0	48.0	200	80	17
2006	0609	寶發	BOPHA	08/07～08/09	輕度	4	985.0	23.0	120	null	15
2006	0608	桑美	SAOMAI	08/09～08/10	中度	null	935.0	48.0	180	80	16
2006	0605	凱米	KAEMI	07/23～07/26	中度	3	960.0	38.0	200	80	21
2006	0604	碧利斯	BILIS	07/12～07/15	輕度	2	978.0	25.0	300	null	25
2006	0603	艾維尼	EWINIAR	07/07～07/09	中度	null	925.0	43.0	300	80	11
2006	0601	珍珠	CHANCHU	05/16～05/18	中度	9	943.0	45.0	300	100	17
2005	0519	龍王	LONGWANG	09/30～10/03	強烈	3	925.0	51.0	200	80	21
2005	0518	丹瑞	DAMREY	09/21～09/23	輕度	null	955.0	25.0	200	null	17
2005	0515	卡努	KHANUN	09/09～09/11	中度	null	950.0	43.0	200	80	16
2005	0513	泰利	TALIM	08/30～09/01	強烈	3	920.0	53.0	250	100	22
2005	0510	珊瑚	SANVU	08/11～08/13	輕度	null	985.0	25.0	200	null	19
2005	0509	馬莎	MATSA	08/03～08/06	中度	1	955.0	40.0	250	80	25
2005	0505	海棠	HAITANG	07/16～07/20	強烈	3	912.0	55.0	280	120	29
2004	0427	南瑪都	NANMADOL	12/03～12/04	中度	9	940.0	38.0	250	80	13
2004	0424	納坦	NOCK-TEN	10/23～10/26	中度	6	945.0	43.0	250	100	19
2004	0421	米雷	MEARI	09/26～09/27	中度	null	940.0	40.0	200	80	11
2004	0420	海馬	HAIMA	09/11～09/13	輕度	6	998.0	18.0	100	null	12
2004	0417	艾利	AERE	08/23～08/26	中度	1	960.0	38.0	200	50	28
2004	0413	蘭寧	RANANIM	08/10～08/13	中度	null	955.0	40.0	250	100	18
2004	0409	康伯斯	KOMPASU	07/14～07/15	輕度	null	995.0	20.0	100	null	10
2004	0407	敏督利	MINDULLE	06/28～07/03	中度	6	942.0	45.0	250	100	39
2004	0404	康森	CONSON	06/07～06/09	中度	null	970.0	33.0	150	50	19
