dt	solar	precp	temp_max	temp_min	evap	temp	temp_diff	precp_30	precp_60	precp_90	precp_120	precp_150	precp_180	temp_30	temp_60	temp_90	temp_120	temp_150	temp_180	solar_30	solar_60	solar_90	solar_120	solar_150	solar_180	evap_30	evap_60	evap_90	evap_120	evap_150	evap_180	temp_diff_30	temp_diff_60	temp_diff_90	temp_diff_120	temp_diff_150	temp_diff_180
1990-01-01	5.82	2	19.9	14.7	1.8	16.5	5.2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1990-01-02	7.55	1.5	20	14.2	4.6	16.2	5.8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1990-01-03	6.49	0	19.8	13.1	3.1	15.6	6.7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1990-01-04	14.19	0	21	10.6	8.7	14.7	10.4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1990-01-05	14.49	0	23.8	9	9.8	15	14.8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1990-01-06	12.63	0	22.8	12.4	8	16.7	10.4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1990-01-07	5.59	0	20.6	13.2	1.2	16	7.4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1990-01-08	9.65	0	23.7	12.8	5.8	18.2	10.9	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1990-01-09	12.22	2.5	25.9	15.7	5.9	19.5	10.2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1990-01-10	15.24	0	28.1	12.8	9.7	18.9	15.3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
