date	mktname	sbtype	transformation	middleprice	quantity
085年04月01日	"台北二"	"黑刺"	null	7.0	3756
085年04月01日	"台北一"	"黑刺"	null	9.0	17556
085年04月01日	"台中市"	"黑刺"	null	6.0	885
085年04月01日	"高雄市"	"黑刺"	null	9.0	3450
085年04月01日	"鳳山區"	"黑刺"	null	6.5	700
085年04月01日	"屏東市"	"黑刺"	null	9.9	4356
085年04月01日	"永靖鄉"	"改良種"	null	11.5	4840
085年04月01日	"西螺鎮"	"改良種"	null	9.1	8540
085年04月01日	"花蓮市"	"改良種"	null	5.0	641
085年04月02日	"台北二"	"黑刺"	null	0.0	5435
085年04月02日	"台北一"	"黑刺"	null	7.0	29117
085年04月02日	"台中市"	"黑刺"	null	10.0	680
085年04月02日	"南投市"	"黑刺"	null	11.0	379
085年04月02日	"高雄市"	"黑刺"	null	11.0	3480
085年04月02日	"鳳山區"	"黑刺"	null	6.6	160
085年04月02日	"屏東市"	"黑刺"	null	11.2	3867
085年04月02日	"台東市"	"黑刺"	null	10.0	496
085年04月02日	"永靖鄉"	"改良種"	null	12.0	4175
085年04月02日	"西螺鎮"	"改良種"	null	10.1	5600
085年04月02日	"花蓮市"	"改良種"	null	10.0	290
085年04月03日	"台北二"	"黑刺"	null	0.0	5773
085年04月03日	"台北一"	"黑刺"	null	10.0	32004
085年04月03日	"台中市"	"黑刺"	null	9.1	1220
085年04月03日	"南投市"	"黑刺"	null	13.0	754
085年04月03日	"高雄市"	"黑刺"	null	15.0	3520
085年04月03日	"鳳山區"	"黑刺"	null	12.8	970
085年04月03日	"屏東市"	"黑刺"	null	11.1	5119
085年04月03日	"台東市"	"黑刺"	null	13.0	1018
085年04月03日	"永靖鄉"	"改良種"	null	12.5	7513
085年04月03日	"西螺鎮"	"改良種"	null	10.0	6965
085年04月03日	"花蓮市"	"改良種"	null	7.0	2678
085年04月04日	"台中市"	"黑刺"	null	12.9	420
085年04月04日	"南投市"	"黑刺"	null	0.0	454
