date	mktname	sbtype	transformation	middleprice	quantity
085年04月01日	"台北一"	"豆莢"	null	35.0	480
085年04月02日	"台北一"	"豆莢"	null	35.0	720
085年04月03日	"台北一"	"豆莢"	null	35.0	600
085年04月07日	"台北一"	"豆莢"	null	30.0	325
085年04月08日	"台北一"	"豆莢"	null	30.0	200
085年04月09日	"台北一"	"豆莢"	null	30.0	225
085年04月09日	"台北一"	"豆仁"	null	70.0	30
085年04月10日	"台北一"	"豆莢"	null	30.0	200
085年04月10日	"台北一"	"豆仁"	null	70.0	30
085年04月11日	"台北一"	"豆莢"	null	20.0	100
085年04月15日	"台北一"	"豆仁"	null	70.0	50
085年04月16日	"台北一"	"豆仁"	null	70.0	50
085年04月23日	"台北一"	"豆仁"	null	80.0	48
085年04月24日	"台北一"	"豆仁"	null	70.0	50
085年04月26日	"台北一"	"豆莢"	null	80.0	25
086年04月04日	"台北一"	"豆仁"	null	170.0	780
086年04月07日	"台北一"	"豆仁"	null	170.0	35
086年04月12日	"台北一"	"豆莢"	null	35.0	120
086年04月17日	"高雄市"	"豆莢"	null	0.0	3490
086年04月18日	"台北一"	"豆仁"	null	150.0	150
086年04月27日	"台北一"	"豆莢"	null	40.0	310
087年04月08日	"台北一"	"豆仁"	null	90.0	40
087年04月12日	"台北一"	"豆莢"	null	90.0	80
087年04月12日	"台北一"	"豆仁"	null	100.0	10
087年04月14日	"台北一"	"豆莢"	null	90.0	80
087年04月15日	"台北一"	"豆莢"	null	90.0	100
087年04月16日	"台北一"	"豆莢"	null	50.0	120
087年04月17日	"台北一"	"豆莢"	null	50.0	100
087年04月18日	"台北一"	"豆莢"	null	40.0	20
087年04月19日	"台北一"	"豆莢"	null	40.0	20
087年04月22日	"台北一"	"豆莢"	null	40.0	140
087年04月23日	"台北一"	"豆莢"	null	40.0	200
087年04月24日	"台北一"	"豆莢"	null	40.0	120
087年04月27日	"台北一"	"豆莢"	null	40.0	20
087年04月30日	"台北一"	"豆莢"	null	80.0	20
088年04月01日	"台北二"	"豆莢"	null	25.0	92
088年04月01日	"台北一"	"豆莢"	null	30.0	72
088年04月02日	"台北二"	"豆莢"	null	25.0	36
088年04月02日	"台北一"	"豆莢"	null	17.7	156
088年04月03日	"台北一"	"豆莢"	null	19.2	172
088年04月07日	"台北二"	"豆莢"	null	10.0	36
088年04月07日	"台北一"	"豆莢"	null	18.3	90
088年04月08日	"台北一"	"豆莢"	null	25.0	84
088年04月09日	"台北一"	"豆莢"	null	22.0	72
088年04月10日	"台北一"	"豆莢"	null	18.0	48
089年04月13日	"台北一"	"豆仁"	null	200.0	400
089年04月27日	"台北一"	"豆莢"	null	200.0	200
090年04月01日	"台北一"	"豆莢"	null	35.3	580
090年04月04日	"台北一"	"豆莢"	null	120.0	80
090年04月07日	"台北一"	"豆莢"	null	29.0	30
090年04月08日	"台北一"	"豆莢"	null	35.0	30
090年04月11日	"台北一"	"豆莢"	null	35.0	224
090年04月14日	"台北一"	"豆莢"	null	120.0	120
090年04月15日	"台北一"	"豆莢"	null	44.0	150
090年04月17日	"台北一"	"豆莢"	null	150.0	80
090年04月21日	"台北一"	"豆莢"	null	120.0	165
090年04月22日	"台北一"	"豆莢"	null	93.4	184
090年04月27日	"台北一"	"豆莢"	null	43.0	52
090年04月29日	"台北一"	"豆莢"	null	34.6	210
091年04月09日	"台北一"	"豆莢"	null	10.4	696
091年04月12日	"台北一"	"豆莢"	null	10.0	136
091年04月14日	"台北一"	"豆莢"	null	150.0	300
091年04月19日	"台北一"	"豆莢"	null	10.0	255
092年04月01日	"台北一"	"豆莢"	null	60.0	45
092年04月05日	"台北一"	"豆莢"	null	80.0	45
092年04月09日	"台北一"	"豆莢"	null	70.0	40
