date	mktname	sbtype	transformation	middleprice	quantity
085年04月01日	"台北一"	"其他"	null	15.0	220
085年04月01日	"台北二"	"木瓜形"	null	9.9	820
085年04月01日	"台北一"	"木瓜形"	null	10.0	982
085年04月01日	"台中市"	"木瓜形"	null	17.6	64
085年04月01日	"高雄市"	"木瓜形"	null	15.0	578
085年04月02日	"台北一"	"其他"	null	15.0	126
085年04月02日	"台北二"	"木瓜形"	null	10.8	465
085年04月02日	"台北一"	"木瓜形"	null	10.0	1843
085年04月02日	"台中市"	"木瓜形"	null	15.8	181
085年04月02日	"高雄市"	"木瓜形"	null	15.0	500
085年04月03日	"台北二"	"木瓜形"	null	8.2	245
085年04月03日	"台北一"	"木瓜形"	null	10.0	909
085年04月03日	"高雄市"	"木瓜形"	null	17.0	500
085年04月03日	"花蓮市"	"木瓜形"	null	7.5	292
085年04月04日	"台中市"	"木瓜形"	null	15.0	27
085年04月04日	"高雄市"	"木瓜形"	null	20.0	300
085年04月06日	"台北一"	"其他"	null	15.0	912
085年04月06日	"台北二"	"木瓜形"	null	15.3	270
085年04月06日	"台北一"	"木瓜形"	null	10.0	1184
085年04月07日	"台北一"	"其他"	null	15.0	1048
085年04月07日	"台北二"	"木瓜形"	null	15.7	471
085年04月07日	"台北一"	"木瓜形"	null	10.0	2788
085年04月07日	"台中市"	"木瓜形"	null	12.0	154
085年04月07日	"高雄市"	"木瓜形"	null	13.0	692
085年04月08日	"台北一"	"其他"	null	15.0	385
085年04月08日	"台北二"	"木瓜形"	null	10.8	385
085年04月08日	"台北一"	"木瓜形"	null	10.0	4881
085年04月08日	"台中市"	"木瓜形"	null	15.0	25
085年04月08日	"高雄市"	"木瓜形"	null	17.0	700
085年04月09日	"台北一"	"其他"	null	15.0	643
085年04月09日	"台北二"	"木瓜形"	null	12.3	742
085年04月09日	"台北一"	"木瓜形"	null	10.0	7002
085年04月09日	"高雄市"	"木瓜形"	null	15.0	770
085年04月10日	"台北一"	"其他"	null	15.0	450
085年04月10日	"台北二"	"木瓜形"	null	12.0	836
085年04月10日	"台北一"	"木瓜形"	null	10.0	6810
085年04月10日	"高雄市"	"木瓜形"	null	16.0	850
085年04月11日	"台北一"	"其他"	null	15.0	552
085年04月11日	"台北二"	"木瓜形"	null	10.5	685
085年04月11日	"台北一"	"木瓜形"	null	10.0	2371
085年04月11日	"台中市"	"木瓜形"	null	16.6	30
085年04月11日	"高雄市"	"木瓜形"	null	17.0	600
085年04月12日	"台中市"	"木瓜形"	null	15.8	60
085年04月12日	"高雄市"	"木瓜形"	null	19.0	280
085年04月13日	"台北一"	"其他"	null	15.0	610
085年04月13日	"台北一"	"木瓜形"	null	10.0	6238
085年04月13日	"台中市"	"木瓜形"	null	13.0	48
085年04月13日	"高雄市"	"木瓜形"	null	17.0	698
085年04月14日	"台北一"	"其他"	null	15.0	830
085年04月14日	"台北一"	"木瓜形"	null	10.0	3483
085年04月14日	"台中市"	"木瓜形"	null	8.3	60
085年04月14日	"高雄市"	"木瓜形"	null	20.0	400
085年04月14日	"花蓮市"	"木瓜形"	null	9.0	150
085年04月15日	"台北一"	"其他"	null	15.0	1817
085年04月15日	"台北二"	"木瓜形"	null	12.4	929
085年04月15日	"台北一"	"木瓜形"	null	10.0	4443
085年04月15日	"台中市"	"木瓜形"	null	6.0	248
085年04月15日	"高雄市"	"木瓜形"	null	23.0	498
085年04月16日	"台北一"	"其他"	null	15.0	210
085年04月16日	"台北二"	"木瓜形"	null	10.6	752
085年04月16日	"台北一"	"木瓜形"	null	10.0	3599
085年04月16日	"台中市"	"木瓜形"	null	15.0	30
085年04月16日	"高雄市"	"木瓜形"	null	15.0	400
085年04月17日	"台北一"	"其他"	null	15.0	100
085年04月17日	"台北二"	"木瓜形"	null	8.5	437
085年04月17日	"台北一"	"木瓜形"	null	10.0	3177
085年04月17日	"高雄市"	"木瓜形"	null	15.0	350
085年04月18日	"台北一"	"其他"	null	15.0	488
085年04月18日	"台北二"	"木瓜形"	null	11.0	450
085年04月18日	"台北一"	"木瓜形"	null	10.0	3625
085年04月18日	"台中市"	"木瓜形"	null	10.8	68
085年04月18日	"高雄市"	"木瓜形"	null	19.0	240
085年04月19日	"台北一"	"其他"	null	15.0	345
085年04月19日	"台北二"	"木瓜形"	null	10.5	760
085年04月19日	"台北一"	"木瓜形"	null	10.0	2985
085年04月19日	"台中市"	"木瓜形"	null	12.5	60
085年04月19日	"高雄市"	"木瓜形"	null	18.0	710
085年04月21日	"台北一"	"其他"	null	15.0	599
085年04月21日	"台北二"	"木瓜形"	null	10.0	448
085年04月21日	"台北一"	"木瓜形"	null	10.0	2687
085年04月21日	"台中市"	"木瓜形"	null	11.7	120
085年04月21日	"高雄市"	"木瓜形"	null	16.0	1760
085年04月21日	"花蓮市"	"木瓜形"	null	6.0	320
085年04月22日	"台北一"	"其他"	null	15.0	570
085年04月22日	"台北二"	"木瓜形"	null	8.2	392
085年04月22日	"台北一"	"木瓜形"	null	10.0	4294
085年04月22日	"台中市"	"木瓜形"	null	7.9	90
085年04月22日	"高雄市"	"木瓜形"	null	17.0	700
085年04月22日	"花蓮市"	"木瓜形"	null	9.0	126
085年04月23日	"台北一"	"其他"	null	15.0	345
085年04月23日	"台北二"	"木瓜形"	null	14.6	498
085年04月23日	"台北一"	"木瓜形"	null	10.0	3981
085年04月23日	"台中市"	"木瓜形"	null	6.6	60
085年04月23日	"高雄市"	"木瓜形"	null	18.0	610
085年04月24日	"台北一"	"其他"	null	15.0	345
085年04月24日	"台北二"	"木瓜形"	null	13.7	807
085年04月24日	"台北一"	"木瓜形"	null	10.0	3503
085年04月24日	"台中市"	"木瓜形"	null	8.3	60
085年04月24日	"高雄市"	"木瓜形"	null	20.0	350
085年04月25日	"台北一"	"其他"	null	15.0	374
085年04月25日	"台北二"	"木瓜形"	null	12.0	753
085年04月25日	"台北一"	"木瓜形"	null	10.0	5476
085年04月25日	"台中市"	"木瓜形"	null	12.0	50
085年04月25日	"高雄市"	"木瓜形"	null	17.0	675
085年04月26日	"台北一"	"其他"	null	15.0	419
085年04月26日	"台北二"	"木瓜形"	null	11.5	519
085年04月26日	"台北一"	"木瓜形"	null	10.0	5961
085年04月26日	"台中市"	"木瓜形"	null	15.0	30
085年04月26日	"高雄市"	"木瓜形"	null	17.0	510
085年04月26日	"花蓮市"	"木瓜形"	null	14.0	175
085年04月27日	"高雄市"	"木瓜形"	null	17.0	460
085年04月28日	"台北一"	"其他"	null	15.0	547
085年04月28日	"台北二"	"木瓜形"	null	10.0	1045
085年04月28日	"台北一"	"木瓜形"	null	10.0	5157
085年04月28日	"台中市"	"木瓜形"	null	18.6	103
085年04月28日	"高雄市"	"木瓜形"	null	15.0	1094
085年04月28日	"花蓮市"	"木瓜形"	null	13.0	160
085年04月29日	"台北一"	"其他"	null	15.0	652
085年04月29日	"台北二"	"木瓜形"	null	8.7	1047
085年04月29日	"台北一"	"木瓜形"	null	10.0	7164
085年04月29日	"高雄市"	"木瓜形"	null	16.0	600
085年04月30日	"台北一"	"其他"	null	15.0	365
085年04月30日	"台北二"	"木瓜形"	null	9.9	1188
085年04月30日	"台北一"	"木瓜形"	null	10.0	5334
085年04月30日	"台中市"	"木瓜形"	null	15.0	28
085年04月30日	"高雄市"	"木瓜形"	null	18.0	680
085年04月30日	"花蓮市"	"木瓜形"	null	15.0	333
086年04月01日	"台北一"	"其他"	null	12.0	675
086年04月01日	"台北二"	"木瓜形"	null	7.9	362
086年04月01日	"台北一"	"木瓜形"	null	10.0	4013
086年04月01日	"台中市"	"木瓜形"	null	8.1	56
086年04月01日	"高雄市"	"木瓜形"	null	14.1	1390
086年04月02日	"台北一"	"其他"	null	12.0	660
086年04月02日	"台北二"	"木瓜形"	null	7.6	446
086年04月02日	"台北一"	"木瓜形"	null	10.0	3597
086年04月02日	"台中市"	"木瓜形"	null	9.5	60
086年04月02日	"高雄市"	"木瓜形"	null	15.0	1308
