date	mktname	sbtype	transformation	middleprice	quantity
095年04月01日	"台北二"	null	null	15.0	50
095年04月01日	"台北一"	null	null	8.5	1222
095年04月01日	"三重市"	null	null	8.3	520
095年04月01日	"台中市"	null	null	23.3	22
095年04月01日	"高雄市"	null	null	24.0	12
095年04月02日	"台北二"	null	null	14.0	40
095年04月02日	"台北一"	null	null	8.5	1354
095年04月02日	"三重市"	null	null	7.1	460
095年04月02日	"台中市"	null	null	26.0	12
095年04月02日	"高雄市"	null	null	25.0	40
095年04月03日	"台北一"	null	null	9.9	880
095年04月03日	"三重市"	null	null	6.7	370
095年04月03日	"台中市"	null	null	22.4	82
095年04月03日	"高雄市"	null	null	25.1	52
095年04月04日	"台北二"	null	null	15.0	30
095年04月04日	"台北一"	null	null	7.2	1576
095年04月04日	"三重市"	null	null	7.0	492
095年04月04日	"台中市"	null	null	25.0	32
095年04月04日	"高雄市"	null	null	25.9	52
095年04月07日	"台北二"	null	null	13.0	138
095年04月07日	"台北一"	null	null	8.0	1450
095年04月07日	"三重市"	null	null	6.6	400
095年04月07日	"台中市"	null	null	20.0	112
095年04月08日	"台北二"	null	null	13.3	110
095年04月08日	"台北一"	null	null	8.0	1873
095年04月08日	"三重市"	null	null	6.6	400
095年04月08日	"台中市"	null	null	15.8	92
095年04月08日	"高雄市"	null	null	20.3	52
095年04月09日	"台北二"	null	null	9.2	104
095年04月09日	"台北一"	null	null	7.9	1897
095年04月09日	"三重市"	null	null	6.0	390
095年04月09日	"台中市"	null	null	15.5	77
095年04月09日	"高雄市"	null	null	20.0	22
095年04月11日	"台北二"	null	null	9.8	65
095年04月11日	"台北一"	null	null	7.1	1674
095年04月11日	"三重市"	null	null	7.3	616
095年04月11日	"台中市"	null	null	19.1	75
095年04月11日	"高雄市"	null	null	20.0	12
095年04月12日	"台北一"	null	null	8.4	844
095年04月12日	"三重市"	null	null	6.0	352
095年04月12日	"台中市"	null	null	20.0	42
095年04月13日	"台北一"	null	null	7.7	1734
095年04月13日	"三重市"	null	null	6.0	616
095年04月13日	"台中市"	null	null	20.0	62
095年04月14日	"台北二"	null	null	15.0	10
095年04月14日	"台北一"	null	null	6.4	1474
095年04月14日	"三重市"	null	null	6.0	442
095年04月14日	"台中市"	null	null	20.0	40
095年04月14日	"高雄市"	null	null	20.0	12
