date	mktname	sbtype	transformation	middleprice	quantity
085年04月01日	"台北二"	"小梗"	null	4.0	4460
085年04月01日	"台北一"	"小梗"	null	6.0	20046
085年04月01日	"台中市"	"小梗"	null	8.6	427
085年04月01日	"西螺鎮"	"小梗"	null	5.9	3912
085年04月01日	"高雄市"	"小梗"	null	12.0	3869
085年04月01日	"鳳山區"	"小梗"	null	6.0	720
085年04月02日	"台北二"	"小梗"	null	5.0	2640
085年04月02日	"台北一"	"小梗"	null	9.0	13964
085年04月02日	"台中市"	"小梗"	null	7.5	938.5
085年04月02日	"永靖鄉"	"小梗"	null	9.5	450
085年04月02日	"西螺鎮"	"小梗"	null	6.1	5295
085年04月02日	"高雄市"	"小梗"	null	11.0	2245
085年04月02日	"鳳山區"	"小梗"	null	5.9	1425
085年04月03日	"台北二"	"小梗"	null	6.0	6765
085年04月03日	"台北一"	"小梗"	null	9.0	25495
085年04月03日	"台中市"	"小梗"	null	7.0	655
085年04月03日	"永靖鄉"	"小梗"	null	8.5	247
085年04月03日	"西螺鎮"	"小梗"	null	6.6	1880
085年04月03日	"高雄市"	"小梗"	null	11.0	2790
085年04月03日	"鳳山區"	"小梗"	null	8.2	2180
085年04月04日	"台中市"	"小梗"	null	9.6	694
085年04月04日	"高雄市"	"小梗"	null	14.0	2003
085年04月05日	"西螺鎮"	"小梗"	null	5.8	3250
085年04月06日	"台北二"	"小梗"	null	10.0	5430
085年04月06日	"台北一"	"小梗"	null	17.0	24245
085年04月06日	"台中市"	"小梗"	null	10.3	1914
085年04月06日	"永靖鄉"	"小梗"	null	10.0	447
085年04月06日	"西螺鎮"	"小梗"	null	8.7	3186
085年04月07日	"台北二"	"小梗"	null	12.0	6545
085年04月07日	"台北一"	"小梗"	null	12.0	33363
085年04月07日	"台中市"	"小梗"	null	11.2	843
085年04月07日	"永靖鄉"	"小梗"	null	12.0	618
085年04月07日	"西螺鎮"	"小梗"	null	10.1	3855
085年04月07日	"高雄市"	"小梗"	null	15.0	3169
085年04月07日	"鳳山區"	"小梗"	null	10.0	385
085年04月08日	"台北二"	"小梗"	null	9.0	9206
085年04月08日	"台北一"	"小梗"	null	10.0	37751
085年04月08日	"台中市"	"小梗"	null	11.8	966.5
085年04月08日	"永靖鄉"	"小梗"	null	12.0	638
085年04月08日	"西螺鎮"	"小梗"	null	9.8	4898
085年04月08日	"高雄市"	"小梗"	null	14.0	2750
085年04月08日	"鳳山區"	"小梗"	null	10.0	1025
085年04月09日	"台北二"	"小梗"	null	6.0	9207
085年04月09日	"台北一"	"小梗"	null	9.0	25109
085年04月09日	"台中市"	"小梗"	null	12.1	657.5
085年04月09日	"永靖鄉"	"小梗"	null	12.5	994
085年04月09日	"西螺鎮"	"小梗"	null	9.2	5390
085年04月09日	"高雄市"	"小梗"	null	17.0	2795
085年04月10日	"台北二"	"小梗"	null	10.0	4765
085年04月10日	"台北一"	"小梗"	null	10.0	24702
085年04月10日	"台中市"	"小梗"	null	14.0	613.5
085年04月10日	"永靖鄉"	"小梗"	null	12.0	1258
085年04月10日	"西螺鎮"	"小梗"	null	8.3	7511
085年04月10日	"高雄市"	"小梗"	null	17.0	2728
085年04月10日	"鳳山區"	"小梗"	null	7.3	900
085年04月11日	"台北二"	"小梗"	null	9.0	5520
085年04月11日	"台北一"	"小梗"	null	12.0	24502
085年04月11日	"台中市"	"小梗"	null	13.7	989
085年04月11日	"永靖鄉"	"小梗"	null	13.0	1331
085年04月11日	"西螺鎮"	"小梗"	null	10.0	5180
085年04月11日	"高雄市"	"小梗"	null	17.0	2685
085年04月11日	"鳳山區"	"小梗"	null	8.7	975
085年04月12日	"台中市"	"小梗"	null	11.6	1007.5
085年04月12日	"永靖鄉"	"小梗"	null	13.5	579
085年04月12日	"西螺鎮"	"小梗"	null	10.0	6155
085年04月12日	"高雄市"	"小梗"	null	17.0	2145
085年04月12日	"鳳山區"	"小梗"	null	9.6	625
085年04月13日	"台北一"	"小梗"	null	13.0	26229
085年04月13日	"台中市"	"小梗"	null	13.9	651.5
085年04月13日	"永靖鄉"	"小梗"	null	13.0	1093
085年04月13日	"西螺鎮"	"小梗"	null	10.0	2762
085年04月13日	"高雄市"	"小梗"	null	17.0	3560
085年04月13日	"鳳山區"	"小梗"	null	11.0	1185
085年04月14日	"台北一"	"小梗"	null	15.0	22365
085年04月14日	"台中市"	"小梗"	null	16.9	263
085年04月14日	"永靖鄉"	"小梗"	null	13.5	656
085年04月14日	"西螺鎮"	"小梗"	null	10.0	3678
085年04月14日	"高雄市"	"小梗"	null	17.0	3390
085年04月15日	"台北二"	"小梗"	null	12.0	4950
085年04月15日	"台北一"	"小梗"	null	15.0	22758
085年04月15日	"台中市"	"小梗"	null	16.2	814.5
085年04月15日	"永靖鄉"	"小梗"	null	14.0	1383
085年04月15日	"西螺鎮"	"小梗"	null	10.4	5946
085年04月15日	"高雄市"	"小梗"	null	17.0	3085
085年04月15日	"鳳山區"	"小梗"	null	11.6	775
085年04月16日	"台北二"	"小梗"	null	16.0	5308
085年04月16日	"台北一"	"小梗"	null	20.0	21863
085年04月16日	"台中市"	"小梗"	null	20.0	997.5
085年04月16日	"永靖鄉"	"小梗"	null	15.0	2136
085年04月16日	"西螺鎮"	"小梗"	null	11.3	5014
085年04月16日	"高雄市"	"小梗"	null	19.0	2695
085年04月16日	"鳳山區"	"小梗"	null	12.0	750
085年04月17日	"台北二"	"小梗"	null	16.0	5797
085年04月17日	"台北一"	"小梗"	null	18.0	31322
085年04月17日	"台中市"	"小梗"	null	18.7	549.5
085年04月17日	"永靖鄉"	"小梗"	null	15.0	1565
085年04月17日	"西螺鎮"	"小梗"	null	11.6	5154
085年04月17日	"高雄市"	"小梗"	null	19.0	2475
085年04月17日	"鳳山區"	"小梗"	null	12.5	550
085年04月18日	"台北二"	"小梗"	null	17.0	5029
085年04月18日	"台北一"	"小梗"	null	18.0	24218
085年04月18日	"台中市"	"小梗"	null	18.6	610
085年04月18日	"永靖鄉"	"小梗"	null	16.0	2122
085年04月18日	"西螺鎮"	"小梗"	null	10.8	5920
085年04月18日	"高雄市"	"小梗"	null	20.0	1965
085年04月19日	"台北二"	"小梗"	null	14.0	6202
085年04月19日	"台北一"	"小梗"	null	18.0	32629
085年04月19日	"台中市"	"小梗"	null	18.8	940.5
085年04月19日	"高雄市"	"小梗"	null	19.0	2269
085年04月19日	"鳳山區"	"小梗"	null	12.8	603
085年04月20日	"永靖鄉"	"小梗"	null	18.0	1851
085年04月20日	"西螺鎮"	"小梗"	null	12.8	3405
085年04月21日	"台北二"	"小梗"	null	16.0	2885
085年04月21日	"台北一"	"小梗"	null	22.0	21199
085年04月21日	"台中市"	"小梗"	null	19.1	657
085年04月21日	"永靖鄉"	"小梗"	null	18.0	1402
085年04月21日	"西螺鎮"	"小梗"	null	12.0	3785
085年04月21日	"高雄市"	"小梗"	null	19.0	2083
085年04月22日	"台北一"	"小梗"	null	19.0	25397
085年04月22日	"台中市"	"小梗"	null	19.8	717.5
085年04月22日	"永靖鄉"	"小梗"	null	16.0	805
085年04月22日	"西螺鎮"	"小梗"	null	13.1	3355
085年04月22日	"高雄市"	"小梗"	null	19.0	2270
085年04月23日	"台北二"	"小梗"	null	20.0	2076
085年04月23日	"台北一"	"小梗"	null	28.0	14462
085年04月23日	"台中市"	"小梗"	null	20.1	706
085年04月23日	"永靖鄉"	"小梗"	null	17.5	1326
085年04月23日	"西螺鎮"	"小梗"	null	12.0	5530
085年04月23日	"高雄市"	"小梗"	null	18.0	2270
085年04月24日	"台北二"	"小梗"	null	20.0	2890
085年04月24日	"台北一"	"小梗"	null	24.0	21859
085年04月24日	"台中市"	"小梗"	null	22.8	820.5
085年04月24日	"永靖鄉"	"小梗"	null	13.0	2495
085年04月24日	"西螺鎮"	"小梗"	null	12.9	4158
085年04月24日	"高雄市"	"小梗"	null	19.0	2680
085年04月25日	"台北二"	"小梗"	null	22.0	4032
085年04月25日	"台北一"	"小梗"	null	26.0	13952
085年04月25日	"台中市"	"小梗"	null	24.5	575.5
085年04月25日	"永靖鄉"	"小梗"	null	14.0	1209
085年04月25日	"西螺鎮"	"小梗"	null	13.7	2468
085年04月25日	"高雄市"	"小梗"	null	19.0	1982
085年04月26日	"台北二"	"小梗"	null	22.0	3461
085年04月26日	"台北一"	"小梗"	null	33.0	18050
085年04月26日	"台中市"	"小梗"	null	28.3	440
085年04月26日	"永靖鄉"	"小梗"	null	14.0	257
085年04月26日	"西螺鎮"	"小梗"	null	16.3	4490
085年04月26日	"高雄市"	"小梗"	null	22.0	2090
085年04月27日	"台中市"	"小梗"	null	28.7	548.5
085年04月27日	"永靖鄉"	"小梗"	null	14.5	517
085年04月27日	"西螺鎮"	"小梗"	null	17.6	6152
085年04月27日	"高雄市"	"小梗"	null	22.0	2733
085年04月28日	"台北二"	"小梗"	null	20.0	4485
085年04月28日	"台北一"	"小梗"	null	24.0	23451
085年04月28日	"台中市"	"小梗"	null	24.0	703
085年04月28日	"永靖鄉"	"小梗"	null	15.0	1292
085年04月28日	"西螺鎮"	"小梗"	null	17.9	3438
085年04月28日	"高雄市"	"小梗"	null	20.0	3026
085年04月29日	"台北二"	"小梗"	null	14.0	5721
085年04月29日	"台北一"	"小梗"	null	14.0	23124
085年04月29日	"台中市"	"小梗"	null	19.0	1379
085年04月29日	"永靖鄉"	"小梗"	null	15.5	408
085年04月29日	"西螺鎮"	"小梗"	null	16.7	4512
085年04月29日	"高雄市"	"小梗"	null	19.0	3518
085年04月29日	"鳳山區"	"小梗"	null	12.0	667
085年04月30日	"台北二"	"小梗"	null	9.0	4631
