date	mktname	sbtype	transformation	middleprice	quantity
085年04月01日	"台北二"	"紅莧菜"	null	12.0	70
085年04月01日	"台北一"	"紅莧菜"	null	18.0	1708
085年04月01日	"台北二"	"白莧菜"	null	15.0	650
085年04月01日	"台北一"	"白莧菜"	null	20.0	6019
085年04月01日	"台中市"	"白莧菜"	null	16.2	247.5
085年04月01日	"永靖鄉"	"白莧菜"	null	16.5	154
085年04月01日	"西螺鎮"	"白莧菜"	null	19.3	2605
085年04月01日	"高雄市"	"白莧菜"	null	15.0	1580
085年04月02日	"台北一"	"紅莧菜"	null	18.0	933
085年04月02日	"台北二"	"白莧菜"	null	15.0	720
085年04月02日	"台北一"	"白莧菜"	null	23.0	5627
085年04月02日	"台中市"	"白莧菜"	null	18.5	177
085年04月02日	"永靖鄉"	"白莧菜"	null	16.5	538
085年04月02日	"西螺鎮"	"白莧菜"	null	15.3	1835
085年04月02日	"高雄市"	"白莧菜"	null	13.0	1090
085年04月03日	"台北一"	"紅莧菜"	null	18.0	385
085年04月03日	"台北二"	"白莧菜"	null	15.0	1090
085年04月03日	"台北一"	"白莧菜"	null	23.0	5563
085年04月03日	"台中市"	"白莧菜"	null	20.0	60
085年04月03日	"永靖鄉"	"白莧菜"	null	17.0	695
085年04月03日	"西螺鎮"	"白莧菜"	null	19.6	2526
085年04月03日	"高雄市"	"白莧菜"	null	13.0	720
085年04月04日	"高雄市"	"白莧菜"	null	13.0	810
085年04月05日	"西螺鎮"	"白莧菜"	null	18.1	1704
085年04月06日	"台北一"	"紅莧菜"	null	25.0	175
085年04月06日	"台北二"	"白莧菜"	null	25.0	490
085年04月06日	"台北一"	"白莧菜"	null	35.0	5776
085年04月06日	"台中市"	"白莧菜"	null	25.0	20
085年04月06日	"永靖鄉"	"白莧菜"	null	17.5	266
085年04月06日	"西螺鎮"	"白莧菜"	null	19.4	1385
085年04月07日	"台北二"	"紅莧菜"	null	25.0	90
085年04月07日	"台北一"	"紅莧菜"	null	25.0	1277
085年04月07日	"台中市"	"紅莧菜"	null	15.9	127.5
085年04月07日	"台北二"	"白莧菜"	null	28.0	460
085年04月07日	"台北一"	"白莧菜"	null	30.0	5491
085年04月07日	"台中市"	"白莧菜"	null	25.0	60
085年04月07日	"永靖鄉"	"白莧菜"	null	17.5	445
085年04月07日	"西螺鎮"	"白莧菜"	null	19.4	2744
085年04月07日	"高雄市"	"白莧菜"	null	15.0	820
085年04月08日	"台北一"	"紅莧菜"	null	25.0	550
085年04月08日	"台北二"	"白莧菜"	null	25.0	510
085年04月08日	"台北一"	"白莧菜"	null	30.0	6561
085年04月08日	"台中市"	"白莧菜"	null	20.0	103
085年04月08日	"永靖鄉"	"白莧菜"	null	19.0	513
085年04月08日	"西螺鎮"	"白莧菜"	null	20.8	5361
085年04月08日	"高雄市"	"白莧菜"	null	15.0	790
085年04月09日	"台北二"	"紅莧菜"	null	20.0	190
085年04月09日	"台北一"	"紅莧菜"	null	25.0	1226
085年04月09日	"台中市"	"紅莧菜"	null	10.4	86.5
085年04月09日	"台北二"	"白莧菜"	null	20.0	630
085年04月09日	"台北一"	"白莧菜"	null	30.0	6310
085年04月09日	"台中市"	"白莧菜"	null	25.0	46
085年04月09日	"永靖鄉"	"白莧菜"	null	18.0	845
085年04月09日	"西螺鎮"	"白莧菜"	null	21.5	3584
085年04月09日	"高雄市"	"白莧菜"	null	17.0	790
085年04月10日	"台北二"	"紅莧菜"	null	20.0	330
085年04月10日	"台北一"	"紅莧菜"	null	25.0	915
085年04月10日	"台北二"	"白莧菜"	null	20.0	720
085年04月10日	"台北一"	"白莧菜"	null	25.0	5177
085年04月10日	"台中市"	"白莧菜"	null	27.0	79
085年04月10日	"永靖鄉"	"白莧菜"	null	18.0	143
085年04月10日	"西螺鎮"	"白莧菜"	null	21.1	4930
085年04月10日	"高雄市"	"白莧菜"	null	15.0	720
085年04月11日	"台北二"	"紅莧菜"	null	16.1	360
085年04月11日	"台北一"	"紅莧菜"	null	25.0	1640
085年04月11日	"台北二"	"白莧菜"	null	25.0	1210
085年04月11日	"台北一"	"白莧菜"	null	25.0	6680
085年04月11日	"永靖鄉"	"白莧菜"	null	18.0	428
085年04月11日	"西螺鎮"	"白莧菜"	null	21.8	4423
085年04月11日	"高雄市"	"白莧菜"	null	16.0	860
085年04月12日	"台中市"	"紅莧菜"	null	18.5	162.5
085年04月12日	"永靖鄉"	"白莧菜"	null	18.0	367
085年04月12日	"西螺鎮"	"白莧菜"	null	19.7	4050
085年04月12日	"高雄市"	"白莧菜"	null	17.0	690
085年04月13日	"台北一"	"紅莧菜"	null	20.0	1163
