date	mktname	sbtype	transformation	middleprice	quantity
085年04月01日	"台北一"	null	null	35.0	58
085年04月03日	"台北二"	null	null	40.0	10
085年04月03日	"台北一"	null	null	35.0	45
085年04月06日	"台北一"	null	null	35.0	75
085年04月07日	"台北二"	null	null	40.0	15
085年04月07日	"台北一"	null	null	35.0	50
085年04月09日	"台北二"	null	null	40.0	12
085年04月09日	"台北一"	null	null	35.0	50
085年04月10日	"台北一"	null	null	35.0	40
085年04月11日	"台北一"	null	null	35.0	31
085年04月13日	"台北一"	null	null	35.0	39
085年04月14日	"台北一"	null	null	35.0	33
085年04月16日	"台北一"	null	null	35.0	68
085年04月18日	"台北一"	null	null	35.0	57
085年04月19日	"台北二"	null	null	34.0	48
085年04月19日	"台北一"	null	null	35.0	108
085年04月19日	"高雄市"	null	null	33.0	340
085年04月21日	"台北一"	null	null	35.0	20
085年04月22日	"台北一"	null	null	35.0	80
085年04月23日	"台北一"	null	null	35.0	60
085年04月24日	"台北一"	null	null	35.0	120
085年04月26日	"台北一"	null	null	35.0	120
085年04月28日	"台北一"	null	null	35.0	25
085年04月30日	"台北一"	null	null	35.0	30
086年04月01日	"台北二"	null	null	0.0	30
086年04月01日	"高雄市"	null	null	13.9	300
086年04月02日	"台北一"	null	null	35.0	15
086年04月02日	"高雄市"	null	null	10.0	60
086年04月03日	"台北一"	null	null	35.0	75
086年04月03日	"高雄市"	null	null	20.0	30
086年04月04日	"台北一"	null	null	35.0	50
086年04月04日	"高雄市"	null	null	36.9	102
086年04月07日	"台北二"	null	null	12.0	30
086年04月07日	"台北一"	null	null	35.0	15
086年04月09日	"台北一"	null	null	35.0	15
086年04月09日	"高雄市"	null	null	38.6	70
086年04月10日	"台北一"	null	null	35.0	20
086年04月11日	"高雄市"	null	null	20.0	30
086年04月12日	"高雄市"	null	null	43.3	140
086年04月13日	"台北一"	null	null	35.0	20
086年04月13日	"高雄市"	null	null	40.0	30
086年04月14日	"台北一"	null	null	35.0	20
086年04月14日	"高雄市"	null	null	20.0	30
086年04月15日	"台北一"	null	null	35.0	15
086年04月15日	"高雄市"	null	null	50.0	90
086年04月17日	"台北一"	null	null	35.0	40
086年04月17日	"高雄市"	null	null	43.3	90
086年04月18日	"台北二"	null	null	15.0	12
086年04月18日	"高雄市"	null	null	50.0	40
086年04月19日	"台北一"	null	null	35.0	15
086年04月19日	"高雄市"	null	null	43.3	90
086年04月20日	"台北一"	null	null	25.0	32
086年04月20日	"高雄市"	null	null	20.0	30
086年04月21日	"台北二"	null	null	18.0	45
086年04月21日	"台北一"	null	null	25.0	120
086年04月21日	"高雄市"	null	null	50.0	60
086年04月22日	"台北一"	null	null	25.0	20
086年04月22日	"高雄市"	null	null	52.2	90
086年04月24日	"台北一"	null	null	25.0	20
086年04月24日	"高雄市"	null	null	40.0	20
086年04月25日	"台北一"	null	null	25.0	15
086年04月25日	"高雄市"	null	null	50.0	60
086年04月26日	"台北一"	null	null	25.0	15
086年04月26日	"高雄市"	null	null	50.0	100
086年04月27日	"台北一"	null	null	25.0	12
086年04月27日	"高雄市"	null	null	20.0	50
086年04月28日	"台北一"	null	null	25.0	18
086年04月28日	"高雄市"	null	null	41.5	110
086年04月29日	"台北一"	null	null	25.0	10
086年04月30日	"台北一"	null	null	25.0	140
086年04月30日	"高雄市"	null	null	30.0	30
087年04月01日	"台北二"	null	null	50.0	48
087年04月01日	"台北一"	null	null	35.0	24
087年04月02日	"台北一"	null	null	35.0	32
087年04月03日	"台北一"	null	null	35.0	22
087年04月03日	"高雄市"	null	null	27.9	80
087年04月04日	"台北一"	null	null	35.0	204
087年04月04日	"高雄市"	null	null	55.3	98
087年04月07日	"台北一"	null	null	35.0	64
087年04月08日	"台北一"	null	null	50.0	15
087年04月08日	"高雄市"	null	null	60.0	40
087年04月09日	"台北一"	null	null	35.0	90
087年04月09日	"高雄市"	null	null	53.3	50
087年04月10日	"台北一"	null	null	35.0	32
087年04月10日	"高雄市"	null	null	74.6	65
087年04月11日	"台北一"	null	null	35.0	136
087年04月11日	"高雄市"	null	null	40.0	20
087年04月12日	"台北一"	null	null	35.0	122
087年04月14日	"台北一"	null	null	35.0	48
087年04月14日	"高雄市"	null	null	40.0	20
087年04月15日	"台北二"	null	null	40.0	12
087年04月16日	"台北一"	null	null	35.0	79
087年04月16日	"高雄市"	null	null	40.0	10
087年04月17日	"台北一"	null	null	35.0	126
087年04月17日	"高雄市"	null	null	40.0	20
