date	mktname	sbtype	transformation	middleprice	quantity
090年04月11日	"台北一"	null	null	13.9	77
090年04月16日	"台北一"	null	null	12.0	21
093年04月24日	"台北二"	null	null	20.0	14
093年04月24日	"台北一"	null	null	5.0	24
096年04月21日	"台北一"	null	null	20.0	11
097年04月13日	"台北一"	null	null	27.0	12
097年04月16日	"台北一"	null	null	9.0	24
098年04月01日	"台北一"	null	null	11.8	46
098年04月10日	"台北一"	null	null	9.0	9
098年04月14日	"台北一"	null	null	20.0	14
098年04月22日	"台北一"	null	null	13.0	7
098年04月25日	"台北一"	null	null	20.0	10
098年04月26日	"台北一"	null	null	20.0	52
098年04月28日	"台北一"	null	null	15.0	74
098年04月29日	"台北一"	null	null	14.9	58
098年04月30日	"台北一"	null	null	20.9	18
099年04月01日	"台北一"	null	null	34.0	18
099年04月02日	"台北一"	null	null	27.6	38
099年04月03日	"台北一"	null	null	27.3	29
099年04月04日	"台北一"	null	null	30.0	20
099年04月07日	"台北一"	null	null	28.4	22
099年04月08日	"台北一"	null	null	20.0	52
099年04月09日	"台北一"	null	null	24.4	47
099年04月10日	"台北一"	null	null	20.0	50
099年04月11日	"台北一"	null	null	20.0	32
099年04月13日	"台北一"	null	null	13.6	17
099年04月14日	"台北一"	null	null	17.5	34
099年04月15日	"台北一"	null	null	19.6	47
099年04月16日	"台北一"	null	null	13.0	29
099年04月17日	"台北一"	null	null	17.4	102
099年04月18日	"台北一"	null	null	17.0	51
099年04月20日	"台北一"	null	null	16.3	35
099年04月21日	"台北一"	null	null	18.0	21
099年04月22日	"台北一"	null	null	15.0	62
099年04月23日	"台北一"	null	null	10.2	56
099年04月24日	"台北一"	null	null	10.0	45
099年04月25日	"台北一"	null	null	10.0	33
099年04月27日	"台北一"	null	null	12.7	38
099年04月28日	"台北一"	null	null	20.0	20
099年04月29日	"台北一"	null	null	18.0	29
099年04月30日	"台北一"	null	null	20.8	18
100年04月01日	"台北一"	null	null	21.8	42
100年04月02日	"台北一"	null	null	19.9	53
100年04月03日	"台北一"	null	null	15.0	9
100年04月07日	"台北一"	null	null	19.7	34
100年04月08日	"台北一"	null	null	20.0	52
100年04月09日	"台北一"	null	null	17.5	20
100年04月10日	"台北一"	null	null	15.0	9
100年04月12日	"台北一"	null	null	15.0	10
100年04月13日	"台北一"	null	null	15.0	49
100年04月14日	"台北一"	null	null	17.8	40
100年04月15日	"台北一"	null	null	17.5	18
100年04月16日	"台北一"	null	null	23.4	39
100年04月17日	"台北一"	null	null	15.0	20
100年04月19日	"台北一"	null	null	19.4	44
100年04月20日	"台北一"	null	null	15.2	81
100年04月21日	"台北一"	null	null	17.0	122
100年04月22日	"台北一"	null	null	13.9	30
100年04月23日	"台北一"	null	null	15.6	38
100年04月24日	"台北一"	null	null	15.0	7
100年04月26日	"台北一"	null	null	15.4	35
100年04月27日	"台北一"	null	null	15.3	38
100年04月28日	"台北一"	null	null	11.7	50
100年04月29日	"台北一"	null	null	12.6	45
100年04月30日	"台北一"	null	null	13.5	40
101年04月07日	"台北一"	null	null	12.0	10
101年04月08日	"台北一"	null	null	10.0	10
101年04月12日	"台北一"	null	null	10.0	12
101年04月14日	"台北一"	null	null	10.0	20
101年04月15日	"台北一"	null	null	10.0	10
101年04月17日	"台北一"	null	null	12.0	20
101年04月18日	"台北一"	null	null	10.2	40
101年04月19日	"台北一"	null	null	10.0	10
101年04月21日	"台北一"	null	null	10.0	10
101年04月28日	"台北一"	null	null	10.0	20
102年04月18日	"台北一"	null	null	25.0	20
102年04月19日	"台北一"	null	null	20.0	54
102年04月20日	"台北一"	null	null	26.5	20
088年08月11日	"台北一"	null	null	35.0	54
088年08月14日	"台北一"	null	null	35.0	90
089年08月28日	"台北一"	null	null	20.0	30
091年08月03日	"台北一"	null	null	15.0	23
091年08月04日	"台北一"	null	null	10.0	27
091年08月14日	"台北二"	null	null	5.0	10
