date	mktname	sbtype	transformation	middleprice	quantity
086年04月01日	"台北一"	null	null	22.1	350
086年04月02日	"台北一"	null	null	27.0	400
086年04月03日	"台北一"	null	null	22.6	418
086年04月04日	"台北一"	null	null	18.6	500
086年04月07日	"台北一"	null	null	30.9	340
086年04月08日	"台北一"	null	null	24.7	634
086年04月09日	"台北一"	null	null	20.5	490
086年04月10日	"台北一"	null	null	23.3	330
086年04月11日	"台北一"	null	null	23.6	270
086年04月12日	"台北一"	null	null	24.8	488
086年04月13日	"台北一"	null	null	26.3	378
086年04月14日	"台北一"	null	null	24.6	486
086年04月15日	"台北一"	null	null	21.7	498
086年04月17日	"台北一"	null	null	18.3	440
086年04月18日	"台北一"	null	null	35.0	200
086年04月19日	"台北一"	null	null	22.4	628
086年04月20日	"台北一"	null	null	28.9	386
086年04月20日	"台中市"	null	null	25.0	72
086年04月21日	"台北一"	null	null	24.2	270
086年04月22日	"台北一"	null	null	20.0	350
086年04月24日	"台北一"	null	null	27.0	496
086年04月25日	"台北一"	null	null	21.4	330
086年04月26日	"台北一"	null	null	18.8	380
086年04月27日	"台北一"	null	null	25.2	426
086年04月28日	"台北一"	null	null	29.6	388
086年04月29日	"台北一"	null	null	22.9	290
086年04月30日	"台北一"	null	null	29.3	380
087年04月01日	"台北一"	null	null	52.3	50
087年04月02日	"台北一"	null	null	35.4	150
087年04月02日	"台中市"	null	null	45.0	6
087年04月03日	"台北一"	null	null	35.6	148
087年04月04日	"台北一"	null	null	32.5	160
087年04月04日	"台中市"	null	null	45.0	12
087年04月07日	"台北一"	null	null	35.0	288
087年04月08日	"台北一"	null	null	30.5	186
087年04月08日	"台中市"	null	null	45.0	12
087年04月09日	"台北一"	null	null	39.3	140
087年04月09日	"台中市"	null	null	30.0	6
087年04月10日	"台北一"	null	null	29.4	314
087年04月10日	"台中市"	null	null	30.0	18
087年04月11日	"台北一"	null	null	31.0	160
087年04月12日	"台北一"	null	null	33.7	210
087年04月12日	"台中市"	null	null	30.0	20
087年04月14日	"台北一"	null	null	29.3	160
087年04月14日	"台中市"	null	null	45.0	20
087年04月15日	"台北一"	null	null	29.9	130
087年04月16日	"台北一"	null	null	32.9	110
087年04月16日	"台中市"	null	null	40.0	6
087年04月17日	"台北一"	null	null	33.1	218
087年04月17日	"台中市"	null	null	45.0	6
087年04月18日	"台北一"	null	null	34.4	398
087年04月18日	"台中市"	null	null	45.0	6
087年04月19日	"台北一"	null	null	36.3	130
087年04月19日	"台中市"	null	null	45.0	50
