date	mktname	sbtype	transformation	middleprice	quantity
086年04月01日	"台北一"	null	null	80.0	2897
086年04月01日	"高雄市"	null	null	35.0	20
086年04月03日	"台北一"	null	null	80.0	2577
086年04月03日	"高雄市"	null	null	70.0	20
086年04月04日	"台北一"	null	null	80.0	3672
086年04月04日	"高雄市"	null	null	35.0	20
086年04月07日	"台北一"	null	null	80.0	3580
086年04月08日	"台北一"	null	null	80.0	3720
086年04月08日	"高雄市"	null	null	35.0	20
086年04月09日	"台北一"	null	null	80.0	2805
086年04月09日	"高雄市"	null	null	35.0	20
086年04月10日	"台北一"	null	null	80.0	2043
086年04月10日	"高雄市"	null	null	35.0	20
086年04月11日	"台北一"	null	null	80.0	2398
086年04月11日	"高雄市"	null	null	35.0	20
086年04月12日	"台北一"	null	null	80.0	2713
086年04月12日	"高雄市"	null	null	70.0	20
086年04月13日	"台北一"	null	null	80.0	1341
086年04月13日	"高雄市"	null	null	35.0	20
086年04月14日	"台北一"	null	null	80.0	2417
086年04月14日	"高雄市"	null	null	35.0	20
086年04月15日	"台北一"	null	null	80.0	3089
086年04月15日	"高雄市"	null	null	35.0	20
086年04月16日	"高雄市"	null	null	35.0	20
086年04月17日	"台北一"	null	null	80.0	2518
086年04月17日	"高雄市"	null	null	35.0	20
086年04月18日	"台北一"	null	null	80.0	2452
086年04月18日	"高雄市"	null	null	35.0	20
086年04月19日	"台北一"	null	null	80.0	2567
086年04月19日	"高雄市"	null	null	35.0	20
086年04月20日	"台北一"	null	null	80.0	3084
086年04月20日	"台中市"	null	null	25.0	210
086年04月20日	"高雄市"	null	null	49.2	104
086年04月21日	"台北一"	null	null	80.0	3295
086年04月21日	"高雄市"	null	null	35.0	20
086年04月22日	"台北一"	null	null	80.0	3344
086年04月22日	"高雄市"	null	null	35.0	20
086年04月24日	"台北一"	null	null	80.0	2796
086年04月24日	"高雄市"	null	null	35.0	20
086年04月25日	"台北一"	null	null	80.0	2526
086年04月25日	"高雄市"	null	null	35.0	20
086年04月26日	"台北一"	null	null	80.0	2789
086年04月26日	"高雄市"	null	null	35.0	40
086年04月27日	"台北一"	null	null	80.0	2774
086年04月27日	"高雄市"	null	null	35.0	20
