date	mktname	sbtype	transformation	middleprice	quantity
086年04月01日	"台北一"	"鮑魚菇"	null	50.0	1308
086年04月02日	"台北一"	"鮑魚菇"	null	50.0	1024
086年04月03日	"台北一"	"鮑魚菇"	null	50.0	980
086年04月04日	"台北一"	"鮑魚菇"	null	50.0	1210
086年04月07日	"台北一"	"鮑魚菇"	null	40.0	1142
086年04月08日	"台北一"	"鮑魚菇"	null	42.3	1258
086年04月09日	"台北一"	"鮑魚菇"	null	42.0	1330
086年04月10日	"台北一"	"鮑魚菇"	null	50.0	1011
086年04月11日	"台北一"	"鮑魚菇"	null	40.0	1414
086年04月12日	"台北一"	"鮑魚菇"	null	40.0	1038
086年04月13日	"台北一"	"鮑魚菇"	null	50.0	942
086年04月14日	"台北一"	"鮑魚菇"	null	40.0	864
086年04月15日	"台北一"	"鮑魚菇"	null	40.0	870
086年04月17日	"台北一"	"鮑魚菇"	null	40.0	1074
086年04月18日	"台北一"	"鮑魚菇"	null	50.0	1144
086年04月19日	"台北一"	"鮑魚菇"	null	40.0	1110
086年04月20日	"台北一"	"鮑魚菇"	null	40.0	1128
086年04月21日	"台北一"	"鮑魚菇"	null	43.9	1644
086年04月22日	"台北一"	"鮑魚菇"	null	41.6	1326
086年04月24日	"台北一"	"鮑魚菇"	null	40.0	1270
086年04月25日	"台北一"	"鮑魚菇"	null	45.0	894
086年04月26日	"台北一"	"鮑魚菇"	null	40.0	632
086年04月27日	"台北一"	"鮑魚菇"	null	40.0	707
086年04月28日	"台北一"	"鮑魚菇"	null	40.0	655
086年04月29日	"台北一"	"鮑魚菇"	null	40.0	958
086年04月30日	"台北一"	"鮑魚菇"	null	40.0	1238
087年04月01日	"台北一"	"鮑魚菇"	null	50.0	1026
087年04月02日	"台北一"	"鮑魚菇"	null	46.6	1161
087年04月03日	"台北一"	"鮑魚菇"	null	50.0	1797
087年04月04日	"台北一"	"鮑魚菇"	null	50.0	1036
087年04月05日	"高雄市"	"鮑魚菇"	null	25.0	30
087年04月07日	"台北一"	"鮑魚菇"	null	49.6	1209
087年04月08日	"台北一"	"鮑魚菇"	null	50.0	1245
087年04月09日	"台北一"	"鮑魚菇"	null	48.9	886
087年04月10日	"台北一"	"鮑魚菇"	null	49.9	976
087年04月11日	"台北一"	"鮑魚菇"	null	40.3	1489
087年04月12日	"台北一"	"鮑魚菇"	null	43.5	2357
087年04月14日	"台北一"	"鮑魚菇"	null	39.4	1208
087年04月15日	"台北一"	"鮑魚菇"	null	40.0	1187
087年04月16日	"台北一"	"鮑魚菇"	null	40.0	745
087年04月17日	"台北一"	"鮑魚菇"	null	40.0	795
