date	mktname	sbtype	transformation	middleprice	quantity
086年04月01日	"台北一"	"麻竹筍"	null	20.0	506
086年04月01日	"高雄市"	"麻竹筍"	null	20.0	400
086年04月01日	"台北一"	"桂竹筍"	null	46.6	50
086年04月01日	"台北一"	"箭竹筍"	null	70.0	100
086年04月02日	"台北一"	"麻竹筍"	null	20.0	220
086年04月02日	"高雄市"	"麻竹筍"	null	20.0	400
086年04月02日	"台北一"	"箭竹筍"	null	70.0	100
086年04月03日	"台北一"	"麻竹筍"	null	20.0	110
086年04月03日	"高雄市"	"麻竹筍"	null	20.0	400
086年04月03日	"台北一"	"箭竹筍"	null	70.0	30
086年04月04日	"台北一"	"麻竹筍"	null	20.0	20
086年04月04日	"高雄市"	"麻竹筍"	null	20.0	400
086年04月04日	"台北一"	"桂竹筍"	null	40.0	400
086年04月04日	"台北一"	"箭竹筍"	null	70.0	110
086年04月07日	"台北一"	"麻竹筍"	null	20.0	275
086年04月07日	"台北一"	"箭竹筍"	null	70.0	150
086年04月08日	"台北一"	"麻竹筍"	null	20.0	44
086年04月08日	"高雄市"	"麻竹筍"	null	20.0	400
086年04月08日	"台北一"	"桂竹筍"	null	40.0	300
086年04月08日	"台北一"	"箭竹筍"	null	70.0	100
086年04月09日	"台北一"	"麻竹筍"	null	20.0	219
086年04月09日	"高雄市"	"麻竹筍"	null	20.0	400
086年04月09日	"台北一"	"箭竹筍"	null	70.0	160
086年04月10日	"台北一"	"麻竹筍"	null	20.0	50
086年04月10日	"高雄市"	"麻竹筍"	null	20.0	400
086年04月10日	"台北一"	"箭竹筍"	null	70.0	40
086年04月11日	"台北一"	"麻竹筍"	null	20.0	990
086年04月11日	"高雄市"	"麻竹筍"	null	20.0	400
086年04月11日	"台北一"	"箭竹筍"	null	70.0	80
086年04月12日	"台北一"	"麻竹筍"	null	20.0	100
086年04月12日	"高雄市"	"麻竹筍"	null	20.0	400
086年04月12日	"台北一"	"桂竹筍"	null	40.0	150
086年04月12日	"台北一"	"箭竹筍"	null	70.0	30
086年04月13日	"台北一"	"麻竹筍"	null	20.0	1485
086年04月13日	"高雄市"	"麻竹筍"	null	20.0	400
086年04月13日	"台北一"	"桂竹筍"	null	40.0	200
086年04月13日	"台北一"	"箭竹筍"	null	70.0	40
086年04月14日	"台北一"	"麻竹筍"	null	21.2	128
086年04月14日	"高雄市"	"麻竹筍"	null	20.0	400
086年04月15日	"台北一"	"麻竹筍"	null	20.0	3494
086年04月15日	"高雄市"	"麻竹筍"	null	20.0	400
086年04月15日	"台北一"	"箭竹筍"	null	70.0	40
086年04月16日	"高雄市"	"麻竹筍"	null	20.0	400
086年04月17日	"台北一"	"麻竹筍"	null	20.0	178
086年04月17日	"高雄市"	"麻竹筍"	null	20.0	400
086年04月18日	"台北一"	"麻竹筍"	null	20.0	170
086年04月18日	"高雄市"	"麻竹筍"	null	20.0	400
086年04月19日	"台北一"	"麻竹筍"	null	20.0	400
086年04月19日	"高雄市"	"麻竹筍"	null	20.0	400
086年04月20日	"台北一"	"麻竹筍"	null	20.0	317
086年04月20日	"高雄市"	"麻竹筍"	null	20.0	460
086年04月20日	"台北一"	"箭竹筍"	null	70.0	134
086年04月21日	"台北一"	"麻竹筍"	null	20.0	363
086年04月21日	"高雄市"	"麻竹筍"	null	22.2	634
086年04月21日	"台北一"	"桂竹筍"	null	40.0	200
086年04月22日	"台北一"	"麻竹筍"	null	20.0	341
086年04月22日	"高雄市"	"麻竹筍"	null	20.0	460
086年04月22日	"台北一"	"桂竹筍"	null	40.0	100
086年04月24日	"台北一"	"麻竹筍"	null	20.0	319
086年04月24日	"高雄市"	"麻竹筍"	null	33.3	7600
086年04月24日	"台北一"	"桂竹筍"	null	40.0	150
086年04月24日	"台北一"	"箭竹筍"	null	70.0	54
086年04月25日	"高雄市"	"麻竹筍"	null	33.3	13650
086年04月26日	"高雄市"	"麻竹筍"	null	20.0	400
086年04月26日	"台北一"	"箭竹筍"	null	70.0	88
086年04月27日	"台北一"	"麻竹筍"	null	20.0	352
086年04月27日	"高雄市"	"麻竹筍"	null	20.0	400
086年04月28日	"台北一"	"麻竹筍"	null	20.0	120
086年04月28日	"高雄市"	"麻竹筍"	null	20.0	400
086年04月28日	"台北一"	"桂竹筍"	null	40.0	120
086年04月28日	"台北一"	"箭竹筍"	null	70.0	190
086年04月29日	"高雄市"	"麻竹筍"	null	20.0	400
086年04月29日	"台北一"	"箭竹筍"	null	70.0	60
086年04月30日	"高雄市"	"麻竹筍"	null	20.0	400
086年04月30日	"台北一"	"箭竹筍"	null	70.0	60
087年04月01日	"台北一"	"麻竹筍"	null	20.0	1008
087年04月01日	"高雄市"	"麻竹筍"	null	32.6	1202
087年04月02日	"台北一"	"麻竹筍"	null	20.0	326
087年04月02日	"高雄市"	"麻竹筍"	null	33.1	958
087年04月02日	"台北一"	"桂竹筍"	null	35.0	2301
087年04月03日	"台北一"	"麻竹筍"	null	20.0	240
087年04月03日	"高雄市"	"麻竹筍"	null	32.4	1256
087年04月04日	"台北一"	"麻竹筍"	null	20.0	715
087年04月04日	"高雄市"	"麻竹筍"	null	31.5	1291
087年04月04日	"台北一"	"綠竹筍"	null	50.0	150
087年04月05日	"高雄市"	"麻竹筍"	null	33.0	892
087年04月07日	"台北一"	"麻竹筍"	null	20.0	238
087年04月08日	"高雄市"	"麻竹筍"	null	32.4	1030
087年04月09日	"高雄市"	"麻竹筍"	null	32.9	920
087年04月09日	"台北一"	"桂竹筍"	null	40.0	110
087年04月10日	"台北一"	"麻竹筍"	null	20.0	77
087年04月10日	"高雄市"	"麻竹筍"	null	33.1	860
087年04月11日	"高雄市"	"麻竹筍"	null	33.1	860
087年04月12日	"台北一"	"麻竹筍"	null	20.0	110
087年04月12日	"高雄市"	"麻竹筍"	null	33.3	9260
087年04月14日	"台北一"	"麻竹筍"	null	20.0	758
087年04月14日	"高雄市"	"麻竹筍"	null	32.5	1028
087年04月15日	"台北一"	"麻竹筍"	null	20.0	110
087年04月15日	"高雄市"	"麻竹筍"	null	32.9	914
087年04月16日	"高雄市"	"麻竹筍"	null	32.5	1046
087年04月17日	"台北一"	"麻竹筍"	null	20.0	55
087年04月17日	"高雄市"	"麻竹筍"	null	33.3	9960
087年04月17日	"高雄市"	"桂竹筍"	null	27.8	90
087年04月18日	"台北一"	"麻竹筍"	null	20.0	1595
087年04月18日	"高雄市"	"麻竹筍"	null	31.5	1222
087年04月18日	"台北一"	"綠竹筍"	null	18.0	36
087年04月19日	"台北一"	"麻竹筍"	null	20.0	996
087年04月19日	"高雄市"	"麻竹筍"	null	32.1	1148
087年04月20日	"台北一"	"麻竹筍"	null	20.0	219
087年04月20日	"高雄市"	"麻竹筍"	null	32.4	1034
087年04月21日	"高雄市"	"麻竹筍"	null	33.2	860
087年04月22日	"台北一"	"麻竹筍"	null	20.0	128
087年04月22日	"高雄市"	"麻竹筍"	null	33.1	860
087年04月22日	"台北一"	"綠竹筍"	null	35.0	36
087年04月23日	"台北一"	"麻竹筍"	null	20.0	495
087年04月23日	"高雄市"	"麻竹筍"	null	33.1	860
087年04月23日	"台北一"	"綠竹筍"	null	35.0	18
087年04月24日	"高雄市"	"麻竹筍"	null	33.2	860
087年04月24日	"台北一"	"綠竹筍"	null	35.0	36
087年04月25日	"高雄市"	"麻竹筍"	null	33.1	860
087年04月25日	"台北一"	"綠竹筍"	null	40.9	76
087年04月26日	"台北一"	"麻竹筍"	null	20.0	770
087年04月26日	"高雄市"	"麻竹筍"	null	33.2	860
087年04月26日	"台北一"	"綠竹筍"	null	31.0	74
087年04月26日	"台北一"	"桂竹筍"	null	40.0	500
087年04月27日	"高雄市"	"麻竹筍"	null	33.1	860
087年04月27日	"台北一"	"綠竹筍"	null	37.6	56
087年04月29日	"台北一"	"麻竹筍"	null	20.0	990
087年04月29日	"高雄市"	"麻竹筍"	null	31.8	1174
087年04月29日	"台北一"	"箭竹筍"	null	44.2	236
087年04月30日	"高雄市"	"麻竹筍"	null	33.1	860
087年04月30日	"台北一"	"箭竹筍"	null	30.0	36
088年04月01日	"台北二"	"麻竹筍"	null	30.0	72
088年04月01日	"台北一"	"麻竹筍"	null	20.0	470
088年04月01日	"高雄市"	"麻竹筍"	null	33.3	696
088年04月01日	"台北一"	"桂竹筍"	null	40.0	30
088年04月02日	"台北二"	"麻竹筍"	null	30.0	132
088年04月02日	"台北一"	"麻竹筍"	null	20.0	1460
088年04月02日	"高雄市"	"麻竹筍"	null	33.3	2484
088年04月02日	"台北一"	"桂竹筍"	null	40.0	30
088年04月03日	"台北二"	"麻竹筍"	null	30.0	60
088年04月03日	"台北一"	"麻竹筍"	null	20.0	300
088年04月03日	"高雄市"	"麻竹筍"	null	31.5	720
088年04月03日	"台北一"	"桂竹筍"	null	40.0	50
088年04月04日	"台北二"	"麻竹筍"	null	30.0	60
088年04月04日	"台北一"	"麻竹筍"	null	20.0	160
088年04月04日	"高雄市"	"麻竹筍"	null	33.3	660
088年04月04日	"台北二"	"綠竹筍"	null	51.4	84
088年04月04日	"台北一"	"綠竹筍"	null	50.0	50
088年04月04日	"台北一"	"桂竹筍"	null	40.0	15
088年04月05日	"高雄市"	"麻竹筍"	null	33.3	660
088年04月07日	"台北二"	"麻竹筍"	null	30.0	144
088年04月07日	"台北一"	"麻竹筍"	null	20.0	110
088年04月08日	"台北二"	"麻竹筍"	null	30.0	132
088年04月08日	"台北一"	"麻竹筍"	null	20.0	275
088年04月08日	"高雄市"	"麻竹筍"	null	33.3	696
088年04月08日	"台北一"	"桂竹筍"	null	40.0	30
088年04月08日	"台北二"	"箭竹筍"	null	100.0	54
088年04月09日	"台北二"	"麻竹筍"	null	30.0	72
088年04月09日	"台北一"	"麻竹筍"	null	20.0	790
088年04月09日	"高雄市"	"麻竹筍"	null	33.3	816
088年04月09日	"台北一"	"綠竹筍"	null	50.0	30
088年04月10日	"台北二"	"麻竹筍"	null	30.0	48
088年04月10日	"台北一"	"麻竹筍"	null	20.0	935
088年04月10日	"高雄市"	"麻竹筍"	null	33.3	696
088年04月11日	"高雄市"	"麻竹筍"	null	33.3	750
088年04月12日	"台北二"	"麻竹筍"	null	30.0	120
088年04月12日	"台北一"	"麻竹筍"	null	20.0	2123
088年04月12日	"高雄市"	"麻竹筍"	null	33.3	696
088年04月12日	"台北二"	"綠竹筍"	null	60.0	12
088年04月12日	"台北一"	"桂竹筍"	null	18.0	400
088年04月13日	"台北二"	"麻竹筍"	null	30.0	48
088年04月13日	"台北一"	"麻竹筍"	null	20.0	110
088年04月13日	"高雄市"	"麻竹筍"	null	33.3	7860
088年04月13日	"台北二"	"綠竹筍"	null	60.0	12
088年04月13日	"台北一"	"箭竹筍"	null	70.0	180
088年04月14日	"台北二"	"麻竹筍"	null	30.0	108
088年04月14日	"台北一"	"麻竹筍"	null	20.0	1770
088年04月14日	"高雄市"	"麻竹筍"	null	33.3	660
