date	mktname	sbtype	transformation	middleprice	quantity
086年04月03日	"台北一"	null	null	15.0	72
086年04月26日	"高雄市"	null	null	15.0	72
086年04月28日	"高雄市"	null	null	15.0	60
087年04月01日	"台北一"	null	null	10.0	48
087年04月22日	"台北一"	null	null	13.0	120
088年04月02日	"台北二"	null	null	11.6	108
088年04月13日	"台北一"	null	null	80.0	120
089年04月28日	"台北一"	null	null	10.0	150
089年04月30日	"台北二"	null	null	13.0	60
090年04月01日	"屏東市"	null	null	16.7	60
090年04月03日	"台北二"	null	null	15.0	36
090年04月11日	"台北二"	null	null	12.0	60
090年04月11日	"台北一"	null	null	20.0	72
090年04月12日	"台北一"	null	null	15.0	60
090年04月13日	"台北一"	null	null	18.0	60
090年04月14日	"台北一"	null	null	10.0	60
090年04月15日	"台北二"	null	null	15.0	60
090年04月16日	"台北二"	null	null	10.0	60
090年04月17日	"台北二"	null	null	8.0	60
090年04月20日	"台北二"	null	null	10.0	120
090年04月21日	"台北二"	null	null	5.0	120
090年04月27日	"台北一"	null	null	15.0	52
090年04月27日	"高雄市"	null	null	20.0	90
090年04月28日	"高雄市"	null	null	20.0	30
091年04月05日	"屏東市"	null	null	16.7	60
091年04月09日	"三重市"	null	null	28.0	54
091年04月14日	"高雄市"	null	null	20.0	600
091年04月14日	"屏東市"	null	null	16.7	60
091年04月17日	"高雄市"	null	null	33.3	1800
091年04月21日	"台北一"	null	null	16.0	276
091年04月28日	"高雄市"	null	null	20.0	300
092年04月01日	"台北一"	null	null	5.0	120
092年04月02日	"台北二"	null	null	3.0	30
092年04月02日	"台北一"	null	null	8.6	192
092年04月02日	"高雄市"	null	null	13.6	60
092年04月03日	"台北二"	null	null	3.0	72
092年04月03日	"台北一"	null	null	7.1	168
092年04月03日	"高雄市"	null	null	25.0	12
092年04月04日	"台北一"	null	null	20.0	20
092年04月12日	"高雄市"	null	null	11.1	9
092年04月14日	"高雄市"	null	null	35.0	24
092年04月15日	"台北二"	null	null	3.0	60
092年04月15日	"台北一"	null	null	65.0	50
092年04月16日	"台北二"	null	null	3.0	48
092年04月16日	"三重市"	null	null	7.0	72
092年04月17日	"三重市"	null	null	10.0	36
092年04月17日	"高雄市"	null	null	12.5	72
092年04月17日	"屏東市"	null	null	8.3	24
092年04月18日	"屏東市"	null	null	4.2	60
092年04月23日	"高雄市"	null	null	12.5	96
093年04月01日	"台北一"	null	null	8.0	60
093年04月02日	"台北一"	null	null	6.0	60
093年04月02日	"高雄市"	null	null	25.0	240
093年04月03日	"台北一"	null	null	6.0	84
093年04月03日	"高雄市"	null	null	25.0	210
093年04月04日	"高雄市"	null	null	25.0	240
093年04月07日	"高雄市"	null	null	25.0	60
093年04月08日	"台北二"	null	null	4.0	60
093年04月08日	"高雄市"	null	null	25.0	156
093年04月09日	"台北一"	null	null	8.0	240
093年04月09日	"高雄市"	null	null	25.0	120
093年04月10日	"台北一"	null	null	7.0	240
093年04月10日	"高雄市"	null	null	25.0	60
093年04月11日	"台北一"	null	null	6.0	240
093年04月11日	"高雄市"	null	null	25.0	60
093年04月13日	"台北一"	null	null	7.0	240
093年04月14日	"台北一"	null	null	7.0	264
093年04月15日	"高雄市"	null	null	25.0	120
093年04月16日	"高雄市"	null	null	25.0	204
093年04月17日	"台北一"	null	null	6.0	240
093年04月17日	"高雄市"	null	null	25.0	120
093年04月18日	"三重市"	null	null	15.0	36
093年04月22日	"高雄市"	null	null	5.0	60
093年04月23日	"台北一"	null	null	13.0	36
093年04月23日	"三重市"	null	null	30.0	24
093年04月23日	"高雄市"	null	null	2.5	72
093年04月24日	"高雄市"	null	null	25.0	240
093年04月25日	"高雄市"	null	null	16.7	30
093年04月27日	"高雄市"	null	null	5.0	60
093年04月30日	"三重市"	null	null	5.0	60
094年04月01日	"高雄市"	null	null	41.1	180
094年04月02日	"高雄市"	null	null	40.0	156
094年04月03日	"高雄市"	null	null	40.0	120
094年04月04日	"高雄市"	null	null	40.0	120
094年04月05日	"高雄市"	null	null	40.0	120
094年04月08日	"高雄市"	null	null	40.0	120
094年04月09日	"高雄市"	null	null	40.0	120
094年04月10日	"高雄市"	null	null	40.0	240
094年04月12日	"高雄市"	null	null	40.0	120
094年04月13日	"高雄市"	null	null	40.0	120
094年04月14日	"高雄市"	null	null	40.0	120
094年04月15日	"高雄市"	null	null	40.0	120
094年04月16日	"高雄市"	null	null	40.0	120
094年04月17日	"高雄市"	null	null	40.0	120
094年04月19日	"高雄市"	null	null	40.0	120
094年04月20日	"高雄市"	null	null	40.0	180
094年04月21日	"台北一"	null	null	13.5	288
094年04月21日	"高雄市"	null	null	40.0	120
094年04月22日	"三重市"	null	null	22.0	36
094年04月22日	"高雄市"	null	null	40.0	120
094年04月23日	"台北一"	null	null	10.0	96
094年04月23日	"高雄市"	null	null	42.5	240
094年04月24日	"高雄市"	null	null	40.0	120
094年04月26日	"高雄市"	null	null	40.0	120
094年04月27日	"高雄市"	null	null	40.0	120
094年04月28日	"高雄市"	null	null	40.0	120
094年04月29日	"高雄市"	null	null	40.0	120
094年04月30日	"高雄市"	null	null	40.0	120
095年04月01日	"三重市"	null	null	17.0	72
095年04月01日	"高雄市"	null	null	60.9	172
095年04月02日	"三重市"	null	null	15.0	60
095年04月02日	"高雄市"	null	null	65.0	240
095年04月03日	"高雄市"	null	null	58.8	160
095年04月04日	"三重市"	null	null	20.0	48
095年04月04日	"高雄市"	null	null	80.0	72
095年04月05日	"高雄市"	null	null	80.0	120
095年04月07日	"三重市"	null	null	18.0	36
095年04月08日	"三重市"	null	null	18.0	84
095年04月08日	"高雄市"	null	null	55.5	145
095年04月09日	"三重市"	null	null	18.0	72
095年04月09日	"高雄市"	null	null	64.5	196
095年04月11日	"三重市"	null	null	17.0	72
095年04月11日	"高雄市"	null	null	61.4	190
095年04月12日	"三重市"	null	null	18.0	72
095年04月12日	"高雄市"	null	null	81.1	180
095年04月13日	"三重市"	null	null	16.0	96
095年04月13日	"高雄市"	null	null	80.0	200
095年04月14日	"三重市"	null	null	18.0	42
095年04月14日	"高雄市"	null	null	77.6	310
095年04月15日	"三重市"	null	null	16.0	32
