date	mktname	sbtype	transformation	middleprice	quantity
086年04月01日	"台北一"	null	null	14.0	531
086年04月01日	"高雄市"	null	null	16.7	36
086年04月02日	"台北一"	null	null	14.0	1396
086年04月02日	"高雄市"	null	null	18.8	24
086年04月03日	"台北一"	null	null	14.0	1524
086年04月03日	"高雄市"	null	null	16.2	96
086年04月04日	"台北一"	null	null	14.0	824
086年04月07日	"台北一"	null	null	14.0	1166
086年04月08日	"台北一"	null	null	14.0	1497
086年04月08日	"高雄市"	null	null	15.0	20
086年04月09日	"台北一"	null	null	14.0	948
086年04月09日	"高雄市"	null	null	18.3	48
086年04月10日	"台北一"	null	null	14.0	1744
086年04月10日	"高雄市"	null	null	20.8	12
086年04月11日	"台北一"	null	null	14.0	1268
086年04月12日	"台北一"	null	null	14.0	1339
086年04月12日	"高雄市"	null	null	17.0	84
086年04月13日	"台北一"	null	null	14.0	1979
086年04月13日	"高雄市"	null	null	19.2	12
086年04月14日	"台北一"	null	null	14.0	839
086年04月14日	"高雄市"	null	null	16.7	48
086年04月15日	"台北一"	null	null	14.0	1579
086年04月15日	"高雄市"	null	null	16.7	60
086年04月17日	"台北一"	null	null	14.0	1101
086年04月17日	"高雄市"	null	null	15.0	24
086年04月18日	"台北一"	null	null	14.0	1899
086年04月19日	"台北一"	null	null	14.0	1524
086年04月20日	"台北一"	null	null	14.0	934
086年04月20日	"高雄市"	null	null	12.2	18
086年04月21日	"台北一"	null	null	14.0	1396
086年04月22日	"台北一"	null	null	14.0	861
086年04月24日	"台北一"	null	null	14.0	476
086年04月25日	"台北一"	null	null	14.0	1854
086年04月26日	"台北一"	null	null	14.0	1744
086年04月27日	"台北一"	null	null	14.0	806
086年04月28日	"台北一"	null	null	14.0	1461
086年04月29日	"台北一"	null	null	14.0	980
086年04月30日	"台北一"	null	null	14.0	1357
087年04月01日	"台北一"	null	null	14.0	546
087年04月02日	"台北一"	null	null	14.0	220
087年04月03日	"台北一"	null	null	14.0	275
087年04月04日	"台北一"	null	null	14.0	110
087年04月07日	"台北一"	null	null	14.0	165
087年04月08日	"台北一"	null	null	14.0	275
087年04月09日	"台北一"	null	null	14.0	110
087年04月11日	"台北一"	null	null	14.0	385
087年04月12日	"台北一"	null	null	14.0	275
087年04月15日	"台北一"	null	null	14.0	220
087年04月16日	"台北一"	null	null	14.0	910
087年04月18日	"台北一"	null	null	14.0	60
087年04月20日	"台北一"	null	null	14.0	110
087年04月23日	"台北一"	null	null	14.0	110
087年04月24日	"台北一"	null	null	14.0	165
087年04月25日	"台北一"	null	null	14.0	120
087年04月26日	"台北一"	null	null	14.0	110
087年04月29日	"台北一"	null	null	14.0	345
088年04月01日	"台北二"	null	null	18.0	24
088年04月01日	"台北一"	null	null	14.0	110
088年04月02日	"台北二"	null	null	18.0	60
088年04月03日	"台北二"	null	null	18.0	24
088年04月03日	"台北一"	null	null	14.0	180
088年04月04日	"台北一"	null	null	14.0	110
088年04月07日	"台北二"	null	null	18.0	72
088年04月08日	"台北二"	null	null	18.0	60
088年04月08日	"台北一"	null	null	14.0	110
088年04月09日	"台北二"	null	null	18.0	24
088年04月09日	"台北一"	null	null	14.0	110
088年04月10日	"台北一"	null	null	14.0	204
088年04月12日	"台北二"	null	null	18.0	60
088年04月12日	"台北一"	null	null	14.0	220
088年04月13日	"台北一"	null	null	14.0	110
088年04月14日	"台北二"	null	null	18.0	60
088年04月14日	"台北一"	null	null	14.0	110
088年04月15日	"台北一"	null	null	14.0	110
088年04月16日	"台北二"	null	null	18.0	72
088年04月16日	"台北一"	null	null	14.0	120
088年04月17日	"台北二"	null	null	18.0	48
088年04月17日	"台北一"	null	null	14.0	110
088年04月19日	"台北一"	null	null	14.0	650
088年04月20日	"台北二"	null	null	18.0	60
088年04月20日	"台北一"	null	null	14.0	230
088年04月21日	"台北二"	null	null	18.0	36
088年04月21日	"台北一"	null	null	14.0	330
088年04月22日	"台北二"	null	null	18.0	24
088年04月23日	"台北二"	null	null	18.0	96
088年04月23日	"台北一"	null	null	14.0	150
088年04月24日	"台北一"	null	null	14.0	210
088年04月26日	"台北二"	null	null	18.0	96
088年04月28日	"台北一"	null	null	14.0	110
088年04月29日	"台北二"	null	null	18.0	48
088年04月30日	"台北二"	null	null	18.0	72
088年04月30日	"台北一"	null	null	14.0	120
089年04月01日	"台北二"	null	null	18.0	36
089年04月02日	"台北二"	null	null	18.0	72
089年04月02日	"台北一"	null	null	14.0	260
089年04月03日	"台北二"	null	null	18.0	24
089年04月06日	"台北二"	null	null	18.0	84
089年04月06日	"台北一"	null	null	14.0	374
089年04月07日	"台北二"	null	null	18.0	96
089年04月08日	"台北二"	null	null	18.0	12
089年04月08日	"台北一"	null	null	14.0	110
089年04月09日	"台北二"	null	null	18.0	36
089年04月09日	"台北一"	null	null	14.0	55
089年04月10日	"台北二"	null	null	18.0	96
089年04月10日	"台北一"	null	null	14.0	146
089年04月11日	"台北二"	null	null	18.0	48
089年04月11日	"台北一"	null	null	14.0	120
089年04月12日	"台北二"	null	null	18.0	72
089年04月12日	"台北一"	null	null	14.0	110
089年04月13日	"台北二"	null	null	18.0	120
089年04月15日	"台北二"	null	null	18.0	48
089年04月15日	"台北一"	null	null	14.0	110
089年04月16日	"台北二"	null	null	18.0	72
089年04月16日	"台北一"	null	null	14.0	434
089年04月17日	"台北二"	null	null	18.0	120
089年04月18日	"台北二"	null	null	18.0	96
089年04月18日	"台北一"	null	null	14.0	230
089年04月19日	"台北二"	null	null	18.0	36
089年04月19日	"台北一"	null	null	14.0	60
089年04月20日	"台北二"	null	null	18.0	36
089年04月20日	"台北一"	null	null	14.0	182
089年04月22日	"台北二"	null	null	18.0	108
089年04月23日	"台北二"	null	null	18.0	96
089年04月23日	"台北一"	null	null	14.0	110
089年04月24日	"台北二"	null	null	18.0	48
089年04月24日	"台北一"	null	null	14.0	950
089年04月25日	"台北二"	null	null	18.0	72
089年04月26日	"台北二"	null	null	18.0	132
089年04月26日	"台北一"	null	null	14.0	216
089年04月27日	"台北二"	null	null	18.0	60
089年04月27日	"台北一"	null	null	14.0	110
089年04月28日	"台北二"	null	null	18.0	48
089年04月28日	"台北一"	null	null	15.0	100
089年04月30日	"台北二"	null	null	18.0	132
089年04月30日	"台北一"	null	null	14.0	156
090年04月01日	"台北二"	null	null	18.0	24
090年04月01日	"台北一"	null	null	14.4	140
090年04月02日	"台北二"	null	null	18.0	84
090年04月02日	"台北一"	null	null	14.4	225
090年04月03日	"台北二"	null	null	18.0	60
090年04月03日	"台北一"	null	null	16.0	72
090年04月04日	"台北二"	null	null	18.0	84
090年04月07日	"台北二"	null	null	18.0	60
090年04月08日	"台北二"	null	null	18.0	84
090年04月09日	"台北二"	null	null	18.0	36
090年04月09日	"台北一"	null	null	14.0	165
090年04月11日	"台北二"	null	null	18.0	156
090年04月11日	"台北一"	null	null	14.0	477
090年04月12日	"台北二"	null	null	18.0	36
090年04月12日	"台北一"	null	null	14.0	110
090年04月13日	"台北二"	null	null	18.0	120
090年04月13日	"台北一"	null	null	14.0	110
090年04月14日	"台北二"	null	null	18.0	36
090年04月14日	"台北一"	null	null	14.0	110
090年04月15日	"台北二"	null	null	18.0	120
090年04月15日	"台北一"	null	null	14.0	110
090年04月16日	"台北二"	null	null	18.0	24
090年04月16日	"台北一"	null	null	14.0	165
090年04月17日	"台北二"	null	null	18.0	60
090年04月17日	"台北一"	null	null	14.0	180
090年04月19日	"台北二"	null	null	18.0	36
090年04月20日	"台北二"	null	null	18.0	120
090年04月20日	"台北一"	null	null	14.0	664
090年04月21日	"台北二"	null	null	18.0	36
090年04月22日	"台北二"	null	null	18.0	108
090年04月22日	"台北一"	null	null	14.0	165
090年04月23日	"台北二"	null	null	18.0	24
090年04月23日	"台北一"	null	null	14.0	165
090年04月24日	"台北二"	null	null	18.0	84
090年04月26日	"台北二"	null	null	18.0	36
090年04月26日	"台北一"	null	null	14.0	120
090年04月27日	"台北二"	null	null	18.0	120
090年04月27日	"台北一"	null	null	12.2	210
090年04月28日	"台北二"	null	null	18.0	36
090年04月28日	"台北一"	null	null	14.0	840
090年04月29日	"台北二"	null	null	18.0	144
090年04月29日	"台北一"	null	null	14.0	165
090年04月30日	"台北二"	null	null	18.0	72
090年04月30日	"台北一"	null	null	14.0	110
091年04月01日	"台北二"	null	null	18.0	36
091年04月01日	"台北一"	null	null	17.0	310
091年04月01日	"屏東市"	null	null	20.0	54
091年04月02日	"台北二"	null	null	20.9	138
091年04月02日	"台北一"	null	null	14.0	254
091年04月02日	"三重市"	null	null	30.0	54
091年04月02日	"屏東市"	null	null	72.2	18
091年04月03日	"台北二"	null	null	20.2	102
091年04月03日	"台北一"	null	null	14.0	230
091年04月03日	"三重市"	null	null	25.0	54
091年04月04日	"台北二"	null	null	18.0	84
091年04月04日	"台北一"	null	null	14.0	240
091年04月07日	"台北二"	null	null	18.0	48
091年04月07日	"台北一"	null	null	14.0	200
091年04月07日	"三重市"	null	null	25.0	54
091年04月07日	"屏東市"	null	null	26.7	54
091年04月08日	"台北二"	null	null	18.0	108
091年04月08日	"台北一"	null	null	14.0	165
091年04月08日	"屏東市"	null	null	26.7	54
091年04月09日	"台北二"	null	null	18.0	24
091年04月09日	"台北一"	null	null	14.0	110
091年04月09日	"屏東市"	null	null	16.5	114
091年04月10日	"台北二"	null	null	18.0	96
091年04月10日	"台北一"	null	null	14.2	2610
091年04月10日	"屏東市"	null	null	20.0	54
091年04月11日	"台北二"	null	null	18.0	24
091年04月12日	"台北二"	null	null	18.0	84
091年04月12日	"台北一"	null	null	14.0	110
091年04月13日	"台北二"	null	null	18.0	24
091年04月14日	"台北二"	null	null	18.0	108
091年04月14日	"台北一"	null	null	14.0	260
091年04月16日	"台北二"	null	null	18.0	24
091年04月16日	"屏東市"	null	null	23.3	36
091年04月17日	"台北二"	null	null	18.0	96
091年04月17日	"台北一"	null	null	14.0	605
091年04月17日	"屏東市"	null	null	20.0	36
091年04月18日	"台北二"	null	null	18.0	24
091年04月18日	"台北一"	null	null	13.6	610
091年04月19日	"台北二"	null	null	18.0	108
091年04月19日	"屏東市"	null	null	45.0	36
091年04月20日	"台北二"	null	null	18.0	24
091年04月20日	"台北一"	null	null	14.0	561
091年04月20日	"屏東市"	null	null	26.7	36
091年04月21日	"台北二"	null	null	18.0	84
091年04月21日	"台北一"	null	null	14.0	230
091年04月22日	"屏東市"	null	null	16.7	36
091年04月23日	"台北二"	null	null	18.0	24
091年04月24日	"台北二"	null	null	18.0	84
091年04月24日	"台北一"	null	null	14.0	110
091年04月24日	"屏東市"	null	null	2.5	96
091年04月25日	"台北二"	null	null	18.0	24
091年04月25日	"台北一"	null	null	14.0	168
091年04月26日	"台北二"	null	null	18.0	84
091年04月26日	"台北一"	null	null	14.0	314
091年04月27日	"台北二"	null	null	18.0	24
091年04月27日	"台北一"	null	null	14.0	110
091年04月28日	"台北二"	null	null	18.0	84
091年04月28日	"台北一"	null	null	14.0	60
091年04月28日	"屏東市"	null	null	16.7	54
091年04月30日	"台北二"	null	null	18.0	48
091年04月30日	"台北一"	null	null	14.0	110
091年04月30日	"屏東市"	null	null	32.5	32
092年04月01日	"台北二"	null	null	18.0	60
092年04月02日	"台北一"	null	null	14.6	710
092年04月02日	"高雄市"	null	null	6.7	60
092年04月03日	"台北二"	null	null	18.0	96
092年04月03日	"台北一"	null	null	14.0	55
092年04月03日	"高雄市"	null	null	3.3	60
092年04月04日	"台北二"	null	null	18.0	48
092年04月05日	"台北二"	null	null	18.0	96
092年04月05日	"台北一"	null	null	14.8	350
092年04月08日	"台北二"	null	null	18.0	24
092年04月08日	"台北一"	null	null	15.0	20
092年04月09日	"台北二"	null	null	18.0	132
092年04月09日	"台北一"	null	null	15.0	200
092年04月10日	"台北二"	null	null	18.0	48
092年04月10日	"台北一"	null	null	15.0	20
092年04月10日	"高雄市"	null	null	15.0	60
092年04月11日	"台北二"	null	null	18.0	60
092年04月11日	"台北一"	null	null	14.0	110
092年04月12日	"台北一"	null	null	14.1	792
092年04月13日	"台北二"	null	null	18.0	60
092年04月13日	"台北一"	null	null	14.1	80
092年04月14日	"高雄市"	null	null	14.2	48
092年04月15日	"台北一"	null	null	15.0	120
092年04月16日	"台北二"	null	null	18.0	96
092年04月16日	"台北一"	null	null	13.0	250
092年04月17日	"台北二"	null	null	18.0	48
092年04月17日	"台北一"	null	null	14.0	144
092年04月17日	"三重市"	null	null	5.0	48
092年04月17日	"高雄市"	null	null	5.0	48
092年04月18日	"台北二"	null	null	18.0	96
092年04月19日	"台北二"	null	null	18.0	60
092年04月19日	"台北一"	null	null	10.0	20
092年04月20日	"台北二"	null	null	18.0	96
092年04月20日	"台北一"	null	null	14.5	450
092年04月23日	"台北二"	null	null	18.0	108
092年04月23日	"台北一"	null	null	14.0	120
092年04月23日	"高雄市"	null	null	5.0	72
092年04月24日	"台北一"	null	null	14.0	240
092年04月25日	"台北二"	null	null	18.0	60
092年04月25日	"高雄市"	null	null	10.8	60
092年04月26日	"台北二"	null	null	18.0	24
092年04月26日	"台北一"	null	null	15.0	20
092年04月26日	"高雄市"	null	null	7.2	120
092年04月27日	"台北二"	null	null	18.0	36
092年04月27日	"台北一"	null	null	15.0	320
092年04月29日	"台北一"	null	null	15.0	150
092年04月30日	"台北二"	null	null	18.0	60
092年04月30日	"台北一"	null	null	14.7	590
092年04月30日	"高雄市"	null	null	10.0	108
093年04月01日	"台北二"	null	null	18.0	168
093年04月01日	"台北一"	null	null	16.8	1043
093年04月01日	"高雄市"	null	null	6.7	60
093年04月02日	"台北一"	null	null	18.0	348
093年04月03日	"台北二"	null	null	18.0	168
093年04月03日	"台北一"	null	null	18.0	1700
093年04月06日	"台北一"	null	null	18.0	983
093年04月07日	"台北二"	null	null	18.0	180
093年04月07日	"台北一"	null	null	17.3	330
093年04月08日	"台北一"	null	null	17.3	700
093年04月09日	"台北二"	null	null	18.0	168
093年04月09日	"台北一"	null	null	18.0	580
093年04月10日	"台北一"	null	null	17.3	1247
093年04月11日	"台北二"	null	null	18.0	168
093年04月11日	"台北一"	null	null	17.3	980
093年04月11日	"三重市"	null	null	10.0	280
093年04月13日	"台北二"	null	null	18.0	24
093年04月13日	"台北一"	null	null	18.0	748
093年04月13日	"高雄市"	null	null	6.3	48
093年04月14日	"台北二"	null	null	18.0	180
093年04月14日	"台北一"	null	null	18.0	170
093年04月15日	"台北一"	null	null	18.0	192
093年04月16日	"台北二"	null	null	18.0	180
093年04月16日	"台北一"	null	null	18.0	1800
093年04月17日	"台北一"	null	null	18.0	345
093年04月18日	"台北一"	null	null	18.0	120
093年04月20日	"台北一"	null	null	18.0	650
093年04月21日	"台北二"	null	null	18.0	216
093年04月21日	"台北一"	null	null	19.0	768
093年04月22日	"台北一"	null	null	18.0	278
093年04月23日	"台北二"	null	null	18.0	180
093年04月23日	"台北一"	null	null	17.8	430
093年04月24日	"台北一"	null	null	18.0	302
093年04月25日	"台北二"	null	null	18.0	168
093年04月25日	"台北一"	null	null	18.0	110
093年04月27日	"台北一"	null	null	18.0	600
093年04月28日	"台北二"	null	null	18.0	156
093年04月28日	"台北一"	null	null	17.4	705
093年04月29日	"台北二"	null	null	18.0	48
093年04月29日	"台北一"	null	null	18.0	2031
093年04月30日	"台北二"	null	null	18.0	156
093年04月30日	"台北一"	null	null	18.0	110
094年04月01日	"台北一"	null	null	20.0	2041
094年04月01日	"三重市"	null	null	12.0	48
094年04月02日	"台北二"	null	null	20.0	290
094年04月02日	"台北一"	null	null	20.0	220
094年04月03日	"台北一"	null	null	18.1	354
094年04月04日	"台北二"	null	null	20.0	240
094年04月04日	"台北一"	null	null	20.0	165
094年04月07日	"台北一"	null	null	20.0	1173
094年04月07日	"三重市"	null	null	12.0	108
094年04月08日	"台北二"	null	null	20.0	280
094年04月08日	"台北一"	null	null	15.0	300
094年04月09日	"台北二"	null	null	18.0	90
094年04月09日	"台北一"	null	null	20.0	585
094年04月10日	"台北二"	null	null	20.0	240
094年04月10日	"台北一"	null	null	20.0	1447
094年04月12日	"台北一"	null	null	20.0	568
094年04月12日	"三重市"	null	null	15.0	36
094年04月13日	"台北二"	null	null	20.0	270
094年04月13日	"台北一"	null	null	19.6	1600
094年04月13日	"三重市"	null	null	15.0	48
094年04月14日	"台北一"	null	null	20.0	729
094年04月14日	"三重市"	null	null	14.0	60
094年04月15日	"台北二"	null	null	20.0	110
094年04月15日	"台北一"	null	null	20.0	295
094年04月15日	"三重市"	null	null	15.0	60
094年04月16日	"台北一"	null	null	20.0	871
094年04月17日	"台北一"	null	null	17.1	365
094年04月19日	"台北一"	null	null	20.0	271
094年04月19日	"三重市"	null	null	17.0	60
094年04月20日	"台北二"	null	null	20.0	260
094年04月20日	"台北一"	null	null	20.0	689
094年04月20日	"三重市"	null	null	15.0	60
094年04月21日	"台北一"	null	null	18.6	538
094年04月21日	"三重市"	null	null	12.0	60
094年04月22日	"台北二"	null	null	20.0	250
094年04月23日	"台北一"	null	null	20.0	1054
094年04月24日	"台北二"	null	null	20.0	250
094年04月26日	"台北一"	null	null	20.0	384
094年04月27日	"台北二"	null	null	20.0	210
094年04月27日	"台北一"	null	null	15.0	200
094年04月28日	"台北一"	null	null	20.0	588
094年04月29日	"台北二"	null	null	20.0	190
094年04月29日	"台北一"	null	null	20.0	560
094年04月30日	"台北一"	null	null	20.0	264
095年04月01日	"台北一"	null	null	20.0	366
095年04月01日	"三重市"	null	null	17.0	36
095年04月02日	"台北二"	null	null	20.0	384
095年04月02日	"台北一"	null	null	20.0	330
095年04月02日	"三重市"	null	null	16.0	36
095年04月03日	"台北一"	null	null	20.0	734
095年04月04日	"台北二"	null	null	20.0	336
095年04月04日	"台北一"	null	null	20.0	1420
095年04月04日	"三重市"	null	null	18.0	36
095年04月07日	"台北一"	null	null	20.0	480
095年04月07日	"三重市"	null	null	17.0	48
095年04月08日	"台北二"	null	null	20.0	384
095年04月08日	"台北一"	null	null	20.0	1708
095年04月08日	"三重市"	null	null	17.0	36
