date	mktname	sbtype	transformation	middleprice	quantity
085年04月01日	"台北二"	"未洗"	null	5.0	3105
085年04月01日	"台北一"	"未洗"	null	6.0	16555
085年04月01日	"台中市"	"未洗"	null	7.2	245
085年04月01日	"鳳山區"	"未洗"	null	5.0	1060
085年04月01日	"屏東市"	"未洗"	null	7.6	5006
085年04月01日	"台北二"	"清洗"	null	5.0	125
085年04月01日	"西螺鎮"	"清洗"	null	5.1	8950
085年04月01日	"高雄市"	"清洗"	null	10.0	10754
085年04月02日	"台北二"	"未洗"	null	6.0	1910
085年04月02日	"台北一"	"未洗"	null	5.5	11430
085年04月02日	"台中市"	"未洗"	null	7.1	385
085年04月02日	"鳳山區"	"未洗"	null	4.8	1200
085年04月02日	"屏東市"	"未洗"	null	8.1	4283
085年04月02日	"台北二"	"清洗"	null	4.3	625
085年04月02日	"西螺鎮"	"清洗"	null	5.2	10310
085年04月02日	"高雄市"	"清洗"	null	11.0	11694
085年04月03日	"台北二"	"未洗"	null	6.0	2930
085年04月03日	"台北一"	"未洗"	null	5.0	24049
085年04月03日	"台中市"	"未洗"	null	7.3	365
085年04月03日	"鳳山區"	"未洗"	null	9.0	2185
085年04月03日	"屏東市"	"未洗"	null	7.3	5330
085年04月03日	"台北二"	"清洗"	null	4.0	525
085年04月03日	"西螺鎮"	"清洗"	null	5.4	12750
085年04月03日	"高雄市"	"清洗"	null	9.0	15610
085年04月04日	"台中市"	"未洗"	null	7.8	665
085年04月04日	"屏東市"	"未洗"	null	8.7	3632
085年04月04日	"高雄市"	"清洗"	null	12.0	11315
085年04月05日	"西螺鎮"	"清洗"	null	5.3	10825
085年04月06日	"台北二"	"未洗"	null	6.0	3960
085年04月06日	"台北一"	"未洗"	null	5.4	18645
085年04月06日	"台中市"	"未洗"	null	7.4	325
085年04月06日	"鳳山區"	"未洗"	null	8.3	820
085年04月06日	"屏東市"	"未洗"	null	10.3	3156
085年04月06日	"台北二"	"清洗"	null	4.0	125
085年04月06日	"西螺鎮"	"清洗"	null	5.6	10650
085年04月07日	"台北二"	"未洗"	null	6.0	3710
085年04月07日	"台北一"	"未洗"	null	6.2	15840
085年04月07日	"台中市"	"未洗"	null	6.9	549
085年04月07日	"鳳山區"	"未洗"	null	4.9	1190
085年04月07日	"屏東市"	"未洗"	null	8.0	4423
085年04月07日	"西螺鎮"	"清洗"	null	5.1	9000
085年04月07日	"高雄市"	"清洗"	null	10.0	11705
