date	mktname	sbtype	transformation	middleprice	quantity
085年04月01日	"台北二"	"本產"	null	6.1	975
085年04月01日	"台北一"	"本產"	null	7.5	17600
085年04月01日	"台中市"	"本產"	null	8.1	270
085年04月01日	"西螺鎮"	"本產"	null	6.0	7200
085年04月01日	"高雄市"	"本產"	null	8.0	3620
085年04月01日	"鳳山區"	"本產"	null	6.0	2250
085年04月01日	"屏東市"	"本產"	null	6.9	3640
085年04月02日	"台北二"	"本產"	null	6.0	4500
085年04月02日	"台北一"	"本產"	null	7.5	20070
085年04月02日	"台中市"	"本產"	null	8.2	90
085年04月02日	"西螺鎮"	"本產"	null	6.0	7200
085年04月02日	"高雄市"	"本產"	null	10.0	3000
085年04月02日	"屏東市"	"本產"	null	7.2	4830
085年04月03日	"台北二"	"本產"	null	5.0	5730
085年04月03日	"台北一"	"本產"	null	7.5	15005
085年04月03日	"台中市"	"本產"	null	8.7	150
085年04月03日	"西螺鎮"	"本產"	null	6.0	5400
085年04月03日	"高雄市"	"本產"	null	8.0	5030
085年04月03日	"鳳山區"	"本產"	null	15.0	1700
085年04月03日	"屏東市"	"本產"	null	7.8	3180
085年04月04日	"台中市"	"本產"	null	8.7	60
085年04月04日	"屏東市"	"本產"	null	8.8	2490
085年04月05日	"西螺鎮"	"本產"	null	6.0	7335
085年04月06日	"台北二"	"本產"	null	5.2	4515
085年04月06日	"台北一"	"本產"	null	7.5	24987
085年04月06日	"台中市"	"本產"	null	6.4	915
085年04月06日	"西螺鎮"	"本產"	null	6.0	7500
085年04月06日	"屏東市"	"本產"	null	7.7	3240
085年04月07日	"台北一"	"本產"	null	7.5	6015
085年04月07日	"台中市"	"本產"	null	7.7	720
085年04月07日	"西螺鎮"	"本產"	null	6.0	7305
085年04月07日	"屏東市"	"本產"	null	7.7	3020
085年04月08日	"台北二"	"本產"	null	6.0	4470
085年04月08日	"台北一"	"本產"	null	7.5	23595
085年04月08日	"台中市"	"本產"	null	5.3	3360
085年04月08日	"西螺鎮"	"本產"	null	6.0	7275
085年04月08日	"高雄市"	"本產"	null	15.0	3970
085年04月08日	"屏東市"	"本產"	null	8.1	3000
085年04月09日	"台北一"	"本產"	null	7.5	9060
085年04月09日	"台中市"	"本產"	null	8.5	330
085年04月09日	"西螺鎮"	"本產"	null	6.0	7230
085年04月09日	"高雄市"	"本產"	null	6.0	6590
085年04月09日	"屏東市"	"本產"	null	7.8	3160
085年04月10日	"台北二"	"本產"	null	3.8	13650
085年04月10日	"台北一"	"本產"	null	6.5	26265
085年04月10日	"台中市"	"本產"	null	8.6	245
085年04月10日	"西螺鎮"	"本產"	null	6.0	7200
