date	mktname	sbtype	transformation	middleprice	quantity
085年04月01日	"台北二"	"孟宗筍"	null	35.6	605
085年04月01日	"台北一"	"孟宗筍"	null	55.0	4154
085年04月01日	"高雄市"	"孟宗筍"	null	48.0	760
085年04月02日	"台北二"	"孟宗筍"	null	30.4	996
085年04月02日	"台北一"	"孟宗筍"	null	55.0	4756
085年04月02日	"高雄市"	"孟宗筍"	null	51.0	340
085年04月03日	"台北二"	"孟宗筍"	null	40.0	340
085年04月03日	"台北一"	"孟宗筍"	null	55.0	3509
085年04月03日	"高雄市"	"孟宗筍"	null	54.0	520
085年04月04日	"南投市"	"孟宗筍"	null	55.0	778
085年04月04日	"高雄市"	"孟宗筍"	null	49.0	630
085年04月06日	"台北二"	"孟宗筍"	null	0.0	283
085年04月06日	"台北一"	"孟宗筍"	null	55.0	2412
085年04月06日	"南投市"	"孟宗筍"	null	0.0	306
085年04月07日	"台北二"	"孟宗筍"	null	40.0	1196
085年04月07日	"台北一"	"孟宗筍"	null	55.0	3155
085年04月07日	"台中市"	"孟宗筍"	null	43.9	179
085年04月07日	"高雄市"	"孟宗筍"	null	50.0	460
085年04月08日	"台北二"	"孟宗筍"	null	40.0	1539
085年04月08日	"台北一"	"孟宗筍"	null	55.0	6855
085年04月08日	"台中市"	"孟宗筍"	null	45.0	120
085年04月08日	"高雄市"	"孟宗筍"	null	50.0	570
085年04月09日	"台北二"	"孟宗筍"	null	32.0	2300
085年04月09日	"台北一"	"孟宗筍"	null	55.0	15453
085年04月09日	"台中市"	"孟宗筍"	null	36.3	40
085年04月09日	"高雄市"	"孟宗筍"	null	40.0	480
085年04月10日	"台北二"	"孟宗筍"	null	22.5	2508
085年04月10日	"台北一"	"孟宗筍"	null	55.0	12274
085年04月10日	"台中市"	"孟宗筍"	null	31.7	298
085年04月10日	"高雄市"	"孟宗筍"	null	39.0	675
085年04月11日	"台北二"	"孟宗筍"	null	30.0	1460
085年04月11日	"台北一"	"孟宗筍"	null	55.0	4528
085年04月11日	"台中市"	"孟宗筍"	null	29.8	267
085年04月11日	"南投市"	"孟宗筍"	null	0.0	245
085年04月11日	"高雄市"	"孟宗筍"	null	40.0	1090
085年04月12日	"台中市"	"孟宗筍"	null	29.6	159
085年04月12日	"高雄市"	"孟宗筍"	null	40.0	840
085年04月13日	"台北一"	"孟宗筍"	null	30.0	8560
085年04月13日	"台中市"	"孟宗筍"	null	24.5	236
085年04月13日	"高雄市"	"孟宗筍"	null	39.0	660
085年04月14日	"台北一"	"孟宗筍"	null	30.0	10002
085年04月14日	"台中市"	"孟宗筍"	null	30.0	100
085年04月14日	"高雄市"	"孟宗筍"	null	38.0	940
085年04月15日	"台北二"	"孟宗筍"	null	30.0	1610
085年04月15日	"台北一"	"孟宗筍"	null	30.0	6551
085年04月15日	"台中市"	"孟宗筍"	null	30.0	140
085年04月15日	"高雄市"	"孟宗筍"	null	36.0	1515
085年04月16日	"台北二"	"孟宗筍"	null	0.0	1813
085年04月16日	"台北一"	"孟宗筍"	null	30.0	10438
085年04月16日	"台中市"	"孟宗筍"	null	30.0	200
085年04月16日	"高雄市"	"孟宗筍"	null	35.0	720
085年04月17日	"台北二"	"孟宗筍"	null	25.0	2410
085年04月17日	"台北一"	"孟宗筍"	null	30.0	12332
085年04月17日	"台中市"	"孟宗筍"	null	25.4	301
085年04月17日	"南投市"	"孟宗筍"	null	12.0	293
085年04月17日	"高雄市"	"孟宗筍"	null	36.0	780
085年04月18日	"台北二"	"孟宗筍"	null	25.0	2819
085年04月18日	"台北一"	"孟宗筍"	null	30.0	13686
085年04月18日	"台中市"	"孟宗筍"	null	24.8	301
085年04月18日	"南投市"	"孟宗筍"	null	16.0	162
085年04月18日	"高雄市"	"孟宗筍"	null	36.0	900
085年04月19日	"台北二"	"孟宗筍"	null	20.0	2590
085年04月19日	"台北一"	"孟宗筍"	null	30.0	12163
085年04月19日	"台中市"	"孟宗筍"	null	23.5	308
085年04月19日	"南投市"	"孟宗筍"	null	16.0	322
085年04月19日	"高雄市"	"孟宗筍"	null	35.0	732
085年04月21日	"台北二"	"孟宗筍"	null	30.0	480
085年04月21日	"台北一"	"孟宗筍"	null	30.0	2763
085年04月21日	"台中市"	"孟宗筍"	null	25.0	230
085年04月21日	"南投市"	"孟宗筍"	null	0.0	340
085年04月21日	"高雄市"	"孟宗筍"	null	40.0	200
085年04月22日	"台北二"	"孟宗筍"	null	20.0	1044
085年04月22日	"台北一"	"孟宗筍"	null	25.0	3818
085年04月22日	"台中市"	"孟宗筍"	null	25.0	145
085年04月22日	"高雄市"	"孟宗筍"	null	28.0	360
085年04月23日	"台北二"	"孟宗筍"	null	20.0	580
085年04月23日	"台北一"	"孟宗筍"	null	25.0	3389
085年04月23日	"高雄市"	"孟宗筍"	null	28.0	160
085年04月24日	"台北二"	"孟宗筍"	null	20.0	400
085年04月24日	"台北一"	"孟宗筍"	null	25.0	4272
085年04月24日	"台中市"	"孟宗筍"	null	28.0	193
085年04月24日	"高雄市"	"孟宗筍"	null	35.0	520
085年04月25日	"台北二"	"孟宗筍"	null	20.0	500
085年04月25日	"台北一"	"孟宗筍"	null	25.0	4426
085年04月25日	"高雄市"	"孟宗筍"	null	24.0	400
085年04月26日	"台北二"	"孟宗筍"	null	23.0	420
085年04月26日	"台北一"	"孟宗筍"	null	25.0	4640
085年04月26日	"台中市"	"孟宗筍"	null	28.9	289
085年04月27日	"台中市"	"孟宗筍"	null	25.8	139
085年04月27日	"高雄市"	"孟宗筍"	null	34.0	360
085年04月28日	"台北二"	"孟宗筍"	null	23.0	221
085年04月28日	"台北一"	"孟宗筍"	null	25.0	2666
085年04月28日	"台中市"	"孟宗筍"	null	12.0	13
085年04月28日	"高雄市"	"孟宗筍"	null	36.0	130
085年04月29日	"台北二"	"孟宗筍"	null	30.0	940
085年04月29日	"台北一"	"孟宗筍"	null	25.0	2266
085年04月29日	"台中市"	"孟宗筍"	null	23.6	115
085年04月29日	"高雄市"	"孟宗筍"	null	34.0	640
085年04月30日	"台北二"	"孟宗筍"	null	14.7	539
085年04月30日	"台北一"	"孟宗筍"	null	25.0	3063
085年04月30日	"台中市"	"孟宗筍"	null	23.6	207
086年04月01日	"台北二"	"孟宗筍"	null	44.5	954
086年04月01日	"台北一"	"孟宗筍"	null	45.0	4863
086年04月01日	"台中市"	"孟宗筍"	null	57.9	181
086年04月01日	"高雄市"	"孟宗筍"	null	125.0	440
086年04月02日	"台北二"	"孟宗筍"	null	60.0	454
086年04月02日	"台北一"	"孟宗筍"	null	35.0	3175
086年04月02日	"台中市"	"孟宗筍"	null	50.0	331.5
086年04月02日	"高雄市"	"孟宗筍"	null	50.0	750
086年04月03日	"台北二"	"孟宗筍"	null	46.0	1320
086年04月03日	"台北一"	"孟宗筍"	null	35.0	3985
086年04月03日	"台中市"	"孟宗筍"	null	42.2	331
086年04月03日	"高雄市"	"孟宗筍"	null	50.0	540
086年04月04日	"台北二"	"孟宗筍"	null	45.0	1259
086年04月04日	"台北一"	"孟宗筍"	null	40.0	6358
086年04月04日	"台中市"	"孟宗筍"	null	45.0	851
086年04月04日	"高雄市"	"孟宗筍"	null	50.0	760
086年04月05日	"台中市"	"孟宗筍"	null	40.6	1819
086年04月05日	"高雄市"	"孟宗筍"	null	40.0	1040
086年04月06日	"台中市"	"孟宗筍"	null	21.8	260
086年04月07日	"台北二"	"孟宗筍"	null	38.0	2068
086年04月07日	"台北一"	"孟宗筍"	null	30.0	7354
086年04月07日	"台中市"	"孟宗筍"	null	27.7	454
086年04月08日	"台北二"	"孟宗筍"	null	32.0	2324
086年04月08日	"台北一"	"孟宗筍"	null	25.0	6493
086年04月08日	"台中市"	"孟宗筍"	null	29.8	539
086年04月08日	"高雄市"	"孟宗筍"	null	40.0	730
086年04月09日	"台北二"	"孟宗筍"	null	20.0	3004
086年04月09日	"台北一"	"孟宗筍"	null	22.0	7742
086年04月09日	"台中市"	"孟宗筍"	null	23.2	342
086年04月09日	"高雄市"	"孟宗筍"	null	30.0	320
086年04月10日	"台北二"	"孟宗筍"	null	14.9	2400
086年04月10日	"台北一"	"孟宗筍"	null	20.0	5985
086年04月10日	"台中市"	"孟宗筍"	null	20.0	1048
086年04月10日	"高雄市"	"孟宗筍"	null	38.5	280
086年04月11日	"台北二"	"孟宗筍"	null	13.0	1204
086年04月11日	"台北一"	"孟宗筍"	null	20.0	8289
086年04月11日	"台中市"	"孟宗筍"	null	15.7	828
086年04月11日	"高雄市"	"孟宗筍"	null	27.8	780
086年04月12日	"台北二"	"孟宗筍"	null	17.4	780
086年04月12日	"台北一"	"孟宗筍"	null	18.0	5386
086年04月12日	"高雄市"	"孟宗筍"	null	25.0	200
086年04月13日	"台北二"	"孟宗筍"	null	18.0	1188
086年04月13日	"台北一"	"孟宗筍"	null	18.0	5189
086年04月13日	"高雄市"	"孟宗筍"	null	24.3	540
086年04月14日	"台北二"	"孟宗筍"	null	16.9	620
086年04月14日	"台北一"	"孟宗筍"	null	18.0	2335
086年04月14日	"台中市"	"孟宗筍"	null	16.0	1674
086年04月14日	"高雄市"	"孟宗筍"	null	23.2	700
086年04月15日	"台北二"	"孟宗筍"	null	11.1	936
086年04月15日	"台北一"	"孟宗筍"	null	18.0	5362
086年04月15日	"台中市"	"孟宗筍"	null	23.3	160
086年04月15日	"高雄市"	"孟宗筍"	null	22.9	620
086年04月16日	"台中市"	"孟宗筍"	null	21.7	100
086年04月16日	"高雄市"	"孟宗筍"	null	24.7	234
086年04月17日	"台北二"	"孟宗筍"	null	12.0	1520
086年04月17日	"台北一"	"孟宗筍"	null	18.0	4347
086年04月17日	"台中市"	"孟宗筍"	null	20.3	205
086年04月17日	"高雄市"	"孟宗筍"	null	25.0	180
086年04月18日	"台北二"	"孟宗筍"	null	10.5	518
086年04月18日	"台北一"	"孟宗筍"	null	18.0	5766
086年04月18日	"台中市"	"孟宗筍"	null	20.0	40
