date	mktname	sbtype	transformation	middleprice	quantity
085年04月01日	"台北二"	"烏殼綠"	null	40.0	3020
085年04月01日	"台北一"	"烏殼綠"	null	45.0	15000
085年04月02日	"台北二"	"烏殼綠"	null	50.0	2252
085年04月02日	"台北一"	"烏殼綠"	null	40.0	13786
085年04月03日	"台北二"	"烏殼綠"	null	60.0	3774
085年04月03日	"台北一"	"烏殼綠"	null	50.0	20031
085年04月06日	"台北二"	"烏殼綠"	null	60.0	2742
085年04月06日	"台北一"	"烏殼綠"	null	50.0	13263
085年04月07日	"台北二"	"烏殼綠"	null	60.0	2202
085年04月07日	"台北一"	"烏殼綠"	null	60.0	10009
085年04月08日	"台北二"	"烏殼綠"	null	60.0	2480
085年04月08日	"台北一"	"烏殼綠"	null	70.0	6834
085年04月09日	"台北二"	"烏殼綠"	null	70.0	4453
085年04月09日	"台北一"	"烏殼綠"	null	55.0	17911
085年04月10日	"台北二"	"烏殼綠"	null	30.0	4612
085年04月10日	"台北一"	"烏殼綠"	null	45.0	18264
085年04月11日	"台北二"	"烏殼綠"	null	30.0	5368
085年04月11日	"台北一"	"烏殼綠"	null	43.0	21310
085年04月13日	"台北一"	"烏殼綠"	null	38.0	22368
085年04月14日	"台北一"	"烏殼綠"	null	45.0	20184
085年04月15日	"台北二"	"烏殼綠"	null	50.0	2240
085年04月15日	"台北一"	"烏殼綠"	null	45.0	13913
085年04月16日	"台北二"	"烏殼綠"	null	50.0	2629
085年04月16日	"台北一"	"烏殼綠"	null	50.0	18577
085年04月17日	"台北二"	"烏殼綠"	null	40.0	4799
085年04月17日	"台北一"	"烏殼綠"	null	45.0	20011
085年04月17日	"高雄市"	"烏殼綠"	null	46.0	100
085年04月18日	"台北二"	"烏殼綠"	null	40.0	4580
085年04月18日	"台北一"	"烏殼綠"	null	40.0	21275
085年04月19日	"台北二"	"烏殼綠"	null	30.0	8549
085年04月19日	"台北一"	"烏殼綠"	null	35.0	37089
085年04月21日	"台北二"	"烏殼綠"	null	38.0	8238
085年04月21日	"台北一"	"烏殼綠"	null	35.0	29167
085年04月22日	"台北二"	"烏殼綠"	null	25.0	7833
085年04月22日	"台北一"	"烏殼綠"	null	35.0	33025
085年04月23日	"台北二"	"烏殼綠"	null	30.0	4309
085年04月23日	"台北一"	"烏殼綠"	null	38.0	19800
085年04月23日	"高雄市"	"烏殼綠"	null	26.0	140
085年04月24日	"台北二"	"烏殼綠"	null	40.0	3400
085年04月24日	"台北一"	"烏殼綠"	null	45.0	13787
085年04月24日	"高雄市"	"烏殼綠"	null	23.0	120
085年04月25日	"台北二"	"烏殼綠"	null	45.0	5086
085年04月25日	"台北一"	"烏殼綠"	null	40.0	18335
085年04月26日	"台北二"	"烏殼綠"	null	40.0	5818
085年04月26日	"台北一"	"烏殼綠"	null	45.0	23406
085年04月28日	"台北二"	"烏殼綠"	null	32.0	9495
085年04月28日	"台北一"	"烏殼綠"	null	38.0	36930
085年04月29日	"台北二"	"烏殼綠"	null	37.3	8649
085年04月29日	"台北一"	"烏殼綠"	null	40.0	31932
085年04月30日	"台北二"	"烏殼綠"	null	32.0	6490
085年04月30日	"台北一"	"烏殼綠"	null	35.0	25914
085年04月30日	"高雄市"	"烏殼綠"	null	32.0	120
086年04月01日	"台北二"	"烏殼綠"	null	50.0	2706
086年04月01日	"台北一"	"烏殼綠"	null	45.0	18236
086年04月02日	"台北二"	"烏殼綠"	null	60.0	1980
086年04月02日	"台北一"	"烏殼綠"	null	40.0	12459
086年04月03日	"台北二"	"烏殼綠"	null	62.1	3067
086年04月03日	"台北一"	"烏殼綠"	null	50.0	12343
086年04月04日	"台北二"	"烏殼綠"	null	40.0	7417
086年04月04日	"台北一"	"烏殼綠"	null	45.0	33449
086年04月07日	"台北二"	"烏殼綠"	null	40.0	7536
086年04月07日	"台北一"	"烏殼綠"	null	35.0	35044
086年04月08日	"台北二"	"烏殼綠"	null	40.0	5069
086年04月08日	"台北一"	"烏殼綠"	null	32.0	21198
086年04月09日	"台北二"	"烏殼綠"	null	25.0	4054
086年04月09日	"台北一"	"烏殼綠"	null	35.0	14662
086年04月10日	"台北二"	"烏殼綠"	null	20.0	7092
086年04月10日	"台北一"	"烏殼綠"	null	28.0	26100
086年04月11日	"台北二"	"烏殼綠"	null	20.0	5314
086年04月11日	"台北一"	"烏殼綠"	null	20.0	23163
086年04月12日	"台北二"	"烏殼綠"	null	20.0	6210
086年04月12日	"台北一"	"烏殼綠"	null	25.0	26017
086年04月13日	"台北二"	"烏殼綠"	null	20.0	5367
086年04月13日	"台北一"	"烏殼綠"	null	25.0	29610
086年04月14日	"台北二"	"烏殼綠"	null	32.2	5628
086年04月14日	"台北一"	"烏殼綠"	null	25.0	18496
086年04月14日	"高雄市"	"烏殼綠"	null	25.0	90
086年04月15日	"台北二"	"烏殼綠"	null	20.0	7532
086年04月15日	"台北一"	"烏殼綠"	null	24.0	34198
086年04月15日	"高雄市"	"烏殼綠"	null	25.0	54
086年04月17日	"台北二"	"烏殼綠"	null	16.0	7392
086年04月17日	"台北一"	"烏殼綠"	null	20.0	37293
086年04月17日	"高雄市"	"烏殼綠"	null	20.0	160
086年04月18日	"台北二"	"烏殼綠"	null	20.0	7895
086年04月18日	"台北一"	"烏殼綠"	null	22.0	35880
086年04月19日	"台北二"	"烏殼綠"	null	25.0	4734
086年04月19日	"台北一"	"烏殼綠"	null	24.0	21037
086年04月19日	"高雄市"	"烏殼綠"	null	21.3	300
086年04月20日	"台北二"	"烏殼綠"	null	20.0	5130
086年04月20日	"台北一"	"烏殼綠"	null	32.0	16780
086年04月20日	"高雄市"	"烏殼綠"	null	20.0	140
086年04月21日	"台北二"	"烏殼綠"	null	20.0	6577
086年04月21日	"台北一"	"烏殼綠"	null	30.0	31795
086年04月21日	"高雄市"	"烏殼綠"	null	25.0	40
086年04月22日	"台北二"	"烏殼綠"	null	20.0	6182
086年04月22日	"台北一"	"烏殼綠"	null	28.0	29391
086年04月22日	"高雄市"	"烏殼綠"	null	23.8	80
086年04月24日	"台北二"	"烏殼綠"	null	20.0	8767
086年04月24日	"台北一"	"烏殼綠"	null	25.0	30475
086年04月24日	"高雄市"	"烏殼綠"	null	17.5	160
086年04月25日	"台北二"	"烏殼綠"	null	20.0	4983
086年04月25日	"台北一"	"烏殼綠"	null	24.0	28839
086年04月26日	"台北二"	"烏殼綠"	null	20.0	3849
086年04月26日	"台北一"	"烏殼綠"	null	28.0	16058
086年04月26日	"高雄市"	"烏殼綠"	null	12.5	140
086年04月27日	"台北二"	"烏殼綠"	null	25.0	5960
086年04月27日	"台北一"	"烏殼綠"	null	34.0	24006
086年04月28日	"台北二"	"烏殼綠"	null	20.0	4960
086年04月28日	"台北一"	"烏殼綠"	null	33.0	27274
086年04月29日	"台北二"	"烏殼綠"	null	25.0	4670
086年04月29日	"台北一"	"烏殼綠"	null	35.0	19819
086年04月30日	"台北二"	"烏殼綠"	null	25.0	7848
086年04月30日	"台北一"	"烏殼綠"	null	30.0	31711
086年04月30日	"高雄市"	"烏殼綠"	null	13.9	160
087年04月01日	"台北二"	"烏殼綠"	null	30.0	5464
087年04月01日	"台北一"	"烏殼綠"	null	35.0	21804
087年04月01日	"高雄市"	"烏殼綠"	null	60.0	360
087年04月02日	"台北二"	"烏殼綠"	null	35.2	3780
087年04月02日	"台北一"	"烏殼綠"	null	35.0	20484
087年04月03日	"台北二"	"烏殼綠"	null	34.1	5870
087年04月03日	"台北一"	"烏殼綠"	null	35.0	18131
087年04月03日	"高雄市"	"烏殼綠"	null	32.5	300
087年04月04日	"台北二"	"烏殼綠"	null	33.4	7398
087年04月04日	"台北一"	"烏殼綠"	null	35.0	36866
087年04月07日	"台北二"	"烏殼綠"	null	30.6	8360
087年04月07日	"台北一"	"烏殼綠"	null	27.0	36328
087年04月08日	"台北二"	"烏殼綠"	null	24.2	6791
087年04月08日	"台北一"	"烏殼綠"	null	28.0	24316
087年04月09日	"台北二"	"烏殼綠"	null	28.6	2846
087年04月09日	"台北一"	"烏殼綠"	null	35.0	12243
087年04月10日	"台北二"	"烏殼綠"	null	33.4	5124
087年04月10日	"台北一"	"烏殼綠"	null	32.0	25156
087年04月11日	"台北二"	"烏殼綠"	null	33.7	4745
087年04月11日	"台北一"	"烏殼綠"	null	32.0	20713
087年04月12日	"台北二"	"烏殼綠"	null	38.5	5581
087年04月12日	"台北一"	"烏殼綠"	null	40.0	23959
087年04月14日	"台北二"	"烏殼綠"	null	30.4	7959
087年04月14日	"台北一"	"烏殼綠"	null	33.0	33874
