date	mktname	sbtype	transformation	middleprice	quantity
095年08月03日	"屏東市"	"進口"	null	40.0	20
095年08月18日	"屏東市"	"進口"	null	60.0	27
095年08月23日	"屏東市"	"進口"	null	30.0	39
099年08月15日	"鳳山區"	"進口"	null	10.7	200
087年12月12日	"台北一"	"進口"	null	90.0	450
087年12月15日	"台北一"	"進口"	null	80.0	600
087年12月16日	"台北一"	"進口"	null	90.0	480
087年12月17日	"台北一"	"進口"	null	15.0	450
087年12月29日	"台北一"	"進口"	null	50.0	400
087年02月03日	"台北一"	"進口"	null	67.7	1061
087年02月04日	"台北一"	"進口"	null	65.0	600
087年02月05日	"台北一"	"進口"	null	50.0	640
087年02月07日	"台北一"	"進口"	null	44.5	760
087年02月08日	"台北一"	"進口"	null	45.0	1800
087年02月09日	"台北一"	"進口"	null	60.7	2700
087年02月10日	"台北一"	"進口"	null	61.4	2160
092年02月12日	"台北一"	"進口"	null	40.0	60
092年02月13日	"台北一"	"進口"	null	45.0	96
092年02月14日	"台北一"	"進口"	null	53.0	96
094年02月04日	"台北一"	"進口"	null	140.0	400
094年02月05日	"台北一"	"進口"	null	140.0	200
094年02月06日	"台北一"	"進口"	null	133.3	270
095年02月04日	"台北二"	"進口"	null	28.9	152
095年02月04日	"台北一"	"進口"	null	55.4	160
095年02月07日	"台北一"	"進口"	null	30.0	240
095年02月09日	"台北一"	"進口"	null	30.0	120
095年02月10日	"台北二"	"進口"	null	68.1	56
095年02月10日	"台北一"	"進口"	null	20.0	160
095年02月11日	"台北二"	"進口"	null	8.0	200
095年02月12日	"台北二"	"進口"	null	8.0	40
095年02月15日	"台北一"	"進口"	null	12.0	80
095年02月17日	"台北一"	"進口"	null	12.0	80
095年02月18日	"台北一"	"進口"	null	12.0	128
095年02月23日	"台北一"	"進口"	null	10.0	120
095年02月24日	"台北一"	"進口"	null	7.0	72
099年02月02日	"屏東市"	"進口"	null	17.7	30
088年01月05日	"台北一"	"進口"	null	110.0	160
088年01月06日	"台北一"	"進口"	null	110.0	80
094年01月15日	"台北一"	"進口"	null	50.0	40
094年01月16日	"台北一"	"進口"	null	115.0	460
094年01月18日	"台北一"	"進口"	null	50.0	100
094年01月19日	"台北一"	"進口"	null	115.2	180
094年01月21日	"台北一"	"進口"	null	55.0	80
094年01月22日	"台北一"	"進口"	null	70.0	180
094年01月30日	"台北一"	"進口"	null	110.0	100
095年01月15日	"台北一"	"進口"	null	126.8	255
095年01月15日	"三重市"	"進口"	null	140.0	280
095年01月17日	"台北一"	"進口"	null	180.0	60
095年01月18日	"台北二"	"進口"	null	150.0	90
095年01月18日	"台北一"	"進口"	null	174.5	230
095年01月20日	"台北一"	"進口"	null	200.0	40
095年01月21日	"台北一"	"進口"	null	152.2	410
095年01月22日	"台北一"	"進口"	null	150.0	890
095年01月24日	"台北一"	"進口"	null	202.6	758
095年01月25日	"台北一"	"進口"	null	176.6	4110
095年01月26日	"台北二"	"進口"	null	210.0	110
095年01月26日	"台北一"	"進口"	null	160.7	5790
095年01月27日	"台北一"	"進口"	null	178.4	3657
095年01月28日	"台北二"	"進口"	null	100.0	300
095年01月28日	"台北一"	"進口"	null	119.8	2990
089年07月08日	"台北一"	"進口"	null	69.0	100
089年07月10日	"台北一"	"進口"	null	67.2	90
091年07月25日	"台北一"	"進口"	null	50.0	36
097年07月13日	"屏東市"	"進口"	null	31.1	90
097年07月29日	"屏東市"	"進口"	null	12.0	80
094年06月28日	"台北二"	"進口"	null	60.0	24
095年06月16日	"屏東市"	"進口"	null	3.3	15
100年06月30日	"屏東市"	"進口"	null	22.0	11
094年03月23日	"台北一"	"進口"	null	20.0	120
095年03月01日	"台北二"	"進口"	null	15.0	80
095年03月03日	"高雄市"	"進口"	null	12.5	240
091年05月31日	"台北一"	"進口"	null	10.0	100
095年05月23日	"台北二"	"進口"	null	50.0	342
096年05月09日	"屏東市"	"進口"	null	10.0	10
095年11月02日	"台北一"	"進口"	null	100.0	75
089年10月17日	"台北一"	"進口"	null	65.0	10
097年09月10日	"屏東市"	"進口"	null	12.0	15
097年09月17日	"屏東市"	"進口"	null	19.0	20
