date	mktname	sbtype	transformation	middleprice	quantity
085年04月01日	"台北二"	null	null	5.2	292
085年04月01日	"台北一"	null	null	10.0	2393
085年04月01日	"永靖鄉"	null	null	7.0	1776
085年04月01日	"溪湖鎮"	null	null	5.0	2655
085年04月01日	"西螺鎮"	null	null	7.0	100
085年04月01日	"高雄市"	null	null	12.0	760
085年04月01日	"屏東市"	null	null	10.0	4000
085年04月01日	"花蓮市"	null	null	10.0	391
085年04月02日	"台北二"	null	null	7.0	122
085年04月02日	"台北一"	null	null	10.0	3455
085年04月02日	"永靖鄉"	null	null	7.5	3953
085年04月02日	"溪湖鎮"	null	null	6.0	583
085年04月02日	"西螺鎮"	null	null	7.0	150
085年04月02日	"高雄市"	null	null	12.0	790
085年04月02日	"屏東市"	null	null	10.0	4000
085年04月02日	"花蓮市"	null	null	9.0	280
085年04月03日	"台北一"	null	null	10.0	3008
085年04月03日	"永靖鄉"	null	null	9.5	2221
085年04月03日	"溪湖鎮"	null	null	6.0	289
085年04月03日	"高雄市"	null	null	13.0	540
085年04月03日	"屏東市"	null	null	10.0	3500
085年04月03日	"花蓮市"	null	null	10.0	931
085年04月04日	"屏東市"	null	null	10.0	4000
085年04月05日	"溪湖鎮"	null	null	8.0	1953
085年04月06日	"台北二"	null	null	12.0	50
085年04月06日	"台北一"	null	null	10.0	2218
085年04月06日	"永靖鄉"	null	null	7.5	657
085年04月06日	"溪湖鎮"	null	null	8.0	1005
085年04月06日	"屏東市"	null	null	8.6	6500
085年04月06日	"花蓮市"	null	null	18.0	448
085年04月07日	"台北一"	null	null	13.0	2313
085年04月07日	"永靖鄉"	null	null	7.5	1141
085年04月07日	"溪湖鎮"	null	null	8.0	3905
085年04月07日	"高雄市"	null	null	15.0	390
085年04月07日	"屏東市"	null	null	9.6	4000
085年04月07日	"花蓮市"	null	null	15.0	241
085年04月08日	"台北二"	null	null	12.0	60
085年04月08日	"台北一"	null	null	13.0	1692
085年04月08日	"永靖鄉"	null	null	9.5	419
085年04月08日	"溪湖鎮"	null	null	8.0	1961
085年04月08日	"西螺鎮"	null	null	9.0	200
085年04月08日	"高雄市"	null	null	15.0	450
085年04月08日	"屏東市"	null	null	9.8	4000
085年04月08日	"花蓮市"	null	null	12.0	370
085年04月09日	"台北二"	null	null	14.6	77
085年04月09日	"台北一"	null	null	13.0	2784
085年04月09日	"永靖鄉"	null	null	9.5	2308
085年04月09日	"溪湖鎮"	null	null	7.0	3312
085年04月09日	"西螺鎮"	null	null	7.0	150
085年04月09日	"高雄市"	null	null	15.0	380
085年04月09日	"屏東市"	null	null	10.0	4500
085年04月09日	"花蓮市"	null	null	12.0	265
085年04月10日	"台北二"	null	null	12.0	80
085年04月10日	"台北一"	null	null	13.0	2763
085年04月10日	"永靖鄉"	null	null	9.5	197
085年04月10日	"溪湖鎮"	null	null	8.0	1294
085年04月10日	"高雄市"	null	null	15.0	492
085年04月10日	"屏東市"	null	null	10.4	4000
085年04月10日	"花蓮市"	null	null	10.0	294
085年04月11日	"台北一"	null	null	13.0	3426
085年04月11日	"永靖鄉"	null	null	9.5	1418
085年04月11日	"溪湖鎮"	null	null	9.0	4126
085年04月11日	"高雄市"	null	null	12.0	300
085年04月11日	"屏東市"	null	null	9.8	4000
085年04月11日	"花蓮市"	null	null	17.0	477
085年04月12日	"永靖鄉"	null	null	9.5	968
085年04月12日	"溪湖鎮"	null	null	10.0	1075
085年04月12日	"高雄市"	null	null	15.0	200
085年04月12日	"屏東市"	null	null	10.8	4000
085年04月13日	"台北一"	null	null	13.0	3329
085年04月13日	"永靖鄉"	null	null	9.0	930
085年04月13日	"溪湖鎮"	null	null	10.0	4048
085年04月13日	"高雄市"	null	null	15.0	180
085年04月13日	"屏東市"	null	null	10.0	3500
085年04月13日	"花蓮市"	null	null	11.0	230
085年04月14日	"台北一"	null	null	13.0	2851
085年04月14日	"永靖鄉"	null	null	7.0	2622
085年04月14日	"溪湖鎮"	null	null	10.0	1517
085年04月14日	"西螺鎮"	null	null	10.0	100
085年04月14日	"高雄市"	null	null	15.0	100
085年04月14日	"屏東市"	null	null	9.9	4000
085年04月14日	"花蓮市"	null	null	12.0	168
085年04月15日	"台北二"	null	null	15.0	60
085年04月15日	"台北一"	null	null	13.0	2750
085年04月15日	"永靖鄉"	null	null	8.5	1012
085年04月15日	"溪湖鎮"	null	null	10.0	3132
085年04月15日	"西螺鎮"	null	null	9.0	200
085年04月15日	"高雄市"	null	null	15.0	150
085年04月15日	"屏東市"	null	null	10.0	4500
085年04月16日	"台北二"	null	null	18.6	140
085年04月16日	"台北一"	null	null	13.0	2902
085年04月16日	"永靖鄉"	null	null	9.0	857
085年04月16日	"溪湖鎮"	null	null	10.0	4148
085年04月16日	"高雄市"	null	null	22.0	183
085年04月16日	"屏東市"	null	null	13.0	2000
085年04月16日	"花蓮市"	null	null	13.0	184
085年04月17日	"台北二"	null	null	10.0	230
085年04月17日	"台北一"	null	null	13.0	3664
085年04月17日	"永靖鄉"	null	null	9.5	403
085年04月17日	"溪湖鎮"	null	null	10.0	2405
085年04月17日	"高雄市"	null	null	16.0	283
085年04月17日	"屏東市"	null	null	10.0	4000
085年04月17日	"花蓮市"	null	null	15.0	173
085年04月18日	"台北二"	null	null	8.0	346
085年04月18日	"台北一"	null	null	13.0	4298
085年04月18日	"永靖鄉"	null	null	9.5	1393
085年04月18日	"溪湖鎮"	null	null	11.0	4898
085年04月18日	"高雄市"	null	null	20.0	210
085年04月18日	"屏東市"	null	null	9.6	4000
085年04月19日	"台北二"	null	null	8.0	1032
085年04月19日	"台北一"	null	null	13.0	3934
085年04月19日	"高雄市"	null	null	20.0	230
