date	mktname	sbtype	transformation	middleprice	quantity
085年04月01日	"台北二"	"檳榔心芋"	null	13.0	2165
085年04月01日	"台北一"	"檳榔心芋"	null	13.0	10880
085年04月01日	"台中市"	"檳榔心芋"	null	14.3	330
085年04月01日	"西螺鎮"	"檳榔心芋"	null	13.0	7770
085年04月01日	"高雄市"	"檳榔心芋"	null	26.0	1860
085年04月01日	"花蓮市"	"檳榔心芋"	null	10.0	1441
085年04月01日	"台北二"	"里芋"	null	0.0	40
085年04月02日	"台北二"	"檳榔心芋"	null	10.0	1500
085年04月02日	"台北一"	"檳榔心芋"	null	13.0	16915
085年04月02日	"台中市"	"檳榔心芋"	null	15.6	254
085年04月02日	"西螺鎮"	"檳榔心芋"	null	12.0	7710
085年04月02日	"高雄市"	"檳榔心芋"	null	26.0	2100
085年04月02日	"花蓮市"	"檳榔心芋"	null	8.0	1109
085年04月02日	"台北一"	"里芋"	null	35.0	1746
085年04月02日	"台北一"	"芋莖"	null	7.0	380
085年04月02日	"高雄市"	"芋莖"	null	5.0	100
085年04月03日	"台北二"	"檳榔心芋"	null	12.0	1770
085年04月03日	"台北一"	"檳榔心芋"	null	13.0	12585
085年04月03日	"台中市"	"檳榔心芋"	null	6.7	360
085年04月03日	"西螺鎮"	"檳榔心芋"	null	12.0	7890
085年04月03日	"高雄市"	"檳榔心芋"	null	27.0	2580
085年04月03日	"花蓮市"	"檳榔心芋"	null	10.0	931
085年04月03日	"台北二"	"里芋"	null	8.0	125
085年04月03日	"台北一"	"里芋"	null	35.0	180
085年04月03日	"高雄市"	"芋莖"	null	5.0	100
085年04月04日	"高雄市"	"檳榔心芋"	null	25.0	2760
085年04月04日	"高雄市"	"芋莖"	null	5.0	100
085年04月05日	"西螺鎮"	"檳榔心芋"	null	12.0	8160
085年04月06日	"台北一"	"麵芋"	null	5.0	156
085年04月06日	"台北一"	"檳榔心芋"	null	13.0	16502
085年04月06日	"台中市"	"檳榔心芋"	null	11.3	390
085年04月06日	"西螺鎮"	"檳榔心芋"	null	13.3	8250
085年04月06日	"花蓮市"	"檳榔心芋"	null	19.0	320
