date	mktname	sbtype	transformation	middleprice	quantity
085年04月01日	"台北二"	null	null	40.0	180
085年04月01日	"台北一"	null	null	25.0	420
085年04月02日	"台北一"	null	null	25.0	420
085年04月03日	"台北一"	null	null	25.0	708
085年04月06日	"台北二"	null	null	40.0	60
085年04月06日	"台北一"	null	null	25.0	708
085年04月07日	"台北二"	null	null	40.0	150
085年04月07日	"台北一"	null	null	25.0	480
085年04月08日	"台北二"	null	null	30.0	240
085年04月08日	"台北一"	null	null	25.0	408
085年04月09日	"台北一"	null	null	25.0	354
085年04月10日	"台北一"	null	null	25.0	246
085年04月11日	"台北二"	null	null	35.0	180
085年04月11日	"台北一"	null	null	25.0	504
085年04月13日	"台北一"	null	null	25.0	816
085年04月14日	"台北一"	null	null	25.0	552
085年04月15日	"台北二"	null	null	40.0	160
085年04月15日	"台北一"	null	null	25.0	480
085年04月16日	"台北二"	null	null	40.0	60
085年04月16日	"台北一"	null	null	25.0	774
085年04月17日	"台北一"	null	null	25.0	246
085年04月18日	"台北二"	null	null	40.0	30
085年04月18日	"台北一"	null	null	25.0	366
085年04月19日	"台北二"	null	null	30.0	160
085年04月19日	"台北一"	null	null	25.0	570
085年04月21日	"台北二"	null	null	30.0	60
085年04月21日	"台北一"	null	null	25.0	462
085年04月22日	"台北二"	null	null	40.0	210
085年04月22日	"台北一"	null	null	25.0	744
085年04月23日	"台北二"	null	null	40.0	90
085年04月23日	"台北一"	null	null	25.0	432
085年04月24日	"台北二"	null	null	30.0	60
085年04月24日	"台北一"	null	null	25.0	576
085年04月25日	"台北二"	null	null	30.0	210
085年04月25日	"台北一"	null	null	25.0	282
085年04月26日	"台北二"	null	null	40.0	120
085年04月26日	"台北一"	null	null	25.0	240
085年04月28日	"台北二"	null	null	30.0	210
085年04月28日	"台北一"	null	null	25.0	696
085年04月29日	"台北二"	null	null	50.0	60
085年04月29日	"台北一"	null	null	25.0	438
085年04月30日	"台北二"	null	null	35.0	150
085年04月30日	"台北一"	null	null	25.0	588
086年04月01日	"台北二"	null	null	40.0	60
086年04月01日	"台北一"	null	null	40.0	492
086年04月02日	"台北一"	null	null	40.0	528
086年04月03日	"台北二"	null	null	40.0	180
086年04月03日	"台北一"	null	null	40.0	516
086年04月04日	"台北二"	null	null	40.0	120
086年04月04日	"台北一"	null	null	40.0	180
086年04月07日	"台北一"	null	null	40.0	684
086年04月08日	"台北二"	null	null	40.0	90
086年04月08日	"台北一"	null	null	40.0	684
086年04月09日	"台北二"	null	null	40.0	120
086年04月09日	"台北一"	null	null	40.0	336
086年04月10日	"台北二"	null	null	40.0	60
086年04月10日	"台北一"	null	null	40.0	348
086年04月11日	"台北一"	null	null	40.0	426
086年04月12日	"台北二"	null	null	40.0	90
086年04月12日	"台北一"	null	null	40.0	728
086年04月13日	"台北二"	null	null	33.8	70
086年04月13日	"台北一"	null	null	40.0	546
086年04月14日	"台北二"	null	null	50.0	40
086年04月14日	"台北一"	null	null	40.0	276
086年04月15日	"台北二"	null	null	40.0	150
086年04月15日	"台北一"	null	null	40.0	504
086年04月17日	"台北一"	null	null	40.0	210
086年04月18日	"台北二"	null	null	36.6	50
086年04月18日	"台北一"	null	null	40.0	486
086年04月19日	"台北一"	null	null	40.0	708
086年04月20日	"台北二"	null	null	40.0	120
086年04月20日	"台北一"	null	null	40.0	594
086年04月21日	"台北一"	null	null	40.0	482
086年04月22日	"台北一"	null	null	40.0	594
086年04月24日	"台北二"	null	null	36.6	100
086年04月24日	"台北一"	null	null	40.0	498
086年04月25日	"台北一"	null	null	40.0	546
086年04月26日	"台北二"	null	null	40.0	90
086年04月26日	"台北一"	null	null	40.0	420
086年04月27日	"台北二"	null	null	36.6	50
086年04月27日	"台北一"	null	null	40.0	462
086年04月27日	"台中市"	null	null	6.0	90
086年04月28日	"台北一"	null	null	40.0	462
086年04月29日	"台北一"	null	null	40.0	582
086年04月30日	"台北二"	null	null	40.0	60
086年04月30日	"台北一"	null	null	40.0	492
087年04月01日	"台北一"	null	null	45.0	90
087年04月02日	"台北一"	null	null	55.0	600
087年04月03日	"台北一"	null	null	49.0	702
087年04月04日	"台北一"	null	null	55.2	534
087年04月07日	"台北一"	null	null	51.1	648
087年04月08日	"台北一"	null	null	48.9	606
087年04月09日	"台北一"	null	null	55.4	468
087年04月10日	"台北一"	null	null	45.0	270
087年04月11日	"台北一"	null	null	60.0	318
087年04月12日	"台北一"	null	null	55.1	834
087年04月14日	"台北一"	null	null	48.0	792
087年04月15日	"台北二"	null	null	36.7	50
087年04月15日	"台北一"	null	null	53.2	486
