date	mktname	sbtype	transformation	middleprice	quantity
085年04月01日	"台北一"	null	null	7.0	2050
085年04月01日	"台中市"	null	null	11.7	90
085年04月01日	"高雄市"	null	null	12.0	3320
085年04月02日	"台北二"	null	null	7.4	325
085年04月02日	"台北一"	null	null	7.0	1950
085年04月02日	"台中市"	null	null	11.7	60
085年04月02日	"高雄市"	null	null	13.0	2900
085年04月03日	"台北二"	null	null	11.1	275
085年04月03日	"台北一"	null	null	7.0	2080
085年04月03日	"台中市"	null	null	11.6	30
085年04月03日	"高雄市"	null	null	13.0	3140
085年04月06日	"台北二"	null	null	15.0	50
085年04月06日	"台北一"	null	null	7.0	2100
085年04月07日	"台北二"	null	null	7.0	180
085年04月07日	"台北一"	null	null	7.0	2140
085年04月07日	"高雄市"	null	null	13.0	2720
085年04月08日	"台北一"	null	null	7.0	3815
085年04月08日	"台中市"	null	null	11.7	240
085年04月08日	"高雄市"	null	null	15.0	740
085年04月09日	"台北二"	null	null	17.2	330
085年04月09日	"台北一"	null	null	7.0	3220
085年04月09日	"高雄市"	null	null	12.0	600
085年04月10日	"台北一"	null	null	8.0	3285
085年04月10日	"高雄市"	null	null	13.0	1440
085年04月11日	"台北二"	null	null	14.8	100
085年04月11日	"台北一"	null	null	8.0	856
085年04月11日	"台中市"	null	null	11.7	150
085年04月11日	"高雄市"	null	null	15.0	1500
085年04月12日	"台中市"	null	null	11.3	90
085年04月12日	"高雄市"	null	null	12.0	740
085年04月13日	"台北一"	null	null	8.0	3175
085年04月13日	"台中市"	null	null	11.6	30
085年04月13日	"高雄市"	null	null	13.0	1130
085年04月14日	"台北一"	null	null	9.0	1350
085年04月14日	"台中市"	null	null	6.6	90
085年04月14日	"高雄市"	null	null	15.0	720
085年04月15日	"台北二"	null	null	15.4	665
085年04月15日	"台北一"	null	null	9.0	3105
085年04月15日	"台中市"	null	null	7.3	300
085年04月15日	"高雄市"	null	null	15.0	730
085年04月16日	"台北二"	null	null	9.4	390
085年04月16日	"台北一"	null	null	9.0	2220
085年04月16日	"台中市"	null	null	11.7	120
085年04月16日	"高雄市"	null	null	14.0	1780
085年04月17日	"台北二"	null	null	9.5	300
085年04月17日	"台北一"	null	null	9.0	2785
085年04月17日	"台中市"	null	null	7.3	150
085年04月17日	"高雄市"	null	null	12.0	1540
085年04月18日	"台北二"	null	null	11.1	545
085年04月18日	"台北一"	null	null	9.0	3605
085年04月18日	"高雄市"	null	null	15.0	500
085年04月19日	"台北二"	null	null	12.1	420
085年04月19日	"台北一"	null	null	9.0	1950
085年04月19日	"台中市"	null	null	11.7	90
085年04月19日	"高雄市"	null	null	15.0	1040
085年04月21日	"台北二"	null	null	14.1	210
085年04月21日	"台北一"	null	null	9.0	690
085年04月21日	"台中市"	null	null	7.7	360
085年04月21日	"高雄市"	null	null	14.0	1600
085年04月22日	"台北二"	null	null	12.1	390
085年04月22日	"台北一"	null	null	9.0	2850
085年04月22日	"台中市"	null	null	6.0	60
085年04月22日	"高雄市"	null	null	10.0	2550
085年04月23日	"台北二"	null	null	14.8	270
085年04月23日	"台北一"	null	null	9.0	2100
085年04月23日	"台中市"	null	null	11.7	120
085年04月23日	"高雄市"	null	null	13.0	1240
085年04月24日	"台北二"	null	null	12.0	270
085年04月24日	"台北一"	null	null	9.0	2730
085年04月24日	"台中市"	null	null	6.0	60
085年04月24日	"高雄市"	null	null	13.0	940
085年04月25日	"台北二"	null	null	12.0	300
085年04月25日	"台北一"	null	null	9.0	1920
085年04月25日	"台中市"	null	null	6.0	120
085年04月25日	"高雄市"	null	null	12.0	1530
085年04月26日	"台北二"	null	null	12.0	300
085年04月26日	"台北一"	null	null	9.0	3060
085年04月26日	"台中市"	null	null	5.9	120
