date	mktname	sbtype	transformation	middleprice	quantity
091年04月01日	"台北二"	"雪蓮薯"	null	6.0	160
091年04月02日	"台北二"	"雪蓮薯"	null	9.0	900
091年04月04日	"三重市"	"雪蓮薯"	null	8.0	1170
091年04月12日	"台北一"	"雪蓮薯"	null	50.0	500
091年04月16日	"台北二"	"雪蓮薯"	null	8.3	160
091年04月17日	"台北二"	"雪蓮薯"	null	10.0	160
091年04月19日	"台北二"	"雪蓮薯"	null	8.0	160
093年04月08日	"台北一"	"雪蓮薯"	null	35.0	40
091年08月05日	"高雄市"	"雪蓮薯"	null	20.0	100
095年08月26日	"台北一"	"雪蓮薯"	null	8.4	1350
098年08月06日	"台北一"	"雪蓮薯"	null	20.6	1200
099年08月22日	"台北一"	"雪蓮薯"	null	9.0	60
091年12月12日	"高雄市"	"雪蓮薯"	null	30.0	60
091年12月15日	"三重市"	"雪蓮薯"	null	7.0	560
095年12月02日	"台北一"	"雪蓮薯"	null	17.6	126
095年12月03日	"台北一"	"雪蓮薯"	null	14.0	90
095年12月07日	"台北一"	"雪蓮薯"	null	11.3	210
095年12月28日	"台北一"	"雪蓮薯"	null	15.0	90
097年12月04日	"台北一"	"雪蓮薯"	null	26.7	220
097年12月05日	"台北一"	"雪蓮薯"	null	33.0	140
097年12月06日	"台北一"	"雪蓮薯"	null	35.0	160
097年12月07日	"台北一"	"雪蓮薯"	null	29.3	120
097年12月09日	"台北一"	"雪蓮薯"	null	35.0	60
097年12月10日	"台北一"	"雪蓮薯"	null	25.0	100
097年12月11日	"台北一"	"雪蓮薯"	null	30.0	80
097年12月12日	"台北一"	"雪蓮薯"	null	35.0	60
097年12月12日	"台中市"	"雪蓮薯"	null	25.6	180
097年12月13日	"台北一"	"雪蓮薯"	null	30.0	80
097年12月16日	"台北一"	"雪蓮薯"	null	14.0	50
097年12月16日	"三重市"	"雪蓮薯"	null	19.6	100
097年12月21日	"台中市"	"雪蓮薯"	null	42.0	40
097年12月23日	"台北一"	"雪蓮薯"	null	10.2	60
097年12月23日	"三重市"	"雪蓮薯"	null	13.0	120
097年12月24日	"台北一"	"雪蓮薯"	null	13.0	40
097年12月24日	"三重市"	"雪蓮薯"	null	11.5	40
097年12月25日	"台中市"	"雪蓮薯"	null	42.0	40
097年12月27日	"台中市"	"雪蓮薯"	null	42.0	40
098年12月01日	"台北一"	"雪蓮薯"	null	20.3	720
098年12月06日	"台北一"	"雪蓮薯"	null	20.0	720
098年12月08日	"台北一"	"雪蓮薯"	null	19.8	738
098年12月10日	"台北一"	"雪蓮薯"	null	26.1	972
098年12月11日	"台北一"	"雪蓮薯"	null	32.8	460
098年12月12日	"台北一"	"雪蓮薯"	null	15.7	786
098年12月13日	"台北一"	"雪蓮薯"	null	12.5	2300
098年12月15日	"台北一"	"雪蓮薯"	null	8.5	220
098年12月15日	"三重市"	"雪蓮薯"	null	9.5	312
098年12月16日	"台北二"	"雪蓮薯"	null	3.0	60
098年12月16日	"台北一"	"雪蓮薯"	null	4.5	160
098年12月19日	"台北一"	"雪蓮薯"	null	18.8	360
098年12月20日	"台北一"	"雪蓮薯"	null	19.4	234
098年12月22日	"台北二"	"雪蓮薯"	null	35.0	60
098年12月24日	"台北一"	"雪蓮薯"	null	17.0	720
098年12月25日	"台北一"	"雪蓮薯"	null	26.1	540
098年12月27日	"台北一"	"雪蓮薯"	null	20.0	180
098年12月29日	"台北一"	"雪蓮薯"	null	14.6	594
098年12月30日	"台北一"	"雪蓮薯"	null	20.0	250
099年12月02日	"台北二"	"雪蓮薯"	null	4.1	172
099年12月02日	"台北一"	"雪蓮薯"	null	20.0	180
099年12月03日	"台北二"	"雪蓮薯"	null	6.9	60
099年12月03日	"高雄市"	"雪蓮薯"	null	9.5	400
