date	mktname	sbtype	transformation	middleprice	quantity
085年04月01日	"台北二"	"帶殼"	null	70.0	240
085年04月01日	"台北一"	"帶殼"	null	82.5	1017
085年04月01日	"高雄市"	"帶殼"	null	100.0	105
085年04月01日	"台北一"	"去殼"	null	71.0	10
085年04月02日	"台北二"	"帶殼"	null	60.0	170
085年04月02日	"台北一"	"帶殼"	null	85.3	543
085年04月02日	"高雄市"	"帶殼"	null	100.0	273
085年04月02日	"台北二"	"去殼"	null	70.0	20
085年04月02日	"台北一"	"去殼"	null	80.0	20
085年04月03日	"台北二"	"帶殼"	null	101.3	638
085年04月03日	"台北一"	"帶殼"	null	95.2	1991
085年04月03日	"高雄市"	"帶殼"	null	86.0	294
085年04月03日	"屏東市"	"帶殼"	null	71.7	477
085年04月06日	"台北二"	"帶殼"	null	100.0	600
085年04月06日	"台北一"	"帶殼"	null	107.1	1400
085年04月06日	"屏東市"	"帶殼"	null	50.0	120
085年04月07日	"台北二"	"帶殼"	null	80.0	641
085年04月07日	"台北一"	"帶殼"	null	105.9	2020
085年04月07日	"高雄市"	"帶殼"	null	80.0	474
085年04月07日	"屏東市"	"帶殼"	null	70.7	573
085年04月07日	"台北一"	"去殼"	null	130.0	10
085年04月08日	"台北二"	"帶殼"	null	70.0	210
085年04月08日	"台北一"	"帶殼"	null	100.2	1409
085年04月08日	"高雄市"	"帶殼"	null	100.0	472
085年04月08日	"屏東市"	"帶殼"	null	59.8	530
085年04月08日	"台北一"	"去殼"	null	94.0	50
085年04月09日	"台北二"	"帶殼"	null	90.0	450
085年04月09日	"台北一"	"帶殼"	null	95.0	1764
085年04月09日	"高雄市"	"帶殼"	null	80.0	567
085年04月09日	"屏東市"	"帶殼"	null	72.8	420
085年04月09日	"台北一"	"去殼"	null	50.0	3
085年04月10日	"台北二"	"帶殼"	null	110.0	450
085年04月10日	"台北一"	"帶殼"	null	89.4	1570
085年04月10日	"高雄市"	"帶殼"	null	83.0	447
085年04月10日	"屏東市"	"帶殼"	null	67.8	450
085年04月11日	"台北二"	"帶殼"	null	80.3	1126
085年04月11日	"台北一"	"帶殼"	null	92.3	2350
085年04月11日	"高雄市"	"帶殼"	null	88.0	458
085年04月11日	"屏東市"	"帶殼"	null	65.6	600
085年04月11日	"台北一"	"去殼"	null	74.4	60
085年04月12日	"高雄市"	"帶殼"	null	81.0	610
085年04月12日	"屏東市"	"帶殼"	null	61.6	810
085年04月13日	"台北一"	"帶殼"	null	85.0	2708
085年04月13日	"高雄市"	"帶殼"	null	75.0	997
085年04月13日	"屏東市"	"帶殼"	null	63.4	540
085年04月13日	"台北一"	"去殼"	null	93.0	26
085年04月14日	"台北一"	"帶殼"	null	84.3	3117
085年04月14日	"高雄市"	"帶殼"	null	75.0	707
085年04月14日	"屏東市"	"帶殼"	null	52.8	990
085年04月14日	"台北一"	"去殼"	null	88.0	20
085年04月15日	"台北二"	"帶殼"	null	80.0	920
085年04月15日	"台北一"	"帶殼"	null	90.5	2754
085年04月15日	"高雄市"	"帶殼"	null	78.0	1149
085年04月15日	"屏東市"	"帶殼"	null	55.1	840
085年04月15日	"台北一"	"去殼"	null	82.1	101
085年04月16日	"台北二"	"帶殼"	null	70.0	777
085年04月16日	"台北一"	"帶殼"	null	90.8	1925
085年04月16日	"高雄市"	"帶殼"	null	71.0	1541
085年04月16日	"屏東市"	"帶殼"	null	51.8	778
085年04月16日	"台北二"	"去殼"	null	70.0	19
085年04月16日	"台北一"	"去殼"	null	67.2	24
085年04月17日	"台北二"	"帶殼"	null	70.0	920
085年04月17日	"台北一"	"帶殼"	null	86.6	2720
085年04月17日	"高雄市"	"帶殼"	null	70.0	1151
085年04月17日	"屏東市"	"帶殼"	null	55.6	1170
085年04月17日	"台北一"	"去殼"	null	78.9	94
085年04月18日	"台北二"	"帶殼"	null	80.0	1480
085年04月18日	"台北一"	"帶殼"	null	75.5	4468
085年04月18日	"高雄市"	"帶殼"	null	67.0	785
085年04月18日	"屏東市"	"帶殼"	null	52.8	1317
085年04月18日	"台北一"	"去殼"	null	90.0	58
085年04月19日	"台北二"	"帶殼"	null	70.0	2250
085年04月19日	"台北一"	"帶殼"	null	73.9	5208
085年04月19日	"高雄市"	"帶殼"	null	63.0	1685
085年04月19日	"屏東市"	"帶殼"	null	47.8	1950
085年04月19日	"台北二"	"去殼"	null	56.0	20
085年04月19日	"台北一"	"去殼"	null	76.3	180
085年04月21日	"台北二"	"帶殼"	null	65.0	4100
085年04月21日	"台北一"	"帶殼"	null	72.2	9338
085年04月21日	"高雄市"	"帶殼"	null	61.0	1984
085年04月21日	"屏東市"	"帶殼"	null	52.1	3868
085年04月21日	"台北二"	"去殼"	null	40.0	22
085年04月21日	"台北一"	"去殼"	null	85.3	111
085年04月22日	"台北二"	"帶殼"	null	60.0	3630
085年04月22日	"台北一"	"帶殼"	null	67.4	11334
085年04月22日	"高雄市"	"帶殼"	null	56.0	2322
085年04月22日	"屏東市"	"帶殼"	null	46.1	2728
085年04月22日	"台北二"	"去殼"	null	47.2	37
085年04月22日	"台北一"	"去殼"	null	58.4	237
085年04月23日	"台北二"	"帶殼"	null	60.0	4410
085年04月23日	"台北一"	"帶殼"	null	55.0	14748
085年04月23日	"高雄市"	"帶殼"	null	54.0	2892
085年04月23日	"屏東市"	"帶殼"	null	44.3	3870
085年04月23日	"台北一"	"去殼"	null	75.9	201
085年04月24日	"台北二"	"帶殼"	null	55.0	5170
085年04月24日	"台北一"	"帶殼"	null	48.0	15945
085年04月24日	"高雄市"	"帶殼"	null	53.0	3200
085年04月24日	"屏東市"	"帶殼"	null	41.1	3946
085年04月24日	"台北一"	"去殼"	null	75.0	259
085年04月25日	"台北二"	"帶殼"	null	45.0	5523
085年04月25日	"台北一"	"帶殼"	null	53.7	19100
085年04月25日	"高雄市"	"帶殼"	null	46.0	4445
085年04月25日	"屏東市"	"帶殼"	null	35.8	4488
085年04月25日	"台北一"	"去殼"	null	72.3	344
085年04月26日	"台北二"	"帶殼"	null	45.0	6633
085年04月26日	"台北一"	"帶殼"	null	46.9	27441
