date	mktname	sbtype	transformation	middleprice	quantity
085年04月16日	"花蓮市"	"露蕎"	null	66.0	110
085年04月17日	"花蓮市"	"露蕎"	null	56.0	105
085年04月19日	"花蓮市"	"露蕎"	null	47.0	91
085年04月21日	"花蓮市"	"露蕎"	null	60.0	246
085年04月24日	"花蓮市"	"露蕎"	null	43.0	151
085年04月25日	"花蓮市"	"露蕎"	null	42.0	190
085年04月26日	"花蓮市"	"露蕎"	null	42.0	96
085年04月28日	"花蓮市"	"露蕎"	null	43.0	145
086年04月07日	"台北一"	"露蕎"	null	20.0	20
086年04月08日	"台北一"	"露蕎"	null	20.0	40
086年04月10日	"台北一"	"露蕎"	null	20.0	20
086年04月12日	"台北一"	"露蕎"	null	20.0	20
086年04月13日	"台北一"	"露蕎"	null	20.0	20
086年04月14日	"台北一"	"露蕎"	null	20.0	20
086年04月15日	"台北一"	"露蕎"	null	20.0	40
086年04月17日	"台北一"	"露蕎"	null	20.0	78
086年04月18日	"台北一"	"露蕎"	null	20.0	40
086年04月19日	"台北一"	"露蕎"	null	20.0	40
086年04月20日	"台北一"	"露蕎"	null	20.0	40
086年04月21日	"台北一"	"露蕎"	null	20.0	60
086年04月22日	"台北一"	"露蕎"	null	20.0	40
086年04月24日	"台北一"	"露蕎"	null	20.0	60
086年04月25日	"台北一"	"露蕎"	null	20.0	60
086年04月25日	"花蓮市"	"露蕎"	null	28.0	110
086年04月26日	"台北一"	"露蕎"	null	20.0	60
086年04月28日	"台北一"	"露蕎"	null	20.0	60
086年04月29日	"台北一"	"露蕎"	null	20.0	60
086年04月30日	"台北一"	"露蕎"	null	20.0	20
087年04月14日	"台北一"	"露蕎"	null	18.0	40
087年04月16日	"台北一"	"露蕎"	null	18.0	40
087年04月17日	"台北一"	"露蕎"	null	18.0	40
087年04月18日	"台北一"	"露蕎"	null	18.0	40
087年04月19日	"台北一"	"露蕎"	null	18.0	40
087年04月20日	"台北一"	"露蕎"	null	18.0	40
087年04月22日	"台北一"	"露蕎"	null	25.0	40
087年04月23日	"台北一"	"露蕎"	null	18.0	40
087年04月24日	"台北一"	"露蕎"	null	18.0	80
087年04月25日	"台北一"	"露蕎"	null	18.0	80
087年04月26日	"台北一"	"露蕎"	null	25.0	80
087年04月27日	"台北一"	"露蕎"	null	25.0	80
087年04月29日	"台北一"	"露蕎"	null	25.0	80
087年04月30日	"台北一"	"露蕎"	null	25.0	60
088年04月01日	"台北二"	"露蕎"	null	5.0	57
088年04月13日	"台北一"	"露蕎"	null	18.0	40
088年04月14日	"台北一"	"露蕎"	null	18.0	30
088年04月15日	"台北一"	"露蕎"	null	18.0	80
088年04月16日	"台北一"	"露蕎"	null	9.3	100
088年04月17日	"台北一"	"露蕎"	null	18.0	40
088年04月19日	"台北一"	"露蕎"	null	18.0	90
088年04月20日	"台北一"	"露蕎"	null	18.0	60
088年04月21日	"台北一"	"露蕎"	null	18.0	60
088年04月22日	"台北一"	"露蕎"	null	18.0	6
088年04月23日	"台北一"	"露蕎"	null	18.0	20
088年04月24日	"台北一"	"露蕎"	null	18.0	120
088年04月26日	"台北一"	"露蕎"	null	18.0	150
088年04月27日	"台北一"	"露蕎"	null	18.0	180
088年04月28日	"台北一"	"露蕎"	null	18.0	120
088年04月29日	"台北一"	"露蕎"	null	18.0	180
088年04月30日	"台北一"	"露蕎"	null	18.0	180
089年04月17日	"台北一"	"露蕎"	null	18.0	20
